CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
3	Broyden	0	-0.05256735697	-84.65088883	-103.9024	6.340541326	YY	9	0.3427678095	self-energy	sharp_wc_5_b_50	3.0461	2	1.218727142	0.286012995	0.0119375003	-4.505035276	1.97144865	-4.537266124	1.738270086	-0.3374287573	1.633227141	-0.3370170927	1.633693271	-4.537093219	1.737808578	-3.56529121	1.283634967	-0.5536105727	1.98697971	a248bdd	2x2_2C_8b_C2v_L	9.54	1.32552712	2	1.655847747	0.9999999998268753	0.9999999999999998	0.2202524227	-0.1813166546	0.001234254055	-0.00046865804	0.02431141356	0.3362584925	-0.2475107758	1.496630603	-0.2474546285	1.494635075	-0.02422028182	-0.3370440679	-0.0001273956282	0.001923010679	0.3756345754	-0.3541501912	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-0.002889124716	0.02715474092	-1.181916894	0.3323252453	-1.742624386	1.70642616	-0.1380020395	1.166225711	0.1378911224	-1.167162435	-1.742580782	1.709101173	2.201562796	-3.368970384	5.327930209e-06	0.00152482336	2025-01-28@10:27	1.9019	-0.70030254	1	-5.305025824e-16	-0.2932573083	0.2229	-9.210832414e-17	0.1180427926	v2.7.1	
2	Broyden	0	-0.04388883449	-75.21798083	-89.8224	5.173681342	YY	9	0.2987421015	self-energy	sharp_wc_5_b_50	3.0461	2	1.184015961	-0.1954708455	1.764597215	-3.375897492	1.924774615	-3.815916615	1.654622562	-0.3819065373	1.479976995	-0.3819104018	1.479912818	-3.815883482	1.654673626	-2.822080317	1.175564246	-0.5157414821	1.984415046	a248bdd	2x2_2C_8b_C2v_L	8.66	1.259376649	2	1.597198052	0.9999999998207587	1.0	0.2175990723	-1.848428491	-4.159976509e-07	5.368828806e-05	0.02442908105	0.4156026838	-0.3199086003	1.808720929	-0.3199329034	1.809166317	-0.02440342303	-0.4156546346	-6.848011268e-05	9.081774275e-05	0.4563534484	-0.4499804257	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	5.323102337e-05	-0.0002153057811	-1.164428019	0.6297070745	-1.731538554	2.031053329	-0.1022139721	1.169709031	0.1021216481	-1.16923069	-1.731550581	2.030791134	2.183825202	-3.505593185	8.931115736e-05	-0.0003182081988	2025-01-28@10:30	1.9019	-0.8152805588	1	1.225689674e-16	-0.3632590609	0.2229	6.278332628e-17	0.1425328994	v2.7.1	
2	Broyden	0	-0.04376346878	-75.12854778	-89.6624	5.159813457	YY	9	0.2981908716	self-energy	sharp_wc_5_b_50	3.0461	2	1.183580734	-0.1968862457	1.763102098	-3.363822561	1.924303717	-3.808756777	1.653163151	-0.3844097502	1.482206554	-0.384411743	1.48220283	-3.808828617	1.653149263	-2.813378758	1.174288333	-0.5178043515	1.984327271	a248bdd	2x2_2C_8b_C2v_L	8.65	1.258536627	2	1.596464768	0.9999999998550925	0.9999999999999998	0.2184154615	-1.854354831	-5.623230343e-05	0.0001109687049	0.02426250246	0.4179507061	-0.3209783785	1.804894735	-0.320967462	1.804732669	-0.02430787383	-0.4178513132	1.643373857e-06	4.016366156e-05	0.4575501986	-0.4514651699	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-9.515456749e-05	0.0003406102123	-1.163511976	0.6321348372	-1.731636601	2.036590817	-0.1017719501	1.167977388	0.101829244	-1.168252202	-1.73163807	2.036684162	2.183537656	-3.50689653	-4.303949504e-05	0.0001839277615	2025-01-28@10:33	1.9019	-0.816640846	1	-1.528814398e-16	-0.3640334419	0.2229	-1.975139232e-16	0.1428228402	v2.7.1	
2	Broyden	0	-0.0435304379	-75.00038648	-89.5024	5.14399606	YY	9	0.2976864408	self-energy	sharp_wc_5_b_50	3.0461	2	1.183088503	-0.1966308659	1.760617109	-3.345928902	1.923547421	-3.799255658	1.651579599	-0.3841857198	1.480004865	-0.3841658747	1.479975996	-3.799167076	1.651580862	-2.805607501	1.172876599	-0.5178269949	1.984214064	a248bdd	2x2_2C_8b_C2v_L	8.64	1.25770786	2	1.59564717	0.9999999998185269	1.0	0.2187696801	-1.861810291	-1.63094945e-05	-3.028504994e-05	0.02432973594	0.4183118782	-0.32149244	1.806795961	-0.3214894438	1.80686536	-0.02433037687	-0.4182929865	2.372116258e-05	-9.753554645e-05	0.4586589688	-0.4530325326	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-7.240033155e-05	0.0003100994966	-1.161860535	0.6359128032	-1.731170572	2.042314215	-0.1012974818	1.16845532	0.1012943566	-1.168430251	-1.731155194	2.042287775	2.183435941	-3.508521168	2.107004272e-05	-0.0001320274566	2025-01-28@10:36	1.9019	-0.8181976468	1	-6.511340887e-17	-0.3649200101	0.2229	-4.691433757e-17	0.1431564842	v2.7.1	
2	Broyden	0	-0.04336860024	-74.89752458	-89.3424	5.12941249	YY	9	0.2971221212	self-energy	sharp_wc_5_b_50	3.0461	2	1.182620546	-0.1931153642	1.758758991	-3.353924305	1.92323943	-3.787487808	1.649790766	-0.3832104466	1.477402015	-0.383249034	1.47742767	-3.787434699	1.649785026	-2.798312415	1.1715385	-0.5142165152	1.984163186	a248bdd	2x2_2C_8b_C2v_L	8.63	1.256820401	2	1.594931024	0.9999999998246661	0.9999999999999996	0.2181844798	-1.867573794	3.63997616e-06	8.720278428e-06	0.02449801467	0.4188012595	-0.3213064488	1.807609556	-0.3213137454	1.807548023	-0.02451241729	-0.4188063523	-7.470490765e-06	4.377239275e-06	0.458823055	-0.453764671	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	2.126282974e-05	-8.955331106e-05	-1.163274386	0.6380526444	-1.730061383	2.048689849	-0.1017518403	1.173120361	0.1017593602	-1.173160453	-1.730051504	2.048712053	2.183409653	-3.510094999	1.70810265e-05	-6.550266594e-05	2025-01-28@10:39	1.9019	-0.8195686928	1	-1.501208925e-16	-0.365816778	0.2229	-7.624189777e-17	0.1434642963	v2.7.1	
2	Broyden	0	-0.04327140506	-74.79694537	-89.1824	5.115270705	YY	9	0.2965789652	self-energy	sharp_wc_5_b_50	3.0461	2	1.182174482	-0.1935379957	1.756808212	-3.327179152	1.922435624	-3.784107682	1.648668818	-0.3863505612	1.479303854	-0.3863244571	1.479325588	-3.784033678	1.648634739	-2.790463285	1.170297445	-0.5164291995	1.984054665	a248bdd	2x2_2C_8b_C2v_L	8.62	1.255974035	2	1.594193781	0.9999999998313739	0.9999999999999999	0.218586437	-1.873419354	-3.756794864e-05	7.53877641e-05	0.02464835073	0.4206414896	-0.3226069337	1.804386117	-0.3225852639	1.804155354	-0.02467461588	-0.4205938891	-2.628567815e-06	9.274694346e-07	0.460159793	-0.4553903191	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-5.667096743e-05	0.0002094123508	-1.160476418	0.6416216951	-1.730745189	2.053354457	-0.1019404017	1.173765481	0.1019781305	-1.173990957	-1.730722938	2.053511957	2.183356961	-3.511420229	8.116659063e-06	-3.484760066e-05	2025-01-28@10:42	1.9019	-0.8209492632	1	-1.362778655e-17	-0.3666127272	0.2229	3.06064769e-18	0.1437625691	v2.7.1	
2	Broyden	0	-0.04317913947	-74.78019936	-89.0224	5.100927061	YY	9	0.2960006157	self-energy	sharp_wc_5_b_50	3.0461	2	1.181719403	-0.1967591149	1.755628593	-3.34471159	1.922495765	-3.777981774	1.647252402	-0.3886141078	1.480468337	-0.388567448	1.480401292	-3.778068723	1.647272002	-2.78274899	1.168994963	-0.5194231292	1.983987613	a248bdd	2x2_2C_8b_C2v_L	8.61	1.255081915	2	1.593450719	0.9999999998208791	0.9999999999999998	0.2202892542	-1.880849509	-3.402865109e-05	3.104922312e-05	0.02476776287	0.422339765	-0.3236355835	1.801488865	-0.3236296339	1.801643374	-0.02477575867	-0.4222696557	-1.384835821e-05	-3.339506452e-06	0.4617489564	-0.4569374546	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-7.964688928e-05	0.0003245812309	-1.163476394	0.6424473062	-1.730909373	2.058864858	-0.102037653	1.174825752	0.1020384148	-1.174797841	-1.730924013	2.058787199	2.183363716	-3.512760146	3.027830249e-05	-0.0001275865977	2025-01-28@10:45	1.9019	-0.8223426299	1	-3.246156661e-16	-0.3674249235	0.2229	2.933467766e-16	0.1440642331	v2.7.1	
2	Broyden	0	-0.0428112137	-74.58277091	-88.8624	5.085133109	YY	9	0.2955040759	self-energy	sharp_wc_5_b_50	3.0461	2	1.18122955	-0.192695458	1.752778423	-3.316305649	1.921418266	-3.763645115	1.645138367	-0.3874833215	1.47868973	-0.3874800735	1.478646859	-3.763522336	1.645151322	-2.773070277	1.167546253	-0.5147362938	1.983893345	a248bdd	2x2_2C_8b_C2v_L	8.6	1.254283366	2	1.592604529	0.9999999998374727	0.9999999999999999	0.2193028336	-1.886820322	-1.980020432e-05	2.102581939e-05	0.02431426417	0.423349982	-0.3238992628	1.802598414	-0.3239067045	1.802774875	-0.02431260846	-0.4233487877	-1.850199839e-05	-5.855463494e-06	0.4615112916	-0.4578277243	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-4.411633216e-05	0.0001849585114	-1.160280602	0.6472970891	-1.729745885	2.065958638	-0.1004013613	1.170793639	0.1003734112	-1.170647302	-1.729729486	2.065870274	2.18260039	-3.514332106	4.323755551e-05	-0.0001790876769	2025-01-28@10:48	1.9019	-0.8239157075	1	-3.359384485e-16	-0.3682797493	0.2229	5.541945683e-16	0.1443969059	v2.7.1	
2	Broyden	0	-0.04279208792	-74.59577969	-88.7024	5.074653327	YY	9	0.2948642385	self-energy	sharp_wc_5_b_50	3.0461	2	1.180884015	-0.2002911338	1.753007999	-3.320911423	1.921574557	-3.759661797	1.643577465	-0.3951842809	1.489151029	-0.3952005784	1.489183374	-3.759657607	1.64364852	-2.766309475	1.166777607	-0.5237405963	1.983834894	a248bdd	2x2_2C_8b_C2v_L	8.59	1.253385076	2	1.592033334	0.9999999998315073	1.0	0.2223257946	-1.89210258	-2.300882471e-05	-0.0001360476331	0.02402159482	0.4278915269	-0.32623933	1.787536663	-0.3262660578	1.787933694	-0.02400275659	-0.4280368602	0.0003579091536	-0.001149541971	0.463684543	-0.4594404214	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-3.405871605e-06	0.000183263503	-1.161759647	0.6471065073	-1.730899798	2.072211947	-0.09971108323	1.16331212	0.09964783529	-1.162887789	-1.730906325	2.071848494	2.18303203	-3.514957164	0.0002453591438	-0.001445505183	2025-01-28@10:51	1.9019	-0.8249126885	1	-8.656292485e-17	-0.3688721576	0.2229	-2.035524334e-16	0.1446115318	v2.7.1	
2	Broyden	0	-0.04262748568	-74.49805859	-88.5424	5.056490614	YY	9	0.294386901	self-energy	sharp_wc_5_b_50	3.0461	2	1.180315752	-0.1983557501	1.750144603	-3.327007776	1.921096196	-3.750143189	1.642185963	-0.392482738	1.481679744	-0.3926804509	1.481843576	-3.750018745	1.642156744	-2.757856511	1.164908015	-0.5218715277	1.983720315	a248bdd	2x2_2C_8b_C2v_L	8.58	1.252524913	2	1.59113791	0.9999999998374444	1.0	0.2222274964	-1.900754129	3.537880676e-05	1.722409741e-05	0.02456907002	0.4269532368	-0.3260454827	1.796002297	-0.326081875	1.795649264	-0.02460138547	-0.4270537494	5.411101449e-06	5.016092648e-06	0.4649788387	-0.46125544	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.0001221230014	-0.0005232736345	-1.163119447	0.6502843972	-1.729847932	2.077174636	-0.1006868947	1.172651085	0.1007160585	-1.172817838	-1.729824873	2.077299571	2.182685514	-3.517094071	-6.641603523e-06	3.56937347e-05	2025-01-28@10:53	1.9019	-0.8266809784	1	5.628653801e-18	-0.3699193553	0.2229	-3.462039555e-16	0.1450020908	v2.7.1	
