model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	7.3246337	9.5	3.3038	-0.21958332	-2.9955555	-3.0943012	0.031988288	-3.094404	0.031940312	0.037104605	-2.843905	9.68	-0.19565904	1.0176052	-1.5015462	0.15806106	1.5015683	0.15805162	-0.19703194	-2.0149512	1.9469	1	0.292	1.2208801	1.6599002	-0.68429559	-0.29337915	0.11518851	0.32252604	0.17898221	1.9257981	1.6253093	0.10911211	1.6253162	0.10912229	0.0036842074	1.213962	1.3021784	1.6635094	-0.60199372	2.0220607	-0.90151451	-2.0220525	-0.90154542	0.21467368	3.4401552	0.053346517	0.15645731	0.072020078	0.34162436	0.10876453	0.3416174	0.10877438	0.003684249	0.47229368	0.059941364	5.4209786	1.5836214	3.3565454	5.1355002	3.3565238	5.1354916	4.0417737	1.3990719	-71.745924	R0:N12:S0:1	-51.0096	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 2.26e+02	 1.00e-02	2022-07-04@15:50
2x2_2C_8b_C2v_L	7.3542377	9.5	3.3038	-0.22628907	-3.0177608	-3.1007425	0.032687957	-3.1014817	0.032678299	0.0372021	-2.8505095	9.69	-0.19744362	1.0196318	-1.5019763	0.15787498	1.502126	0.15788882	-0.19681438	-2.0148011	1.9469	1	0.292	1.2216078	1.6613192	-0.68125392	-0.29165265	0.11455646	0.32278663	0.18062191	1.9257376	1.6263068	0.10649919	1.6264433	0.10659685	0.0036484927	1.2139968	1.3025373	1.6725921	-0.60323074	2.0183594	-0.89330616	-2.0179208	-0.89380696	0.21405036	3.4403181	0.053369368	0.15768905	0.072058278	0.34122492	0.10617028	0.34112057	0.10626073	0.0036483874	0.47229481	0.059929803	5.4062386	1.5851064	3.3624717	5.1381072	3.3623177	5.1382324	4.0419942	1.3984735	-71.877145	R0:N12:S0:1	-51.0896	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.25e+02	 4.84e-03	2022-07-04@15:52
2x2_2C_8b_C2v_L	7.399262	9.5	3.3038	-0.23325219	-3.0259409	-3.1043026	0.030017665	-3.1050783	0.029998818	0.036711815	-2.8537698	9.7	-0.19717434	1.0201563	-1.5017711	0.15674569	1.5019331	0.15674865	-0.19566664	-2.0145379	1.9469	1	0.292	1.2227278	1.6633528	-0.67676626	-0.28879071	0.11356038	0.32323698	0.18083219	1.9256897	1.627003	0.10463186	1.6271048	0.10469999	0.0035945812	1.2139387	1.3031263	1.6735888	-0.60330231	2.0155727	-0.88651477	-2.0152868	-0.88685846	0.2126715	3.4405687	0.053404448	0.15783669	0.072096171	0.34094164	0.10431417	0.34086116	0.1043774	0.0035944196	0.4723379	0.059913541	5.4048688	1.5841001	3.3662983	5.1410514	3.3661932	5.1410851	4.0430654	1.3975954	-71.958329	R0:N12:S0:1	-51.1696	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.24e+02	 2.13e-03	2022-07-04@15:53
2x2_2C_8b_C2v_L	7.4156616	9.5	3.3038	-0.23590912	-3.0375237	-3.1134481	0.030104488	-3.1124289	0.030128715	0.036586355	-2.8625937	9.71	-0.19786083	1.0211648	-1.502703	0.15602646	1.5025095	0.15604563	-0.19493619	-2.0151199	1.9469	1	0.292	1.2231596	1.6640805	-0.67519492	-0.28771181	0.11322356	0.3235605	0.18018084	1.9259882	1.628625	0.10188153	1.6284891	0.10181974	0.0035517277	1.2149302	1.3036334	1.6723149	-0.6021575	2.0105767	-0.87734024	-2.0109763	-0.87699589	0.21153167	3.4396283	0.053426242	0.15736053	0.071821807	0.34003267	0.10157323	0.34013728	0.10151751	0.0035515497	0.47222582	0.059861038	5.407994	1.5826963	3.3721478	5.1434511	3.3722239	5.143373	4.0424321	1.3993876	-72.076182	R0:N12:S0:1	-51.2496	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.24e+02	 4.86e-03	2022-07-04@15:55
2x2_2C_8b_C2v_L	7.4363093	9.5	3.3038	-0.24260877	-3.0455836	-3.1163517	0.028498888	-3.1157927	0.028512559	0.036253405	-2.8658757	9.72	-0.19774829	1.0217141	-1.5024307	0.15540547	1.502322	0.1553972	-0.19440739	-2.0146303	1.9469	1	0.292	1.2236796	1.6650932	-0.67312608	-0.28647051	0.11286532	0.32400267	0.18048179	1.925913	1.6291078	0.10025483	1.6289963	0.10018113	0.0035218005	1.2147733	1.3041925	1.6737358	-0.60239004	2.0083751	-0.8715508	-2.0087466	-0.87115705	0.21084356	3.4399186	0.053461568	0.15757923	0.071885426	0.3398949	0.099956672	0.33997963	0.099888238	0.0035215649	0.47228529	0.059854286	5.4059637	1.581911	3.3754503	5.1460624	3.3755705	5.1459327	4.0435694	1.3984445	-72.155905	R0:N12:S0:1	-51.3296	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.23e+02	 4.87e-03	2022-07-04@15:56
2x2_2C_8b_C2v_L	7.4494651	9.5	3.3038	-0.24431555	-3.0534537	-3.1229622	0.027738739	-3.1226437	0.027761481	0.035773665	-2.8734583	9.73	-0.19756547	1.022371	-1.5027052	0.15466886	1.5026348	0.15466767	-0.19364122	-2.0148526	1.9469	1	0.292	1.2240385	1.6656543	-0.67191241	-0.28555278	0.11258783	0.3243942	0.17873007	1.9263772	1.6303507	0.09788877	1.6303172	0.097861994	0.0034850162	1.2158453	1.3047859	1.6673066	-0.60008062	2.0046502	-0.86311227	-2.0047316	-0.86298409	0.2097905	3.4387463	0.053487587	0.15627371	0.071467079	0.33920201	0.097603847	0.33923003	0.097578459	0.0034847979	0.47218182	0.05979809	5.4179925	1.579007	3.3801025	5.1479838	3.3801496	5.1479904	4.0432729	1.4007398	-72.255455	R0:N12:S0:1	-51.4096	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.23e+02	 4.28e-03	2022-07-04@15:58
2x2_2C_8b_C2v_L	7.4654356	9.5	3.3038	-0.24992435	-3.0657824	-3.1284846	0.027211374	-3.1288497	0.027196579	0.035592895	-2.8794319	9.74	-0.19796044	1.0235605	-1.5030274	0.15402489	1.5031077	0.15404662	-0.19302866	-2.0149371	1.9469	1	0.292	1.2244469	1.6664244	-0.67033463	-0.28456988	0.11231206	0.32475319	0.1789421	1.9264126	1.6311887	0.095729767	1.631271	0.095800149	0.0034483241	1.2161046	1.3052757	1.6690509	-0.60009792	2.0016294	-0.85532336	-2.0013527	-0.8556886	0.20888518	3.4385998	0.053515163	0.15643237	0.071429332	0.33883558	0.09545851	0.33877175	0.095525199	0.0034480574	0.47217282	0.059775904	5.4155599	1.5784968	3.384633	5.1504152	3.3845017	5.1505174	4.0436606	1.4007816	-72.360946	R0:N12:S0:1	-51.4896	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.22e+02	 2.86e-03	2022-07-04@15:59
2x2_2C_8b_C2v_L	7.4771326	9.5	3.3038	-0.25193374	-3.068723	-3.1334443	0.02563559	-3.1328365	0.025625794	0.034675805	-2.8849843	9.75	-0.19709121	1.0236284	-1.5029458	0.15338525	1.5027871	0.15336686	-0.19242282	-2.0146886	1.9469	1	0.292	1.2247697	1.6669311	-0.6692685	-0.28374333	0.11207425	0.32522032	0.17682121	1.9268482	1.6320989	0.094038719	1.6320954	0.094016806	0.0034240065	1.2169193	1.3059344	1.6602609	-0.59753685	1.9988272	-0.84908164	-1.9987182	-0.84900609	0.20814896	3.4376356	0.053547318	0.15484059	0.071040552	0.33832406	0.093773773	0.33833614	0.093751592	0.0034237695	0.47211881	0.059730887	5.431514	1.5748476	3.387667	5.1521947	3.3877095	5.1523896	4.04397	1.4026105	-72.436532	R0:N12:S0:1	-51.5696	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.22e+02	 1.18e-03	2022-07-04@16:01
2x2_2C_8b_C2v_L	7.491505	9.5	3.3038	-0.25626073	-3.0813409	-3.1419641	0.02600574	-3.143254	0.026043428	0.034808604	-2.8936614	9.76	-0.19776613	1.024889	-1.5038224	0.1526229	1.5041466	0.1526513	-0.19156135	-2.0153497	1.9469	1	0.292	1.2251452	1.6675769	-0.66788921	-0.28279737	0.1117961	0.32549531	0.17670164	1.9269869	1.6335183	0.091339234	1.6335324	0.091372132	0.0033768432	1.2177001	1.3063681	1.6609101	-0.59717907	1.9942455	-0.83923235	-1.9944382	-0.83934723	0.20686566	3.4369222	0.053565645	0.15475708	0.070909833	0.33756177	0.09108656	0.33753342	0.091119763	0.003376582	0.47202653	0.059685053	5.4309526	1.5742577	3.393441	5.1547257	3.3933869	5.1543417	4.0435748	1.4039001	-72.562451	R0:N12:S0:1	-51.6496	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.22e+02	 1.50e-03	2022-07-04@16:02
2x2_2C_8b_C2v_L	7.5020403	9.5	3.3038	-0.25856803	-3.0819556	-3.144971	0.023658944	-3.1449636	0.023650293	0.033276752	-2.8972931	9.77	-0.19641626	1.0247581	-1.5034143	0.15206627	1.5033889	0.15205382	-0.19106176	-2.0146752	1.9469	1	0.292	1.2254361	1.6680536	-0.66692682	-0.28206265	0.1115982	0.32602641	0.1743868	1.9273994	1.633951	0.090185773	1.6339995	0.090197306	0.0033612397	1.2182219	1.3070743	1.6507482	-0.59449242	1.9928553	-0.8346386	-1.9926358	-0.83473488	0.20637	3.4362179	0.053603572	0.15300762	0.070544239	0.3373491	0.089939509	0.33731706	0.089949076	0.0033610107	0.47202513	0.059653755	5.4491881	1.5701438	3.3951465	5.1561937	3.3951338	5.1563513	4.0444963	1.4051563	-72.620849	R0:N12:S0:1	-51.7296	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.22e+02	 3.77e-03	2022-07-04@16:03
