model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	7.5869473	11.5	3.3038	-0.043454704	-2.7311036	-3.3388179	0.13957769	-3.3394079	0.13922545	0.17217966	-3.0438672	9.63	0.13997195	1.00233	-1.5850321	-0.19068552	1.5851531	0.19068689	-0.2567857	-2.1228319	1.9469	1	0.292	1.2326581	1.6202733	-0.67873007	-0.25144922	0.1006694	0.21390381	0.1343068	1.9328175	1.7115092	0.16972989	1.7117015	0.17023505	0.0085460027	1.4041861	1.189242	-1.32707	-0.66469049	1.8740684	1.022913	-1.8732248	-1.0246695	0.26975234	3.0121462	0.041671137	0.12076993	0.06580156	0.26042908	0.16662173	0.26026728	0.16706405	0.0086186136	0.41794633	0.048973271	5.3797504	2.1338899	3.3656714	4.7967	3.3647921	4.7972596	3.8109487	2.3423867	-70.556159	R0:N12:S0:1	-50.6096	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	177.0	0.00138	2022-07-06@10:48
2x2_2C_8b_C2v_L	6.0583672	11.5	3.3038	0.02950083	-2.1747383	-2.9940673	0.25286596	-2.9927736	0.2516229	0.28839666	-2.5022621	8.76	0.14565488	0.96264023	-1.5938742	-0.27247183	1.5935029	0.27215583	-0.36786755	-2.1263453	1.9469	1	0.292	1.1875987	1.5540732	-0.82092259	-0.34482385	0.13337405	0.18748227	0.33033709	1.8769117	1.5714501	0.43331257	1.5730665	0.44250844	0.017942382	1.2292618	1.1313024	-1.8497306	-0.88648342	2.3289863	1.3632539	-2.3219687	-1.3818033	0.39095858	3.2947019	0.037900984	0.24810268	0.11458054	0.34674259	0.42420201	0.34568419	0.42972279	0.01805855	0.45263004	0.055046303	4.7197762	2.2514833	3.0544416	4.6786908	3.0493627	4.6758759	3.8100463	1.8128997	-63.783372	R0:N12:S0:1	-43.6496	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	250.0	1000000.0	2022-07-06@12:54
2x2_2C_8b_C2v_L	6.039228	11.5	3.3038	0.029867799	-2.1705851	-2.986573	0.25309558	-2.9884463	0.25279915	0.28870865	-2.4945076	8.75	0.14590104	0.96249337	-1.5930773	-0.27294105	1.593765	0.27247945	-0.36845092	-2.1259116	1.9469	1	0.292	1.1870101	1.5531743	-0.82271901	-0.34587663	0.13376869	0.18717305	0.33442111	1.8757823	1.5716583	0.44740754	1.5688725	0.43460864	0.017971581	1.2269729	1.1305763	-1.8577835	-0.89108594	2.3253957	1.388091	-2.3374875	-1.3595091	0.39165512	3.2981946	0.037854257	0.25016645	0.11551515	0.34643258	0.43358311	0.3481507	0.42644254	0.018085155	0.45286257	0.055122124	4.7096	2.2528403	3.0443777	4.6728587	3.0502759	4.6771191	3.8103811	1.8060722	-63.700468	R0:N12:S0:1	-43.5696	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	251.0	0.00122	2022-07-06@12:56
2x2_2C_8b_C2v_L	6.0210525	11.5	3.3038	0.03017327	-2.1641192	-2.9826304	0.25514932	-2.9857331	0.2545002	0.28975414	-2.4879256	8.74	0.1461154	0.96193603	-1.5933025	-0.27403368	1.5944875	0.27319271	-0.36955249	-2.12583	1.9469	1	0.292	1.1864515	1.5523056	-0.82443415	-0.34685695	0.13413278	0.18688509	0.33878852	1.8744753	1.5712382	0.45415644	1.5664142	0.43223842	0.01805025	1.225052	1.1298966	-1.8662362	-0.89615363	2.3255065	1.3998019	-2.3463544	-1.3508177	0.39282547	3.3011701	0.037810421	0.25234875	0.11659631	0.34659239	0.43818696	0.34954932	0.4260474	0.018162974	0.45305346	0.055193226	4.6982579	2.2540695	3.039278	4.6686204	3.0490789	4.6759875	3.8104222	1.8002623	-63.6276	R0:N12:S0:1	-43.4896	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	252.0	1000000.0	2022-07-06@12:57
2x2_2C_8b_C2v_L	6.002149	11.5	3.3038	0.030579065	-2.1625267	-2.9797439	0.2563989	-2.9783734	0.25530882	0.29066293	-2.4808745	8.73	0.14640198	0.96216533	-1.5939453	-0.27447169	1.593871	0.27355614	-0.36999629	-2.1259134	1.9469	1	0.292	1.1858684	1.5514136	-0.82620811	-0.34788928	0.13451381	0.1865868	0.34276454	1.8734873	1.5688343	0.45388978	1.5650438	0.4383523	0.018033622	1.2228607	1.1291834	-1.8743555	-0.90036397	2.3339427	1.3941198	-2.3493331	-1.3588784	0.39320773	3.3046614	0.037765097	0.2542955	0.11740523	0.34794197	0.43931427	0.35023518	0.43085769	0.018142341	0.45326695	0.055269265	4.6882119	2.2551627	3.0368007	4.6677687	3.0430149	4.6732938	3.8105717	1.7934007	-63.556021	R0:N12:S0:1	-43.4096	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	252.0	1000000.0	2022-07-06@12:58
2x2_2C_8b_C2v_L	5.9831226	11.5	3.3038	0.031035475	-2.1562995	-2.9723921	0.25621751	-2.9726028	0.25683917	0.29256518	-2.4754852	8.72	0.14670449	0.96197244	-1.5934372	-0.27435111	1.5933943	0.27475128	-0.37177487	-2.126274	1.9469	1	0.292	1.1852789	1.5505331	-0.82798489	-0.34894183	0.13491554	0.18628336	0.3474232	1.8720364	1.5643908	0.44676559	1.5655239	0.45110578	0.018161675	1.2207953	1.1284493	-1.8830169	-0.90609649	2.3496779	1.3725944	-2.3450253	-1.3828649	0.39493232	3.3079653	0.037718927	0.25659023	0.11860747	0.35049573	0.43680306	0.34982575	0.43906793	0.018268864	0.45346485	0.055349616	4.6767874	2.2567109	3.0363392	4.6692807	3.0348039	4.6676808	3.8103594	1.7868793	-63.472731	R0:N12:S0:1	-43.3296	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	253.0	1000000.0	2022-07-06@12:59
2x2_2C_8b_C2v_L	5.9642852	11.5	3.3038	0.030990234	-2.151382	-2.9678598	0.25788247	-2.9667429	0.25822419	0.29322048	-2.4692061	8.71	0.14674555	0.96148722	-1.5937799	-0.27484247	1.5930719	0.27575101	-0.37269669	-2.1264376	1.9469	1	0.292	1.1847009	1.5496243	-0.82977139	-0.34994163	0.1352869	0.1859972	0.35159284	1.870831	1.5599696	0.43663427	1.5664863	0.46638797	0.018216785	1.2188351	1.1277615	-1.8907409	-0.91079126	2.3660892	1.3468161	-2.339	-1.4113129	0.39586742	3.311118	0.037675277	0.25857217	0.11959491	0.35305912	0.43206064	0.34909546	0.44849006	0.018322939	0.45364892	0.055422812	4.666863	2.2576929	3.0377909	4.670321	3.0252416	4.6598885	3.8102917	1.7807051	-63.395781	R0:N12:S0:1	-43.2496	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	254.0	1000000.0	2022-07-06@13:01
2x2_2C_8b_C2v_L	5.9464598	11.5	3.3038	0.03160274	-2.1451781	-2.9672927	0.25912008	-2.9630493	0.26033553	0.29435619	-2.4623387	8.7	0.14708206	0.96106603	-1.5950424	-0.27530452	1.5933043	0.27657532	-0.37342884	-2.126322	1.9469	1	0.292	1.1841469	1.5487702	-0.83143978	-0.35090891	0.13564296	0.18570164	0.35602446	1.8695143	1.5584014	0.43801719	1.5653528	0.46924481	0.018251372	1.2169002	1.1270734	-1.8990153	-0.91592564	2.3716934	1.3457658	-2.3420633	-1.4147885	0.39664797	3.3140801	0.037629906	0.26070095	0.12067738	0.35387483	0.43393874	0.34970613	0.45080601	0.018355677	0.45382129	0.055491651	4.6558526	2.2589057	3.0347485	4.6683625	3.0222182	4.6574728	3.8104588	1.7748914	-63.327765	R0:N12:S0:1	-43.1696	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	255.0	1000000.0	2022-07-06@13:02
2x2_2C_8b_C2v_L	5.927246	11.5	3.3038	0.031799662	-2.1426814	-2.9578658	0.26064759	-2.9598869	0.26157043	0.29608865	-2.4553544	8.69	0.14732882	0.96129058	-1.5937418	-0.27633493	1.5941753	0.2770313	-0.37466949	-2.1263543	1.9469	1	0.292	1.1835545	1.547857	-0.83325384	-0.35193744	0.13602982	0.18541486	0.36077373	1.8682222	1.5588177	0.45187488	1.5610916	0.46073561	0.018301579	1.214729	1.1263634	-1.9080925	-0.92130859	2.3668737	1.3715083	-2.3580369	-1.3915614	0.39783447	3.3174394	0.03758624	0.26290268	0.12173058	0.35350459	0.442925	0.35216105	0.44761416	0.018401916	0.4540236	0.05557262	4.6441834	2.2601008	3.0259626	4.6633361	3.0229383	4.6599034	3.8105742	1.7682847	-63.250828	R0:N12:S0:1	-43.0896	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	256.0	1000000.0	2022-07-06@13:03
2x2_2C_8b_C2v_L	5.908987	11.5	3.3038	0.032022955	-2.1373793	-2.95296	0.262811	-2.9549647	0.26161435	0.29637596	-2.4494593	8.68	0.14753707	0.96084356	-1.5934083	-0.27772541	1.5942844	0.27665165	-0.37553901	-2.1264585	1.9469	1	0.292	1.1829882	1.5469767	-0.83497195	-0.352916	0.13640052	0.18511058	0.365079	1.8669511	1.5607313	0.46935279	1.5559029	0.44808725	0.018362413	1.212875	1.1256646	-1.9158056	-0.92631	2.3572012	1.4060539	-2.3774534	-1.3590633	0.39875901	3.3203806	0.037539552	0.26489943	0.12277028	0.35226105	0.4532343	0.35511916	0.44191558	0.018461548	0.45417743	0.055639974	4.6341458	2.2613484	3.0167514	4.6551904	3.0247137	4.6629234	3.810471	1.7625392	-63.17386	R0:N12:S0:1	-43.0096	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	257.0	1000000.0	2022-07-06@13:04
