model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	6	6.5	1.5	0.092118366	-2.1957601	-2.7381035	0.24894057	-2.7380656	0.24893754	0.29628042	-2.7779187	9.87	-0.004192142	0.024074722	-0.025964787	0.0093093301	0.025964517	-0.009309375	0.01309957	-0.040230492	1e-09	1e-09	1e-09	1.3333333	2	0	0	0	0.99581985	1.1669155e-05	0.0033321975	1.9560929	5.2842929e-05	0.05707755	5.23544e-05	0.00010206896	1.9999996	1.9958197	0.019300318	-0.3260665	0.014545365	-0.041096379	-0.63214637	0.040783173	-0.057108561	1.3293171e-05	0.0010374754	1.1669075e-05	0.0033253591	0.085591904	5.284128e-05	0.098093925	5.2352785e-05	0.00010206281	5.6103712e-07	0.0010375866	7.9864721	7.9419123	0.18425915	7.997883	7.6100924	7.9476826	7.9982536	0.00043489619	-64.005241	R0:N12:S0:1	-66.96	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-06-28@10:22
2x2_2C_8b_C2v_L	6.8016889	7.0555556	1.7004222	0.092109596	-2.195499	-2.7378719	0.24941355	-2.737834	0.24941054	0.2986462	-2.7791151	9.87	0.00048507598	0.082252068	-0.12714468	0.0037194718	0.12714375	-0.003719407	0.00092909541	-0.1594678	0.21632222	0.11111111	0.032444445	1.3333333	1.9999998	-4.4515443e-08	-1.2272595e-09	5.6259685e-10	0.74989024	1.7873316e-07	0.098080056	1.930769	9.758565e-06	1.9306778	9.7576947e-06	3.178034e-07	1.0411834	1.7498175	-0.0022643622	-1.6160332	0.30963342	-0.016705458	-0.30996902	0.016704373	-0.0024394582	3.3319685	0.036101888	1.7873314e-07	0.092209988	0.099431468	9.7585079e-06	0.099561942	9.7576376e-06	3.1780335e-07	0.56670365	0.036133293	7.6298437	6.5071803	1.1362068	7.637714	1.1373384	7.6374165	5.0918808	2.1931676	-62.343366	R0:N12:S0:1	-65.356622	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.66e-02	 1.60e-02	2022-06-28@10:23
2x2_2C_8b_C2v_L	7.6033775	7.6111111	1.9008444	0.092109578	-2.6660507	-3.8079934	0.2536611	-3.807992	0.25365754	0.29899134	-5.2020124	9.87	1.2987822e-05	0.18343325	-0.30818193	0.00082129864	0.30818187	-0.00082136133	-0.0003633019	-0.44733044	0.43264445	0.22222222	0.06488889	1.3333333	1.9999996	-1.9243626e-07	-1.1707318e-08	5.2236129e-09	0.14244905	0	1.7019469	1.9022233	1.1027626e-07	1.9022232	1.1029322e-07	1.1654929e-08	1.9238306	1.1424439	-1.8889586e-05	-1.9987157	1.1317665	-0.0012313307	-1.1317673	0.0012314251	0.00039580863	1.0787407	0.030027658	0	0.27001029	0.095880409	1.1027625e-07	0.095880523	1.1029321e-07	1.1654929e-08	0.074626726	0.030026887	4.6490647	3.298223	3.4072563	4.7247192	3.407257	4.7247184	4.1806002	3.8180153	-71.346243	R0:N12:S0:1	-63.753244	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 3.53e-01	 5.69e-02	2022-06-28@10:24
2x2_2C_8b_C2v_L	8.4050165	8.1666667	2.1012667	0.092109796	-4.142941	-5.6979721	0.25379291	-5.6979747	0.25379009	0.30055756	-6.2115301	9.87	-3.514184e-05	0.34865352	-0.57622427	-0.00085129142	0.57622441	0.0008516526	0.005166251	-0.75853934	0.64896667	0.33333333	0.097333334	1.3333326	1.9999535	-2.2664715e-05	-1.4443409e-06	6.5527408e-07	0.071707496	1.0183961e-10	1.9484604	1.9328742	4.885793e-08	1.9328742	4.8899465e-08	1.6086866e-06	1.8999625	1.0714568	4.0857557e-05	-0.84091488	1.0005843	0.00085917469	-1.0005837	-0.00085953981	-0.0047161145	1.2592726	0.016649368	1.0183961e-10	0.051112471	0.066018216	4.885793e-08	0.066018148	4.8899465e-08	1.608686e-06	0.096938075	0.016605365	4.5697354	3.5005266	3.7524535	4.268307	3.752453	4.2683077	4.0369579	3.8940333	-84.261173	R0:N12:S0:1	-62.149867	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.50e+00	 1.04e-01	2022-06-28@10:25
2x2_2C_8b_C2v_L	9.2065609	8.7222222	2.3016889	0.092109796	-4.1378258	-5.6868282	0.25379298	-5.6868307	0.25379017	0.30056262	-6.1931916	9.87	-7.5688961e-06	0.48011731	-0.79205468	-6.3101225e-05	0.79205468	6.3272666e-05	-0.0018435036	-1.0526048	0.86528889	0.44444444	0.12977778	1.3333308	1.9998873	-6.5897142e-05	-5.1519743e-06	2.3377386e-06	0.096692993	0	1.9460826	1.9094031	3.3578028e-10	1.9094033	3.3760818e-10	2.2031772e-07	1.8510605	1.0960125	1.0502598e-05	-0.82362824	1.1472385	7.0532767e-05	-1.147237	-7.0724497e-05	0.0016920612	1.5516674	0.02185539	0	0.053628127	0.088634534	3.3578028e-10	0.088634369	3.3760818e-10	2.2031771e-07	0.14132127	0.021753318	4.8541967	3.2624673	3.6807339	4.3618377	3.6807325	4.3618397	3.9583266	3.8556142	-84.976572	R0:N12:S0:1	-60.546489	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.52e+01	 1.62e-01	2022-06-28@10:26
2x2_2C_8b_C2v_L	8.9608794	9.2777778	2.5021111	0.027315943	-4.6280788	-5.5891852	-0.0012416848	-5.5891585	-0.001241966	-0.0015961987	-5.1758213	9.87	-0.032406672	0.6334774	-0.99155134	-0.050195805	0.99154352	0.050197322	-0.060870074	-1.2402104	1.0816111	0.55555556	0.16222222	1.312285	1.8090623	-0.24881115	-0.056480414	0.024483721	0.12517599	0.00020928064	1.9556081	1.8901853	0.00032233457	1.8901881	0.00032236434	0.00025213582	1.7680836	1.1237072	0.05960475	-0.70324746	1.2489058	0.066863497	-1.2488822	-0.066866919	0.056763479	1.9509467	0.027404701	0.00020925871	0.044365399	0.10709003	0.00032230753	0.10708747	0.0003223373	0.0002521259	0.2111846	0.027287003	5.2109839	2.9305172	3.6378634	4.4368373	3.6378353	4.43688	3.8937227	3.6598201	-84.403536	R0:N12:S0:1	-58.943111	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 5.89e+01	 1.27e-03	2022-06-28@10:28
2x2_2C_8b_C2v_L	8.4229206	9.8333333	2.7025333	0.3318794	-5.2281382	-5.833508	0.48232991	-5.8325702	0.48176281	0.53920274	-5.2764437	9.87	-0.065611348	0.82068381	-1.2419827	-0.1127451	1.2418623	0.11268788	-0.14637407	-1.5595443	1.2979333	0.66666667	0.19466667	1.2878553	1.6666877	-0.46948442	-0.1088129	0.046591328	0.14160007	0.0010284058	1.9592674	1.8768713	0.001692035	1.8768626	0.0016906464	0.0011675969	1.7260935	1.1388316	0.13470654	-0.64448628	1.3120156	0.15225026	-1.3120491	-0.15218792	0.12198616	2.1394451	0.030352209	0.0010278397	0.040809943	0.11984493	0.0016913828	0.11985329	0.0016899953	0.0011674694	0.24343224	0.030338365	5.4373022	2.7137213	3.6169823	4.4843487	3.616946	4.4844097	3.810521	3.5405368	-87.820874	R0:N12:S0:1	-57.339733	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 4.45e+02	 5.24e-03	2022-06-28@10:29
2x2_2C_8b_C2v_L	8.555443	10.388889	2.9029556	0.55012311	-5.02015	-5.2256355	0.89700308	-5.2253825	0.89639782	0.99280888	-4.5851013	9.87	-0.065152898	0.97231703	-1.4138077	-0.11664726	1.4137656	0.11659642	-0.15333576	-1.7766534	1.5142556	0.77777778	0.22711111	1.2789292	1.6664674	-0.50916154	-0.13189067	0.056016856	0.17118824	0.0015875827	1.958684	1.8520512	0.0023861424	1.8520505	0.0023848662	0.001223335	1.6594405	1.167548	0.16799043	-0.61332766	1.4172164	0.17606343	-1.4172113	-0.1760125	0.12399417	2.3864578	0.035310407	0.0015861017	0.041533904	0.14350306	0.0023850092	0.14350388	0.0023837343	0.0012232617	0.29099371	0.035354903	5.7073126	2.468762	3.5749232	4.5806445	3.5749035	4.5806827	3.8041267	3.276481	-84.686563	R0:N12:S0:1	-55.736356	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 9.02e+01	 1.38e-03	2022-06-28@10:30
2x2_2C_8b_C2v_L	8.6604752	10.944444	3.1033778	0.73567958	-3.762937	-4.2349017	1.0301235	-4.2347745	1.0296251	1.0785226	-3.8298578	9.87	1.1865831e-05	1.0147934	-1.5100314	-0.0077746872	1.5100045	0.0071663467	-0.083389351	-1.960066	1.7305778	0.88888889	0.25955556	1.2709355	1.6657969	-0.5422069	-0.15274177	0.06447072	0.20217513	0	1.9564158	1.825513	1.9044184e-05	1.8255119	1.6186935e-05	0.00044518693	1.5985523	1.1983817	-4.0606424e-05	-0.59403952	1.5137796	0.014898407	-1.5137795	-0.013734896	0.071564147	2.5910119	0.039969748	0	0.044026185	0.1688297	1.9044124e-05	0.16883084	1.6186892e-05	0.00044521446	0.32992846	0.039867096	5.9710584	2.2479394	3.5374905	4.6943122	3.5374873	4.6943272	3.8144595	3.0036532	-77.665642	R0:N12:S0:1	-54.132978	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 5.70e+01	 9.26e-04	2022-06-28@10:32
2x2_2C_8b_C2v_L	8.117536	11.5	3.3038	-0.20985733	-3.3649518	-3.4161134	0.023115761	-3.4161103	0.023115769	0.033538654	-3.1040525	9.87	-0.18983146	1.0570923	-1.5687949	-0.15360199	1.5687945	0.15360235	0.19212568	-2.0860835	1.9469	1	0.292	1.2452586	1.6509348	-0.61957556	-0.22884853	0.091986422	0.21740371	0.20186634	1.9294608	1.7290775	0.1123178	1.7290777	0.11231847	0.0039028943	1.4001223	1.1954641	1.649501	-0.7094724	1.7980461	0.85719892	-1.7980448	-0.85720192	-0.1954778	3.0206591	0.042189969	0.1713773	0.068376313	0.25013645	0.11103112	0.2501363	0.11103176	0.0039143049	0.41905332	0.0487235	4.9537473	2.1835609	3.4355374	4.8310108	3.4355357	4.8310125	3.8215857	2.3245838	-73.192303	R0:N12:S0:1	-52.5296	uncorrelated	b7fd39a	v1.0.3	6	sharp_wc_2.0_b_50	 1.43e+02	 1.16e-02	2022-06-28@10:36
