model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	20.358725	12	7	-2.3591805e-05	-1.9003997	-2.1930277	0.21482512	-2.1930285	0.21482494	0.26890983	-1.4545922	11.6	0.12300333	-0.77625113	1.2251216	-0.23872504	-1.2251219	0.2387253	0.39666818	-1.5907783	1.5	1	1e-09	1.1850519	1.6161792	-0.75749062	-0.37288551	0.14946606	0.32617506	0.11320065	1.934601	1.5938977	0.19112854	1.5938988	0.19113009	0.022463652	1.1077913	1.3129721	-1.2394672	0.55228998	-2.097801	1.1229115	2.097797	-1.122917	-0.55693523	3.3318236	0.054000179	0.10362535	0.064666664	0.35691575	0.18808268	0.35691498	0.18808399	0.022251642	0.4887234	0.058575999	5.9010486	1.6454384	3.2057953	5.0140854	3.2057935	5.0140858	4.3864011	1.63956	-69.234711	R0:N12:S0:1	-36.8	uncorrelated	b7fd39a	v1.0.3	6	sharp_wc_2.0_b_50	 1.38e+02	 5.52e-03	2022-06-17@11:10
2x2_2C_8b_C2v_L	18.970389	12	6.5893111	-0.00036966852	-1.9715034	-2.2922326	0.22023147	-2.2922353	0.22023008	0.27518119	-1.5791972	11.311111	0.12554102	-0.80225445	1.2704778	-0.2367155	-1.2704782	0.23671495	0.38206559	-1.657916	1.5496556	1	0.032444445	1.1904917	1.6117154	-0.75364877	-0.3577975	0.14290955	0.30188374	0.12605402	1.9312608	1.6108768	0.20051896	1.610877	0.20051925	0.019455879	1.1532629	1.2867936	-1.288146	0.58948016	-2.0773432	1.1241035	2.0773432	-1.1241036	-0.50646124	3.2907657	0.051928689	0.11407163	0.067638456	0.34155669	0.19703721	0.3415565	0.19703748	0.019326049	0.48287036	0.057045959	5.7411702	1.7634895	3.2104612	4.9654484	3.2104607	4.9654484	4.299423	1.7319396	-68.744509	R0:N12:S0:1	-37.7744	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.41e+02	 1.64e-02	2022-06-17@11:12
2x2_2C_8b_C2v_L	17.539224	12	6.1786222	0.0013316497	-2.0341478	-2.3943167	0.21812063	-2.3943128	0.21812239	0.27198169	-1.7081423	11.022222	0.12798891	-0.82686909	1.3143742	-0.23619516	-1.3143741	0.23619551	0.37090283	-1.7217853	1.5993111	1	0.06488889	1.1948854	1.6078325	-0.75002295	-0.34574601	0.13759985	0.27995089	0.13824867	1.928211	1.622869	0.21470898	1.6228653	0.21470336	0.017555516	1.1905371	1.2625753	-1.3293828	0.62260411	-2.0650149	1.1362089	2.0650293	-1.1361901	-0.46886389	3.2503577	0.049791505	0.12374817	0.070350739	0.32994619	0.2105621	0.32994882	0.2105576	0.017483439	0.47611074	0.055581843	5.6024268	1.8704928	3.2114582	4.9210115	3.2114643	4.9210081	4.2204102	1.8254592	-68.276891	R0:N12:S0:1	-38.7488	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.43e+02	 1.38e-02	2022-06-17@11:14
2x2_2C_8b_C2v_L	16.064353	12	5.7679333	0.0040416694	-2.0899964	-2.4988695	0.21348294	-2.4988706	0.21348322	0.26520964	-1.8410655	10.733333	0.13000965	-0.8506727	1.3574332	-0.23711709	-1.3574334	0.23711697	0.36266056	-1.7839088	1.6489667	1	0.097333334	1.1982405	1.6035321	-0.7479583	-0.33620653	0.13333571	0.26025282	0.1498923	1.9253559	1.6308654	0.23261848	1.6308649	0.23261707	0.01645074	1.2207576	1.2401444	-1.3650127	0.65189527	-2.0601382	1.1557969	2.0601408	-1.1557925	-0.4408543	3.2139561	0.047651887	0.13277977	0.072886404	0.32147296	0.22759382	0.32147336	0.22759269	0.016425	0.46916093	0.054252948	5.4832418	1.9657404	3.2107072	4.8814473	3.2107089	4.8814467	4.1481726	1.9116691	-67.835651	R0:N12:S0:1	-39.7232	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.47e+02	 1.19e-02	2022-06-17@11:15
2x2_2C_8b_C2v_L	14.553514	12	5.3572444	0.0070643125	-2.142783	-2.6064763	0.20983109	-2.6064782	0.20983107	0.25878378	-1.9763409	10.444444	0.13181605	-0.87400095	1.4002194	-0.23919909	-1.4002207	0.23919881	0.35653787	-1.8446107	1.6986222	1	0.12977778	1.2007436	1.5988933	-0.74745786	-0.32871656	0.12991018	0.24258655	0.16190102	1.9225618	1.6359257	0.25294241	1.6359225	0.25293559	0.015891031	1.2448706	1.2192623	-1.4002596	0.67822028	-2.0613201	1.1795288	2.0613346	-1.1795066	-0.41968068	3.1836277	0.045553464	0.14188606	0.075354033	0.31542491	0.24687553	0.31542718	0.24687047	0.015906082	0.46247819	0.053104125	5.3766974	2.0496572	3.210077	4.8467336	3.2100842	4.8467306	4.0814216	1.9857135	-67.426861	R0:N12:S0:1	-40.6976	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.53e+02	 1.04e-02	2022-06-17@11:17
2x2_2C_8b_C2v_L	13.012581	12	4.9465556	0.010075226	-2.192313	-2.7116493	0.2070204	-2.7116569	0.20701898	0.25342525	-2.1127263	10.155556	0.13353174	-0.89662758	1.4415488	-0.24166892	-1.4415506	0.24166879	0.3518271	-1.9039002	1.7482778	1	0.16222222	1.2025194	1.594205	-0.74835699	-0.32310776	0.12724501	0.22672114	0.17529641	1.9195803	1.6378396	0.27601651	1.6378412	0.2760208	0.015721592	1.2632288	1.1996137	-1.4390658	0.70293157	-2.0699111	1.2061258	2.069906	-1.2061367	-0.4034174	3.1612635	0.043524695	0.15179722	0.077973867	0.31185923	0.26876647	0.311858	0.2687698	0.01577409	0.45639917	0.052181964	5.2773554	2.1234315	3.2082106	4.816545	3.2082062	4.8165453	4.0187999	2.0437813	-67.021828	R0:N12:S0:1	-41.672	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.61e+02	 8.96e-03	2022-06-17@11:20
2x2_2C_8b_C2v_L	11.446567	12	4.5358667	0.013046069	-2.2333585	-2.8166781	0.20640666	-2.8166802	0.20640567	0.24954285	-2.2491636	9.8666667	0.13511976	-0.91766104	1.4821333	-0.24464468	-1.4821339	0.24464397	0.34793945	-1.9616959	1.7979333	1	0.19466667	1.203693	1.5894066	-0.75064749	-0.31902562	0.12519586	0.21241354	0.19081669	1.9161289	1.6373366	0.30116431	1.6373347	0.30115876	0.01582522	1.2766612	1.1808934	-1.4831126	0.72718074	-2.0850573	1.2340688	2.0850661	-1.2340521	-0.39050124	3.1475028	0.041576892	0.16295602	0.080994181	0.31022034	0.29265793	0.31022161	0.29265413	0.01591306	0.45106985	0.051503731	5.1824127	2.1876813	3.2057928	4.7894181	3.2057981	4.7894175	3.958853	2.0845579	-66.616345	R0:N12:S0:1	-42.6464	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.71e+02	 7.61e-03	2022-06-17@11:22
2x2_2C_8b_C2v_L	9.8541091	12	4.1251778	0.015828968	-2.2706758	-2.9185144	0.20753277	-2.9185285	0.20753331	0.24781109	-2.3851509	9.5777778	0.13660589	-0.93781256	1.5213557	-0.24767201	-1.5213593	0.24767249	0.34473639	-2.0181462	1.8475889	1	0.22711111	1.2042351	1.5840504	-0.75490885	-0.31631312	0.12369922	0.19943607	0.20916924	1.9120939	1.6342875	0.32866306	1.6342886	0.32866459	0.016099246	1.2856262	1.1627769	-1.5340935	0.75198922	-2.1077105	1.2623303	2.1077089	-1.262334	-0.37986277	3.1429546	0.03971372	0.17568875	0.084505887	0.31049722	0.31888692	0.31049643	0.3188881	0.016218772	0.44658402	0.051089657	5.0893488	2.2434487	3.2016242	4.7643226	3.2016237	4.7643215	3.9002197	2.1068918	-66.205328	R0:N12:S0:1	-43.6208	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.84e+02	 6.58e-03	2022-06-17@11:25
2x2_2C_8b_C2v_L	8.2368054	12	3.7144889	0.018346738	-2.303505	-3.0197597	0.21110826	-3.0197637	0.21110705	0.24822936	-2.521708	9.2888889	0.13801517	-0.95690281	1.559935	-0.25103938	-1.5599326	0.2510421	0.34219989	-2.0738018	1.8972444	1	0.25955556	1.204189	1.5779983	-0.76134481	-0.31472869	0.1226755	0.18759622	0.23110624	1.9072523	1.6293055	0.35768384	1.6293286	0.35777748	0.016469613	1.2910908	1.1449964	-1.5931035	0.77843974	-2.1369374	1.2897105	2.1368347	-1.2899464	-0.37066764	3.1472557	0.037933372	0.19024833	0.088692374	0.31221571	0.34675951	0.31219953	0.34681965	0.016616689	0.44288006	0.050943142	4.9961749	2.2911804	3.1963094	4.7394229	3.1962335	4.7394212	3.8413437	2.1113661	-65.8012	R0:N12:S0:1	-44.5952	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 2.01e+02	 5.55e-03	2022-06-17@11:27
2x2_2C_8b_C2v_L	6.5959694	12	3.3038	0.02075344	-2.33138	-3.1211252	0.21677696	-3.1211104	0.21677872	0.25110006	-2.6583037	9	0.13940825	-0.9749097	1.5981091	-0.25453408	-1.5981049	0.25453664	0.34029227	-2.1286429	1.9469	1	0.292	1.2035868	1.5711423	-0.77010372	-0.3140918	0.1220999	0.1767197	0.25760771	1.9013092	1.6226309	0.3880826	1.6226416	0.38813683	0.016860776	1.2936004	1.1272825	-1.6611362	0.80805271	-2.1725537	1.3156054	2.1725016	-1.3157372	-0.36223839	3.1600809	0.036230319	0.20688523	0.093793544	0.31512832	0.37618932	0.31512093	0.37622215	0.017029882	0.43991436	0.051068689	4.9010358	2.3316557	3.1891788	4.713449	3.1891379	4.713444	3.7813469	2.0984521	-65.40505	R0:N12:S0:1	-45.5696	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 2.21e+02	 4.79e-03	2022-06-17@11:30
