w	up_1	up_2	up_3	cumul_up_1	cumul_up_2	cumul_up_3	
-30	7.47123e-05	8.14386e-05	8.14386e-05	0	0	0
-29.975	7.4912e-05	8.16519e-05	8.16518e-05	1.8728e-06	2.0413e-06	2.0413e-06
-29.95	7.51149e-05	8.1866e-05	8.18659e-05	3.75067e-06	4.08795e-06	4.08794e-06
-29.925	7.53231e-05	8.20811e-05	8.2081e-05	5.63375e-06	6.13997e-06	6.13997e-06
-29.9	7.55363e-05	8.22971e-05	8.2297e-05	7.52216e-06	8.1974e-06	8.1974e-06
-29.875	7.57537e-05	8.2514e-05	8.2514e-05	9.416e-06	1.02603e-05	1.02602e-05
-29.85	7.59747e-05	8.27319e-05	8.27318e-05	1.13154e-05	1.23285e-05	1.23285e-05
-29.825	7.61987e-05	8.29506e-05	8.29506e-05	1.32203e-05	1.44023e-05	1.44023e-05
-29.8	7.64253e-05	8.31703e-05	8.31703e-05	1.5131e-05	1.64816e-05	1.64816e-05
-29.775	7.66544e-05	8.33909e-05	8.33909e-05	1.70473e-05	1.85663e-05	1.85663e-05
-29.75	7.6886e-05	8.36125e-05	8.36125e-05	1.89695e-05	2.06567e-05	2.06566e-05
-29.725	7.712e-05	8.38349e-05	8.38349e-05	2.08975e-05	2.27525e-05	2.27525e-05
-29.7	7.73569e-05	8.40583e-05	8.40583e-05	2.28314e-05	2.4854e-05	2.4854e-05
-29.675	7.75969e-05	8.42827e-05	8.42827e-05	2.47713e-05	2.69611e-05	2.6961e-05
-29.65	7.78406e-05	8.45081e-05	8.45081e-05	2.67173e-05	2.90738e-05	2.90737e-05
-29.625	7.80888e-05	8.47344e-05	8.47344e-05	2.86696e-05	3.11921e-05	3.11921e-05
-29.6	7.83418e-05	8.49618e-05	8.49618e-05	3.06281e-05	3.33162e-05	3.33162e-05
-29.575	7.8599e-05	8.51901e-05	8.51901e-05	3.25931e-05	3.54459e-05	3.54459e-05
-29.55	7.88567e-05	8.54194e-05	8.54194e-05	3.45645e-05	3.75814e-05	3.75814e-05
-29.525	7.91079e-05	8.56494e-05	8.56494e-05	3.65422e-05	3.97226e-05	3.97226e-05
-29.5	7.93475e-05	8.58801e-05	8.58801e-05	3.85259e-05	4.18696e-05	4.18696e-05
-29.475	7.95783e-05	8.61116e-05	8.61116e-05	4.05153e-05	4.40224e-05	4.40224e-05
-29.45	7.98076e-05	8.63439e-05	8.63439e-05	4.25105e-05	4.6181e-05	4.6181e-05
-29.425	8.00407e-05	8.65773e-05	8.65773e-05	4.45115e-05	4.83455e-05	4.83454e-05
-29.4	8.02797e-05	8.68117e-05	8.68117e-05	4.65185e-05	5.05157e-05	5.05157e-05
-29.375	8.05245e-05	8.70471e-05	8.70471e-05	4.85316e-05	5.26919e-05	5.26919e-05
-29.35	8.07744e-05	8.72837e-05	8.72837e-05	5.0551e-05	5.4874e-05	5.4874e-05
-29.325	8.1028e-05	8.75212e-05	8.75212e-05	5.25767e-05	5.7062e-05	5.7062e-05
-29.3	8.12823e-05	8.77598e-05	8.77598e-05	5.46088e-05	5.9256e-05	5.9256e-05
-29.275	8.15341e-05	8.79993e-05	8.79993e-05	5.66471e-05	6.1456e-05	6.1456e-05
-29.25	8.1783e-05	8.82399e-05	8.82399e-05	5.86917e-05	6.3662e-05	6.3662e-05
-29.225	8.20313e-05	8.84814e-05	8.84814e-05	6.07425e-05	6.58741e-05	6.5874e-05
