w	up_1	up_2	up_3	cumul_up_1	cumul_up_2	cumul_up_3	
-25	0.000143719	0.00014655	0.000146521	0	0	0
-24.975	0.000144575	0.000147092	0.000147058	3.61438e-06	3.6773e-06	3.67645e-06
-24.95	0.000145466	0.000147639	0.000147599	7.25102e-06	7.36827e-06	7.36641e-06
-24.925	0.000146396	0.000148191	0.000148143	1.09109e-05	1.1073e-05	1.107e-05
-24.9	0.000147374	0.000148748	0.000148691	1.45953e-05	1.47917e-05	1.47873e-05
-24.875	0.000148409	0.00014931	0.000149244	1.83055e-05	1.85245e-05	1.85184e-05
-24.85	0.000149512	0.00014988	0.000149801	2.20433e-05	2.22715e-05	2.22634e-05
-24.825	0.000150704	0.000150457	0.000150362	2.58109e-05	2.60329e-05	2.60225e-05
-24.8	0.000152007	0.000151043	0.000150928	2.96111e-05	2.9809e-05	2.97957e-05
-24.775	0.000153458	0.00015164	0.0001515	3.34475e-05	3.36e-05	3.35832e-05
-24.75	0.000155105	0.00015225	0.000152078	3.73251e-05	3.74062e-05	3.73851e-05
-24.725	0.00015702	0.000152879	0.000152663	4.12506e-05	4.12282e-05	4.12017e-05
-24.7	0.000159299	0.00015353	0.000153257	4.52331e-05	4.50664e-05	4.50331e-05
-24.675	0.000162064	0.000154212	0.000153861	4.92847e-05	4.89217e-05	4.88797e-05
-24.65	0.000165439	0.00015493	0.000154477	5.34207e-05	5.2795e-05	5.27416e-05
-24.625	0.000169434	0.000155686	0.000155105	5.76565e-05	5.66871e-05	5.66192e-05
-24.6	0.000173702	0.000156459	0.000155741	6.19991e-05	6.05986e-05	6.05127e-05
-24.575	0.00017725	0.000157196	0.000156371	6.64303e-05	6.45285e-05	6.4422e-05
-24.55	0.000178802	0.000157824	0.000156978	7.09004e-05	6.84741e-05	6.83464e-05
-24.525	0.000178045	0.000158327	0.000157558	7.53515e-05	7.24323e-05	7.22854e-05
-24.5	0.000176024	0.000158762	0.000158125	7.97521e-05	7.64013e-05	7.62385e-05
-24.475	0.000173964	0.000159198	0.000158697	8.41012e-05	8.03812e-05	8.02059e-05
-24.45	0.000172467	0.000159668	0.00015928	8.84129e-05	8.43729e-05	8.41879e-05
-24.425	0.000171642	0.000160178	0.000159878	9.27039e-05	8.83774e-05	8.81849e-05
-24.4	0.000171401	0.000160723	0.00016049	9.6989e-05	9.23955e-05	9.21971e-05
-24.375	0.000171631	0.000161298	0.000161113	0.00010128	9.64279e-05	9.6225e-05
-24.35	0.000172242	0.000161896	0.000161749	0.000105586	0.000100475	0.000100269
-24.325	0.000173179	0.000162514	0.000162396	0.000109915	0.000104538	0.000104329
-24.3	0.000174417	0.000163151	0.000163055	0.000114276	0.000108617	0.000108405
-24.275	0.000175962	0.000163807	0.000163729	0.000118675	0.000112712	0.000112498
-24.25	0.000177853	0.000164482	0.000164419	0.000123121	0.000116824	0.000116609
-24.225	0.000180162	0.000165182	0.00016513	0.000127625	0.000120954	0.000120737
-24.2	0.000183002	0.000165909	0.000165867	0.0001322	0.000125101	0.000124884
-24.175	0.000186534	0.000166672	0.000166639	0.000136864	0.000129268	0.00012905
