w	up_1	up_2	up_3	cumul_up_1	cumul_up_2	cumul_up_3	
-25	0.000161673	0.000156571	0.000156572	0	0	0
-24.975	0.00016281	0.000157178	0.000157178	4.07024e-06	3.92944e-06	3.92945e-06
-24.95	0.000163984	0.000157789	0.000157789	8.16985e-06	7.87415e-06	7.87417e-06
-24.925	0.000165199	0.000158405	0.000158405	1.22998e-05	1.18343e-05	1.18343e-05
-24.9	0.000166457	0.000159026	0.000159026	1.64613e-05	1.58099e-05	1.58099e-05
-24.875	0.000167761	0.000159652	0.000159652	2.06553e-05	1.98012e-05	1.98013e-05
-24.85	0.000169115	0.000160285	0.000160285	2.48831e-05	2.38083e-05	2.38084e-05
-24.825	0.000170524	0.000160923	0.000160922	2.91463e-05	2.78314e-05	2.78314e-05
-24.8	0.000171994	0.000161567	0.000161566	3.34461e-05	3.18706e-05	3.18706e-05
-24.775	0.00017353	0.000162217	0.000162217	3.77844e-05	3.5926e-05	3.5926e-05
-24.75	0.000175142	0.000162875	0.000162874	4.21629e-05	3.99979e-05	3.99979e-05
-24.725	0.000176838	0.000163539	0.000163539	4.65839e-05	4.40863e-05	4.40863e-05
-24.7	0.000178629	0.000164212	0.000164212	5.10496e-05	4.81916e-05	4.81916e-05
-24.675	0.00018053	0.000164893	0.000164893	5.55628e-05	5.2314e-05	5.2314e-05
-24.65	0.000182557	0.000165584	0.000165583	6.01267e-05	5.64536e-05	5.64535e-05
-24.625	0.00018473	0.000166285	0.000166284	6.4745e-05	6.06107e-05	6.06106e-05
-24.6	0.000187076	0.000166997	0.000166996	6.94219e-05	6.47856e-05	6.47855e-05
-24.575	0.000189627	0.000167723	0.000167722	7.41626e-05	6.89787e-05	6.89786e-05
-24.55	0.000192426	0.000168464	0.000168463	7.89732e-05	7.31903e-05	7.31901e-05
-24.525	0.000195524	0.000169222	0.000169221	8.38613e-05	7.74208e-05	7.74207e-05
-24.5	0.000198994	0.000170002	0.00017	8.88362e-05	8.16709e-05	8.16707e-05
-24.475	0.000202929	0.000170807	0.000170805	9.39094e-05	8.5941e-05	8.59408e-05
-24.45	0.000207455	0.000171643	0.000171642	9.90958e-05	9.02321e-05	9.02319e-05
-24.425	0.000212744	0.00017252	0.000172518	0.000104414	9.45451e-05	9.45448e-05
-24.4	0.000219037	0.000173448	0.000173446	0.00010989	9.88813e-05	9.8881e-05
-24.375	0.000226672	0.000174442	0.00017444	0.000115557	0.000103242	0.000103242
-24.35	0.000236124	0.000175527	0.000175525	0.00012146	0.000107631	0.00010763
-24.325	0.000248069	0.000176734	0.000176732	0.000127662	0.000112049	0.000112048
-24.3	0.000263429	0.000178107	0.000178104	0.000134248	0.000116502	0.000116501
-24.275	0.000283366	0.000179701	0.000179698	0.000141332	0.000120994	0.000120993
-24.25	0.000308987	0.000181569	0.000181566	0.000149056	0.000125533	0.000125533
-24.225	0.00034027	0.00018371	0.000183706	0.000157563	0.000130126	0.000130125
-24.2	0.000373603	0.000185951	0.000185947	0.000166903	0.000134775	0.000134774
-24.175	0.000399356	0.000187832	0.000187827	0.000176887	0.000139471	0.00013947
-24.15	0.000405896	0.000188797	0.000188791	0.000187035	0.000144191	0.000144189
-24.125	0.000391377	0.000188758	0.000188751	0.000196819	0.00014891	0.000148908
-24.1	0.000366093	0.000188205	0.000188197	0.000205971	0.000153615	0.000153613
-24.075	0.000341143	0.000187667	0.000187658	0.0002145	0.000158306	0.000158304
-24.05	0.000321729	0.000187392	0.000187382	0.000222543	0.000162991	0.000162989
-24.025	0.000308663	0.000187416	0.000187404	0.00023026	0.000167677	0.000167674
-24	0.000301149	0.000187699	0.000187685	0.000237788	0.000172369	0.000172366
-23.975	0.000298205	0.000188191	0.000188175	0.000245244	0.000177074	0.000177071
-23.95	0.00029911	0.000188854	0.000188834	0.000252721	0.000181795	0.000181791
-23.925	0.000303492	0.000189663	0.00018964	0.000260309	0.000186537	0.000186532
-23.9	0.000311321	0.000190609	0.000190581	0.000268092	0.000191302	0.000191297
-23.875	0.000322896	0.000191694	0.00019166	0.000276164	0.000196094	0.000196089
-23.85	0.000338859	0.000192933	0.000192891	0.000284635	0.000200918	0.000200911
-23.825	0.000360187	0.000194351	0.000194299	0.00029364	0.000205776	0.000205768
-23.8	0.000388027	0.000195983	0.000195917	0.000303341	0.000210676	0.000210666
-23.775	0.00042309	0.000197859	0.000197775	0.000313918	0.000215622	0.000215611
-23.75	0.000464206	0.00019998	0.00019987	0.000325523	0.000220622	0.000220607
-23.725	0.000506957	0.000202285	0.00020214	0.000338197	0.000225679	0.000225661
-23.7	0.000546391	0.00020472	0.000204527	0.000351857	0.000230797	0.000230774
-23.675	0.000584587	0.0002074	0.000207139	0.000366472	0.000235982	0.000235952
-23.65	0.000632242	0.000210646	0.000210295	0.000382278	0.000241248	0.00024121
-23.625	0.000701186	0.000214816	0.000214352	0.000399807	0.000246619	0.000246569
-23.6	0.000797833	0.000220105	0.000219528	0.000419753	0.000252121	0.000252057
-23.575	0.000917196	0.000226258	0.00022565	0.000442683	0.000257778	0.000257698
-23.55	0.001033	0.000232121	0.0002317	0.000468508	0.000263581	0.000263491
-23.525	0.00109787	0.000235702	0.000235734	0.000495955	0.000269473	0.000269384
-23.5	0.0010795	0.000235788	0.000236308	0.000522942	0.000275368	0.000275292
-23.475	0.000999176	0.000233445	0.000234202	0.000547922	0.000281204	0.000281147
-23.45	0.000907308	0.000230824	0.000231561	0.000570604	0.000286975	0.000286936
-23.425	0.000838933	0.00022935	0.000229955	0.000591578	0.000292708	0.000292685
-23.4	0.000803954	0.000229387	0.000229852	0.000611677	0.000298443	0.000298431
-23.375	0.000793781	0.000230485	0.000230833	0.000631521	0.000304205	0.000304202
-23.35	0.000785637	0.00023149	0.000231752	0.000651162	0.000309992	0.000309995
-23.325	0.000753912	0.000231104	0.000231302	0.00067001	0.00031577	0.000315778
-23.3	0.000692588	0.000229051	0.000229203	0.000687324	0.000321496	0.000321508
-23.275	0.00061835	0.000226242	0.00022636	0.000702783	0.000327152	0.000327167
-23.25	0.000549326	0.000223656	0.000223749	0.000716516	0.000332744	0.000332761
-23.225	0.000493245	0.000221715	0.00022179	0.000728848	0.000338287	0.000338306
-23.2	0.000450324	0.000220443	0.000220504	0.000740106	0.000343798	0.000343818
-23.175	0.000418161	0.000219719	0.000219769	0.00075056	0.000349291	0.000349312
-23.15	0.000394142	0.000219412	0.000219454	0.000760413	0.000354776	0.000354799
-23.125	0.000376154	0.000219415	0.000219449	0.000769817	0.000360261	0.000360285
-23.1	0.000362635	0.000219647	0.000219675	0.000778883	0.000365753	0.000365777
-23.075	0.000352468	0.000220052	0.000220076	0.000787695	0.000371254	0.000371279
-23.05	0.000344857	0.00022059	0.000220611	0.000796316	0.000376769	0.000376794
-23.025	0.000339232	0.000221232	0.00022125	0.000804797	0.000382299	0.000382325
-23	0.000335181	0.000221959	0.000221974	0.000813176	0.000387848	0.000387875
-22.975	0.000332402	0.000222754	0.000222767	0.000821486	0.000393417	0.000393444
-22.95	0.000330673	0.000223607	0.000223617	0.000829753	0.000399007	0.000399034
-22.925	0.00032983	0.000224509	0.000224518	0.000837999	0.00040462	0.000404647
-22.9	0.00032975	0.000225455	0.000225463	0.000846243	0.000410257	0.000410284
-22.875	0.000330343	0.00022644	0.000226447	0.000854501	0.000415918	0.000415945
-22.85	0.000331541	0.000227462	0.000227466	0.00086279	0.000421604	0.000421632
-22.825	0.000333299	0.000228516	0.00022852	0.000871122	0.000427317	0.000427345
-22.8	0.000335587	0.000229603	0.000229606	0.000879512	0.000433057	0.000433085
-22.775	0.000338389	0.000230722	0.000230723	0.000887972	0.000438825	0.000438853
-22.75	0.000341701	0.000231871	0.000231872	0.000896514	0.000444622	0.00044465
-22.725	0.000345531	0.000233052	0.000233052	0.000905152	0.000450448	0.000450476
-22.7	0.000349899	0.000234266	0.000234265	0.0009139	0.000456305	0.000456333
-22.675	0.00035484	0.000235514	0.000235512	0.000922771	0.000462193	0.00046222
-22.65	0.000360401	0.000236797	0.000236794	0.000931781	0.000468113	0.00046814
-22.625	0.000366645	0.00023812	0.000238116	0.000940947	0.000474066	0.000474093
-22.6	0.000373657	0.000239486	0.000239481	0.000950289	0.000480053	0.00048008
-22.575	0.000381546	0.0002409	0.000240894	0.000959827	0.000486075	0.000486102
-22.55	0.00039045	0.000242367	0.00024236	0.000969588	0.000492134	0.000492161
-22.525	0.00040055	0.000243897	0.000243889	0.000979602	0.000498232	0.000498259
-22.5	0.000412078	0.000245499	0.000245489	0.000989904	0.000504369	0.000504396
-22.475	0.000425337	0.000247187	0.000247176	0.00100054	0.000510549	0.000510575
-22.45	0.000440727	0.000248979	0.000248967	0.00101156	0.000516774	0.000516799
-22.425	0.000458778	0.000250899	0.000250884	0.00102303	0.000523046	0.000523072
-22.4	0.000480207	0.000252978	0.000252961	0.00103503	0.00052937	0.000529396
-22.375	0.000505994	0.000255259	0.000255241	0.00104768	0.000535752	0.000535777
-22.35	0.000537497	0.000257805	0.000257783	0.00106112	0.000542197	0.000542221
-22.325	0.000576619	0.000260699	0.000260674	0.00107553	0.000548714	0.000548738
-22.3	0.000626056	0.000264061	0.000264033	0.00109118	0.000555316	0.000555339
-22.275	0.000689613	0.00026806	0.000268028	0.00110842	0.000562018	0.00056204
-22.25	0.000772566	0.00027293	0.000272893	0.00112774	0.000568841	0.000568862
-22.225	0.000881746	0.000278965	0.000278922	0.00114978	0.000575815	0.000575835
-22.2	0.00102441	0.00028646	0.000286411	0.00117539	0.000582976	0.000582995
-22.175	0.0012034	0.000295465	0.000295408	0.00120548	0.000590363	0.00059038
-22.15	0.00140509	0.000305216	0.000305148	0.00124061	0.000597993	0.000598009
-22.125	0.0015837	0.000313522	0.000313442	0.0012802	0.000605831	0.000605845
-22.1	0.0016694	0.000317484	0.000317388	0.00132193	0.000613769	0.00061378
-22.075	0.00162363	0.000316074	0.000315958	0.00136252	0.00062167	0.000621679
-22.05	0.00148208	0.000311299	0.000311159	0.00139957	0.000629453	0.000629458
-22.025	0.00131637	0.000306079	0.000305907	0.00143248	0.000637105	0.000637106
-22	0.00117579	0.00030218	0.000301966	0.00146188	0.000644659	0.000644655
-21.975	0.00107681	0.00030012	0.00029985	0.0014888	0.000652162	0.000652151
-21.95	0.00101915	0.000299858	0.000299514	0.00151428	0.000659659	0.000659639
-21.925	0.000998607	0.000301259	0.000300813	0.00153924	0.00066719	0.000667159
-21.9	0.00101256	0.000304289	0.000303702	0.00156456	0.000674797	0.000674752
-21.875	0.00106164	0.000309075	0.000308292	0.0015911	0.000682524	0.000682459
-21.85	0.0011502	0.000315927	0.000314875	0.00161985	0.000690423	0.000690331
-21.825	0.00128595	0.000325322	0.000323913	0.001652	0.000698556	0.000698429
-21.8	0.00147735	0.000337742	0.000335913	0.00168894	0.000706999	0.000706826
-21.775	0.00172442	0.00035314	0.000350967	0.00173205	0.000715828	0.000715601
-21.75	0.00199733	0.000369702	0.00036762	0.00178198	0.00072507	0.000724791
-21.725	0.00221221	0.00038259	0.000381481	0.00183728	0.000734635	0.000734328
-21.7	0.00225908	0.000385842	0.000386416	0.00189376	0.000744281	0.000743989
-21.675	0.00210703	0.00037829	0.000380239	0.00194644	0.000753738	0.000753495
-21.65	0.00184173	0.000364983	0.000367364	0.00199248	0.000762863	0.000762679
-21.625	0.001568	0.000351558	0.000353705	0.00203168	0.000771652	0.000771521
-21.6	0.00133868	0.000340692	0.000342397	0.00206515	0.000780169	0.000780081
-21.575	0.00116319	0.000332785	0.000334074	0.00209423	0.000788489	0.000788433
-21.55	0.00103361	0.00032737	0.000328332	0.00212007	0.000796673	0.000796641
-21.525	0.000938986	0.00032385	0.000324571	0.00214354	0.000804769	0.000804756
-21.5	0.000870042	0.000321724	0.000322271	0.00216529	0.000812812	0.000812812
-21.475	0.000819882	0.000320624	0.000321045	0.00218579	0.000820828	0.000820839
-21.45	0.000783636	0.000320293	0.000320622	0.00220538	0.000828835	0.000828854
-21.425	0.000757926	0.000320552	0.000320814	0.00222433	0.000836849	0.000836874
-21.4	0.000740432	0.000321281	0.000321491	0.00224284	0.000844881	0.000844912
-21.375	0.000729588	0.000322399	0.00032257	0.00226108	0.000852941	0.000852976
-21.35	0.00072438	0.000323857	0.000323998	0.00227919	0.000861037	0.000861076
-21.325	0.000724224	0.000325632	0.000325749	0.00229729	0.000869178	0.00086922
-21.3	0.000728907	0.00032772	0.000327818	0.00231552	0.000877371	0.000877415
-21.275	0.000738574	0.000330142	0.000330225	0.00233398	0.000885625	0.000885671
-21.25	0.00075377	0.000332946	0.000333017	0.00235283	0.000893948	0.000893996
-21.225	0.000775523	0.000336212	0.000336273	0.00237221	0.000902354	0.000902403
-21.2	0.000805478	0.000340063	0.000340116	0.00239235	0.000910855	0.000910906
-21.175	0.000846009	0.000344676	0.000344721	0.0024135	0.000919472	0.000919524
-21.15	0.000900114	0.000350269	0.000350309	0.002436	0.000928229	0.000928282
