w	up_1	up_2	up_3	cumul_up_1	cumul_up_2	cumul_up_3	
-25	0.000284191	0.000171839	0.000171793	0	0	0
-24.975	0.000307627	0.000173423	0.000173362	7.69068e-06	4.33559e-06	4.33405e-06
-24.95	0.000337892	0.000175295	0.000175212	1.6138e-05	8.71796e-06	8.71435e-06
-24.925	0.00037759	0.000177563	0.000177451	2.55777e-05	1.3157e-05	1.31506e-05
-24.9	0.000430249	0.000180373	0.00018022	3.63339e-05	1.76664e-05	1.76561e-05
-24.875	0.000500113	0.0001839	0.000183693	4.88368e-05	2.22638e-05	2.22485e-05
-24.85	0.00059064	0.000188275	0.000188006	6.36028e-05	2.69707e-05	2.69486e-05
-24.825	0.00069971	0.000193375	0.000193063	8.10955e-05	3.18051e-05	3.17752e-05
-24.8	0.000810506	0.000198432	0.000198155	0.000101358	3.67659e-05	3.67291e-05
-24.775	0.000886889	0.000201878	0.000201789	0.00012353	4.18128e-05	4.17738e-05
-24.75	0.000894324	0.000202329	0.00020254	0.000145888	4.68711e-05	4.68373e-05
-24.725	0.000835433	0.000200066	0.000200507	0.000166774	5.18727e-05	5.18499e-05
-24.7	0.000745287	0.000196667	0.000197165	0.000185406	5.67894e-05	5.67791e-05
-24.675	0.000653514	0.000193411	0.000193849	0.000201744	6.16247e-05	6.16253e-05
-24.65	0.000570338	0.00019075	0.000191096	0.000216003	6.63934e-05	6.64027e-05
-24.625	0.000498016	0.000188724	0.000188986	0.000228453	7.11115e-05	7.11274e-05
-24.6	0.000438349	0.000187284	0.000187482	0.000239412	7.57936e-05	7.58144e-05
-24.575	0.00039161	0.000186352	0.000186501	0.000249202	8.04524e-05	8.04769e-05
-24.55	0.000356101	0.000185824	0.000185938	0.000258105	8.5098e-05	8.51254e-05
-24.525	0.000329406	0.000185604	0.000185693	0.00026634	8.97381e-05	8.97677e-05
-24.5	0.00030932	0.000185615	0.000185684	0.000274073	9.43785e-05	9.44098e-05
-24.475	0.000294124	0.000185797	0.000185852	0.000281426	9.90234e-05	9.90561e-05
-24.45	0.000282561	0.000186108	0.000186153	0.00028849	0.000103676	0.00010371
-24.425	0.00027373	0.000186519	0.000186555	0.000295333	0.000108339	0.000108374
-24.4	0.000266984	0.000187008	0.000187037	0.000302008	0.000113014	0.00011305
-24.375	0.000261857	0.000187558	0.000187583	0.000308554	0.000117703	0.000117739
-24.35	0.00025801	0.00018816	0.00018818	0.000315004	0.000122407	0.000122444
-24.325	0.000255192	0.000188804	0.00018882	0.000321384	0.000127127	0.000127164
-24.3	0.000253218	0.000189483	0.000189497	0.000327715	0.000131864	0.000131902
-24.275	0.000251948	0.000190194	0.000190206	0.000334013	0.000136619	0.000136657
-24.25	0.00025128	0.000190933	0.000190942	0.000340295	0.000141393	0.00014143
-24.225	0.000251134	0.000191697	0.000191705	0.000346574	0.000146185	0.000146223
-24.2	0.000251456	0.000192484	0.000192491	0.00035286	0.000150997	0.000151035
-24.175	0.000252203	0.000193295	0.000193299	0.000359165	0.000155829	0.000155868
-24.15	0.00025335	0.000194126	0.00019413	0.000365499	0.000160683	0.000160721
-24.125	0.000254883	0.00019498	0.000194982	0.000371871	0.000165557	0.000165596
-24.1	0.000256798	0.000195856	0.000195857	0.000378291	0.000170454	0.000170492
-24.075	0.000259105	0.000196755	0.000196755	0.000384769	0.000175372	0.000175411
-24.05	0.000261824	0.000197678	0.000197677	0.000391314	0.000180314	0.000180353
-24.025	0.000264988	0.000198628	0.000198626	0.000397939	0.00018528	0.000185318
-24	0.000268649	0.000199607	0.000199604	0.000404655	0.00019027	0.000190309
-23.975	0.000272876	0.00020062	0.000200616	0.000411477	0.000195286	0.000195324
-23.95	0.000277766	0.000201672	0.000201667	0.000418421	0.000200328	0.000200366
-23.925	0.000283452	0.00020277	0.000202764	0.000425507	0.000205397	0.000205435
-23.9	0.000290113	0.000203924	0.000203916	0.00043276	0.000210495	0.000210533
-23.875	0.000297997	0.000205147	0.000205138	0.00044021	0.000215624	0.000215661
-23.85	0.000307449	0.000206459	0.000206448	0.000447896	0.000220785	0.000220822
-23.825	0.000318949	0.000207884	0.000207872	0.00045587	0.000225982	0.000226019
-23.8	0.000333182	0.00020946	0.000209446	0.0004642	0.000231219	0.000231255
-23.775	0.000351113	0.000211238	0.000211222	0.000472978	0.0002365	0.000236536
-23.75	0.000374098	0.000213293	0.000213275	0.00048233	0.000241832	0.000241868
-23.725	0.00040395	0.000215721	0.0002157	0.000492429	0.000247225	0.00024726
-23.7	0.000442783	0.000218636	0.000218613	0.000503498	0.000252691	0.000252726
-23.675	0.000492082	0.000222119	0.000222093	0.0005158	0.000258244	0.000258278
-23.65	0.000549886	0.000226063	0.000226032	0.000529547	0.000263895	0.000263929
-23.625	0.000605748	0.000229902	0.000229867	0.000544691	0.000269643	0.000269675
-23.6	0.000639433	0.000232542	0.000232502	0.000560677	0.000275456	0.000275488
-23.575	0.000635236	0.000233134	0.000233088	0.000576558	0.000281285	0.000281315
-23.55	0.000600172	0.000232057	0.000232003	0.000591562	0.000287086	0.000287115
-23.525	0.00055549	0.000230457	0.000230393	0.000605449	0.000292848	0.000292875
-23.5	0.000516754	0.000229173	0.000229098	0.000618368	0.000298577	0.000298602
-23.475	0.000489302	0.00022849	0.000228401	0.000630601	0.000304289	0.000304312
-23.45	0.000473027	0.000228401	0.000228294	0.000642426	0.000309999	0.00031002
-23.425	0.000466351	0.000228814	0.000228686	0.000654085	0.00031572	0.000315737
-23.4	0.000467864	0.00022965	0.000229494	0.000665782	0.000321461	0.000321474
-23.375	0.000476772	0.000230859	0.000230666	0.000677701	0.000327232	0.000327241
-23.35	0.000492967	0.000232424	0.000232183	0.000690025	0.000333043	0.000333046
-23.325	0.000517041	0.000234367	0.000234062	0.000702951	0.000338902	0.000338897
-23.3	0.000550355	0.000236743	0.000236351	0.00071671	0.000344821	0.000344806
-23.275	0.000595213	0.000239652	0.000239142	0.000731591	0.000350812	0.000350784
-23.25	0.000655154	0.000243254	0.000242578	0.000747969	0.000356893	0.000356849
-23.225	0.000735366	0.000247779	0.000246875	0.000766354	0.000363088	0.000363021
-23.2	0.00084309	0.000253548	0.000252332	0.000787431	0.000369427	0.000369329
-23.175	0.00098748	0.000260956	0.000259335	0.000812118	0.00037595	0.000375812
-23.15	0.00117727	0.00027033	0.000268263	0.000841549	0.000382709	0.000382519
-23.125	0.00141246	0.00028149	0.000279142	0.000876861	0.000389746	0.000389498
-23.1	0.00166662	0.000292893	0.000290879	0.000918527	0.000397068	0.000396769
-23.075	0.00187186	0.000301179	0.000300492	0.000965323	0.000404598	0.000404282
-23.05	0.00194645	0.000303074	0.00030422	0.00101398	0.000412175	0.000411887
-23.025	0.00186171	0.000298517	0.000300866	0.00106053	0.000419638	0.000419409
-23	0.00166103	0.000290321	0.000292876	0.00110205	0.000426896	0.000426731
-22.975	0.00141833	0.00028153	0.000283727	0.00113751	0.000433934	0.000433824
-22.95	0.00119267	0.000273986	0.000275697	0.00116733	0.000440783	0.000440716
-22.925	0.00100952	0.000268274	0.000269559	0.00119257	0.00044749	0.000447455
-22.9	0.000870171	0.000264261	0.000265221	0.00121432	0.000454097	0.000454086
-22.875	0.000766723	0.000261594	0.000262316	0.00123349	0.000460637	0.000460644
-22.85	0.000690286	0.000259932	0.000260483	0.00125075	0.000467135	0.000467156
-22.825	0.000633614	0.000259009	0.000259435	0.00126659	0.00047361	0.000473642
-22.8	0.000591385	0.000258631	0.000258965	0.00128137	0.000480076	0.000480116
-22.775	0.000559828	0.000258664	0.00025893	0.00129537	0.000486543	0.000486589
-22.75	0.000536308	0.000259013	0.000259228	0.00130877	0.000493018	0.00049307
-22.725	0.000518985	0.000259613	0.000259788	0.00132175	0.000499508	0.000499565
-22.7	0.000506575	0.00026042	0.000260565	0.00133441	0.000506019	0.000506079
-22.675	0.000498198	0.000261405	0.000261526	0.00134687	0.000512554	0.000512617
-22.65	0.000493272	0.000262551	0.000262652	0.0013592	0.000519118	0.000519183
-22.625	0.000491447	0.000263849	0.000263935	0.00137149	0.000525714	0.000525782
-22.6	0.000492581	0.000265303	0.000265377	0.0013838	0.000532346	0.000532416
-22.575	0.000496726	0.000266924	0.000266987	0.00139622	0.00053902	0.000539091
-22.55	0.000504152	0.000268737	0.000268791	0.00140882	0.000545738	0.00054581
-22.525	0.00051539	0.00027078	0.000270827	0.00142171	0.000552507	0.000552581
-22.5	0.000531317	0.000273114	0.000273155	0.00143499	0.000559335	0.00055941
-22.475	0.000553274	0.000275829	0.000275865	0.00144882	0.000566231	0.000566307
-22.45	0.000583197	0.000279051	0.000279083	0.0014634	0.000573207	0.000573284
-22.425	0.000623666	0.000282949	0.000282977	0.00147899	0.000580281	0.000580358
-22.4	0.000677497	0.000287706	0.000287729	0.00149593	0.000587474	0.000587551
-22.375	0.000745889	0.000293398	0.000293419	0.00151458	0.000594809	0.000594887
-22.35	0.000823507	0.000299686	0.000299704	0.00153517	0.000602301	0.000602379
-22.325	0.000891387	0.000305352	0.000305368	0.00155745	0.000609935	0.000610014
-22.3	0.000919732	0.000308483	0.000308497	0.00158044	0.000617647	0.000617726
-22.275	0.000893533	0.00030812	0.000308132	0.00160278	0.00062535	0.000625429
-22.25	0.00083069	0.000305412	0.000305422	0.00162355	0.000632985	0.000633065
-22.225	0.000760686	0.000302253	0.000302261	0.00164257	0.000640541	0.000640621
-22.2	0.000700848	0.000299755	0.000299762	0.00166009	0.000648035	0.000648115
-22.175	0.000655461	0.000298193	0.000298199	0.00167647	0.00065549	0.00065557
-22.15	0.000622944	0.000297467	0.000297472	0.00169205	0.000662927	0.000663007
-22.125	0.000600392	0.00029739	0.000297394	0.00170706	0.000670361	0.000670442
-22.1	0.000585206	0.000297796	0.000297799	0.00172169	0.000677806	0.000677887
-22.075	0.000575417	0.00029856	0.000298561	0.00173607	0.00068527	0.000685351
-22.05	0.00056962	0.00029959	0.00029959	0.00175031	0.00069276	0.000692841
-22.025	0.000566831	0.000300824	0.000300823	0.00176448	0.000700281	0.000700361
-22	0.000566355	0.000302219	0.000302217	0.00177864	0.000707836	0.000707917
-21.975	0.000567706	0.000303743	0.00030374	0.00179284	0.00071543	0.00071551
-21.95	0.000570534	0.000305374	0.00030537	0.0018071	0.000723064	0.000723145
-21.925	0.00057459	0.000307097	0.000307092	0.00182146	0.000730741	0.000730822
-21.9	0.000579691	0.0003089	0.000308894	0.00183596	0.000738464	0.000738544
-21.875	0.000585708	0.000310775	0.000310768	0.0018506	0.000746233	0.000746313
-21.85	0.000592543	0.000312717	0.000312709	0.00186541	0.000754051	0.000754131
-21.825	0.000600129	0.00031472	0.000314711	0.00188042	0.000761919	0.000761999
-21.8	0.000608416	0.000316784	0.000316774	0.00189563	0.000769839	0.000769918
-21.775	0.000617372	0.000318905	0.000318893	0.00191106	0.000777811	0.000777891
-21.75	0.000626977	0.000321083	0.00032107	0.00192673	0.000785839	0.000785917
-21.725	0.00063722	0.000323317	0.000323303	0.00194267	0.000793921	0.000794
-21.7	0.000648098	0.000325608	0.000325593	0.00195887	0.000802062	0.00080214
-21.675	0.000659618	0.000327957	0.000327941	0.00197536	0.000810261	0.000810338
-21.65	0.00067179	0.000330364	0.000330346	0.00199215	0.00081852	0.000818597
-21.625	0.000684631	0.000332832	0.000332812	0.00200927	0.000826841	0.000826917
-21.6	0.000698164	0.000335361	0.00033534	0.00202672	0.000835225	0.000835301
-21.575	0.000712416	0.000337954	0.000337931	0.00204453	0.000843673	0.000843749
-21.55	0.000727419	0.000340614	0.000340589	0.00206272	0.000852189	0.000852264
-21.525	0.000743213	0.000343344	0.000343316	0.0020813	0.000860772	0.000860847
-21.5	0.00075984	0.000346146	0.000346116	0.00210029	0.000869426	0.0008695
-21.475	0.000777349	0.000349025	0.000348992	0.00211973	0.000878152	0.000878224
-21.45	0.000795797	0.000351984	0.000351948	0.00213962	0.000886951	0.000887023
-21.425	0.000815245	0.000355028	0.000354989	0.00216	0.000895827	0.000895898
-21.4	0.000835765	0.000358161	0.00035812	0.0021809	0.000904781	0.000904851
-21.375	0.000857435	0.00036139	0.000361345	0.00220233	0.000913816	0.000913884
-21.35	0.000880344	0.000364721	0.000364671	0.00222434	0.000922934	0.000923001
