w	up_1	up_2	up_3	cumul_up_1	cumul_up_2	cumul_up_3	
-25	9.45604e-05	0.000101393	0.000101393	0	0	0
-24.965	9.51596e-05	0.000101818	0.000101818	3.33392e-06	3.5672e-06	3.56721e-06
-24.9299	9.58149e-05	0.000102248	0.000102248	6.6908e-06	7.14946e-06	7.14948e-06
-24.8949	9.65504e-05	0.000102682	0.000102683	1.00734e-05	1.07469e-05	1.0747e-05
-24.8599	9.74057e-05	0.000103124	0.000103124	1.34861e-05	1.43599e-05	1.43599e-05
-24.8248	9.84434e-05	0.000103573	0.000103573	1.6935e-05	1.79886e-05	1.79886e-05
-24.7898	9.97523e-05	0.000104033	0.000104034	2.04299e-05	2.16334e-05	2.16335e-05
-24.7548	0.0001014	0.000104507	0.000104508	2.39824e-05	2.52948e-05	2.52949e-05
-24.7197	0.000103216	0.000104988	0.000104989	2.75986e-05	2.8973e-05	2.89732e-05
-24.6847	0.000104512	0.000105455	0.000105457	3.12602e-05	3.26676e-05	3.26679e-05
-24.6496	0.000104809	0.000105892	0.000105895	3.49322e-05	3.63775e-05	3.63779e-05
-24.6146	0.000104762	0.000106319	0.000106324	3.86025e-05	4.01024e-05	4.0103e-05
-24.5796	0.000105146	0.00010676	0.000106767	4.22863e-05	4.38428e-05	4.38436e-05
-24.5445	0.000106189	0.000107223	0.000107232	4.60066e-05	4.75994e-05	4.76005e-05
-24.5095	0.000107639	0.000107702	0.000107711	4.97778e-05	5.13727e-05	5.13741e-05
-24.4745	0.000108707	0.000108178	0.00010818	5.35863e-05	5.51627e-05	5.51642e-05
-24.4394	0.000108706	0.000108631	0.000108625	5.73949e-05	5.89686e-05	5.89699e-05
-24.4044	0.00010798	0.000109066	0.000109058	6.11779e-05	6.27897e-05	6.27908e-05
-24.3694	0.000107343	0.000109504	0.000109497	6.49387e-05	6.66262e-05	6.6627e-05
-24.3343	0.00010715	0.000109956	0.00010995	6.86927e-05	7.04785e-05	7.04791e-05
-24.2993	0.000107299	0.000110419	0.000110414	7.24519e-05	7.4347e-05	7.43474e-05
-24.2643	0.000107479	0.000110889	0.000110884	7.62175e-05	7.8232e-05	7.82323e-05
-24.2292	0.000107519	0.000111361	0.000111358	7.99844e-05	8.21336e-05	8.21337e-05
-24.1942	0.00010756	0.000111838	0.000111836	8.37527e-05	8.60518e-05	8.60519e-05
-24.1592	0.000107726	0.000112321	0.000112319	8.75269e-05	8.9987e-05	8.9987e-05
-24.1241	0.000108022	0.000112809	0.000112808	9.13115e-05	9.39393e-05	9.39392e-05
-24.0891	0.000108416	0.000113303	0.000113302	9.51099e-05	9.79088e-05	9.79088e-05
-24.0541	0.000108879	0.000113802	0.000113801	9.89245e-05	0.000101896	0.000101896
-24.019	0.000109392	0.000114305	0.000114304	0.000102757	0.000105901	0.0001059
-23.984	0.000109943	0.000114812	0.000114811	0.000106609	0.000109923	0.000109923
-23.9489	0.000110525	0.000115323	0.000115323	0.000110481	0.000113963	0.000113963
-23.9139	0.000111135	0.000115838	0.000115838	0.000114375	0.000118022	0.000118022
-23.8789	0.000111769	0.000116358	0.000116358	0.000118291	0.000122098	0.000122098
