GS_consistency	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	githash	model	mu	script	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	time	tpd	tpp	tppp	version	
NY	12.5	2.0097	-0.19009638	-3.8223859	-4.0303005	0.017446526	-4.0305734	0.017454319	0.027788411	-3.816411	a248bdd	2x2_2C_8b_C2v_L	9.57	validity_data_2022.py	-0.18332108	1.154313	-1.7324628	-0.14941588	1.7325123	0.14941354	-0.1833298	-2.3000729	2024-08-13@12:00	2.1394	1	0.2577	v2.7.1	
NY	12.5	2.0097	-0.18960635	-3.8321787	-4.0424159	0.016116067	-4.0434799	0.016097981	0.026580253	-3.827304	a248bdd	2x2_2C_8b_C2v_L	9.58	validity_data_2022.py	-0.18269595	1.1558924	-1.7340955	-0.14933011	1.7342876	0.14932552	-0.18318073	-2.301557	2024-08-13@12:01	2.1394	1	0.2577	v2.7.1	
NY	12.5	2.0097	-0.18516557	-3.8046425	-4.0201278	0.018110624	-4.020045	0.018101025	0.028443084	-3.806031	a248bdd	2x2_2C_8b_C2v_L	9.56	validity_data_2022.py	-0.18240212	1.1525514	-1.7312183	-0.14993504	1.7312088	0.14994405	-0.18388189	-2.2987956	2024-08-13@12:02	2.1394	1	0.2577	v2.7.1	
NY	12.5	2.0097	-0.18484945	-3.7837505	-4.0068415	0.019363444	-4.0075786	0.019349839	0.029559289	-3.7958393	a248bdd	2x2_2C_8b_C2v_L	9.55	validity_data_2022.py	-0.18260766	1.1496779	-1.7293504	-0.14991473	1.7295068	0.1499129	-0.18394671	-2.2975085	2024-08-13@12:02	2.1394	1	0.2577	v2.7.1	
NY	12.5	2.0097	-0.19009638	-3.8223859	-4.0303005	0.017446526	-4.0305734	0.017454319	0.027788411	-3.816411	a248bdd	2x2_2C_8b_C2v_L	9.57	validity_data_2022.py	-0.18332108	1.154313	-1.7324628	-0.14941588	1.7325123	0.14941354	-0.1833298	-2.3000729	2024-08-13@12:03	2.1394	1	0.2577	v2.7.1	
NY	12.5	2.0097	-0.18960635	-3.8321787	-4.0424159	0.016116067	-4.0434799	0.016097981	0.026580253	-3.827304	a248bdd	2x2_2C_8b_C2v_L	9.58	validity_data_2022.py	-0.18269595	1.1558924	-1.7340955	-0.14933011	1.7342876	0.14932552	-0.18318073	-2.301557	2024-08-13@12:04	2.1394	1	0.2577	v2.7.1	
NY	12.5	2.0097	0.023781545	-2.3091746	-3.2950977	0.2756275	-3.2953032	0.27684232	0.3258187	-2.9309422	a248bdd	2x2_2C_8b_C2v_L	8	validity_data_2022.py	0.14912666	1.0211693	-1.7304618	-0.27458168	1.7303064	0.27506784	-0.37606432	-2.3327845	2024-08-13@12:05	2.1394	1	0.2577	v2.7.1	
NY	12.5	2.0097	0.023640708	-2.3139798	-3.3001552	0.27582143	-3.2999298	0.27555788	0.32439957	-2.9373498	a248bdd	2x2_2C_8b_C2v_L	8.01	validity_data_2022.py	0.14886464	1.0214241	-1.7302783	-0.27448969	1.730225	0.27440398	-0.37522264	-2.3325043	2024-08-13@12:05	2.1394	1	0.2577	v2.7.1	
NY	12.5	2.0097	0.023510645	-2.3201262	-3.3059726	0.2746699	-3.3062193	0.27524072	0.32189255	-2.9426103	a248bdd	2x2_2C_8b_C2v_L	8.02	validity_data_2022.py	0.1485539	1.022045	-1.7306919	-0.27399257	1.7306608	0.27426088	-0.37401105	-2.332114	2024-08-13@12:06	2.1394	1	0.2577	v2.7.1	
NY	12.5	2.0097	0.023321218	-2.3229553	-3.3138368	0.27522386	-3.3127069	0.27498049	0.32057849	-2.9494486	a248bdd	2x2_2C_8b_C2v_L	8.03	validity_data_2022.py	0.14829662	1.0220022	-1.731271	-0.27419602	1.7311936	0.27396908	-0.37334888	-2.332111	2024-08-13@12:07	2.1394	1	0.2577	v2.7.1	
