CDMFT_iterations	CDMFT_method	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version
9	Broyden	-78.68210715	-123.3648	2.856640152	YY	10	0.266196425	self-energy	sharp_wc_5_b_50	2.0097	2	1.246833873	23.74925481	1.038607927e-11	5.122506025	3.589392825e-08	-5.349261874	1.772272262	1.404995885	0.01583623335	-5.369639616	1.773426593	1.383147808	0.01639256234	2.072381733	0.003053946628	-4.7367394	1.412748491	a248bdd	2x2_2C_8b_C2v_L	9.72	1.251567469	2	1.656707561	1.2515674690651557	0.9999999999999998	new_boucle_param.py	R0:N10:S0:1	uncorrelated	3.400522146e-05	-1.681291931e-05	0.0006159754195	-0.0009689937773	-1.959345529	1.681187387	-0.2215294166	0.442397428	1.962760664	-1.675901498	-0.2228455592	0.4497802012	0.3703203686	-0.2011870915	-2.51192442	3.252200289	2024-11-25@12:18	2.1394	-0.6358302514	1	1.8406364949999998e-16	-0.2167766809	0.2577	-1.584708494e-16	0.09128160723	v2.7.1	
3	Broyden	-68.18628151	-86.7248	-0.3256922137	YY	10	0.1736417181	self-energy	sharp_wc_5_b_50	2.0097	2	1.144696984	0.28051067	0.3060399634	-3.402025491	1.894285314	-3.849566488	1.272203434	0.6165807412	0.01353885645	-3.849422573	1.272193951	0.6164878061	0.01353862641	0.7016462488	0.01833846088	-2.839503647	1.049413318	a248bdd	2x2_2C_8b_C2v_L	7.43	1.040112019	2	1.51861229	1.0401120189091857	0.9999999999999996	new_boucle_param.py	R0:N10:S0:1	uncorrelated	0.3006879028	-2.143409748	1.305946868	-0.8122560325	-1.959037074	3.471899433	-0.4430030192	0.3775003391	1.958983662	-3.47190246	-0.4429783645	0.3774978384	0.5998571812	-0.5115809641	-2.46599939	3.717272996	2024-11-25@19:37	2.1394	-0.9487130282	1	1.586416129e-16	-0.4236840819	0.2577	-2.653043752e-16	0.1719019576	v2.7.1	
3	Broyden	-67.90940681	-86.0848	-0.3970870642	YY	10	0.1730111246	self-energy	sharp_wc_5_b_50	2.0097	2	1.142524987	0.2850799566	0.3220612116	-3.386022316	1.891110918	-3.823119067	1.269974629	0.6237627058	0.01360852888	-3.822642448	1.269909567	0.6237464406	0.01360431047	0.7335036911	0.01874012559	-2.809398207	1.048180513	a248bdd	2x2_2C_8b_C2v_L	7.39	1.038202549	2	1.513954882	1.0382025488554243	0.9999999999999996	new_boucle_param.py	R0:N10:S0:1	uncorrelated	0.3059014803	-2.190234835	1.305588002	-0.8300358932	-1.959302569	3.477855693	-0.4455763434	0.3793038623	1.959217533	-3.477953835	-0.4455259728	0.3792761765	0.6065723606	-0.5173516537	-2.466806933	3.7180149	2024-11-25@19:42	2.1394	-0.9569042576	1	-2.9135867839999997e-16	-0.4258182505	0.2577	-6.97526725e-17	0.1727760897	v2.7.1	
10	Broyden	-67.895225	-85.7648	-0.3516998514	YY	10	0.1692983974	self-energy	sharp_wc_5_b_50	2.0097	2	1.142363888	-0.1536204856	0.4838911232	-3.505735878	1.847315688	-3.78739699	1.242435267	0.6149731876	0.01088540369	-3.78731007	1.242435547	0.6149741018	0.01088667121	0.6859636588	0.01691152573	-2.761099385	1.038427639	a248bdd	2x2_2C_8b_C2v_L	7.37	1.026702784	2	1.521222247	1.0267027836220604	0.9999999999999992	new_boucle_param.py	R0:N10:S0:1	uncorrelated	-0.2453111327	2.50566085	1.28028815	-1.032568967	-1.959951756	3.538161835	-0.4276025556	0.3543483332	1.959889389	-3.538142898	-0.4276092354	0.3543671551	0.5687298302	-0.493846144	-2.467650237	3.730904203	2024-11-25@19:47	2.1394	-0.9475990201	1	-6.269850235999999e-17	-0.4304358151	0.2577	1.6992767389999999e-16	0.1734077221	v2.7.1	
3	Broyden	-67.63696951	-85.4448	-0.4654801586	YY	10	0.172396923	self-energy	sharp_wc_5_b_50	2.0097	2	1.140438111	0.288951085	0.3366475241	-3.380774346	1.888252803	-3.795105017	1.268017507	0.6305283132	0.01367773074	-3.79497601	1.268005364	0.6303536224	0.01367686697	0.7466275954	0.01905115733	-2.775269902	1.04684647	a248bdd	2x2_2C_8b_C2v_L	7.35	1.036456144	2	1.50939556	1.0364561442237092	0.9999999999999996	new_boucle_param.py	R0:N10:S0:1	uncorrelated	0.3092682677	-2.231164617	1.307041044	-0.8465890547	-1.959360925	3.482853663	-0.4476881073	0.3810217226	1.959325016	-3.482868489	-0.447652241	0.3810097689	0.6099005969	-0.521802788	-2.466534492	3.718679791	2024-11-25@19:49	2.1394	-0.9647565197	1	1.500176988e-16	-0.4278118141	0.2577	3.241563772e-16	0.1735094583	v2.7.1	
3	Broyden	-67.32999783	-84.8048	-0.5330863748	YY	10	0.1718280959	self-energy	sharp_wc_5_b_50	2.0097	2	1.138363465	0.2969589029	0.3526086819	-3.364860721	1.885261205	-3.764757039	1.265660736	0.6398196918	0.01371480168	-3.764318402	1.265540643	0.6397090912	0.01370481698	0.7648697195	0.01932720888	-2.738415646	1.045325	a248bdd	2x2_2C_8b_C2v_L	7.31	1.034714227	2	1.504895305	1.0347142266375855	1.0	new_boucle_param.py	R0:N10:S0:1	uncorrelated	0.3149326984	-2.275284583	1.306479698	-0.8638832425	-1.958762623	3.488725959	-0.4499148955	0.3826191409	1.958874765	-3.488978833	-0.4498593604	0.3825401731	0.6126843359	-0.5258067762	-2.465504148	3.719514778	2024-11-25@19:55	2.1394	-0.9725019934	1	-9.070909592e-17	-0.4297767895	0.2577	-2.356521541e-16	0.1741677908	v2.7.1	
2	Broyden	-67.25863402	-84.4848	-0.4807601687	YY	10	0.1666443664	self-energy	sharp_wc_5_b_50	2.0097	2	1.13779759	-0.1754109568	0.5833478069	-3.429221152	1.818538945	-3.725036299	1.226648717	0.6587067235	0.01194929373	-3.724992678	1.226651828	0.6588708113	0.01195038896	0.7022453795	0.01965773515	-2.700303351	1.029473259	a248bdd	2x2_2C_8b_C2v_L	7.29	1.017945507	2	1.514689219	1.0179455066222984	0.9999999999999996	new_boucle_param.py	R0:N10:S0:1	uncorrelated	-0.2692749611	2.661249841	1.279590506	-1.175095826	-1.955817923	3.566558184	-0.4549403386	0.3756203879	1.955765563	-3.566539366	-0.454959848	0.3756376229	0.6082516341	-0.5337418356	-2.458296281	3.732732396	2024-11-25@19:56	2.1394	-0.9608734127	1	1.0684517809999999e-16	-0.4365191637	0.2577	3.6454685729999995e-16	0.1758887686	v2.7.1	
2	Broyden	-66.94236818	-84.1648	-0.5966799036	YY	10	0.1711767673	self-energy	sharp_wc_5_b_50	2.0097	2	1.13634808	0.2856788526	0.3751082403	-3.318406207	1.879227397	-3.728544743	1.261971722	0.6463987186	0.01376747914	-3.728354767	1.261899916	0.6464153915	0.01376178332	0.7785795202	0.01961870121	-2.70491397	1.043947732	a248bdd	2x2_2C_8b_C2v_L	7.27	1.032674257	2	1.500780639	1.032674257386588	0.9999999999999998	new_boucle_param.py	R0:N10:S0:1	uncorrelated	0.3158212247	-2.326584174	1.301990797	-0.8933419797	-1.957176321	3.496573901	-0.4513402088	0.3842375582	1.95729009	-3.496732103	-0.4513325748	0.3841975798	0.6155989218	-0.5299485791	-2.464989684	3.720521684	2024-11-25@19:58	2.1394	-0.9796384981	1	4.1570710519999994e-16	-0.4318107112	0.2577	-1.6151854129999998e-16	0.174766301	v2.7.1	
3	Broyden	-66.94768274	-83.8448	-0.552804069	YY	10	0.1659490293	self-energy	sharp_wc_5_b_50	2.0097	2	1.135572479	-0.1679987953	0.6006689268	-3.408877781	1.813276603	-3.695864685	1.224737588	0.6713826288	0.01208348949	-3.695593922	1.224693793	0.6711484575	0.01208109173	0.7153037849	0.02004891659	-2.666994156	1.028033672	a248bdd	2x2_2C_8b_C2v_L	7.25	1.01609398	2	1.509882335	1.0160939797680593	1.0	new_boucle_param.py	R0:N10:S0:1	uncorrelated	-0.2676749188	2.681738876	1.279632215	-1.200757246	-1.955879705	3.570331103	-0.4573217322	0.3780458112	1.955886841	-3.570396792	-0.4572655828	0.3780208331	0.6126395148	-0.5392071305	-2.458073608	3.733109967	2024-11-25@20:00	2.1394	-0.9691668118	1	-2.136051776e-16	-0.4385573823	0.2577	6.433945058999999e-17	0.1768134446	v2.7.1	
3	Broyden	-66.64794183	-83.5248	-0.6599378182	YY	10	0.1706071529	self-energy	sharp_wc_5_b_50	2.0097	2	1.134368815	0.2963863867	0.390191979	-3.30327636	1.876343155	-3.698894486	1.259750745	0.6533790788	0.01384315148	-3.69886921	1.259741374	0.6532815973	0.01384225041	0.7951313407	0.01992301642	-2.670433954	1.042613793	a248bdd	2x2_2C_8b_C2v_L	7.23	1.030937634	2	1.496525791	1.030937633985412	1.0	new_boucle_param.py	R0:N10:S0:1	uncorrelated	0.32129055	-2.365072512	1.30176352	-0.9101953982	-1.956940646	3.502042009	-0.4536962737	0.3862026749	1.95695792	-3.502064303	-0.4536825482	0.3861923339	0.6189055273	-0.5342360244	-2.464992771	3.721304569	2024-11-25@20:01	2.1394	-0.9868236987	1	-2.109859311e-17	-0.4336713643	0.2577	3.3900473359999994e-16	0.1752491433	v2.7.1	
