CDMFT_iterations	CDMFT_method	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version
4	Broyden	-83.77855546	-123.2048	3.501980124	YY	11	0.2259212931	self-energy	sharp_wc_2_b_50	2.0097	2	1.264425396	-0.2896749289	1.994227094	-4.804404414	1.962416435	-3.99997087	1.817405714	10.13477822	2.462016274e-11	-5.233671071	1.812369986	-0.3635934752	1.97985959	2.563530455	1.117089027e-16	-3.925467285	1.550606742	a248bdd	2x2_2C_8b_C2v_L	9.71	1.220778609	2	1.663299366	1.2207786093322874	1.0	new_boucle_param.py	R0:N16:S0:1	uncorrelated	0.2393270467	-0.2032712549	1.265253562	-0.5189735584	-1.716761535	1.481512518	-3.23185909e-05	2.108710085e-05	1.888887252	-1.596158119	-0.2399119798	0.5188501316	-5.154605048e-08	3.63022865e-08	-2.303160962	2.756371307	2024-08-08@10:53	2.1394	-0.5718764833	1	1.7304258129999998e-16	-0.168897665	0.2577	7.398510669e-17	0.0721040052	v2.7.1	
7	Broyden	-78.16091735	-121.2848	3.180316296	YY	11	0.2270955892	self-energy	sharp_wc_2_b_50	2.0097	2	1.257414532	1.744278639	4.271750004e-10	-2.969925683	1.960202032	-4.864260633	1.803088757	-0.1779452985	1.983704627	-3.915189667	1.822342195	3.298528731	1.354378154e-10	-0.05374254218	1.988670441	-4.096186696	1.557315265	a248bdd	2x2_2C_8b_C2v_L	9.59	1.221169171	2	1.646875344	1.2211691704799617	1.0	new_boucle_param.py	R0:N16:S0:1	uncorrelated	2.835340674e-05	-8.920933972e-05	1.075035841	-0.5228358218	-1.853681134	1.640971712	0.2060104239	-0.4679285862	1.703061785	-1.453547461	-3.060506369e-05	4.441775768e-05	0.1689240884	-0.4409864661	-2.354594572	2.757464637	2024-08-08@10:54	2.1394	-0.6081335202	1	-4.0387887209999997e-16	-0.1857637862	0.2577	-1.93465482e-16	0.07715981906	v2.7.1	
5	Broyden	-82.41846225	-122.2448	3.39873646	YY	11	0.2255462422	self-energy	sharp_wc_2_b_50	2.0097	2	1.26214781	-0.2238749236	1.994666957	-4.559761898	1.961923519	-3.942309084	1.82068178	7.143078098	2.051203964e-11	-5.160830723	1.809909344	-0.310683442	1.980123528	3.350596989	2.869781127e-12	-3.87391392	1.551211457	a248bdd	2x2_2C_8b_C2v_L	9.65	1.220370854	2	1.658217714	1.2203708537808915	0.9999999999999998	new_boucle_param.py	R0:N16:S0:1	uncorrelated	0.2292905835	-0.1953765065	1.245465389	-0.522384704	-1.709907377	1.462525657	-2.215625109e-05	1.880695973e-05	1.886718548	-1.612819279	0.2367263968	-0.5175493405	-9.207541352e-06	5.976395186e-06	-2.300680009	2.755401653	2024-08-08@10:56	2.1394	-0.5833205695	1	-7.589341158e-16	-0.1747921446	0.2577	8.946988365e-17	0.07420206079	v2.7.1	
13	Broyden	-79.94365686	-121.8448	3.444615307	YY	11	0.2276308167	self-energy	sharp_wc_2_b_50	2.0097	2	1.263241362	-0.1452441942	1.995490561	-4.327496132	1.962940116	-3.949380596	1.799950195	6.156676184	1.994217594e-11	-3.949680362	1.799985375	6.499316655	2.086040913e-12	-0.1630817773	1.980340728	-4.340753047	1.57319393	a248bdd	2x2_2C_8b_C2v_L	9.625	1.222024773	2	1.660193501	1.222024773326443	1.0	new_boucle_param.py	R0:N16:S0:1	uncorrelated	-0.215390231	0.1774070689	1.227292396	-0.5088858238	-1.714364138	1.594671315	-2.023136059e-05	1.792029447e-05	1.714382558	-1.594470163	6.822360131e-06	-5.825167333e-06	0.23203869	-0.5803308846	-2.40026883	2.704842406	2024-08-08@11:01	2.1394	-0.5786538694	1	1.5749226969999998e-16	-0.171232156	0.2577	-3.774600226e-17	0.07246093066	v2.7.1	
2	Broyden	-100.6397396	-160.8048	3.750054503	YY	11	0.3923214617	self-energy	sharp_wc_2_b_50	2.0097	2	1.268490295	-0.1198583138	1.979935984	-4.937115971	1.967246589	-5.645316323	1.852716715	0.1301780199	0.6475492801	-5.657812135	1.853062191	0.1307670972	0.646291276	0.1555085884	0.01111943533	-5.655393899	1.49545792	a248bdd	2x2_2C_8b_C2v_L	12.06	1.386655152	2	1.716631849	1.3866551522606274	1.0000000000000004	new_boucle_param.py	R0:N16:S0:1	uncorrelated	-0.1380061126	0.2264373373	1.123147467	-0.3737161959	-1.707737634	1.123400493	0.1688356167	-2.37297356	1.70963856	-1.121944759	-0.1690759418	2.371959645	0.215292872	-0.1991304009	-2.259011964	2.964726524	2024-08-08@12:06	2.1394	-0.5341224582	1	6.935617579e-16	-0.1751422204	0.2577	-4.910044607e-17	0.07208781446	v2.7.1	
2	Broyden	-100.3551044	-156.8048	3.492222958	YY	11	0.3502291211	self-energy	sharp_wc_2_b_50	2.0097	2	1.264105721	-0.09145600557	1.980147515	-4.933875028	1.962488082	-5.846055782	1.843700523	0.1743634026	0.7317166428	-5.841363007	1.843384952	0.1735430883	0.7342359115	0.2006057233	0.0121698956	-5.765740966	1.51713333	a248bdd	2x2_2C_8b_C2v_L	11.81	1.343755787	2	1.688930696	1.3437557867110446	1.0	new_boucle_param.py	R0:N16:S0:1	uncorrelated	-0.1322606294	0.238731853	1.134694475	-0.4344633968	-1.7569093	1.224467194	-0.1793267769	2.293148243	1.756183448	-1.226216891	0.1790304213	-2.295227733	0.2288894184	-0.2106307207	-2.31377105	2.889888682	2024-08-08@12:06	2.1394	-0.5687274979	1	1.270708597e-16	-0.1789760923	0.2577	3.381048101e-16	0.074942777	v2.7.1	
1	Broyden	-100.6206034	-160.7248	3.745695686	YY	11	0.3911091583	self-energy	sharp_wc_2_b_50	2.0097	2	1.268415799	-0.1188781472	1.979802361	-4.941346165	1.967093755	-5.646777881	1.852237061	0.1299065137	0.6503060408	-5.656158568	1.852517448	0.1304971256	0.6491821654	0.1555969085	0.01122087743	-5.655708858	1.495921632	a248bdd	2x2_2C_8b_C2v_L	12.055	1.385429665	2	1.716103809	1.3854296648255229	0.9999999999999998	new_boucle_param.py	R0:N16:S0:1	uncorrelated	-0.1377566577	0.2273915096	1.123788468	-0.3756063231	-1.70828349	1.127257458	0.1685991884	-2.370227402	1.709715477	-1.126046628	-0.1688621288	2.369316884	0.2152141903	-0.199409648	-2.259665786	2.962711755	2024-08-08@12:07	2.1394	-0.534714189	1	-2.0370238759999998e-16	-0.1751889826	0.2577	6.315612066999999e-16	0.07212462689	v2.7.1	
1	Broyden	-100.3263457	-156.7248	3.48597816	YY	11	0.3494396917	self-energy	sharp_wc_2_b_50	2.0097	2	1.264002512	-0.08962680898	1.980296178	-4.932854715	1.962390939	-5.847143596	1.843442695	0.1751848858	0.7336736413	-5.843211076	1.843186616	0.1745293218	0.7356810918	0.2015622291	0.01211685298	-5.764267291	1.517384968	a248bdd	2x2_2C_8b_C2v_L	11.805	1.342956754	2	1.688230741	1.3429567542161802	0.9999999999999996	new_boucle_param.py	R0:N16:S0:1	uncorrelated	-0.1315622698	0.2380080886	1.13493158	-0.4356580046	-1.757451013	1.22680141	-0.1791684994	2.29046352	1.756851169	-1.228211091	0.1789203521	-2.292096503	0.2287236447	-0.2103594203	-2.314160511	2.888811133	2024-08-08@12:07	2.1394	-0.5695890428	1	3.0711061229999996e-16	-0.1790294422	0.2577	9.549564294e-17	0.07502953575	v2.7.1	
1	Broyden	-100.588861	-160.6448	3.740745744	YY	11	0.3900844464	self-energy	sharp_wc_2_b_50	2.0097	2	1.268331682	-0.1187130074	1.979734651	-4.939322301	1.966951314	-5.648942397	1.851918656	0.1304131985	0.6522522729	-5.652955393	1.852015948	0.1306459106	0.6519568751	0.155401281	0.01128026656	-5.655844754	1.496328375	a248bdd	2x2_2C_8b_C2v_L	12.05	1.38439041	2	1.715558752	1.3843904103512443	1.0	new_boucle_param.py	R0:N16:S0:1	uncorrelated	-0.1376796112	0.2280596395	1.123763519	-0.377264023	-1.708965885	1.130103499	0.1686720146	-2.36790417	1.709590584	-1.129730209	-0.1688021786	2.367760798	0.2151892488	-0.1996257146	-2.26026721	2.961020584	2024-08-08@12:09	2.1394	-0.5353770359	1	2.3358443869999996e-16	-0.175263882	0.2577	3.5736882629999997e-17	0.07217143398	v2.7.1	
1	Broyden	-100.2494406	-156.6448	3.481267746	YY	11	0.3485221616	self-energy	sharp_wc_2_b_50	2.0097	2	1.263922847	-0.08939832464	1.980286064	-4.923862133	1.962236542	-5.838650515	1.842813091	0.1746545279	0.7370922729	-5.839244494	1.842843021	0.1747266264	0.7368977473	0.2019160125	0.0121344258	-5.760418657	1.517581569	a248bdd	2x2_2C_8b_C2v_L	11.8	1.342028817	2	1.687636114	1.3420288167044714	0.9999999999999996	new_boucle_param.py	R0:N16:S0:1	uncorrelated	-0.1314748119	0.2384345934	1.134047258	-0.4373351066	-1.756571343	1.231014468	-0.1787451356	2.286964163	1.75665588	-1.230860696	0.1787829928	-2.286822584	0.2285399316	-0.2104751619	-2.31404197	2.887554688	2024-08-08@12:09	2.1394	-0.5702465446	1	3.919868485e-16	-0.1790484711	0.2577	-1.9337386039999998e-16	0.0750902819	v2.7.1	
1	Broyden	-100.6420684	-160.5648	3.735661832	YY	11	0.3891514524	self-energy	sharp_wc_2_b_50	2.0097	2	1.268245403	-0.1194903727	1.979765797	-4.950683814	1.966902619	-5.663667577	1.851969604	0.1318713086	0.6535119925	-5.661267883	1.851853993	0.1314506478	0.654144209	0.1560382235	0.01124962577	-5.659149007	1.496839253	a248bdd	2x2_2C_8b_C2v_L	12.045	1.383440727	2	1.715032262	1.3834407265395816	1.0	new_boucle_param.py	R0:N16:S0:1	uncorrelated	-0.1379562942	0.2285637807	1.125105992	-0.3782670429	-1.711531543	1.131348388	0.1692220523	-2.367031549	1.711174062	-1.131906966	-0.1690018034	2.367565045	0.2154695656	-0.1997195525	-2.261544785	2.959360293	2024-08-08@12:10	2.1394	-0.536051332	1	-2.923530926e-17	-0.1753554994	0.2577	-3.159696419e-16	0.07222174343	v2.7.1	
1	Broyden	-100.260299	-156.5648	3.474352363	YY	11	0.3478815189	self-energy	sharp_wc_2_b_50	2.0097	2	1.263808294	-0.08688889082	1.980402092	-4.925713657	1.962166539	-5.846513846	1.842903076	0.1765066091	0.7373898523	-5.846136871	1.842777347	0.1762640844	0.7387314527	0.2032728932	0.01213549022	-5.763759421	1.517999897	a248bdd	2x2_2C_8b_C2v_L	11.795	1.341373563	2	1.686915011	1.3413735630497472	1.0000000000000004	new_boucle_param.py	R0:N16:S0:1	uncorrelated	-0.1306591212	0.2375337006	1.134889908	-0.4382247211	-1.758181145	1.23143047	-0.1789987817	2.285152341	1.758101363	-1.232246662	0.17905004	-2.286441156	0.2289013159	-0.2105390173	-2.315454777	2.886349062	2024-08-08@12:10	2.1394	-0.5711905924	1	-3.9991864e-17	-0.1791298654	0.2577	2.965389603e-17	0.07519186544	v2.7.1	
