model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	3.2341443	11.5	2.0097	0.71817165	-2.3902697	-3.6502415	0.9356539	-3.6502544	1.0662528	1.0884816	-3.6593305	9.59	1.0614683e-07	1.0126913	-1.6785355	-1.1215001e-08	1.6785383	-3.3591558e-09	8.1280132e-09	-2.273183	2.1394	1	0.2577	1.2596543	1.6397583	-0.60423555	-0.17973189	0.073551924	0.21426725	0	1.9585335	1.8129261	0	1.8129255	0	0	1.578301	1.2093285	-5.6401828e-07	-0.55554733	1.5545685	3.3679207e-08	-1.554573	9.324953e-09	-7.4774969e-09	2.6841642	0.041536234	0	0.042036916	0.18101275	0	0.18101324	0	0	0.34090476	0.041438227	6.1365113	2.0880518	3.5360571	4.7437542	3.5360606	4.7437462	3.7252442	2.8959864	-72.108756	R0:N12:S0:1	-60.6424	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.36e+02	 2.56e-06	2022-07-06@10:48
2x2_2C_8b_C2v_L	3.2657487	11.5	2.0097	0.92128818	-2.4041025	-3.6574779	1.0478244	-3.6573013	1.2308613	0.99836021	-3.6657579	9.6	-3.4077302e-07	1.0148345	-1.6797584	-1.3749032e-05	1.6797195	4.9429532e-07	-2.6488327e-06	-2.2738995	2.1394	1	0.2577	1.2603551	1.641438	-0.60069726	-0.17804389	0.073041595	0.21448885	0	1.9584513	1.812684	1.5205063e-10	1.8126932	0	0	1.5779701	1.2095503	1.589311e-06	-0.55596446	1.5553652	3.845688e-05	-1.5552979	-1.2536629e-06	2.4808641e-06	2.6849751	0.041567098	0	0.042121296	0.18123905	1.5205063e-10	0.18123163	0	0	0.34110577	0.041470162	6.1374016	2.0876229	3.5356714	4.7446368	3.5356192	4.7447547	3.7260124	2.8944944	-72.227114	R0:N12:S0:1	-60.7224	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.35e+02	 1.29e-04	2022-07-06@10:50
2x2_2C_8b_C2v_L	3.3099985	11.5	2.0097	1.2701202	-2.4195636	-3.6654875	1.2890848	-3.6654807	1.5106455	0.83843574	-3.6725386	9.61	3.9559238e-08	1.0171262	-1.6810477	-5.0345194e-08	1.6810465	-2.2597694e-07	1.2923618e-07	-2.2746573	2.1394	1	0.2577	1.2613348	1.6438089	-0.59573355	-0.17572661	0.072437635	0.21469231	0	1.9583749	1.8124737	0	1.8124738	0	0	1.5776607	1.2097542	-1.5390126e-07	-0.55635628	1.5560219	1.2378135e-07	-1.5560208	5.0368394e-07	-1.2529053e-07	2.6857237	0.041595402	0	0.042199692	0.18143661	0	0.18143653	0	0	0.34129411	0.041499458	6.1382015	2.0872472	3.535263	4.7455525	3.535262	4.7455548	3.7267586	2.8931046	-72.353202	R0:N12:S0:1	-60.8024	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.34e+02	 6.09e-06	2022-07-06@10:52
2x2_2C_8b_C2v_L	3.4132136	11.5	2.0097	1.8417965	-2.4364903	-3.6745569	1.7356672	-3.6745782	1.9389797	0.55671941	-3.6800045	9.62	-4.7806305e-08	1.0195425	-1.6824716	1.3847134e-07	1.6824755	2.0534793e-07	-9.4156537e-07	-2.2755469	2.1394	1	0.2577	1.2636121	1.6495247	-0.58407319	-0.17062491	0.071585875	0.21487686	0	1.9583057	1.8122809	0	1.8122805	0	0	1.5773773	1.2099389	1.4818582e-07	-0.55670834	1.5566402	-2.8233686e-07	-1.5566434	-3.9046865e-07	9.7838132e-07	2.6864128	0.041621004	0	0.042270552	0.18161717	0	0.18161741	0	0	0.34146683	0.041525959	6.1389396	2.0868913	3.5349137	4.7463293	3.5349169	4.7463221	3.7274316	2.8918306	-72.487621	R0:N12:S0:1	-60.8824	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.33e+02	 1.80e-05	2022-07-06@10:54
2x2_2C_8b_C2v_L	3.1851035	11.5	2.0097	0.54966628	-2.3669058	-3.6380591	0.9074883	-3.6383815	0.94913479	1.1180041	-3.6480674	9.57	2.0166852e-05	1.0086895	-1.6763461	7.1784309e-06	1.6764094	-9.3578096e-05	3.0184436e-05	-2.2720974	2.1394	1	0.2577	1.2585659	1.6371293	-0.60973286	-0.18234758	0.074393864	0.21378196	9.9293007e-10	1.9587292	1.813456	0	1.8134465	8.3322124e-09	0	1.5790028	1.2088414	-0.00012228772	-0.55450718	1.5528456	-2.2090612e-05	-1.5529216	0.0002802922	-2.7650655e-05	2.6824899	0.041468366	9.9293007e-10	0.041835837	0.18051686	0	0.1805242	8.3322124e-09	0	0.34047707	0.041368004	6.1346831	2.0887949	3.5369619	4.7417312	3.5370278	4.741582	3.7234657	2.89913	-71.893027	R0:N12:S0:1	-60.4824	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.37e+02	 7.46e-04	2022-07-12@10:30
2x2_2C_8b_C2v_L	3.276439	11.5	2.0097	-0.19503703	-3.9085965	-4.1513096	-0.11600436	-3.7338087	26.290271	0.0048359722	-3.7578157	9.63	-0.18881316	1.1668627	-1.7153162	-0.19259886	1.6505575	0.0040822817	-0.17527285	-2.2565444	2.1394	1	0.2577	1.2561439	1.6601959	-0.58518314	-0.20204006	0.08403146	0.19975877	0.147395	1.9380465	1.8099972	0.3313963	1.6402748	6.0609177e-08	0.0035461162	1.4402864	1.1722644	1.4374726	-0.68386517	1.4233503	1.6931546	-2.2404014	-0.00098577266	0.17306623	2.9554799	0.039688077	0.13183769	0.060925266	0.17512577	0.27513084	0.31135203	6.0609176e-08	0.0035809867	0.40317561	0.047768814	5.1984465	2.2592488	2.9074565	4.6166047	3.5682499	4.0865618	3.7248491	2.4731903	-76.894004	R0:N12:S0:1	-60.9624	uncorrelated	b7fd39a	v1.0.3	34	sharp_wc_2.0_b_50	 1.81e+02	 5.52e-04	2022-07-06@11:16
2x2_2C_8b_C2v_L	3.287385	11.5	2.0097	-3.9191281	-0.19703137	-0.12228267	-4.1730625	-3.7392484	70.062607	0.0041225984	-3.7635951	9.64	-1.1678143	-0.18856693	-0.1948918	1.7175599	1.6509284	0.013503152	-0.17480217	-2.2563031	2.1394	1	0.2577	1.2563593	1.6609363	-0.58385037	-0.20164279	0.083903857	0.19985861	1.9383631	0.1452468	0.33613574	1.8103279	1.638006	1.2261951e-07	0.0035013085	1.4394579	1.1722403	0.68199255	1.4282508	1.7085963	-1.4212812	-2.2497424	-0.0014117649	0.17233702	2.957053	0.039703813	0.060648898	0.13016199	0.27795179	0.1747485	0.31270868	1.226195e-07	0.0035347832	0.40352165	0.047826005	2.2576979	5.2111807	4.6021597	2.899827	3.5615591	4.0783853	3.7258629	2.4703733	-77.027745	R0:N12:S0:1	-61.0424	uncorrelated	b7fd39a	v1.0.3	29	sharp_wc_2.0_b_50	 1.81e+02	 5.34e-04	2022-07-06@11:41
2x2_2C_8b_C2v_L	3.1649716	11.5	2.0097	0.56584096	-2.3572094	-3.63304	0.92855171	-3.6331048	0.89941246	1.1176032	-3.6422191	9.56	-4.2047767e-06	1.006686	-1.675205	-9.6632373e-05	1.6752252	2.8434173e-05	-0.00012420577	-2.2713289	2.1394	1	0.2577	1.2581196	1.6360297	-0.61199656	-0.18341031	0.074750968	0.21350784	0	1.9588439	1.8137595	9.237704e-09	1.8137504	8.3816922e-10	1.467539e-09	1.5793777	1.2085671	2.5258631e-05	-0.55389682	1.5518772	0.00029408242	-1.5519382	-8.820715e-05	0.00011386751	2.6815758	0.04143004	0	0.041717849	0.18023195	9.237704e-09	0.18023948	8.3816922e-10	1.467539e-09	0.34024886	0.041328387	6.133604	2.0892334	3.5375071	4.7404953	3.5375498	4.7404005	3.7225742	2.900818	-71.790997	R0:N12:S0:1	-60.4024	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.38e+02	 2.48e-03	2022-07-07@10:59
2x2_2C_8b_C2v_L	3.1433168	11.5	2.0097	0.58736947	-2.3512117	-3.6283428	0.9418209	-3.6279792	0.89609715	1.1282731	-3.636358	9.55	-5.8605433e-05	1.0058216	-1.6749909	6.3107089e-05	1.6749134	3.3576845e-05	-4.1650919e-05	-2.271391	2.1394	1	0.2577	1.2576356	1.6348855	-0.6144192	-0.1845766	0.075153612	0.21332398	7.9806151e-09	1.9589406	1.8139546	3.8946484e-09	1.813971	1.1869596e-09	1.6430957e-10	1.5796099	1.208381	0.00034775562	-0.55332526	1.5513012	-0.00019114113	-1.5511784	-0.00010482491	3.8127344e-05	2.6810861	0.041404021	7.9806151e-09	0.041618547	0.18004781	3.8946484e-09	0.18003462	1.1869596e-09	1.6430957e-10	0.34010531	0.041301464	6.1330744	2.0892471	3.5379753	4.7395109	3.5378769	4.7397318	3.7217788	2.901827	-71.702706	R0:N12:S0:1	-60.3224	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.39e+02	 2.86e-03	2022-07-07@11:00
2x2_2C_8b_C2v_L	3.1283949	11.5	2.0097	0.63740134	-2.3448616	-3.6246408	0.97980658	-3.6247289	0.90332134	1.1690458	-3.6321575	9.54	-7.4669951e-05	1.0038122	-1.6737416	-5.5440366e-06	1.6737639	-3.8692789e-05	-0.0001095159	-2.2708034	2.1394	1	0.2577	1.2573051	1.6340404	-0.61610581	-0.18534767	0.075423633	0.21299361	1.1937922e-08	1.9590923	1.8143321	0	1.8143247	1.5650529e-09	1.1071283e-09	1.5800532	1.2080494	0.00042745535	-0.55248179	1.5500363	1.6422682e-05	-1.5500874	0.00012043495	9.9426103e-05	2.6800448	0.041357677	1.1937922e-08	0.041462473	0.17969553	0	0.17970155	1.5650529e-09	1.1071283e-09	0.33983424	0.041253539	6.1318639	2.0896219	3.5385693	4.7382084	3.538607	4.7381245	3.7205939	2.9038068	-71.616283	R0:N12:S0:1	-60.2424	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.39e+02	 3.76e-04	2022-07-07@11:02
