CDMFT_iterations	CDMFT_method	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
5	Broyden	-81.64595204	-127.8448	2.334276321	YY	9	0.4079702371	self-energy	sharp_wc_2_b_50	2.0097	2	1.231134651	-2.885193749	1.965939327	7.23188637	3.41287334e-09	0.2110752301	0.7990523037	-4.369137905	1.770885305	0.2109179046	0.7995077192	-4.368783014	1.77078291	0.2469638016	0.00692013268	-4.256703213	1.311134748	a248bdd	2x2_2C_8b_C2v_L	10	1.393944388	2	1.666928989	1.3939443876307374	0.9999999999999997	new_boucle_param.py	R0:N14:S0:1	uncorrelated	1.018733112	-0.3212088201	0.0002181560587	-0.0003010032786	-0.2273382885	2.558261325	1.70171298	-1.443886487	0.2272982646	-2.558496578	1.701662668	-1.444384116	-0.2960168547	0.267463495	2.274105404	-3.387266774	2024-07-18@10:49	2.1394	-0.6819897117	1	6.950409828e-16	-0.2646336351	0.2577	3.934332304e-16	0.10695857	v2.7.1	
1	Broyden	-81.58222485	-127.6848	2.322091935	YY	9	0.4068597301	self-energy	sharp_wc_2_b_50	2.0097	2	1.230870181	-2.882785417	1.965840922	7.309965258	5.546107724e-11	0.2123265738	0.8021605631	-4.367586913	1.770179411	0.2122995438	0.8022100508	-4.367453025	1.770165769	0.2483508026	0.00695294981	-4.253843042	1.311474298	a248bdd	2x2_2C_8b_C2v_L	9.99	1.392754009	2	1.66594484	1.3927540092305706	0.9999999999999999	new_boucle_param.py	R0:N14:S0:1	uncorrelated	1.01888455	-0.3223431472	2.805216464e-05	-3.838100974e-05	-0.2275885068	2.556897755	1.702524045	-1.448571049	0.2275732731	-2.556910244	1.702497508	-1.448626385	-0.296414521	0.2679437908	2.275236719	-3.386232791	2024-07-18@10:50	2.1394	-0.6835182759	1	4.528412855e-16	-0.2649449928	0.2577	3.702561785e-16	0.1071588435	v2.7.1	
1	Broyden	-81.52151748	-127.5248	2.309345065	YY	9	0.4057995689	self-energy	sharp_wc_2_b_50	2.0097	2	1.230594794	-2.879984625	1.965756778	7.295826672	4.119835289e-10	0.2141035576	0.8044135023	-4.367112596	1.769705968	0.2137810201	0.8053444474	-4.366427745	1.769500218	0.2500208394	0.006987362836	-4.251465071	1.31183752	a248bdd	2x2_2C_8b_C2v_L	9.98	1.391613551	2	1.664923587	1.391613550573613	0.9999999999999998	new_boucle_param.py	R0:N14:S0:1	uncorrelated	1.018949053	-0.323361094	7.633998679e-05	-0.0001045729443	-0.227977048	2.555556038	1.703499703	-1.45214745	0.2278968705	-2.556025311	1.703398714	-1.45315174	-0.2969042234	0.268459465	2.276475307	-3.385236505	2024-07-18@10:52	2.1394	-0.6851191275	1	3.196904154e-16	-0.2652697409	0.2577	-2.461619581e-16	0.1073687743	v2.7.1	
1	Broyden	-81.45920633	-127.3648	2.29643209	YY	9	0.4047564667	self-energy	sharp_wc_2_b_50	2.0097	2	1.230315982	-2.877054085	1.965675332	7.42455385	5.108495238e-13	0.2156358512	0.8074514084	-4.365829272	1.769055727	0.2155744288	0.8076318078	-4.365677216	1.769015353	0.2517432763	0.007022583439	-4.248962482	1.312187449	a248bdd	2x2_2C_8b_C2v_L	9.97	1.390490085	2	1.663889505	1.3904900847605606	1.0	new_boucle_param.py	R0:N14:S0:1	uncorrelated	1.018991457	-0.3243535027	2.726159992e-06	-3.684531483e-06	-0.2283026297	2.55464601	1.704350866	-1.456561189	0.2282877829	-2.554734583	1.704328053	-1.456756814	-0.2974070096	0.268988587	2.277685779	-3.384270779	2024-07-18@10:53	2.1394	-0.6867421198	1	-3.327531647e-16	-0.2655965694	0.2577	-2.070907805e-17	0.1075824382	v2.7.1	
1	Broyden	-81.39986227	-127.2048	2.283050722	YY	9	0.4037645246	self-energy	sharp_wc_2_b_50	2.0097	2	1.2300283	-2.873819793	1.96560853	7.344124085	3.32336692e-12	0.2176459672	0.8098194543	-4.3654377	1.768595449	0.2175322296	0.8101571149	-4.365208833	1.768521943	0.2538000209	0.007060246093	-4.247044494	1.312567759	a248bdd	2x2_2C_8b_C2v_L	9.96	1.389417376	2	1.662824459	1.3894173759671218	0.9999999999999999	new_boucle_param.py	R0:N14:S0:1	uncorrelated	1.018956478	-0.3252271443	-6.892679361e-06	9.390942063e-06	-0.2287585939	2.553877189	1.705338006	-1.46007268	0.2287334219	-2.554045833	1.705304918	-1.46043441	-0.2980273038	0.2695690035	2.279030495	-3.383336534	2024-07-18@10:55	2.1394	-0.6884272286	1	4.190760738e-16	-0.2659318935	0.2577	-3.551674249e-16	0.1078080649	v2.7.1	
1	Broyden	-81.33769485	-127.0448	2.269746973	YY	9	0.4027536354	self-energy	sharp_wc_2_b_50	2.0097	2	1.229741669	-2.870744673	1.96553501	7.847255287	8.918314428e-13	0.2193362682	0.8126679977	-4.364277636	1.767999119	0.2194167985	0.8124320789	-4.364433316	1.768050336	0.2556580868	0.007096463756	-4.244638959	1.312916038	a248bdd	2x2_2C_8b_C2v_L	9.95	1.388325739	2	1.661758804	1.3883257389233896	0.9999999999999998	new_boucle_param.py	R0:N14:S0:1	uncorrelated	1.018964649	-0.3261543864	3.765900791e-06	-4.878446078e-06	-0.2291174202	2.553021214	1.706211099	-1.464208827	0.229136782	-2.552906005	1.706233805	-1.463956914	-0.298563634	0.270112759	2.28027123	-3.382408939	2024-07-18@10:57	2.1394	-0.6901040397	1	-4.19431945e-18	-0.266261153	0.2577	3.222757543e-16	0.108033482	v2.7.1	
1	Broyden	-81.27660676	-126.8848	2.256115673	YY	9	0.401771067	self-energy	sharp_wc_2_b_50	2.0097	2	1.229448784	-2.86756655	1.965469159	7.10319477	1.947744026e-07	0.221356875	0.8148957221	-4.363588425	1.767554724	0.2212957591	0.8151108617	-4.36358256	1.767510338	0.2576833551	0.00713371981	-4.242478427	1.313275891	a248bdd	2x2_2C_8b_C2v_L	9.94	1.387262347	2	1.66066883	1.3872623472163153	0.9999999999999992	new_boucle_param.py	R0:N14:S0:1	uncorrelated	1.018943685	-0.3270198315	-0.001624600929	0.002268829917	-0.229547604	2.552061319	1.707150013	-1.467594538	0.2295383642	-2.552177941	1.707161847	-1.467826306	-0.2991491274	0.2706761528	2.281573485	-3.381502272	2024-07-18@10:58	2.1394	-0.6918254636	1	3.929859608e-16	-0.2665939281	0.2577	-3.518854048e-17	0.1082679938	v2.7.1	
1	Broyden	-81.21290209	-126.7248	2.24260527	YY	9	0.4007753578	self-energy	sharp_wc_2_b_50	2.0097	2	1.229157987	-2.864466546	1.965398117	9.025488211	1.361710771e-11	0.2231058443	0.8175858018	-4.362350178	1.76698544	0.2231255426	0.8175152671	-4.362372957	1.767000288	0.2595352308	0.007169998259	-4.239836769	1.313602262	a248bdd	2x2_2C_8b_C2v_L	9.93	1.386185706	2	1.659581711	1.3861857061487597	1.0000000000000002	new_boucle_param.py	R0:N14:S0:1	uncorrelated	1.018950033	-0.3279252821	-1.648425539e-05	1.916555682e-05	-0.2299032927	2.551079262	1.708024055	-1.471568832	0.2299050954	-2.551042143	1.7080245	-1.471492732	-0.299666844	0.2712138564	2.282771678	-3.38061118	2024-07-18@11:00	2.1394	-0.6935345123	1	3.578526941e-16	-0.266917756	0.2577	3.020267124e-16	0.1085051392	v2.7.1	
4	Broyden	-81.64440681	-126.5648	2.377626598	YY	9	0.3924037381	self-energy	sharp_wc_2_b_50	2.0097	2	1.231373075	-3.245147673	1.941838479	-0.01782824427	0.1504945531	0.1852035027	0.7773909432	-4.298816364	1.766485652	0.1851924611	0.7774326742	-4.299815144	1.766503298	0.2185325538	0.008012045226	-4.160163733	1.305204616	a248bdd	2x2_2C_8b_C2v_L	9.92	1.376659435	2	1.670336876	1.3766594344347476	0.9999999999999998	new_boucle_param.py	R0:N14:S0:1	uncorrelated	1.066438125	-0.4821978844	0.1271297093	-1.354508539	-0.2242580573	2.497823551	1.699634023	-1.462317337	0.2242554381	-2.497911629	1.699826543	-1.462320678	-0.2908273794	0.2759681296	2.267881204	-3.374579652	2024-07-18@11:03	2.1394	-0.6748476654	1	-1.442317612e-16	-0.265887733	0.2577	-3.736592739e-17	0.1067464483	v2.7.1	
1	Broyden	-81.08596808	-126.4048	2.214665104	YY	9	0.3988390247	self-energy	sharp_wc_2_b_50	2.0097	2	1.228558363	-2.858059253	1.965269952	13.70650985	4.976259346e-12	0.2269069898	0.8225701708	-4.359931189	1.765952089	0.2269768955	0.8223542067	-4.360058341	1.765998018	0.2635022464	0.00724432977	-4.234837865	1.314262633	a248bdd	2x2_2C_8b_C2v_L	9.91	1.38408715	2	1.657333875	1.3840871500925904	0.9999999999999996	new_boucle_param.py	R0:N14:S0:1	uncorrelated	1.018906304	-0.3296227416	1.411251795e-05	-1.173486254e-05	-0.2306638385	2.549208364	1.709762897	-1.478959928	0.2306774269	-2.549105952	1.70978052	-1.478731362	-0.3007709836	0.2723169266	2.285243073	-3.378883651	2024-07-18@11:04	2.1394	-0.6970780925	1	-1.266914851e-16	-0.2675737111	0.2577	1.334512168e-16	0.1090048181	v2.7.1	
