CDMFT_iterations	CDMFT_method	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
10	Broyden	-68.22244442	-103.6848	0.7319928061	YY	8.4	0.3317312295	self-energy	sharp_wc_2_b_50	2.0097	2	1.185079192	0.008802638339	0.3763976485	-2.279046588	1.868583037	-3.295090507	1.60800116	0.2277479523	1.095768203	-3.298009922	1.608237256	0.2278002899	1.095624029	0.2769489031	0.01615059951	-3.096125236	1.164704504	a248bdd	2x2_2C_8b_C2v_L	8.49	1.291633391	2	1.581722882	1.291633390468467	1.9999999999999987	new_boucle_param.py	R0:N14:S0:1	uncorrelated	-0.1430294011	1.931951985	1.008341147	-0.7890932744	-1.667959633	2.079338755	-0.2526404663	2.549658628	1.668624364	-2.078912458	0.2528167589	-2.55020128	0.3360028872	-0.3549945364	-2.26124679	3.594116244	2024-07-17@09:16	2.1394	-0.852851572	1	-1.252972323e-15	-0.3500590833	0.2577	2.364759043e-16	0.1435532998	v2.7.1	
8	Broyden	-68.1517678	-103.5248	0.7177115844	YY	8.4	0.3310355029	self-energy	sharp_wc_2_b_50	2.0097	2	1.184664676	0.009310147095	0.3796628893	-2.276610346	1.867666041	-3.289254889	1.606831853	0.2282498846	1.098344183	-3.296157038	1.607444378	0.2290677655	1.097323392	0.2778640196	0.01623387073	-3.090473185	1.163900796	a248bdd	2x2_2C_8b_C2v_L	8.48	1.290648149	2	1.580844845	1.290648148958139	2.000000000000001	new_boucle_param.py	R0:N14:S0:1	uncorrelated	-0.1433625232	1.938331472	1.008325616	-0.7932978101	-1.667561599	2.083894186	-0.2532868376	2.549994166	1.669453118	-2.082569116	0.2536914567	-2.551152842	0.3369131444	-0.3559007587	-2.2614906	3.595285957	2024-07-17@09:19	2.1394	-0.8544293592	1	3.576218718e-16	-0.3506837815	0.2577	1.991169681e-16	0.1438360406	v2.7.1	
8	Broyden	-68.08966767	-103.3648	0.7025892145	YY	8.4	0.3303782668	self-energy	sharp_wc_2_b_50	2.0097	2	1.184237334	0.009813429061	0.3839730223	-2.271005574	1.86647365	-3.287838795	1.605871329	0.2293062426	1.101223599	-3.297541077	1.607765858	0.2321432301	1.096220763	0.279030881	0.01636378382	-3.084726175	1.163209643	a248bdd	2x2_2C_8b_C2v_L	8.47	1.289724588	2	1.57987154	1.2897245877615728	2.0	new_boucle_param.py	R0:N14:S0:1	uncorrelated	-0.1435646691	1.945273846	1.007656124	-0.7984407982	-1.668228498	2.088600821	-0.2539816793	2.550209356	1.670987695	-2.082246892	0.255151322	-2.553587526	0.337915448	-0.3570301375	-2.261811149	3.596216451	2024-07-17@09:21	2.1394	-0.8561407645	1	4.398627646e-16	-0.3512783785	0.2577	4.098799487e-17	0.1441232632	v2.7.1	
8	Broyden	-68.01767644	-103.2048	0.6886743878	YY	8.4	0.3296688332	self-energy	sharp_wc_2_b_50	2.0097	2	1.183831484	0.0103341551	0.3875554317	-2.268716438	1.865498311	-3.287646585	1.605701739	0.2315309584	1.100980083	-3.289019509	1.605895842	0.2317660504	1.100526511	0.2814940675	0.0164380691	-3.079747198	1.162469487	a248bdd	2x2_2C_8b_C2v_L	8.46	1.288733631	2	1.579004994	1.2887336312054685	2.0	new_boucle_param.py	R0:N14:S0:1	uncorrelated	-0.1438670812	1.951532572	1.007722709	-0.8029610119	-1.669502262	2.089832244	-0.2549272063	2.551581022	1.669827592	-2.089238401	0.2549741698	-2.551870876	0.3389125045	-0.3578953065	-2.262566554	3.597337252	2024-07-17@09:24	2.1394	-0.8576775214	1	8.143300528e-17	-0.351883274	0.2577	1.087162694e-16	0.1443948779	v2.7.1	
8	Broyden	-67.92356549	-103.0448	0.674686941	YY	8.4	0.328990144	self-energy	sharp_wc_2_b_50	2.0097	2	1.183420635	0.01078086424	0.3905798403	-2.260838028	1.864426943	-3.280865667	1.60418547	0.2314203388	1.104278202	-3.28279091	1.604747091	0.2323441788	1.10259271	0.281374178	0.01651872589	-3.074073062	1.161631342	a248bdd	2x2_2C_8b_C2v_L	8.45	1.287759919	2	1.578161936	1.287759918395611	1.9999999999999993	new_boucle_param.py	R0:N14:S0:1	uncorrelated	-0.1441603843	1.956956157	1.006546327	-0.8072135652	-1.66881468	2.095618217	-0.2552838328	2.551305592	1.669397142	-2.093541102	0.2555900892	-2.552253692	0.3396024361	-0.3586246092	-2.262638317	3.598664906	2024-07-17@09:27	2.1394	-0.8592067088	1	3.684108271e-16	-0.3525202191	0.2577	6.046453996e-17	0.1446730678	v2.7.1	
8	Broyden	-67.85651956	-102.8848	0.6602664792	YY	8.4	0.3283090614	self-energy	sharp_wc_2_b_50	2.0097	2	1.183005504	0.01145175651	0.3940157443	-2.259940012	1.863512626	-3.278332347	1.603568806	0.2328838387	1.105590346	-3.278380476	1.60379136	0.2333116674	1.104758663	0.2830869592	0.0166053514	-3.068514402	1.160921609	a248bdd	2x2_2C_8b_C2v_L	8.44	1.286808874	2	1.577245057	1.2868088733736274	2.0000000000000004	new_boucle_param.py	R0:N14:S0:1	uncorrelated	-0.1443308966	1.962987431	1.006965127	-0.8115767324	-1.669265537	2.098521686	-0.2560723226	2.551971395	1.669311924	-2.097544037	0.2561525594	-2.552289816	0.3405852429	-0.3595878974	-2.263040916	3.599645854	2024-07-17@09:29	2.1394	-0.8608184993	1	2.183318071e-16	-0.3531148458	0.2577	-4.356651025e-18	0.1449460911	v2.7.1	
13	Broyden	-67.78604269	-102.7248	0.6464546395	YY	8.4	0.3276042099	self-energy	sharp_wc_2_b_50	2.0097	2	1.182594317	0.01178284657	0.3965565365	-2.252051847	1.862502413	-3.274444943	1.602271667	0.2325662914	1.108961546	-3.281081607	1.603267643	0.2338965459	1.106689319	0.2818706996	0.01668181968	-3.061213449	1.159899253	a248bdd	2x2_2C_8b_C2v_L	8.43	1.285792451	2	1.576426355	1.2857924504958538	2.0	new_boucle_param.py	R0:N14:S0:1	uncorrelated	-0.1445425903	1.967970596	1.005768039	-0.8154337477	-1.669228368	2.103922029	-0.2567990743	2.552523493	1.67100577	-2.100907391	0.2573816361	-2.554351625	0.3414555571	-0.3605975223	-2.262547121	3.600984616	2024-07-17@09:33	2.1394	-0.8623169589	1	3.829578525e-16	-0.3537590898	0.2577	1.589418508e-17	0.1452272925	v2.7.1	
8	Broyden	-67.72419586	-102.5648	0.6313515422	YY	8.4	0.3269526589	self-energy	sharp_wc_2_b_50	2.0097	2	1.182167728	0.01236467161	0.4026397837	-2.250007557	1.86105735	-3.27425401	1.602451858	0.2362003464	1.107825671	-3.276110774	1.602644186	0.2363882613	1.107516781	0.2851934975	0.01682016144	-3.05776346	1.159491071	a248bdd	2x2_2C_8b_C2v_L	8.42	1.284888285	2	1.575423754	1.284888284301444	2.0	new_boucle_param.py	R0:N14:S0:1	uncorrelated	-0.1449245847	1.976877159	1.005987064	-0.8222228766	-1.670532175	2.103945279	-0.2578691672	2.553659129	1.67099598	-2.103479632	0.2579772043	-2.554025373	0.3423030286	-0.3614422988	-2.263798844	3.601701713	2024-07-17@09:36	2.1394	-0.8640372742	1	3.636616794e-16	-0.3543253991	0.2577	9.298407457e-17	0.1454977646	v2.7.1	
8	Broyden	-67.64460747	-102.4048	0.6172594856	YY	8.4	0.3262800534	self-energy	sharp_wc_2_b_50	2.0097	2	1.181754762	0.01302223091	0.4061670595	-2.240718252	1.859842065	-3.271752706	1.601354589	0.2367993179	1.11053209	-3.271929019	1.601902529	0.2376637933	1.108765514	0.2875806206	0.01692290748	-3.053673366	1.158809076	a248bdd	2x2_2C_8b_C2v_L	8.41	1.283926042	2	1.574551617	1.2839260420303218	1.9999999999999998	new_boucle_param.py	R0:N14:S0:1	uncorrelated	-0.1452171586	1.982335543	1.004551405	-0.8269562138	-1.670914416	2.108746902	-0.2581868956	2.553458802	1.671033019	-2.106442137	0.2585993929	-2.554538948	0.343743865	-0.3626795688	-2.264826446	3.602851732	2024-07-17@09:39	2.1394	-0.8655906994	1	1.678295872e-16	-0.3549387157	0.2577	-3.061530806e-16	0.1457666838	v2.7.1	
3	Broyden	-67.56055676	-102.2448	0.6040478497	YY	8.4	0.3255573555	self-energy	sharp_wc_2_b_50	2.0097	2	1.181356371	0.01340246846	0.4090679928	-2.237508327	1.858814592	-3.265014524	1.600338719	0.2370430276	1.1121906	-3.267712166	1.600312365	0.2368804709	1.112853895	0.2859570473	0.01700091914	-3.046172236	1.157811098	a248bdd	2x2_2C_8b_C2v_L	8.4	1.282902455	2	1.573765514	1.2829024545561036	1.9999999999999987	new_boucle_param.py	R0:N14:S0:1	uncorrelated	-0.1454044102	1.987788573	1.004617263	-0.8314228484	-1.67013808	2.112345411	-0.2588139639	2.553836061	1.670934143	-2.113056697	0.2590277532	-2.554045999	0.3441985095	-0.3633937618	-2.264152008	3.604114236	2024-07-17@09:40	2.1394	-0.8670129192	1	-4.37475963e-16	-0.355568111	0.2577	3.602113152e-16	0.1460338918	v2.7.1	
