model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	0.94562696	12.5	2.0097	0.022315499	-2.3699393	-3.3695225	0.26882141	-3.368107	0.26551235	0.30320962	-3.0092916	8.13	0.14561014	1.0249523	-1.7326197	-0.27109585	1.7326252	0.26965818	-0.36362301	-2.3293289	2.1394	1	0.2577	1.1923311	1.5291811	-0.83685782	-0.3248136	0.13258952	0.13848092	0.45018924	1.8583069	1.5680518	0.52247496	1.5691816	0.53797649	0.017721694	1.2638806	1.0530542	-2.0269036	-1.0003335	2.397158	1.3575022	-2.3921995	-1.3802308	0.34592487	3.2818955	0.029745462	0.29547865	0.129258	0.34247436	0.51255808	0.34169445	0.52126898	0.01786833	0.43684437	0.053426492	4.5157198	2.4572719	3.1162953	4.5895595	3.1089976	4.5870201	3.5655137	1.9017423	-63.927966	R0:N12:S0:1	-48.9624	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	356.0	1000000.0	2022-07-22@11:42
2x2_2C_8b_C2v_L	0.96490376	12.5	2.0097	0.022161465	-2.3748396	-3.3735076	0.26662069	-3.375482	0.26612212	0.30174361	-3.0150582	8.14	0.14539825	1.0253346	-1.7324886	-0.27015006	1.7331179	0.26994737	-0.36271662	-2.3289698	2.1394	1	0.2577	1.1929087	1.5301984	-0.83475891	-0.32392093	0.13213111	0.13869424	0.44533979	1.8596159	1.5704135	0.52706791	1.5705228	0.52835056	0.017749473	1.2657378	1.0538006	-2.0196554	-0.99509095	2.3887972	1.3680485	-2.3887588	-1.3693838	0.34556869	3.2779647	0.029784003	0.29385406	0.12820048	0.34115772	0.51400401	0.34107345	0.51486242	0.017898816	0.43657045	0.053330005	4.521351	2.457323	3.1174595	4.5908747	3.1168371	4.5904985	3.5662268	1.9095683	-64.003697	R0:N12:S0:1	-49.0424	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	355.0	0.00165	2022-07-22@11:44
2x2_2C_8b_C2v_L	0.98525807	12.5	2.0097	0.022090693	-2.3803539	-3.3789944	0.26641338	-3.3784507	0.26423515	0.3004043	-3.0212002	8.15	0.14515874	1.0257813	-1.7324935	-0.26999147	1.7327433	0.26911347	-0.36190481	-2.3288474	2.1394	1	0.2577	1.19351	1.5312946	-0.83251127	-0.32302327	0.13162651	0.13890789	0.44020649	1.861017	1.5717389	0.52020616	1.5724891	0.53082987	0.01777971	1.2675751	1.0545394	-2.011871	-0.98949672	2.385064	1.3604311	-2.3817828	-1.3761985	0.34524502	3.2741452	0.029822563	0.29209878	0.12706628	0.34051322	0.50917222	0.33998541	0.51519123	0.01793171	0.43630015	0.053234774	4.5278645	2.4573151	3.1236787	4.5937634	3.1184495	4.5918893	3.5668436	1.9171284	-64.075386	R0:N12:S0:1	-49.1224	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	353.0	1000000.0	2022-07-22@11:45
2x2_2C_8b_C2v_L	1.0047421	12.5	2.0097	0.021953469	-2.3842787	-3.3860118	0.26384846	-3.3835409	0.26491	0.299399	-3.0291913	8.16	0.14488497	1.0259143	-1.7332916	-0.26900527	1.7323312	0.26938559	-0.36126089	-2.3292663	2.1394	1	0.2577	1.1940933	1.5323037	-0.8304029	-0.3220948	0.13117419	0.1391247	0.43499997	1.8623592	1.5741805	0.52520388	1.5738374	0.52076914	0.017823909	1.2696669	1.0552898	-2.0038076	-0.98392226	2.3769579	1.3711684	-2.3779164	-1.3650741	0.34500552	3.2700258	0.029861587	0.29029257	0.12597898	0.33911972	0.51097251	0.33936918	0.50831272	0.017979156	0.43598804	0.053136917	4.5343174	2.4571449	3.1244265	4.59457	3.1266444	4.5956182	3.5671495	1.9252738	-64.155812	R0:N12:S0:1	-49.2024	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	352.0	1000000.0	2022-07-22@11:46
2x2_2C_8b_C2v_L	1.0233821	12.5	2.0097	0.022053984	-2.3872421	-3.3934996	0.26481144	-3.3926003	0.262853	0.2965162	-3.0320282	8.17	0.14473138	1.0259785	-1.7337441	-0.26946052	1.7337324	0.2686256	-0.35970832	-2.3278773	2.1394	1	0.2577	1.1946581	1.5332364	-0.82841849	-0.32115355	0.13075277	0.13934094	0.43019229	1.8635892	1.5757066	0.51595866	1.5763448	0.52486288	0.01782561	1.2713536	1.0560416	-1.9963021	-0.9787777	2.3727952	1.3614352	-2.3699238	-1.3747539	0.3443373	3.2660594	0.029900629	0.28862094	0.12498333	0.33839199	0.50450011	0.33793952	0.50957315	0.01798378	0.43573564	0.053040392	4.5400741	2.4570877	3.1324051	4.5977041	3.127949	4.5963412	3.5685247	1.9331253	-64.232472	R0:N12:S0:1	-49.2824	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	350.0	1000000.0	2022-07-22@11:47
2x2_2C_8b_C2v_L	1.0420568	12.5	2.0097	0.021866457	-2.394402	-3.3953357	0.26125301	-3.3995415	0.2645193	0.29632366	-3.0403055	8.18	0.14449662	1.0266808	-1.733061	-0.26783021	1.7339491	0.26927751	-0.35929405	-2.3285047	2.1394	1	0.2577	1.1952249	1.5341494	-0.82644752	-0.32017921	0.13034448	0.13955637	0.42509401	1.8650117	1.5783457	0.52552811	1.5772741	0.51026891	0.017860581	1.273451	1.0567915	-1.988455	-0.97324732	2.3627964	1.3793939	-2.3681671	-1.3559605	0.34419944	3.2619371	0.029939339	0.28676208	0.12382391	0.33683426	0.50874445	0.337591	0.50015524	0.018021464	0.43541286	0.05294201	4.5466768	2.4571514	3.1305393	4.5983492	3.1382717	4.6003314	3.5687684	1.9412522	-64.313198	R0:N12:S0:1	-49.3624	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	349.0	1000000.0	2022-07-22@11:47
2x2_2C_8b_C2v_L	1.0590197	12.5	2.0097	0.021823434	-2.3988008	-3.4022744	0.26141323	-3.402623	0.26180813	0.29416535	-3.0453851	8.19	0.14428195	1.0269826	-1.7334702	-0.26801435	1.7335181	0.26819144	-0.3582005	-2.3278761	2.1394	1	0.2577	1.1957479	1.5349495	-0.82468532	-0.31924395	0.12994847	0.13976519	0.42011606	1.866307	1.579508	0.51637976	1.5794511	0.51502622	0.017879768	1.275249	1.0575208	-1.980443	-0.96794211	2.3599834	1.3681863	-2.360298	-1.3662944	0.34375117	3.2580292	0.029976966	0.28494975	0.12276988	0.33628764	0.50268088	0.33633623	0.50187363	0.018043268	0.43513751	0.052846677	4.5534051	2.457077	3.1378375	4.6014315	3.1385989	4.6016292	3.5696568	1.9489668	-64.38351	R0:N12:S0:1	-49.4424	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	347.0	0.00146	2022-07-22@11:49
2x2_2C_8b_C2v_L	1.0751211	12.5	2.0097	0.021826984	-2.4026794	-3.4082235	0.2605981	-3.4077027	0.26038181	0.29274196	-3.0517505	8.2	0.14407875	1.0271273	-1.7336847	-0.26768805	1.7335601	0.26759077	-0.35728234	-2.3278418	2.1394	1	0.2577	1.1962473	1.5357178	-0.82301395	-0.31835969	0.12957437	0.13998193	0.4150717	1.8676069	1.581169	0.5129116	1.5812311	0.51393966	0.017894325	1.2771558	1.058255	-1.9722811	-0.96253173	2.3548719	1.3660168	-2.3544998	-1.3676345	0.343324	3.2540965	0.03001589	0.28308335	0.12171022	0.33540172	0.49967934	0.33535654	0.50025505	0.018060412	0.43484467	0.052752716	4.5602929	2.4568431	3.1423474	4.6036791	3.1417969	4.6035633	3.5702797	1.9566851	-64.458445	R0:N12:S0:1	-49.5224	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	346.0	0.00095	2022-07-22@11:50
2x2_2C_8b_C2v_L	1.0912937	12.5	2.0097	0.021798242	-2.4067372	-3.4128747	0.25979566	-3.4129893	0.25905597	0.2915963	-3.0582046	8.21	0.1438637	1.0273903	-1.7335873	-0.26734743	1.7336216	0.26702864	-0.3565478	-2.3278024	2.1394	1	0.2577	1.1967478	1.5364886	-0.82133305	-0.31747451	0.12920061	0.14019777	0.41026469	1.8688297	1.5827301	0.50909708	1.5831214	0.51297622	0.017924332	1.2790914	1.0589913	-1.964336	-0.95750172	2.3499131	1.3632809	-2.3482945	-1.3694912	0.34306438	3.2500827	0.030054633	0.28126845	0.12071226	0.33457241	0.49645584	0.33431004	0.49862465	0.018093361	0.43454134	0.052658103	4.5669608	2.4567342	3.1469005	4.6059938	3.1450571	4.6055362	3.5709118	1.964569	-64.531596	R0:N12:S0:1	-49.6024	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	344.0	1000000.0	2022-07-22@11:50
2x2_2C_8b_C2v_L	1.1075439	12.5	2.0097	0.02168423	-2.4143023	-3.4170255	0.25743237	-3.4193692	0.2587343	0.28947099	-3.0633516	8.22	0.14365987	1.0281844	-1.7333551	-0.26647187	1.7339345	0.2669962	-0.35532499	-2.327181	2.1394	1	0.2577	1.1972485	1.5372689	-0.81964	-0.31659118	0.12883158	0.14040316	0.40509098	1.8702678	1.5850506	0.51342575	1.5841757	0.50426598	0.017916088	1.280932	1.0597188	-1.9559803	-0.95186521	2.34161	1.3736379	-2.3458282	-1.3580775	0.3424748	3.2460629	0.030091577	0.27926129	0.1195325	0.33322574	0.49777249	0.3338064	0.49281328	0.0180872	0.43424949	0.052560894	4.5743515	2.4567257	3.1474574	4.6072607	3.1519785	4.6082825	3.5718287	1.9724682	-64.609705	R0:N12:S0:1	-49.6824	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	343.0	1000000.0	2022-07-22@11:51
