model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	20.359089	12	7	-0.00031983393	-1.9030194	-2.1927293	0.21515967	-2.1927277	0.21515984	0.26952792	-1.4540322	11.6	-0.12303299	-0.77668073	1.2252468	-0.23850775	-1.2252465	0.23850785	0.39633066	-1.5908816	1.5	1	1e-09	1.1850623	1.6161718	-0.757477	-0.37285731	0.14944868	0.32620227	0.11335672	1.9346237	1.5939091	0.19102347	1.5939087	0.19102317	0.022412769	1.1077309	1.3130029	1.2404981	0.55228982	-2.097719	1.1225175	2.09772	-1.1225165	-0.55639856	3.3320037	0.054002593	0.10375258	0.064640709	0.35691862	0.18798322	0.35691889	0.18798297	0.02220142	0.48871992	0.058577372	5.8998229	1.6453267	3.2059501	5.0144612	3.2059504	5.0144611	4.3866293	1.6392177	-69.238562	R0:N12:S0:1	-36.8	uncorrelated	b7fd39a	v1.0.3	5	sharp_wc_2.0_b_50	 1.38e+02	 6.27e-03	2022-07-05@10:52
2x2_2C_8b_C2v_L	18.666552	12	6.4455222	-0.013178628	-2.0589762	-2.3689723	0.21131415	-2.368963	0.21131648	0.26359818	-1.6875566	11.333333	-0.12507267	-0.81495933	1.2863226	-0.2246673	-1.2863216	0.22466705	0.35932138	-1.6836848	1.5710444	1	0.028633334	1.1976776	1.6186719	-0.73831273	-0.34148939	0.13752779	0.30015262	0.11526873	1.934934	1.6286019	0.17477943	1.6285949	0.17477079	0.016479213	1.1826489	1.2859805	1.2438191	0.57784536	-2.0337641	1.0642861	2.0337908	-1.0642535	-0.46289118	3.2752158	0.051736131	0.10525267	0.06421576	0.33015461	0.17206401	0.33015966	0.17205668	0.016397931	0.47982355	0.056436705	5.791402	1.7603214	3.2534274	4.9772249	3.2534383	4.9772167	4.2701634	1.7598043	-69.527377	R0:N12:S0:1	-39.102489	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.42e+02	 4.97e-03	2022-07-05@10:55
2x2_2C_8b_C2v_L	16.880592	12	5.8910444	-0.025695794	-2.2308157	-2.5510821	0.19245096	-2.5510891	0.1924472	0.23876354	-1.9301698	11.066667	-0.12885257	-0.85539833	1.3455772	-0.21315194	-1.3455785	0.21315164	0.33014067	-1.7713456	1.6420889	1	0.057266667	1.2081334	1.6210064	-0.71994931	-0.31539236	0.12763782	0.27692647	0.11784709	1.9353183	1.65565	0.16556467	1.6556529	0.16556937	0.012951767	1.2452418	1.261551	1.2525984	0.60052556	-1.9807553	1.0253847	1.9807444	-1.0254011	-0.39700815	3.2102159	0.049427158	0.1073289	0.063748602	0.30834028	0.1629504	0.30833799	0.16295451	0.01293284	0.46790138	0.054350503	5.6864395	1.8676881	3.2886452	4.9359031	3.2886379	4.9359075	4.1644106	1.9012174	-69.916875	R0:N12:S0:1	-41.404978	uncorrelated	b7fd39a	v1.0.3	5	sharp_wc_2.0_b_50	 1.44e+02	 1.23e-03	2022-07-05@10:58
2x2_2C_8b_C2v_L	15.009285	12	5.3365667	-0.038402001	-2.3995092	-2.7367913	0.16891427	-2.736785	0.16891729	0.20777341	-2.1756806	10.8	-0.13376661	-0.89481875	1.4038704	-0.20409694	-1.4038681	0.20409825	0.30667394	-1.8552509	1.7131333	1	0.085900001	1.2166365	1.6223579	-0.70393848	-0.2938888	0.1194713	0.25654689	0.122254	1.9354155	1.6768271	0.16120658	1.6768305	0.16121079	0.010798557	1.2967108	1.2396865	1.2710043	0.62097023	-1.9370624	1.0024636	1.9370455	-1.0024834	-0.34962778	3.1456509	0.047168568	0.11091399	0.063550346	0.29075308	0.15855885	0.29075065	0.15856234	0.010813349	0.4548608	0.052424671	5.5817506	1.9642692	3.3169621	4.895594	3.316955	4.8956031	4.0707391	2.0421566	-70.348536	R0:N12:S0:1	-43.707467	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 1.46e+02	 7.47e-03	2022-07-05@11:01
2x2_2C_8b_C2v_L	13.066122	12	4.7820889	-0.052470636	-2.5504245	-2.9238155	0.14424671	-2.923812	0.14424806	0.17825642	-2.4225411	10.533333	-0.13881246	-0.9308701	1.4609605	-0.1962832	-1.4609596	0.19628374	0.28753491	-1.9364969	1.7841778	1	0.11453333	1.2235004	1.6227976	-0.69055309	-0.27635751	0.11275021	0.23871397	0.12859969	1.9350888	1.693537	0.1602764	1.6935378	0.16027749	0.0094709269	1.3389381	1.2200684	1.2978913	0.63966785	-1.9011605	0.99130461	1.9011561	-0.99131	-0.31488693	3.0858656	0.045009488	0.11604974	0.063744757	0.27656676	0.15750114	0.27656621	0.15750204	0.0095060911	0.44186702	0.050705169	5.4785822	2.0494988	3.3410359	4.8589035	3.3410338	4.8589061	3.9871036	2.1725018	-70.774314	R0:N12:S0:1	-46.009956	uncorrelated	b7fd39a	v1.0.3	6	sharp_wc_2.0_b_50	 1.49e+02	 4.36e-03	2022-07-05@11:05
2x2_2C_8b_C2v_L	11.075926	12	4.2276111	-0.061197451	-2.7148068	-3.0960034	0.11475921	-3.0960073	0.11476154	0.14628137	-2.6631074	10.266667	-0.14290729	-0.96893252	1.5127279	-0.18795708	-1.5127281	0.18795784	0.27073997	-2.012745	1.8552222	1	0.14316667	1.2292566	1.6239853	-0.67804406	-0.26227955	0.10727506	0.22300599	0.13376327	1.9351883	1.7052474	0.16490736	1.705249	0.16490928	0.0086350811	1.3731517	1.2022371	1.3201042	0.65455641	-1.8763646	0.99363022	1.8763572	-0.99363962	-0.28879072	3.0321575	0.042970735	0.12018614	0.063569701	0.26611405	0.16178341	0.26611281	0.16178497	0.0086831368	0.42973739	0.04922321	5.3913772	2.1253718	3.356995	4.8280945	3.3569916	4.828098	3.9137101	2.2894061	-71.160475	R0:N12:S0:1	-48.312444	uncorrelated	b7fd39a	v1.0.3	10	sharp_wc_2.0_b_50	 1.55e+02	 1.31e-03	2022-07-05@11:11
2x2_2C_8b_C2v_L	9.0375922	12	3.6731333	-0.059163602	-2.7995345	-3.2743324	0.10956317	-3.2743421	0.10957015	0.14271452	-2.9090591	10	-0.14296206	-0.99714154	1.5668676	-0.18419692	-1.5668659	0.18419622	0.26072908	-2.0913914	1.9262667	1	0.1718	1.2340799	1.6232222	-0.66885541	-0.24958627	0.10227529	0.20964431	0.13495893	1.9351832	1.7166443	0.16815114	1.7166454	0.16814645	0.0084229605	1.404932	1.1867289	1.3211746	0.66421466	-1.8516947	0.99946094	1.8516901	-0.99945081	-0.27291607	2.9811527	0.041122175	0.12115266	0.063525634	0.25617184	0.16473397	0.25617124	0.16472944	0.0084858803	0.41757441	0.047913582	5.3398571	2.184213	3.3757191	4.7974527	3.3757272	4.7974517	3.8443197	2.3983357	-71.450568	R0:N12:S0:1	-50.614933	uncorrelated	b7fd39a	v1.0.3	12	sharp_wc_2.0_b_50	 1.64e+02	 2.98e-03	2022-07-05@11:19
2x2_2C_8b_C2v_L	6.9501445	12	3.1186556	-0.051070862	-2.8829461	-3.4491215	0.10654692	-3.4491207	0.1065452	0.14089817	-3.154281	9.7333333	-0.14058475	-1.0259365	1.6190001	-0.18279639	-1.6189986	0.18279613	0.25442237	-2.1678705	1.9973111	1	0.20043333	1.2377807	1.6214083	-0.66270917	-0.23955631	0.098266468	0.19770913	0.13275516	1.935681	1.7243454	0.17705391	1.7243476	0.17705849	0.008617922	1.4312936	1.1722117	1.3075753	0.66944492	-1.837754	1.0196118	1.8377429	-1.0196295	-0.2642046	2.9365801	0.039391587	0.11940521	0.06304996	0.24900122	0.17308373	0.24899951	0.17308751	0.0086978462	0.40654956	0.046854116	5.3127468	2.2339274	3.3876016	4.7702563	3.3875927	4.7702641	3.7818857	2.4936057	-71.733405	R0:N12:S0:1	-52.917422	uncorrelated	b7fd39a	v1.0.3	6	sharp_wc_2.0_b_50	 1.78e+02	 2.45e-03	2022-07-05@11:23
2x2_2C_8b_C2v_L	4.8179493	12	2.5641778	-0.042108954	-2.931854	-3.6339848	0.11692575	-3.6340113	0.11693111	0.15158283	-3.4035607	9.4666667	-0.13887644	-1.0488198	1.6735025	-0.18593685	-1.6735083	0.18593863	0.25287922	-2.2450031	2.0683556	1	0.22906667	1.2404677	1.6183071	-0.65985948	-0.23176279	0.095126246	0.18711184	0.13367082	1.9354884	1.7299774	0.18788574	1.729978	0.18788487	0.0091386966	1.4522768	1.1584248	1.308762	0.67491158	-1.8302586	1.0483775	1.8302593	-1.0483763	-0.2613738	2.9021856	0.037788718	0.12015406	0.063197703	0.2436091	0.18333872	0.2436086	0.18333799	0.0092393062	0.39703614	0.0460978	5.2777124	2.2741381	3.3993477	4.7442732	3.3993512	4.7442688	3.7217434	2.5698957	-72.022466	R0:N12:S0:1	-55.219911	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 1.96e+02	 3.39e-03	2022-07-05@11:26
2x2_2C_8b_C2v_L	2.648279	12	2.0097	-0.031312909	-2.968226	-3.8130876	0.12647347	-3.8130584	0.12647486	0.16211607	-3.6514123	9.2	-0.13631934	-1.069427	1.725263	-0.19010005	-1.7252582	0.19010021	0.25331025	-2.3200268	2.1394	1	0.2577	1.2422644	1.6144998	-0.65974547	-0.22629629	0.092886045	0.17742042	0.13478307	1.9351424	1.7320322	0.20472172	1.7320301	0.20471801	0.0099230403	1.4677125	1.1447342	1.3107268	0.67926239	-1.8346598	1.0883022	1.8346662	-1.0882898	-0.26204429	2.8787024	0.036271893	0.1210561	0.06350118	0.24095092	0.19928972	0.24095262	0.19928668	0.010049284	0.38939557	0.045654993	5.2491427	2.3077307	3.4053356	4.7226021	3.4053398	4.7225999	3.6641871	2.626566	-72.267212	R0:N12:S0:1	-57.5224	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 2.21e+02	 1.84e-03	2022-07-05@11:29
