model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	6	6.5	1.5	0.0921184	-2.1957602	-2.7381036	0.24894064	-2.7380656	0.24893759	0.29628054	-2.7779187	9.57	-0.0041921365	0.024074751	-0.025964736	0.0093091979	0.025964515	-0.0093093509	0.013099574	-0.040230482	1e-09	1e-09	1e-09	1.3333333	1.9999999	0	0	0	0.9871134	1.3901216e-05	0.0059447352	1.4436698	6.2058643e-05	0.60167774	6.1312354e-05	0.00012055778	1.9999976	1.9871131	0.021031484	-0.43451693	0.34106853	-0.044353529	-0.84918039	0.04387527	-0.062008169	2.8415445e-05	0.0031502029	1.3901102e-05	0.0059228396	0.79045285	6.205636e-05	0.80970524	6.1310135e-05	0.00012054915	4.0515965e-06	0.003150438	7.9760243	7.8961558	2.3773347	7.9466114	5.4866761	7.8699853	7.9978782	0.00059878472	-61.613995	R0:N12:S0:1	-64.56	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-07-05@12:56
2x2_2C_8b_C2v_L	6.2265333	7.0555556	1.5566333	0.092106765	-2.195423	-2.7376663	0.2493238	-2.7376283	0.24932078	0.2986725	-2.7793698	9.57	0.00076145087	0.091157706	-0.14264101	0.00041329126	0.14263994	-0.00041331203	-0.0010362186	-0.17834111	0.23771111	0.11111111	0.028633334	1.3333333	2	-7.3196975e-09	-2.0156652e-10	1.0492143e-10	0.59466879	4.3850956e-07	0.29559816	1.9355328	1.2200814e-07	1.9354993	1.2201403e-07	2.7489579e-07	1.4550344	1.5945836	-0.0033195271	-2.473433	0.45868951	-0.0017610901	-0.45887838	0.0017610986	0.0019481027	2.9072903	0.042479511	4.3850944e-07	0.24729884	0.076109516	1.2200813e-07	0.07614991	1.2201402e-07	2.7489576e-07	0.43139392	0.042506531	7.0708851	4.5002968	1.5411449	7.1674118	1.5417118	7.1671607	4.1078733	2.9891395	-60.423198	R0:N12:S0:1	-64.106933	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 4.04e-02	 2.02e-02	2022-07-05@12:58
2x2_2C_8b_C2v_L	6.4530664	7.6111111	1.6132667	0.092107622	-2.6834323	-3.8461864	0.24934806	-3.8461897	0.24934502	0.29915276	-5.2923627	9.57	-2.5030932e-05	0.20326372	-0.34056453	-0.00058367565	0.34056432	0.00058339645	0.0020859217	-0.49709369	0.47542222	0.22222222	0.057266667	1.3333333	1.9999997	-1.7712824e-07	-1.3430549e-08	6.1356305e-09	0.10677474	1.0371359e-10	1.8326501	1.90542	3.5832919e-08	1.9054204	3.5798657e-08	4.0459889e-07	1.9294103	1.1067747	3.7640156e-05	-1.4931518	1.1705355	0.00070443329	-1.1705337	-0.00070409626	-0.0023529618	1.0245527	0.023513715	1.0371359e-10	0.13934393	0.085634603	3.5832918e-08	0.085634335	3.5798656e-08	4.0459876e-07	0.065606783	0.023513731	4.6693995	1.7704977	2.6298467	4.3783195	2.629851	4.3783182	4.282354	2.9502934	-70.51287	R0:N12:S0:1	-63.653867	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 5.94e-01	 6.83e-02	2022-07-05@12:58
2x2_2C_8b_C2v_L	6.6795368	8.1666667	1.6699	0.092108037	-3.992231	-5.498641	0.24934952	-5.4986467	0.24934679	0.30680153	-6.1223759	9.57	-6.6860902e-05	0.37414547	-0.61847336	9.7011086e-05	0.61847365	-9.9109827e-05	0.0012429248	-0.82188153	0.71313333	0.33333333	0.085900001	1.3333324	1.999947	-2.6713399e-05	-1.7578513e-06	8.137572e-07	0.076046867	4.1893435e-10	1.948841	1.9277075	7.1280761e-10	1.9277077	7.4398484e-10	1.0094808e-07	1.8928549	1.0757222	8.3056952e-05	-0.83155175	1.0354211	-0.0001034232	-1.0354194	0.0001056608	-0.0011697923	1.3071706	0.017578119	4.1893435e-10	0.0507669	0.07101347	7.1280761e-10	0.071013289	7.4398484e-10	1.0094808e-07	0.10351403	0.01752228	4.6207229	3.456825	3.7357099	4.2889158	3.7357085	4.2889177	4.0129991	3.9002234	-81.929218	R0:N12:S0:1	-63.2008	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 4.68e+00	 1.22e-01	2022-07-05@12:59
2x2_2C_8b_C2v_L	6.6946991	8.7222222	1.7265333	-0.00902089	-5.1849197	-6.032159	-0.035589224	-6.032334	-0.035586277	-0.11227055	-5.9542189	9.57	0.032130641	0.57128828	-0.87479257	-0.034452198	0.87480352	0.034454166	0.046722021	-1.1074016	0.95084445	0.44444444	0.11453333	1.3291117	1.941065	-0.06261081	-0.009275106	0.004069705	0.094220078	0.00014180259	1.9608324	1.9137715	0.00011691496	1.9137763	0.00011693458	0.00014257332	1.8378916	1.0933025	-0.048861415	-0.69534586	1.1218815	0.041304047	-1.1218428	-0.041307567	-0.043567218	1.631642	0.021382043	0.00014179379	0.039032153	0.084470809	0.00011691121	0.084466197	0.00011693083	0.00014256982	0.15275794	0.02127527	4.9118622	3.1827231	3.6978211	4.343857	3.6977885	4.3439019	3.8928001	3.8607247	-86.936474	R0:N12:S0:1	-62.747733	uncorrelated	b7fd39a	v1.0.3	6	sharp_wc_2.0_b_50	 3.32e+01	 2.34e-03	2022-07-05@13:01
2x2_2C_8b_C2v_L	5.4562424	9.2777778	1.7831667	0.037894618	-5.2578707	-6.0723619	0.066075673	-6.0725111	0.066072815	0.072152118	-5.8269344	9.57	0.040155649	0.71211671	-1.0945311	0.062179082	1.0945433	-0.062179721	0.077941384	-1.3897043	1.1885556	0.55555556	0.14316667	1.3008209	1.700039	-0.38849788	-0.079306298	0.034765529	0.11510628	0.00031245963	1.9602867	1.8972279	0.00047965979	1.8972315	0.00047968924	0.00038872711	1.7900944	1.1133747	-0.073364846	-0.66932679	1.2131371	-0.082060371	-1.2131115	0.082062894	-0.070262954	1.8722488	0.025488549	0.00031241196	0.039674263	0.10037046	0.00047960307	0.10036708	0.00047963252	0.00038871251	0.19306988	0.025357578	5.1749612	2.9486695	3.6576441	4.408213	3.6576267	4.4082384	3.8214875	3.7576294	-87.880228	R0:N12:S0:1	-62.294667	uncorrelated	b7fd39a	v1.0.3	5	sharp_wc_2.0_b_50	 1.28e+02	 1.84e-03	2022-07-05@13:04
2x2_2C_8b_C2v_L	4.9731865	9.8333333	1.8398	0.31872874	-5.485747	-6.106897	0.59209525	-6.1070538	0.59200025	0.7741333	-5.6227745	9.57	-0.047792733	0.8851088	-1.3378815	0.095518171	1.3379	-0.095519101	0.13446597	-1.6875345	1.4262667	0.66666667	0.1718	1.2903209	1.6667288	-0.45982227	-0.10201434	0.044441783	0.13672736	0.00058527363	1.9606479	1.8804968	0.0012432436	1.8804984	0.0012433406	0.000945373	1.7388633	1.1338691	0.10187208	-0.63426863	1.2955325	-0.13053293	-1.2955253	0.1305372	-0.10891888	2.102352	0.029458481	0.00058509071	0.039419983	0.11640384	0.0012429075	0.11640232	0.0012430044	0.0009453316	0.23351431	0.029362739	5.4350603	2.7124905	3.6252127	4.4718395	3.6252167	4.4718329	3.7608513	3.6001736	-89.145527	R0:N12:S0:1	-61.8416	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.55e+02	 5.11e-04	2022-07-05@13:05
2x2_2C_8b_C2v_L	4.5751927	10.388889	1.8964333	0.45669054	-5.3722695	-5.7010563	0.83286599	-5.700907	0.8328819	1.0194755	-5.1677019	9.57	-0.046890767	1.0475845	-1.5358665	0.090251409	1.5358441	-0.090249107	0.13238939	-1.945018	1.6639778	0.77777778	0.20043333	1.2828427	1.6663643	-0.49520912	-0.12118967	0.052457189	0.16062953	0.00087398495	1.9598797	1.8605706	0.0015298397	1.860571	0.0015297576	0.00091819944	1.6865084	1.1569046	0.12474255	-0.60969393	1.3830823	-0.14033363	-1.3830731	0.14033077	-0.10517735	2.3106416	0.033540007	0.00087353952	0.040304485	0.135435	0.0015294073	0.1354347	0.0015293252	0.00091824511	0.27187285	0.033455061	5.6729705	2.4983973	3.5903268	4.5502872	3.5903082	4.5503197	3.7334886	3.395815	-87.492374	R0:N12:S0:1	-61.388533	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 7.11e+01	 1.04e-03	2022-07-05@13:06
2x2_2C_8b_C2v_L	4.1526719	10.944444	1.9530667	0.5607288	-4.2318687	-4.846694	0.89631529	-4.8466897	0.8963287	1.0799236	-4.4794459	9.57	1.8631962e-07	1.1058885	-1.6590146	0.00010969844	1.6590109	-0.00010024585	-0.05155847	-2.1436315	1.9016889	0.88888889	0.22906667	1.2761263	1.6655982	-0.52512334	-0.13858626	0.059691075	0.18697759	0	1.9576963	1.838161	4.1914922e-09	1.8381633	3.5003019e-09	0.00016898899	1.6341729	1.1829094	-6.6969534e-07	-0.59488319	1.4696126	-0.00021899751	-1.469596	0.0002001289	0.043004199	2.4983693	0.037666818	0	0.042668053	0.15684123	4.1914922e-09	0.15683917	3.5003019e-09	0.00016899678	0.30710845	0.037475868	5.906057	2.3010201	3.5565399	4.6444595	3.5565265	4.6444855	3.7316759	3.1621972	-81.410898	R0:N12:S0:1	-60.935467	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 5.77e+01	 7.54e-04	2022-07-05@13:08
2x2_2C_8b_C2v_L	3.1889438	11.5	2.0097	0.56075156	-2.3667027	-3.636926	0.896315	-3.6369278	0.8963287	1.1003149	-3.6465429	9.57	-0.00023801683	1.0080104	-1.6750175	-8.4470134e-07	1.6750224	-6.2868712e-07	-3.8624199e-07	-2.2706007	2.1394	1	0.2577	1.2586564	1.6372756	-0.60932307	-0.18210526	0.074313084	0.21366736	1.3517834e-07	1.9587304	1.8135688	0	1.8135643	0	0	1.5792021	1.2087336	0.0014286009	-0.55466009	1.5525005	2.6147683e-06	-1.5525286	1.9460248e-06	3.5514667e-07	2.6817717	0.04145337	1.3517833e-07	0.041833832	0.18040866	0	0.18041236	0	0	0.34036402	0.04135259	6.1336055	2.0897811	3.5370758	4.7412189	3.5370939	4.7411789	3.7237334	2.9001435	-71.876924	R0:N12:S0:1	-60.4824	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 1.37e+02	 1.09e-02	2022-07-05@13:11
