model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	4.8591367	10.5	2.5348	-0.26140976	-3.5072716	-3.5866726	0.021637613	-3.5869312	0.021573146	0.031555765	-3.352968	9.68	-0.20061278	1.094648	-1.627793	0.15005272	1.6278211	0.15006027	0.18827623	-2.1700713	2.0711	1	0.2056	1.242004	1.6590588	-0.6336325	-0.23617157	0.097122326	0.25389404	0.19616527	1.9281817	1.7025344	0.095715125	1.7026194	0.09579969	0.003231359	1.3495969	1.2315391	1.7008676	-0.67150883	1.8670969	-0.83231969	-1.8667274	-0.83276752	-0.18465187	3.1937824	0.046660722	0.16811351	0.069629732	0.27538839	0.095117003	0.27532039	0.095195839	0.003237207	0.43741883	0.053368176	5.0790192	1.9347788	3.422346	4.9328576	3.4221359	4.9331272	3.8217594	1.9673781	-74.939692	R0:N12:S0:1	-57.1616	uncorrelated	b7fd39a	v1.0.3	9	sharp_wc_2.0_b_50	 2.05e+02	 9.38e-04	2022-07-05@10:35
2x2_2C_8b_C2v_L	4.8732188	10.5	2.5348	-0.26546259	-3.5195394	-3.5955247	0.020955205	-3.5958402	0.020960594	0.030913618	-3.3616154	9.69	-0.20091731	1.0958732	-1.6287013	0.14940532	1.6287632	0.14940001	0.18753607	-2.1708103	2.0711	1	0.2056	1.2423646	1.6596786	-0.63223245	-0.23523456	0.096846213	0.2541455	0.19557378	1.9283624	1.7037389	0.093419822	1.7037427	0.093414285	0.0031914753	1.3505974	1.2319898	1.6995214	-0.67075225	1.8631008	-0.82423089	-1.8631256	-0.8242009	-0.18366547	3.1923773	0.046687745	0.16769523	0.069464682	0.27458944	0.092847154	0.27458503	0.092841797	0.0031971661	0.4371714	0.05332193	5.0813604	1.9338815	3.4257055	4.9337235	3.4257337	4.9336565	3.8215072	1.9699966	-75.061393	R0:N12:S0:1	-57.2416	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 2.04e+02	 2.55e-03	2022-07-05@10:37
2x2_2C_8b_C2v_L	4.8865008	10.5	2.5348	-0.26875609	-3.532301	-3.6053333	0.019833436	-3.6056653	0.019809912	0.029853248	-3.3700601	9.7	-0.20097253	1.0972668	-1.6298043	0.14886586	1.6298801	0.14887644	0.18695235	-2.1715368	2.0711	1	0.2056	1.2427064	1.6602609	-0.63091628	-0.23434456	0.09657969	0.25439464	0.19436263	1.9286548	1.7048307	0.091355315	1.7048483	0.091384652	0.0031595072	1.3516488	1.2324388	1.6957656	-0.66935216	1.8597063	-0.81677821	-1.8596739	-0.81691145	-0.18287636	3.1908107	0.046714049	0.16683088	0.069200557	0.27384899	0.090806384	0.27383221	0.09083474	0.0031650804	0.43691757	0.053274146	5.087706	1.9324001	3.4286793	4.9341144	3.4286271	4.9341004	3.8214266	1.9729244	-75.187518	R0:N12:S0:1	-57.3216	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 2.03e+02	 1.00e+06	2022-07-05@10:38
2x2_2C_8b_C2v_L	4.8991198	10.5	2.5348	-0.27183543	-3.5461919	-3.6150767	0.018878235	-3.6140895	0.018925025	0.028718232	-3.3791585	9.71	-0.20101608	1.0988132	-1.630903	0.14843401	1.6306526	0.14839711	0.18632657	-2.1722399	2.0711	1	0.2056	1.2430335	1.6608008	-0.62967751	-0.23347853	0.096314097	0.25463665	0.19299564	1.9289871	1.7059008	0.089401836	1.7058943	0.089345287	0.0031268952	1.3528157	1.2328831	1.6914457	-0.6677893	1.856443	-0.80968579	-1.8563148	-0.80947441	-0.18204819	3.1890383	0.046739838	0.16585324	0.068900567	0.27311403	0.088874867	0.27312892	0.088818476	0.0031323536	0.4366298	0.053224769	5.0949428	1.9309062	3.4314075	4.9343892	3.4314685	4.9346168	3.821228	1.9763096	-75.313641	R0:N12:S0:1	-57.4016	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 2.02e+02	 1.00e+06	2022-07-05@10:38
2x2_2C_8b_C2v_L	4.9103446	10.5	2.5348	-0.27409709	-3.5548772	-3.6214107	0.01792848	-3.6230072	0.01786157	0.027806519	-3.388629	9.72	-0.2004965	1.0998501	-1.631144	0.14779424	1.6315393	0.1478586	0.18579512	-2.1732619	2.0711	1	0.2056	1.243337	1.6612363	-0.62862389	-0.23263345	0.096046632	0.25492573	0.19092928	1.9293673	1.7069457	0.087370788	1.7069765	0.087475589	0.0031027068	1.3542162	1.233404	1.6839097	-0.66568242	1.8530534	-0.80201532	-1.8531594	-0.80245113	-0.18135684	3.1869285	0.046770127	0.16436567	0.068560104	0.27240484	0.086865571	0.27236536	0.086968959	0.0031081183	0.4362838	0.053167626	5.1072835	1.9285082	3.4340594	4.935039	3.4339194	4.9347524	3.8209201	1.9803687	-75.4233	R0:N12:S0:1	-57.4816	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 2.01e+02	 1.00e+06	2022-07-05@10:39
2x2_2C_8b_C2v_L	4.9226278	10.5	2.5348	-0.27699203	-3.5664579	-3.6302228	0.016911019	-3.6327855	0.017001933	0.026657014	-3.3979186	9.73	-0.20062074	1.1010898	-1.6320297	0.14710464	1.6325149	0.14704621	0.18477455	-2.1740492	2.0711	1	0.2056	1.2436588	1.6617408	-0.6274329	-0.23176451	0.095770667	0.25516959	0.18969513	1.9296551	1.7081124	0.085264573	1.7081366	0.085192134	0.0030581982	1.3554368	1.2338622	1.679943	-0.66430715	1.849323	-0.79400714	-1.8495377	-0.79363348	-0.1801456	3.1851271	0.046795617	0.1634801	0.068299948	0.27160452	0.084781734	0.27157614	0.084711055	0.0030634647	0.43597225	0.05311292	5.1138737	1.927093	3.4369611	4.935702	3.4372572	4.9351231	3.8206112	1.9838069	-75.545641	R0:N12:S0:1	-57.5616	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 2.00e+02	 1.00e+06	2022-07-05@10:40
2x2_2C_8b_C2v_L	4.9333133	10.5	2.5348	-0.27878511	-3.5733674	-3.6432361	0.016069386	-3.6427382	0.015961403	0.025695297	-3.4049161	9.74	-0.19989992	1.1019823	-1.6338591	0.1467299	1.6337155	0.14682988	0.18446648	-2.1743831	2.0711	1	0.2056	1.2439465	1.6621581	-0.6264282	-0.23095916	0.095509878	0.25544253	0.18726233	1.9300668	1.7090576	0.083460274	1.7093	0.083730976	0.003043634	1.3566515	1.2343567	1.6706573	-0.66193996	1.8470914	-0.78689405	-1.8458671	-0.78843769	-0.17975879	3.1830782	0.046823294	0.1617147	0.067932793	0.27091928	0.083000352	0.27072936	0.083257035	0.0030488776	0.43568667	0.053057299	5.1289162	1.9243736	3.4395594	4.9347076	3.4387775	4.9358598	3.8210347	1.987622	-75.663093	R0:N12:S0:1	-57.6416	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 2.00e+02	 1.00e+06	2022-07-05@10:40
2x2_2C_8b_C2v_L	4.9453906	10.5	2.5348	-0.28206436	-3.5882108	-3.6519185	0.014942685	-3.6517398	0.014869512	0.024442355	-3.4145666	9.75	-0.20000394	1.1035964	-1.6345963	0.14601878	1.634492	0.14603243	0.18348907	-2.1752307	2.0711	1	0.2056	1.2442618	1.6626525	-0.62525758	-0.23010203	0.095242367	0.25567139	0.18603232	1.9303845	1.7101959	0.081442526	1.7103529	0.081562668	0.0029996832	1.3578598	1.2347924	1.6667753	-0.66049213	1.8433843	-0.77899772	-1.8425919	-0.77974429	-0.17857263	3.1812792	0.046847358	0.16082275	0.0676446	0.2701349	0.081001713	0.27001439	0.0811139	0.0030047755	0.43537363	0.053003831	5.1353463	1.9230553	3.4422985	4.9354553	3.4419094	4.9361736	3.8206921	1.9910749	-75.790633	R0:N12:S0:1	-57.7216	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.99e+02	 1.01e-03	2022-07-05@10:42
2x2_2C_8b_C2v_L	4.9549869	10.5	2.5348	-0.28310598	-3.5947218	-3.6609639	0.013963508	-3.6602656	0.014002446	0.023382417	-3.4236968	9.76	-0.19919967	1.1044557	-1.6353743	0.14556987	1.6352545	0.14556473	0.18293538	-2.1759617	2.0711	1	0.2056	1.2445302	1.6629828	-0.62439494	-0.22931424	0.094969781	0.25595269	0.18326575	1.9308582	1.7113571	0.079815016	1.7112836	0.079759996	0.0029791881	1.359415	1.2353165	1.6560323	-0.65778907	1.8398317	-0.77271419	-1.8400954	-0.77239546	-0.17793133	3.178775	0.04687601	0.1588029	0.06722165	0.26928711	0.079384928	0.26934836	0.079332973	0.0029842597	0.4349828	0.052939957	5.1526433	1.9200843	3.4440914	4.9359189	3.4442227	4.9357848	3.820594	1.9959033	-75.898997	R0:N12:S0:1	-57.8016	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.98e+02	 1.46e-03	2022-07-05@10:43
2x2_2C_8b_C2v_L	4.9679905	10.5	2.5348	-0.28778498	-3.6108294	-3.6686485	0.013166917	-3.6713794	0.013171905	0.022415791	-3.4327793	9.77	-0.19976629	1.1060524	-1.6360234	0.14447692	1.6365865	0.14449062	0.18155869	-2.1767835	2.0711	1	0.2056	1.2448615	1.6635365	-0.62310982	-0.22842619	0.094702674	0.25616942	0.18307022	1.9310148	1.7124203	0.077422136	1.7124881	0.077471429	0.0029185159	1.3603163	1.2357196	1.6563803	-0.65730718	1.8361467	-0.76273858	-1.8361865	-0.76296741	-0.17630114	3.1775723	0.046899063	0.15866361	0.067075644	0.26859727	0.07701892	0.26852799	0.077066781	0.0029233551	0.43474012	0.052893924	5.1523092	1.9196712	3.4476409	4.9369614	3.4476579	4.9365341	3.8202504	1.9981365	-76.031374	R0:N12:S0:1	-57.8816	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.97e+02	 2.16e-03	2022-07-05@10:44
