model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	7.5649404	11	2.5348	0.0024928166	-5.1467342	-5.1060732	0.012223633	-5.1015401	0.012242419	0.0072994391	-4.8809684	13	-0.055577324	1.1174037	-1.5785852	0.099399631	1.5779054	0.099387613	0.12301439	-2.0336116	2.0711	1	0.2056	1.2942557	1.8391333	-0.31317326	-0.12120087	0.052438514	0.32254744	0.0013312476	1.9555624	1.7071405	0.0026878203	1.7065187	0.0026795766	0.00074754778	1.3554115	1.3169802	0.16538326	-0.47962523	1.812351	-0.18766351	-1.814967	-0.1873455	-0.10124724	3.1785001	0.053395056	0.0013301276	0.045618118	0.2812943	0.002686524	0.28178481	0.0026782981	0.00074740479	0.44472851	0.054030034	6.6875155	1.5775274	3.477114	5.1521628	3.4775828	5.1500246	4.0644261	1.9391758	-101.17743	R0:N12:S0:1	-83.7216	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 2.58e+02	 1.00e+06	2022-07-08@10:28
2x2_2C_8b_C2v_L	7.4015551	11.111111	2.5348	7.0878829e-05	-5.1476559	-5.1111848	0.0070233482	-5.1079402	0.0069340633	0.00011724399	-4.9192988	13	-0.055575421	1.1144001	-1.5730143	0.096080088	1.5725293	0.096095249	0.12310149	-2.0334139	2.0711	1	0.2056	1.2919475	1.8272094	-0.33417251	-0.12672108	0.054388846	0.31369921	0.0013211427	1.9546147	1.7149429	0.0024836427	1.714542	0.0024798759	0.00075195531	1.3755807	1.3083208	0.16382607	-0.49533657	1.7981099	-0.17975653	-1.7998071	-0.1796014	-0.10081243	3.1365487	0.05270874	0.0013200414	0.046537875	0.27372542	0.0024825265	0.27404525	0.0024787687	0.00075182516	0.43785979	0.053272822	6.6305684	1.6371356	3.4726507	5.121537	3.4729706	5.1201684	4.044483	2.0257715	-101.08685	R0:N12:S0:1	-83.7216	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 2.70e+02	 1.60e-03	2022-07-08@10:30
2x2_2C_8b_C2v_L	7.2735411	11.222222	2.5348	-0.010431721	-5.1561285	-5.166025	-0.0035608829	-5.1649346	-0.0035677463	-6.0277809e-05	-4.971595	13	-0.056704796	1.1113735	-1.5733909	0.097171692	1.5732324	0.097206965	0.12511064	-2.0374287	2.0711	1	0.2056	1.2902334	1.8165033	-0.35111834	-0.1301792	0.055497948	0.30375027	0.0013587518	1.9538333	1.7246123	0.0024836185	1.7244921	0.0024839436	0.00077439678	1.3959132	1.2985121	0.16519271	-0.51043197	1.7797168	-0.17913289	-1.7802322	-0.17913943	-0.10161768	3.0929274	0.051856566	0.0013575888	0.047280415	0.26443621	0.0024824961	0.26453328	0.0024828226	0.0007742733	0.43043512	0.052361761	6.5711771	1.6973375	3.4711749	5.0824787	3.471278	5.0820649	4.0245704	2.1137934	-101.24477	R0:N12:S0:1	-83.7216	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.83e+02	 1.55e-02	2022-07-08@10:31
2x2_2C_8b_C2v_L	7.1362563	11.333333	2.5348	-0.015158055	-5.1733964	-5.2321946	-0.0029401718	-5.231917	-0.0029338022	0.0025043169	-5.0270646	13	-0.058353968	1.1095076	-1.5775782	0.098792352	1.5775408	0.098808329	0.12582557	-2.0427283	2.0711	1	0.2056	1.2883969	1.8048159	-0.36936333	-0.13373864	0.056666863	0.29397356	0.0014131775	1.9532109	1.7341983	0.0024905905	1.7341676	0.0024909874	0.00077932812	1.415779	1.2888675	0.16756341	-0.52450528	1.7602526	-0.17889057	-1.760389	-0.17890334	-0.10129958	3.0490609	0.050965036	0.001411922	0.047856453	0.25526689	0.0024894536	0.25529182	0.0024898506	0.00077921718	0.42271685	0.051416238	6.5120112	1.7559729	3.4709281	5.0444422	3.4709587	5.0443265	4.005563	2.2004829	-101.48522	R0:N12:S0:1	-83.7216	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.98e+02	 1.27e-02	2022-07-08@10:33
2x2_2C_8b_C2v_L	6.9963984	11.444444	2.5348	-0.012938875	-5.1968755	-5.3054153	0.00088861964	-5.3053298	0.00088836368	0.0052628185	-5.0873752	13	-0.059582818	1.1089347	-1.58342	0.099620816	1.5834097	0.099620861	0.1260925	-2.0488998	2.0711	1	0.2056	1.2865473	1.7924025	-0.38812885	-0.13702689	0.057749776	0.28431342	0.0014372544	1.9526253	1.7436515	0.0024488369	1.7436402	0.0024486942	0.00077863135	1.4355831	1.2793466	0.16810879	-0.53841018	1.7399417	-0.17695752	-1.7399944	-0.17695157	-0.10063002	3.0038713	0.050033806	0.0014359594	0.048392914	0.24624561	0.0024477289	0.2462547	0.0024475866	0.00077853487	0.41458093	0.050431594	6.4523397	1.8147755	3.4715848	5.0074055	3.4715993	5.0073562	3.9875725	2.2877188	-101.78292	R0:N12:S0:1	-83.7216	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 3.15e+02	 1.45e-02	2022-07-08@10:34
2x2_2C_8b_C2v_L	6.8575073	11.555556	2.5348	-0.0082282014	-5.2346189	-5.3991453	0.0060729419	-5.3992323	0.0060755424	0.0081575094	-5.1591089	13	-0.060708973	1.1097855	-1.5921739	0.10025698	1.5921861	0.1002578	0.12633063	-2.056956	2.0711	1	0.2056	1.2847427	1.7793047	-0.40701529	-0.13982768	0.05869147	0.27441268	0.0014451859	1.9521475	1.7534179	0.0023828154	1.7534253	0.00238295	0.0007755284	1.4556861	1.2695842	0.16773099	-0.55189667	1.7178495	-0.17420789	-1.7178159	-0.17421316	-0.099838112	2.9566689	0.049023124	0.0014438813	0.048815302	0.23694954	0.0023817584	0.23694338	0.0023818928	0.00077544659	0.40585686	0.049368567	6.3910905	1.8742513	3.4737336	4.9692394	3.4737248	4.9692668	3.9696932	2.376662	-102.21944	R0:N12:S0:1	-83.7216	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 3.34e+02	 1.52e-02	2022-07-08@10:35
2x2_2C_8b_C2v_L	6.7188986	11.666667	2.5348	-0.0010190345	-5.2664138	-5.4752275	0.011348897	-5.4752205	0.011335887	0.010254409	-5.2475776	13	-0.061292469	1.1102257	-1.5982379	0.10057861	1.5982611	0.10057714	0.12654823	-2.0675641	2.0711	1	0.2056	1.2829739	1.7654013	-0.42612479	-0.14213994	0.059521494	0.26490292	0.0014216361	1.951658	1.7621942	0.0023072525	1.7621575	0.0023067458	0.00077386976	1.4763302	1.2602127	0.16553157	-0.56541222	1.6968839	-0.17115178	-1.6970864	-0.17112755	-0.099038741	2.9072011	0.048011312	0.0014203796	0.049250214	0.22859419	0.0023062509	0.22862327	0.0023057453	0.00077380439	0.3964024	0.048306444	6.3295751	1.9339359	3.4757245	4.9352507	3.4758061	4.9350009	3.950481	2.4679977	-102.61095	R0:N12:S0:1	-83.7216	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 3.56e+02	 1.47e-02	2022-07-08@10:37
2x2_2C_8b_C2v_L	6.5814621	11.777778	2.5348	0.0053169231	-5.3146499	-5.6013595	0.016012459	-5.6012629	0.016014158	0.011614867	-5.3450615	13	-0.061284295	1.1121192	-1.6109332	0.10114056	1.6109249	0.10114157	0.12743355	-2.0792871	2.0711	1	0.2056	1.2812564	1.7505385	-0.44537971	-0.1438651	0.060228307	0.25480668	0.0013612795	1.951275	1.7721055	0.0022214931	1.7720926	0.0022213636	0.0007776361	1.4969272	1.2502545	0.16120086	-0.57855705	1.6721754	-0.1677359	-1.6722419	-0.16772984	-0.098689725	2.8557816	0.04686989	0.0013601335	0.049573077	0.21918731	0.0022205576	0.21919795	0.0022204285	0.00077758444	0.38648867	0.047115795	6.2661078	1.9947581	3.4803963	4.8965135	3.4804212	4.8964434	3.9331359	2.5597611	-103.25801	R0:N12:S0:1	-83.7216	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 3.82e+02	 1.41e-02	2022-07-08@10:38
2x2_2C_8b_C2v_L	6.4389133	11.888889	2.5348	0.0033431596	-5.3690231	-5.7236992	0.02241632	-5.7235954	0.022415705	0.016749695	-5.4980868	13	-0.06087921	1.1132772	-1.6233348	0.10274265	1.6233228	0.10274224	0.13109636	-2.1019591	2.0711	1	0.2056	1.2794857	1.734178	-0.46553689	-0.14526319	0.060801005	0.2446255	0.0012804324	1.9511203	1.7812351	0.0021709336	1.7812265	0.0021707977	0.00081135855	1.5192958	1.2401722	0.15564201	-0.59028977	1.6481866	-0.16578641	-1.64823	-0.16578064	-0.10001512	2.8001459	0.045668619	0.0012794256	0.049662645	0.21052621	0.002170031	0.21053349	0.0021698953	0.00081132194	0.37509775	0.045868786	6.2019744	2.0548889	3.485521	4.8607206	3.4855368	4.8606793	3.9087103	2.6580322	-104.02541	R0:N12:S0:1	-83.7216	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 4.11e+02	 1.73e-02	2022-07-08@10:39
2x2_2C_8b_C2v_L	6.3278297	12	2.5348	-0.003363787	-5.4814912	-5.9134113	0.031517362	-5.9133698	0.031509513	0.027619769	-5.6499598	13	-0.062477044	1.1189668	-1.6458359	0.10545158	1.6458278	0.10544867	0.13626802	-2.126764	2.0711	1	0.2056	1.2782311	1.7192981	-0.48195619	-0.14520386	0.061283197	0.23432869	0.0012835716	1.9516326	1.7913897	0.002146829	1.7913902	0.0021467257	0.00085196852	1.5393898	1.2299421	0.15529275	-0.59712019	1.6201666	-0.16487961	-1.6201611	-0.16487594	-0.10205071	2.7486205	0.044380059	0.0012825655	0.0490719	0.20093676	0.0021459448	0.20093643	0.0021458416	0.00085194166	0.36435059	0.044542617	6.1412115	2.1078828	3.4946156	4.8208095	3.4946108	4.8208224	3.8862183	2.7464395	-105.19602	R0:N12:S0:1	-83.7216	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 4.43e+02	 8.33e-03	2022-07-08@10:40
