model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	20.358885	12	7	-4.351489e-05	-1.9013034	-2.1933131	0.21456499	-2.1933121	0.21456049	0.26889599	-1.4546174	11.6	0.12301053	-0.77639754	1.2251716	-0.23864985	-1.2251708	0.23864903	0.39666388	-1.5907899	1.5	1	1e-09	1.1850546	1.6161942	-0.75746699	-0.3728869	0.14946633	0.32616135	0.11317027	1.9346205	1.5939143	0.19114142	1.5939181	0.19114678	0.02246028	1.1077942	1.3129585	-1.2393904	0.55225971	-2.0977971	1.1228433	2.0977825	-1.1228609	-0.55691188	3.3317924	0.053999052	0.10359974	0.064648743	0.35689762	0.18809498	0.35689501	0.18809952	0.022248279	0.48872282	0.058574779	5.9011154	1.6454977	3.2057619	5.0141027	3.2057557	5.0141063	4.3864247	1.6396274	-69.23766	R0:N12:S0:1	-36.8	uncorrelated	b7fd39a	v1.0.3	6	sharp_wc_2.0_b_50	 1.38e+02	 5.53e-03	2022-06-16@11:40
2x2_2C_8b_C2v_L	18.737577	12	6.5038667	-0.0044884051	-2.0098344	-2.3307264	0.2165943	-2.3307269	0.21659411	0.27141044	-1.629497	11.311111	0.1253656	-0.80861295	1.2805107	-0.23231748	-1.2805114	0.23231726	0.37396784	-1.6729533	1.5634556	1	0.022844445	1.1935294	1.6142994	-0.74780451	-0.35075771	0.14092165	0.30054426	0.12122519	1.9329141	1.6181285	0.19122059	1.6181259	0.19121751	0.018230308	1.1661298	1.285702	-1.2684558	0.58427769	-2.0606523	1.1027935	2.0606632	-1.1027813	-0.48856857	3.2843072	0.051789694	0.1101442	0.066103483	0.33676517	0.18802223	0.33676694	0.18801974	0.018122942	0.48156448	0.056777655	5.7629313	1.7633377	3.2265768	4.9684484	3.2265799	4.9684452	4.2843544	1.7436678	-69.083839	R0:N12:S0:1	-38.457956	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.43e+02	 3.59e-03	2022-06-16@11:41
2x2_2C_8b_C2v_L	17.053977	12	6.0077333	-0.0068053378	-2.1115227	-2.4718648	0.21011257	-2.4718648	0.21011286	0.26311562	-1.8104646	11.022222	0.12768067	-0.83998446	1.3344912	-0.22762626	-1.3344912	0.22762626	0.35610294	-1.7516147	1.6269111	1	0.04568889	1.2005543	1.6128425	-0.73849901	-0.33259619	0.13388641	0.27778744	0.1283477	1.9315086	1.6364242	0.19655481	1.6364239	0.19655418	0.01559921	1.2146904	1.2609743	-1.2916917	0.6116615	-2.0323832	1.0974422	2.0323846	-1.0974401	-0.43859956	3.2345588	0.0495408	0.11585405	0.067306747	0.32089471	0.19299409	0.32089496	0.19299356	0.015556014	0.47273669	0.055055492	5.6446391	1.8692731	3.2411956	4.9251167	3.2411965	4.9251162	4.1915674	1.8554081	-68.967552	R0:N12:S0:1	-40.115911	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.47e+02	 5.80e-03	2022-06-16@11:42
2x2_2C_8b_C2v_L	15.309795	12	5.5116	-0.0069745507	-2.2033582	-2.6180336	0.20243912	-2.6180209	0.20244697	0.25281211	-1.9961751	10.733333	0.12936771	-0.8701149	1.3879712	-0.22539112	-1.387971	0.22539299	0.34305572	-1.8281038	1.6903667	1	0.068533334	1.206201	1.61075	-0.73113764	-0.31772206	0.12811412	0.25767892	0.13420818	1.9303843	1.6503518	0.20574611	1.6503436	0.20573188	0.014090013	1.2550528	1.2385228	-1.3084821	0.63420844	-2.0116454	1.1039279	2.0116783	-1.1038812	-0.40286718	3.1868891	0.047323469	0.12049884	0.068270034	0.30838811	0.20163637	0.30839427	0.20162477	0.014092494	0.46333856	0.053483821	5.5472384	1.9619853	3.252713	4.8850455	3.2527315	4.8850338	4.1074051	1.9635308	-68.886501	R0:N12:S0:1	-41.773867	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.52e+02	 5.91e-03	2022-06-16@11:44
2x2_2C_8b_C2v_L	13.513263	12	5.0154667	-0.0055930169	-2.2855111	-2.7645012	0.19526784	-2.7644999	0.19527016	0.24398906	-2.1844536	10.444444	0.13062761	-0.89876782	1.440141	-0.2246417	-1.4401412	0.22464204	0.33365043	-1.9026828	1.7538222	1	0.091377778	1.2106506	1.6080574	-0.72589681	-0.3057439	0.12345521	0.239914	0.13995422	1.9292919	1.6602584	0.21855677	1.6602563	0.2185519	0.013338007	1.2879054	1.2179718	-1.3247409	0.6533912	-1.9990673	1.1195961	1.9990765	-1.1195809	-0.37741848	3.1447504	0.045184351	0.12501567	0.069211734	0.29902657	0.21371934	0.29902819	0.2137154	0.01337807	0.45414582	0.052126443	5.462499	2.0427662	3.2612926	4.8495446	3.2612991	4.8495411	4.0308735	2.0603506	-68.813397	R0:N12:S0:1	-43.431822	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.60e+02	 5.52e-03	2022-06-16@11:45
2x2_2C_8b_C2v_L	11.670285	12	4.5193333	-0.0032063391	-2.3597109	-2.9105687	0.19047177	-2.9105684	0.19047357	0.23774128	-2.3738078	10.155556	0.13171467	-0.92589403	1.4911078	-0.22535914	-1.4911085	0.22535947	0.32718416	-1.9754242	1.8172778	1	0.11422222	1.2140302	1.604725	-0.72298065	-0.29633805	0.11978676	0.22414927	0.14652285	1.928072	1.6666306	0.23480477	1.6666283	0.23479925	0.01311896	1.313902	1.1988803	-1.3448555	0.67031366	-1.9948166	1.1428057	1.9948269	-1.1427884	-0.35959782	3.1104432	0.043143962	0.13013227	0.070268856	0.29245904	0.22906261	0.29246075	0.22905831	0.013193109	0.4457044	0.051026684	5.384424	2.1127302	3.2672667	4.818364	3.2672738	4.8183601	3.960418	2.1412662	-68.744189	R0:N12:S0:1	-45.089778	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.71e+02	 4.55e-03	2022-06-16@11:47
2x2_2C_8b_C2v_L	9.786322	12	4.0232	-8.7866639e-05	-2.4271011	-3.0580585	0.18785304	-3.0580611	0.18785419	0.23342962	-2.5635328	9.8666667	0.13279132	-0.95156796	1.5413178	-0.22726146	-1.5413188	0.22726157	0.32285699	-2.0463519	1.8807333	1	0.13706667	1.2164566	1.6007315	-0.72247702	-0.28919304	0.11701551	0.21002864	0.15445316	1.9266066	1.6699055	0.25450881	1.6699038	0.25450359	0.013272528	1.3337254	1.1807802	-1.3707767	0.68591282	-1.999064	1.1719207	1.9990725	-1.1719047	-0.34718857	3.0853478	0.041202539	0.13623551	0.07154669	0.28832437	0.24768092	0.28832566	0.24767698	0.0133794	0.43833663	0.050208075	5.3099793	2.1731991	3.2706611	4.7908919	3.2706677	4.7908888	3.8943727	2.2038437	-68.685414	R0:N12:S0:1	-46.747733	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.84e+02	 3.76e-03	2022-06-16@11:49
2x2_2C_8b_C2v_L	7.8697327	12	3.5270667	0.0027413054	-2.4853402	-3.2003342	0.18839977	-3.2003467	0.18840335	0.23328348	-2.7531908	9.5777778	0.13384689	-0.97548899	1.5899869	-0.22944113	-1.5899897	0.2294423	0.31991972	-2.1164182	1.9441889	1	0.15991111	1.2181085	1.5965776	-0.72390691	-0.2840916	0.11504937	0.19736344	0.16538032	1.92451	1.6697729	0.27799043	1.6697732	0.27798793	0.013647293	1.3476074	1.1633327	-1.4077929	0.70204734	-2.013304	1.2051458	2.0133051	-1.205141	-0.33804469	3.0715777	0.03937013	0.14449091	0.073384637	0.28679751	0.26992553	0.28679737	0.26992353	0.013784571	0.43230277	0.049713329	5.2327252	2.224925	3.2703785	4.7672366	3.2703827	4.7672344	3.8305159	2.2444362	-68.605144	R0:N12:S0:1	-48.405689	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 2.02e+02	 1.12e-02	2022-06-16@11:50
2x2_2C_8b_C2v_L	5.9206383	12	3.0309333	0.0066719534	-2.5361395	-3.3395159	0.18963102	-3.3395116	0.18963098	0.23201474	-2.9387871	9.2888889	0.13508362	-0.99739253	1.6360875	-0.23283231	-1.6360865	0.23283301	0.31837014	-2.1824387	2.0076444	1	0.18275556	1.2190023	1.5916812	-0.72785786	-0.28069004	0.11381997	0.18573935	0.17831095	1.9219871	1.6668314	0.30555612	1.6668338	0.30556692	0.014260355	1.3565528	1.1460251	-1.4511213	0.71843782	-2.0371396	1.2415617	2.0371267	-1.2415923	-0.33196906	3.0678885	0.037612928	0.15404562	0.075603912	0.28735724	0.2961048	0.2873554	0.29611237	0.01442791	0.42757408	0.049517507	5.1570498	2.2698988	3.2668095	4.7446692	3.2667977	4.7446714	3.7682993	2.2654912	-68.496962	R0:N12:S0:1	-50.063644	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 2.24e+02	 2.39e-03	2022-06-16@11:52
2x2_2C_8b_C2v_L	3.9414836	12	2.5348	0.0098760854	-2.5800014	-3.4765031	0.19422213	-3.4764874	0.19422492	0.23487648	-3.1243249	9	0.13626544	-1.0179181	1.6815948	-0.23624327	-1.6815916	0.23624617	0.31755249	-2.2480942	2.0711	1	0.2056	1.2192021	1.5858677	-0.73447749	-0.27870158	0.11319272	0.17511726	0.19537174	1.9185605	1.6612855	0.33635488	1.6612919	0.33638727	0.014913395	1.3611543	1.1286701	-1.5069251	0.73713903	-2.0704849	1.278054	2.0704498	-1.2781436	-0.32663182	3.0756415	0.03594315	0.1662559	0.07861108	0.28982538	0.3255236	0.28982067	0.32554489	0.015106403	0.42409491	0.049652618	5.0758059	2.3075094	3.259933	4.7228825	3.2599009	4.7228845	3.7048348	2.264396	-68.384903	R0:N12:S0:1	-51.7216	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 2.52e+02	 1.61e-03	2022-06-16@11:54
