w	up_1	up_2	up_3	cumul_up_1	cumul_up_2	cumul_up_3	
-20	0.00064114	0.000260971	0.000260971	0	0	0
-19.975	0.000693369	0.000264915	0.000264912	1.73342e-05	6.62287e-06	6.62281e-06
-19.95	0.000759051	0.000269552	0.000269547	3.63105e-05	1.33617e-05	1.33615e-05
-19.925	0.000829993	0.000274445	0.000274438	5.70603e-05	2.02228e-05	2.02224e-05
-19.9	0.000885625	0.000278493	0.000278482	7.92009e-05	2.71851e-05	2.71845e-05
-19.875	0.000902554	0.000280438	0.000280424	0.000101765	3.41961e-05	3.41951e-05
-19.85	0.000879058	0.000280185	0.000280166	0.000123741	4.12007e-05	4.11992e-05
-19.825	0.000837846	0.000278942	0.000278918	0.000144687	4.81743e-05	4.81722e-05
-19.8	0.000802164	0.000277942	0.00027791	0.000164741	5.51228e-05	5.51199e-05
-19.775	0.000783287	0.000277768	0.000277727	0.000184324	6.2067e-05	6.20631e-05
-19.75	0.000784329	0.000278558	0.000278504	0.000203932	6.90309e-05	6.90257e-05
-19.725	0.000806075	0.000280315	0.000280244	0.000224084	7.60388e-05	7.60318e-05
-19.7	0.000849912	0.000283062	0.000282967	0.000245332	8.31154e-05	8.3106e-05
-19.675	0.000918508	0.000286889	0.000286761	0.000268294	9.02876e-05	9.0275e-05
-19.65	0.00101471	0.000291937	0.000291763	0.000293662	9.7586e-05	9.75691e-05
-19.625	0.00113818	0.000298296	0.000298065	0.000322116	0.000105043	0.000105021
-19.6	0.00128098	0.000305845	0.000305554	0.000354141	0.00011269	0.00011266
-19.575	0.00142665	0.000314049	0.000313731	0.000389807	0.000120541	0.000120503
-19.55	0.00154913	0.000321624	0.000321378	0.000428536	0.000128581	0.000128537
-19.525	0.00160609	0.000326272	0.000326242	0.000468688	0.000136738	0.000136693
-19.5	0.00156194	0.000326121	0.00032635	0.000507736	0.000144891	0.000144852
-19.475	0.00143513	0.000322026	0.0003224	0.000543615	0.000152942	0.000152912
-19.45	0.0012833	0.000316719	0.000317099	0.000575697	0.00016086	0.00016084
-19.425	0.0011501	0.000312253	0.00031257	0.00060445	0.000168666	0.000168654
-19.4	0.0010506	0.000309344	0.000309588	0.000630715	0.0001764	0.000176394
-19.375	0.000984126	0.000307981	0.000308163	0.000655318	0.000184099	0.000184098
-19.35	0.000945779	0.000307962	0.000308097	0.000678962	0.000191798	0.0001918
-19.325	0.000931297	0.00030912	0.00030922	0.000702245	0.000199526	0.000199531
-19.3	0.000938437	0.000311386	0.000311461	0.000725706	0.000207311	0.000207317
-19.275	0.00096709	0.000314801	0.000314858	0.000749883	0.000215181	0.000215189
-19.25	0.00101878	0.000319488	0.000319531	0.000775353	0.000223168	0.000223177
-19.225	0.00109493	0.000325553	0.000325585	0.000802726	0.000231307	0.000231316
-19.2	0.001192	0.000332798	0.000332822	0.000832526	0.000239627	0.000239637
-19.175	0.00129242	0.000340184	0.000340201	0.000864836	0.000248132	0.000248142
-19.15	0.00136022	0.000345575	0.000345587	0.000898842	0.000256771	0.000256782
-19.125	0.00136361	0.000347078	0.000347084	0.000932932	0.000265448	0.000265459
-19.1	0.00131055	0.000345158	0.000345159	0.000965696	0.000274077	0.000274088
-19.075	0.0012393	0.000342074	0.000342071	0.000996678	0.000282629	0.00028264
-19.05	0.00118107	0.000339655	0.000339647	0.0010262	0.00029112	0.000291131
-19.025	0.00114838	0.000338606	0.000338593	0.00105491	0.000299585	0.000299596
-19	0.00114329	0.000338992	0.000338974	0.0010835	0.00030806	0.00030807
-18.975	0.00116505	0.0003407	0.000340675	0.00111262	0.000316578	0.000316587
-18.95	0.00121302	0.000343618	0.000343586	0.00114295	0.000325168	0.000325176
-18.925	0.00128562	0.000347642	0.0003476	0.00117509	0.000333859	0.000333866
-18.9	0.00137584	0.00035255	0.000352496	0.00120948	0.000342673	0.000342679
-18.875	0.0014659	0.000357854	0.000357785	0.00124613	0.000351619	0.000351623
-18.85	0.00153337	0.000362973	0.000362884	0.00128447	0.000360693	0.000360696
-18.825	0.00157443	0.00036788	0.000367765	0.00132383	0.00036989	0.00036989
-18.8	0.00161236	0.000373353	0.000373202	0.00136414	0.000379224	0.00037922
-18.775	0.00167661	0.000380401	0.000380201	0.00140605	0.000388734	0.000388725
-18.75	0.00178816	0.000389886	0.000389617	0.00145076	0.000398481	0.000398465
-18.725	0.00196253	0.000402632	0.000402269	0.00149982	0.000408547	0.000408522
-18.7	0.00221593	0.000419616	0.000419127	0.00155522	0.000419038	0.000419
-18.675	0.00256628	0.000441929	0.000441288	0.00161937	0.000430086	0.000430032
-18.65	0.00302367	0.000470214	0.00046944	0.00169497	0.000441841	0.000441768
-18.625	0.00356199	0.000503061	0.000502299	0.00178402	0.000454418	0.000454326
-18.6	0.00407717	0.00053469	0.000534263	0.00188595	0.000467785	0.000467682
-18.575	0.004398	0.000555589	0.000555807	0.0019959	0.000481675	0.000481578
-18.55	0.00441311	0.000559444	0.000560242	0.00210622	0.000495661	0.000495584
-18.525	0.00415834	0.000547701	0.000548712	0.00221018	0.000509353	0.000509301
-18.5	0.00374573	0.000525997	0.000526926	0.00230383	0.000522503	0.000522475
-18.475	0.00329707	0.000501202	0.000501946	0.00238625	0.000535033	0.000535023
-18.45	0.00290782	0.000479171	0.000479733	0.00245895	0.000547013	0.000547017
-18.425	0.00262139	0.000462674	0.000463092	0.00252448	0.000558579	0.000558594
-18.4	0.00244199	0.000451974	0.000452284	0.00258553	0.000569879	0.000569901
-18.375	0.00235876	0.000446333	0.000446564	0.0026445	0.000581037	0.000581065
-18.35	0.00235634	0.000444803	0.000444976	0.00270341	0.000592157	0.000592189
-18.325	0.00240978	0.000446224	0.000446354	0.00276365	0.000603313	0.000603348
-18.3	0.00247229	0.000448871	0.000448968	0.00282546	0.000614535	0.000614572
-18.275	0.00248263	0.000450667	0.000450739	0.00288753	0.000625801	0.000625841
-18.25	0.00241355	0.000450662	0.000450713	0.00294787	0.000637068	0.000637109
-18.225	0.00229911	0.000449849	0.000449883	0.00300534	0.000648314	0.000648356
-18.2	0.0021913	0.000449808	0.000449826	0.00306013	0.000659559	0.000659601
-18.175	0.00211946	0.000451454	0.000451458	0.00311311	0.000670846	0.000670888
-18.15	0.00209116	0.000455074	0.000455065	0.00316539	0.000682222	0.000682265
-18.125	0.00210543	0.000460739	0.000460716	0.00321803	0.000693741	0.000693782
-18.1	0.00216079	0.000468562	0.000468525	0.00327205	0.000705455	0.000705496
-18.075	0.00225846	0.000478819	0.000478766	0.00332851	0.000717425	0.000717465
-18.05	0.00240347	0.000492007	0.000491935	0.0033886	0.000729726	0.000729763
-18.025	0.0026052	0.000508885	0.000508792	0.00345373	0.000742448	0.000742483
-18	0.00287687	0.000530454	0.000530334	0.00352565	0.000755709	0.000755741
-17.975	0.00323181	0.000557688	0.000557533	0.00360644	0.000769651	0.00076968
-17.95	0.00367043	0.0005906	0.0005904	0.0036982	0.000784416	0.00078444
-17.925	0.00415227	0.00062623	0.000625972	0.00380201	0.000800072	0.000800089
-17.9	0.00457368	0.000657046	0.000656708	0.00391635	0.000816498	0.000816507
-17.875	0.00482491	0.000675051	0.000674605	0.00403697	0.000833374	0.000833372
-17.85	0.00492013	0.000681119	0.000680522	0.00415998	0.000850402	0.000850385
-17.825	0.00500368	0.000685378	0.000684572	0.00428507	0.000867537	0.000867499
-17.8	0.0052243	0.000698142	0.00069705	0.00441568	0.00088499	0.000884925
-17.775	0.00567372	0.000725493	0.000724033	0.00455752	0.000903128	0.000903026
-17.75	0.00639692	0.000770059	0.000768195	0.00471744	0.000922379	0.000922231
-17.725	0.00738141	0.000830455	0.000828356	0.00490198	0.000943141	0.00094294
-17.7	0.00848494	0.000896757	0.000895019	0.0051141	0.000965559	0.000965315
-17.675	0.00936649	0.000946704	0.000946284	0.00534826	0.000989227	0.000988973
-17.65	0.00963189	0.000956632	0.000957991	0.00558906	0.00101314	0.00101292
-17.625	0.00917857	0.000924098	0.000926589	0.00581853	0.00103625	0.00103609
-17.6	0.00825486	0.00086836	0.000870997	0.0060249	0.00105795	0.00105786
-17.575	0.00720539	0.000810509	0.00081275	0.00620503	0.00107822	0.00107818
-17.55	0.00627356	0.000762488	0.000764222	0.00636187	0.00109728	0.00109729
-17.525	0.00555429	0.000727666	0.000728962	0.00650073	0.00111547	0.00111551
-17.5	0.00504596	0.000705014	0.000705974	0.00662688	0.0011331	0.00113316
-17.475	0.00471317	0.000692314	0.000693027	0.00674471	0.0011504	0.00115049
-17.45	0.00451936	0.000687572	0.000688105	0.00685769	0.00116759	0.00116769
-17.425	0.00443701	0.000689398	0.000689796	0.00696862	0.00118483	0.00118493
