GS_consistency	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	githash	model	mu	script	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	time	tpd	tpp	tppp	version	Unnamed: 28
YY	10	3.0428	-0.35575237	-3.5930149	-3.6461254	0.013217812	-3.6457192	0.013198219	0.023476256	-3.3881215	a248bdd	2x2_2C_8b_C2v_L	10.24	validity_data_2022.py	0.17537104	1.0872312	-1.5819041	0.11674526	1.5818156	0.1167427	-0.14945244	-2.0961308	2024-08-13@14:18	2.0089	1	0.226	v2.7.1	
YY	10	3.0428	-0.3568874	-3.5964719	-3.6537575	0.014149366	-3.6527079	0.01416831	0.024564723	-3.3966484	a248bdd	2x2_2C_8b_C2v_L	10.25	validity_data_2022.py	-0.17403361	1.0873835	-1.5821554	0.11609488	1.5819544	0.1160575	-0.14885606	-2.0964176	2024-08-13@14:18	2.0089	1	0.226	v2.7.1	
YY	10	3.0428	0.032615866	-3.8986768	-4.4753003	0.14168447	-4.4733625	0.14151634	0.16877861	-4.2050936	a248bdd	2x2_2C_8b_C2v_L	11.0	validity_data_2022.py	-0.088810454	1.0972356	-1.6354271	-0.16656259	1.6350749	-0.16651723	0.23270698	-2.1487581	2024-08-13@14:19	2.0089	1	0.226	v2.7.1	
YY	10	3.0428	0.035232034	-3.8955492	-4.4783644	0.14403821	-4.4786966	0.14401055	0.17342224	-4.207337	a248bdd	2x2_2C_8b_C2v_L	10.99	validity_data_2022.py	-0.089455896	1.097725	-1.6371684	-0.16712827	1.6372175	-0.16711529	0.23389128	-2.1514395	2024-08-13@14:20	2.0089	1	0.226	v2.7.1	
YY	10	3.0428	0.038113996	-3.8931207	-4.4818889	0.14687266	-4.4829095	0.14690749	0.17847611	-4.2090915	a248bdd	2x2_2C_8b_C2v_L	10.98	validity_data_2022.py	-0.090180627	1.0983448	-1.6390052	-0.16796207	1.639199	-0.16795961	0.2353158	-2.1540124	2024-08-13@14:20	2.0089	1	0.226	v2.7.1	
YY	10	3.0428	0.040993557	-3.8954573	-4.4846752	0.14885239	-4.4851041	0.14953765	0.18278019	-4.2102929	a248bdd	2x2_2C_8b_C2v_L	10.97	validity_data_2022.py	-0.090989269	1.0996894	-1.6407404	-0.16845876	1.6408665	-0.16876585	0.23648832	-2.156498	2024-08-13@14:21	2.0089	1	0.226	v2.7.1	
YY	10	3.0428	0.044445755	-3.8931995	-4.484361	0.15186004	-4.4844007	0.1517573	0.18823211	-4.2121653	a248bdd	2x2_2C_8b_C2v_L	10.96	validity_data_2022.py	-0.091763803	1.1002926	-1.6419005	-0.16922127	1.6418777	-0.16905504	0.23770912	-2.1591629	2024-08-13@14:21	2.0089	1	0.226	v2.7.1	
YY	10	3.0428	0.048203777	-3.8916678	-4.4892876	0.15540589	-4.4886054	0.15539861	0.19380247	-4.2118548	a248bdd	2x2_2C_8b_C2v_L	10.95	validity_data_2022.py	-0.092772745	1.1011255	-1.6440707	-0.1701997	1.6439174	-0.17022888	0.23917206	-2.1612753	2024-08-13@14:22	2.0089	1	0.226	v2.7.1	
YY	10	3.0428	0.051533673	-3.8905922	-4.4922898	0.15817038	-4.4916975	0.15793688	0.19794858	-4.2097673	a248bdd	2x2_2C_8b_C2v_L	10.94	validity_data_2022.py	-0.093583436	1.1019646	-1.6458451	-0.1709542	1.6457484	-0.17081139	0.24000216	-2.1629045	2024-08-13@14:22	2.0089	1	0.226	v2.7.1	
YY	10	3.0428	0.056235859	-3.8923823	-4.495253	0.1617239	-4.4938901	0.16077003	0.20418892	-4.2096161	a248bdd	2x2_2C_8b_C2v_L	10.93	validity_data_2022.py	-0.094797126	1.1032814	-1.647639	-0.17173905	1.6473088	-0.17147522	0.24126735	-2.165109	2024-08-13@14:22	2.0089	1	0.226	v2.7.1	
YY	10	3.0428	0.059966319	-3.8947567	-4.4986451	0.16491055	-4.4955549	0.16569801	0.20891312	-4.2093452	a248bdd	2x2_2C_8b_C2v_L	10.92	validity_data_2022.py	-0.095714102	1.1045336	-1.6494785	-0.1725929	1.6490683	-0.17294263	0.24252312	-2.1672246	2024-08-13@14:23	2.0089	1	0.226	v2.7.1	
YY	10	3.0428	0.063826226	-3.8919055	-4.495876	0.16769042	-4.4939975	0.16674298	0.21294637	-4.2088647	a248bdd	2x2_2C_8b_C2v_L	10.91	validity_data_2022.py	-0.096694836	1.105259	-1.6504795	-0.17355011	1.6498582	-0.17299149	0.24345575	-2.1692772	2024-08-13@14:24	2.0089	1	0.226	v2.7.1	
