GS_consistency	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	githash	model	mu	script	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	time	tpd	tpp	tppp	version	
YY	11.5	3.0428	0.89681927	-2.2845637	-3.2744049	1.0086376	-3.2741913	0.99696107	-0.10564583	-3.6321677	a248bdd	2x2_2C_8b_C2v_L	9.94	validity_data_2022.py	-4.1680261e-05	0.978023	-1.5879165	-7.1049702e-06	1.5878704	2.7023993e-05	0.23547995	-2.2408585	2024-08-13@13:36	2.0089	1	0.226	v2.7.1	
YY	11.5	3.0428	1.0002535	-2.2966093	-3.2819606	1.1109901	-3.281774	1.0839991	-0.12024908	-3.6687463	a248bdd	2x2_2C_8b_C2v_L	9.95	validity_data_2022.py	-4.3283271e-05	0.98105368	-1.5897657	3.4959538e-06	1.5897193	-5.926179e-07	0.2433345	-2.2470509	2024-08-13@13:36	2.0089	1	0.226	v2.7.1	
YY	11.5	3.0428	1.1152787	-2.3146459	-3.2920973	1.2415635	-3.2930233	1.2139937	-0.13678394	-3.7049236	a248bdd	2x2_2C_8b_C2v_L	9.96	validity_data_2022.py	5.6497537e-05	0.98446425	-1.5916495	-3.6197737e-05	1.5918537	-1.2524585e-06	0.25098152	-2.2528694	2024-08-13@13:37	2.0089	1	0.226	v2.7.1	
YY	11.5	3.0428	1.2360506	-2.3420106	-3.3084942	1.4848931	-3.3086089	1.4096387	-0.15910239	-3.744652	a248bdd	2x2_2C_8b_C2v_L	9.97	validity_data_2022.py	1.1630981e-06	0.98898563	-1.5945468	9.1610057e-06	1.5945548	1.0074842e-05	0.25958466	-2.2591065	2024-08-13@13:37	2.0089	1	0.226	v2.7.1	
YY	11.5	3.0428	1.6514487	-2.3734721	-3.3277788	1.9389567	-3.3277639	1.8280661	-0.18118298	-3.7768643	a248bdd	2x2_2C_8b_C2v_L	9.98	validity_data_2022.py	8.6515331e-07	0.99350531	-1.5974452	-2.0650628e-06	1.5974416	-1.7393767e-06	0.26616512	-2.2634611	2024-08-13@13:37	2.0089	1	0.226	v2.7.1	
YY	11.5	3.0428	2.3910515	-2.4053275	-3.3478799	2.6561847	-3.3486685	2.4585829	-0.20191966	-3.802756	a248bdd	2x2_2C_8b_C2v_L	9.99	validity_data_2022.py	1.8112252e-05	0.99776744	-1.6002167	5.9967223e-05	1.6003774	0.00011643146	0.27102867	-2.2664028	2024-08-13@13:38	2.0089	1	0.226	v2.7.1	
YY	11.5	3.0428	3.5177614	-2.4356243	-3.3681991	3.6261404	-3.3687399	3.3173234	-0.22013357	-3.8231643	a248bdd	2x2_2C_8b_C2v_L	10	validity_data_2022.py	-2.3442484e-05	1.0016264	-1.6028729	1.4613203e-05	1.6029869	-3.5372734e-05	0.27440968	-2.2682322	2024-08-13@13:38	2.0089	1	0.226	v2.7.1	
YY	11.5	3.0428	5.1181652	-2.4641755	-3.3881326	4.8461633	-3.3879398	4.495763	-0.23656373	-3.8400816	a248bdd	2x2_2C_8b_C2v_L	10.01	validity_data_2022.py	9.9460476e-06	1.005156	-1.6053915	1.8497251e-06	1.6053563	-8.6925057e-06	0.27682765	-2.2693967	2024-08-13@13:39	2.0089	1	0.226	v2.7.1	
YY	11.5	3.0428	7.6783769	-2.491903	-3.4077373	6.3427459	-3.4072227	5.8427364	-0.25208801	-3.8552344	a248bdd	2x2_2C_8b_C2v_L	10.02	validity_data_2022.py	-5.6715983e-06	1.0085102	-1.6077902	-5.7216813e-06	1.607714	5.9796515e-07	0.27874376	-2.270239	2024-08-13@13:39	2.0089	1	0.226	v2.7.1	
YY	11.5	3.0428	11.218379	-2.5186361	-3.4273749	8.1372357	-3.4257388	7.4285906	-0.26659332	-3.8686743	a248bdd	2x2_2C_8b_C2v_L	10.03	validity_data_2022.py	1.4349276e-05	1.0116816	-1.6101538	-2.2965643e-05	1.6099092	2.464343e-06	0.28018844	-2.2707745	2024-08-13@13:39	2.0089	1	0.226	v2.7.1	
