model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	6.5031172	11	3.0428	-0.13542432	-3.0801836	-3.3485993	0.049692238	-3.3502814	0.049469969	0.059004723	-3.0775186	9.68	-0.17727065	1.0424187	-1.5878344	-0.16545486	1.588193	0.16543029	0.21608011	-2.1260302	2.0089	1	0.226	1.2324504	1.6371686	-0.67063937	-0.2587247	0.10432684	0.23619619	0.18199347	1.9278322	1.6881389	0.15636943	1.688238	0.15655099	0.0051234433	1.3515308	1.2110557	1.5870921	-0.67924205	1.9250234	0.99317376	-1.9248634	-0.99373349	-0.22237939	3.1480199	0.044600643	0.15752263	0.070096195	0.28123849	0.15435683	0.28114876	0.1545242	0.0051420687	0.43554993	0.052283377	5.1689515	2.0234683	3.3440843	4.8787125	3.3438307	4.8786596	3.8378643	2.0692679	-72.087314	R0:N12:S0:1	-53.0976	uncorrelated	b7fd39a	v1.0.3	10	sharp_wc_2.0_b_50	 2.01e+02	 7.00e-03	2022-07-05@10:50
2x2_2C_8b_C2v_L	6.5177675	11	3.0428	-0.14686342	-3.1153711	-3.3508444	0.047151079	-3.3509793	0.047152879	0.054683613	-3.078839	9.69	-0.18131541	1.045447	-1.5872641	-0.16421766	1.5873152	0.16423811	0.21297328	-2.1241811	2.0089	1	0.226	1.2327786	1.6380782	-0.66890174	-0.25826853	0.10405152	0.23634639	0.1890337	1.9270545	1.6889557	0.15291211	1.6889614	0.15294872	0.0049012023	1.3503026	1.2112325	1.6174184	-0.68504632	1.9207467	0.98470068	-1.9207505	-0.98481753	-0.21861119	3.1503439	0.044624162	0.16264203	0.070760262	0.2809189	0.15101301	0.28091225	0.15104819	0.0049176413	0.4358339	0.052311027	5.1243361	2.0289039	3.3497	4.8815003	3.3496414	4.8814837	3.838378	2.0647041	-72.21008	R0:N12:S0:1	-53.1776	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.99e+02	 7.22e-03	2022-07-05@10:52
2x2_2C_8b_C2v_L	6.5325274	11	3.0428	-0.15387228	-3.1355775	-3.3531885	0.042959872	-3.3535821	0.042943669	0.048979791	-3.0771548	9.7	-0.18269174	1.0467832	-1.5862585	-0.16262871	1.586357	0.16261133	0.20857558	-2.1211989	2.0089	1	0.226	1.2331502	1.638813	-0.66733427	-0.25755375	0.10372215	0.23656124	0.19126771	1.9269561	1.6900323	0.15018718	1.6899842	0.15010657	0.0046747752	1.3502613	1.2116325	1.6274308	-0.68658583	1.9165073	0.97726018	-1.9168037	-0.9768881	-0.21407427	3.1502344	0.044653001	0.16424262	0.070830588	0.28028718	0.14835233	0.280322	0.14828296	0.0046895432	0.43584716	0.052283187	5.1090405	2.0307468	3.3536457	4.8834811	3.3538203	4.8832557	3.8397704	2.0646942	-72.292073	R0:N12:S0:1	-53.2576	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.97e+02	 2.50e-03	2022-07-05@10:54
2x2_2C_8b_C2v_L	6.5484602	11	3.0428	-0.16224674	-3.1658028	-3.3583793	0.041621866	-3.358697	0.041683981	0.04713012	-3.0817986	9.71	-0.18551616	1.0496686	-1.586542	-0.161737	1.5866207	0.16177191	0.20687897	-2.1207728	2.0089	1	0.226	1.2335311	1.6396805	-0.66558671	-0.25684382	0.10341821	0.23676355	0.19556143	1.9265831	1.6911289	0.14661185	1.6911636	0.1466655	0.0045387605	1.3500006	1.2119366	1.6463868	-0.68988733	1.9120231	0.96829442	-1.9119172	-0.96852528	-0.21176958	3.1510163	0.044680459	0.16731705	0.071142001	0.27972087	0.14488572	0.27969239	0.14493433	0.0045523111	0.43590215	0.052283079	5.0807874	2.033924	3.3592521	4.8852132	3.3591686	4.8852306	3.839855	2.0630119	-72.428757	R0:N12:S0:1	-53.3376	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.95e+02	 3.76e-03	2022-07-05@10:56
2x2_2C_8b_C2v_L	6.5635566	11	3.0428	-0.16834579	-3.1804811	-3.3623547	0.038723404	-3.3610961	0.038682098	0.043691475	-3.0823874	9.72	-0.18635557	1.0505524	-1.5861229	-0.16064382	1.5858259	0.16060127	0.20386928	-2.1188335	2.0089	1	0.226	1.2339162	1.6404042	-0.66402819	-0.25603992	0.10308987	0.23702251	0.19689451	1.926537	1.6922137	0.14405286	1.6921628	0.14397277	0.0043853989	1.3502405	1.2123851	1.6524655	-0.69075294	1.9081004	0.96140658	-1.9081151	-0.96112611	-0.20859551	3.1505911	0.044713688	0.16825838	0.071171443	0.2790614	0.14238509	0.2791087	0.14230926	0.0043979286	0.43585463	0.052255545	5.0713662	2.0346994	3.3629086	4.8865542	3.3629934	4.8867009	3.8408605	2.0635724	-72.509919	R0:N12:S0:1	-53.4176	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.94e+02	 1.69e-03	2022-07-05@10:58
2x2_2C_8b_C2v_L	6.579692	11	3.0428	-0.17442404	-3.2025397	-3.3682482	0.038078772	-3.3684373	0.03810297	0.042940306	-3.089294	9.73	-0.18826731	1.0527462	-1.5866521	-0.15991372	1.5867013	0.15994089	0.20286444	-2.1192573	2.0089	1	0.226	1.234318	1.641207	-0.66234858	-0.25518589	0.10276903	0.23727061	0.19927484	1.9263759	1.6934877	0.14057569	1.6935226	0.14063895	0.0042987946	1.3506722	1.2127884	1.6634784	-0.6924765	1.9033342	0.95253377	-1.903206	-0.95279721	-0.20707584	3.1503155	0.044745037	0.16995186	0.071301342	0.27833039	0.13899967	0.27830163	0.13905742	0.0043106485	0.43574366	0.052236741	5.0548514	2.0361819	3.3681308	4.8878736	3.3680173	4.8879321	3.840576	2.0638997	-72.64119	R0:N12:S0:1	-53.4976	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.92e+02	 1.93e-03	2022-07-05@11:00
2x2_2C_8b_C2v_L	6.5964776	11	3.0428	-0.18182338	-3.2232269	-3.3705891	0.035896157	-3.3712775	0.035921936	0.040699378	-3.0911142	9.74	-0.18957565	1.0544101	-1.5860905	-0.15911494	1.5862427	0.15912721	0.20073403	-2.1179884	2.0089	1	0.226	1.2347274	1.6420747	-0.66055236	-0.25436985	0.10243719	0.23752391	0.20157304	1.9262189	1.6942835	0.13811864	1.6943051	0.13813704	0.0041748418	1.350508	1.2131702	1.6735292	-0.69410137	1.8999738	0.9459399	-1.8999896	-0.94600286	-0.20463257	3.1507034	0.044778342	0.17156411	0.071427605	0.27791025	0.13660315	0.27788998	0.13662074	0.0041858057	0.4357971	0.052231609	5.039577	2.0376067	3.3716934	4.8895078	3.3716938	4.8894085	3.8413648	2.0628948	-72.738323	R0:N12:S0:1	-53.5776	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.90e+02	 2.88e-03	2022-07-05@11:01
2x2_2C_8b_C2v_L	6.6120456	11	3.0428	-0.18546057	-3.2394233	-3.3787219	0.035044744	-3.3784176	0.035053911	0.040240295	-3.0984482	9.75	-0.19049173	1.0558498	-1.5868523	-0.15841602	1.586805	0.15841812	0.19977252	-2.1184201	2.0089	1	0.226	1.2351366	1.6427525	-0.65903609	-0.25339482	0.10209713	0.23779788	0.20164924	1.9264143	1.6958559	0.13491525	1.6958161	0.13487732	0.0041059189	1.3516687	1.2136743	1.675569	-0.69362399	1.8948467	0.93752482	-1.8949864	-0.93735111	-0.2032841	3.1491447	0.044811138	0.17162445	0.071243714	0.27689429	0.1334673	0.27692614	0.1334341	0.0041164649	0.43551263	0.052184324	5.0366278	2.037215	3.376343	4.8901258	3.3764094	4.8900695	3.8410283	2.0656777	-72.85971	R0:N12:S0:1	-53.6576	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.89e+02	 3.47e-03	2022-07-05@11:03
2x2_2C_8b_C2v_L	6.6299585	11	3.0428	-0.19229819	-3.2578919	-3.3845749	0.034095299	-3.3836737	0.034070152	0.039296167	-3.102867	9.76	-0.19195764	1.0575824	-1.5873963	-0.15781566	1.5871818	0.15778951	0.19864573	-2.1181684	2.0089	1	0.226	1.2355722	1.643665	-0.65713902	-0.25248261	0.10175274	0.2380555	0.20396421	1.9261878	1.6968311	0.1321431	1.6968087	0.13210513	0.0040254352	1.3517012	1.2140583	1.6855961	-0.695485	1.8911634	0.93008003	-1.8911122	-0.9299586	-0.20177858	3.1493599	0.044844043	0.1732491	0.07143544	0.27634618	0.13076318	0.27636952	0.13072598	0.0040353993	0.43551317	0.052177992	5.0213023	2.0386052	3.3804682	4.8913445	3.3804929	4.8914917	3.8413644	2.0649825	-72.973549	R0:N12:S0:1	-53.7376	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.88e+02	 3.32e-03	2022-07-05@11:04
2x2_2C_8b_C2v_L	6.6459915	11	3.0428	-0.19589709	-3.2664437	-3.3905455	0.032688432	-3.3885144	0.032633984	0.03861421	-3.1077864	9.77	-0.19200496	1.0580947	-1.5876158	-0.15727558	1.5871726	0.15724325	0.19763078	-2.117951	2.0089	1	0.226	1.2359905	1.6443728	-0.65556655	-0.2514899	0.10139931	0.2383656	0.20326768	1.926387	1.6979906	0.12977413	1.6979198	0.1297065	0.0039684415	1.3526438	1.2145855	1.683851	-0.69454813	1.8874443	0.92356182	-1.8874403	-0.92331346	-0.20055948	3.1480061	0.04488135	0.17276015	0.071253313	0.27558985	0.12844073	0.27565587	0.12837672	0.0039781061	0.43529995	0.052139772	5.024104	2.0373242	3.3836805	4.8918469	3.3837116	4.8921113	3.8416172	2.067316	-73.063643	R0:N12:S0:1	-53.8176	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.87e+02	 1.90e-03	2022-07-05@11:06
2x2_2C_8b_C2v_L	6.664193	11	3.0428	-0.20073002	-3.2910917	-3.3982524	0.032576996	-3.3988369	0.032563417	0.038369434	-3.1171714	9.78	-0.19370717	1.0608268	-1.5885664	-0.15652806	1.5886719	0.15651471	0.19689381	-2.1190701	2.0089	1	0.226	1.2364477	1.6452179	-0.65372429	-0.25043152	0.10103057	0.23859826	0.20458414	1.9264391	1.6995064	0.12619499	1.6995339	0.12620252	0.0039008991	1.3536038	1.2150086	1.6910614	-0.69520948	1.8821057	0.91368069	-1.8820658	-0.91371527	-0.19929784	3.1468947	0.044909687	0.17369183	0.071195004	0.27465443	0.12493977	0.27463087	0.12494576	0.0039101255	0.43504942	0.052102727	5.0131659	2.038268	3.3889569	4.8928882	3.3889653	4.8928408	3.8409423	2.0692611	-73.215461	R0:N12:S0:1	-53.8976	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.85e+02	 1.22e-03	2022-07-05@11:07
2x2_2C_8b_C2v_L	6.6817537	11	3.0428	-0.20468289	-3.2962643	-3.4029062	0.031044332	-3.4034896	0.031036484	0.037815071	-3.1213187	9.79	-0.19343129	1.0609632	-1.5885282	-0.1561638	1.588649	0.1561641	0.19616124	-2.1187171	2.0089	1	0.226	1.2368961	1.646016	-0.65197318	-0.24937414	0.10065045	0.23892011	0.20376518	1.9265873	1.7003892	0.12426926	1.7004117	0.12428876	0.0038601398	1.3543354	1.2155233	1.6884203	-0.69432113	1.8792142	0.90822731	-1.879202	-0.90829866	-0.19842107	3.1458418	0.044948501	0.17311454	0.071060809	0.27408729	0.12305089	0.27406658	0.12306911	0.0038691569	0.43489612	0.052074609	5.0173745	2.0367153	3.3914287	4.8934229	3.3914167	4.8933587	3.841431	2.0709878	-73.294271	R0:N12:S0:1	-53.9776	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.84e+02	 1.55e-03	2022-07-05@11:09
2x2_2C_8b_C2v_L	6.7041987	11	3.0428	-0.21126055	-3.3192265	-3.4097662	0.030422969	-3.4107379	0.030428868	0.037379132	-3.1283428	9.8	-0.19500973	1.0633138	-1.5893269	-0.15560398	1.5895263	0.15561255	0.19543943	-2.1193225	2.0089	1	0.226	1.2374356	1.6471303	-0.6496151	-0.24817531	0.10022576	0.23915839	0.20575677	1.9264794	1.7014225	0.12145832	1.7014714	0.12150346	0.0037950009	1.3545725	1.2158852	1.6976677	-0.6956757	1.8753523	0.90027237	-1.8752767	-0.90046146	-0.19722825	3.1458594	0.04497848	0.1745091	0.071146031	0.27349042	0.12030146	0.27344721	0.12034317	0.0038035546	0.43483841	0.052064578	5.0033522	2.0379184	3.395626	4.8945794	3.3955763	4.8945091	3.8412884	2.0707111	-73.430356	R0:N12:S0:1	-54.0576	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.83e+02	 1.69e-03	2022-07-05@11:11
2x2_2C_8b_C2v_L	6.7237867	11	3.0428	-0.21461493	-3.3303452	-3.4176954	0.029575456	-3.4179788	0.029570857	0.03708441	-3.1354181	9.81	-0.19523375	1.0643587	-1.5900616	-0.15510984	1.5901216	0.15512186	0.1948631	-2.1197337	2.0089	1	0.226	1.2379349	1.6479893	-0.64768397	-0.24694873	0.099800514	0.23944284	0.204987	1.9266996	1.7027005	0.11891393	1.702731	0.11895684	0.0037551641	1.3557112	1.2163862	1.6958939	-0.69471179	1.8713292	0.89289319	-1.8712323	-0.89308127	-0.19638983	3.1442395	0.045012048	0.1739751	0.070945705	0.27264178	0.11780356	0.27261592	0.11784337	0.0037635267	0.43456498	0.052021431	5.0062158	2.0367793	3.399123	4.894899	3.3990428	4.8949373	3.8412036	2.0735752	-73.540621	R0:N12:S0:1	-54.1376	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.82e+02	 4.22e-04	2022-07-05@11:13
