model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	7.263024	9.5	3.0428	0.013455799	-3.5668334	-3.9467033	0.035534164	-3.9435157	0.035241807	0.031226601	-3.705108	11	-0.074053419	1.0629605	-1.5389677	-0.1332866	1.5383218	-0.13323331	0.17245553	-2.0175398	2.0089	1	0.226	1.2463677	1.7233104	-0.57454459	-0.23910081	0.09674243	0.36607232	0.0062527608	1.9575569	1.6605395	0.014500412	1.6602631	0.014474317	0.0022624162	1.2531895	1.3577403	0.34801882	-0.40854175	1.8969704	0.40091024	-1.8978024	0.4005204	-0.17279684	3.3838348	0.055965087	0.0062272434	0.043857515	0.32511663	0.014480376	0.32534372	0.014454501	0.0022620287	0.47180727	0.057569777	6.947845	1.2692685	3.4997578	5.287296	3.499827	5.2871026	4.1280444	1.4966333	-83.817519	R0:N12:S0:1	-63.6576	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 3.06e+02	 1.00e+06	2022-07-07@16:41
2x2_2C_8b_C2v_L	7.1501071	9.7777778	3.0428	-0.0011748659	-3.7186023	-4.2028466	0.080373699	-4.2028277	0.080374244	0.075478264	-3.9388802	11	-0.078466522	1.0753208	-1.5855047	-0.14854765	1.5855017	-0.14854729	0.19683718	-2.0770505	2.0089	1	0.226	1.245743	1.7036173	-0.59514844	-0.23322623	0.095761529	0.33688724	0.0066872329	1.9562102	1.6899918	0.015434372	1.689989	0.015434075	0.002772386	1.3099047	1.328394	0.35768802	-0.44181539	1.852907	0.41445026	-1.8529181	0.41444576	-0.18697857	3.2909977	0.054078314	0.0066579566	0.045092826	0.29684157	0.015409622	0.29684373	0.015409328	0.0027725112	0.45729881	0.055574765	6.8120938	1.4071696	3.4904296	5.1693602	3.4904316	5.1693518	4.0337595	1.7081508	-85.284316	R0:N12:S0:1	-63.6576	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 3.34e+02	 4.54e-03	2022-07-07@16:43
2x2_2C_8b_C2v_L	7.0063144	10.055556	3.0428	0.045759661	-3.9241534	-4.5470955	0.15423362	-4.5470623	0.15423599	0.19067261	-4.2582052	11	-0.091823254	1.1003265	-1.6480806	-0.16941946	1.6480811	-0.16941856	0.23744187	-2.1630938	2.0089	1	0.226	1.2445473	1.6785589	-0.62018678	-0.22703454	0.094943701	0.30823499	0.0079703547	1.955042	1.718652	0.016307777	1.7186366	0.01630627	0.0036498222	1.3658915	1.2993859	0.38972426	-0.47368618	1.8013347	0.42903288	-1.8014107	0.42900782	-0.21039531	3.189521	0.051787907	0.0079289491	0.046128091	0.26954609	0.016277404	0.26955787	0.016275918	0.0036509854	0.43952352	0.053241267	6.6664008	1.544898	3.4903477	5.0553155	3.4903688	5.055236	3.9407697	1.9336475	-87.475916	R0:N12:S0:1	-63.6576	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 3.62e+02	 3.20e-03	2022-07-07@16:44
2x2_2C_8b_C2v_L	7.0312774	10.333333	3.0428	0.23717978	-4.2284549	-4.8919323	0.34607423	-4.8919254	0.34602702	0.41006096	-4.4835596	11	-0.11544351	1.1419991	-1.7138526	-0.19412575	1.7138827	-0.19410017	0.2646062	-2.2292762	2.0089	1	0.226	1.2464729	1.6653954	-0.62330022	-0.21749079	0.091283394	0.28478363	0.0099132894	1.9550576	1.7431714	0.016260955	1.7431072	0.016251726	0.0039568717	1.4093517	1.2757323	0.43715411	-0.49652681	1.7495315	0.43480411	-1.7498783	0.43465155	-0.21887184	3.0998986	0.049603943	0.009849841	0.045940949	0.24641475	0.016227437	0.24646449	0.016218317	0.00395804	0.42343776	0.051031688	6.5295605	1.6613984	3.4991172	4.9601777	3.4992505	4.9597712	3.8807584	2.1242904	-89.738595	R0:N12:S0:1	-63.6576	uncorrelated	b7fd39a	v1.0.3	6	sharp_wc_2.0_b_50	 5.12e+02	 7.82e-04	2022-07-07@16:46
2x2_2C_8b_C2v_L	7.1806011	10.611111	3.0428	0.38444448	-4.2250748	-4.917371	0.56608938	-4.9172694	0.56608679	0.66919758	-4.5239981	11	-0.10131339	1.1425071	-1.7241514	-0.18392298	1.7241319	-0.1839149	0.25949496	-2.248282	2.0089	1	0.226	1.2508378	1.6656683	-0.61040945	-0.20585904	0.086703172	0.27055295	0.0069192275	1.9551596	1.75851	0.012280276	1.7585074	0.012279025	0.0035400873	1.4433534	1.2623627	0.3641015	-0.51251385	1.7113896	0.38146562	-1.7113962	0.38144678	-0.20644459	3.0230541	0.048196198	0.0068884568	0.045770506	0.23210874	0.012259679	0.23211122	0.012258433	0.0035409383	0.40959867	0.049283945	6.4625829	1.7492473	3.5042422	4.9140389	3.5042424	4.9140462	3.8517805	2.2787043	-89.640654	R0:N12:S0:1	-63.6576	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 5.86e+02	 2.18e-03	2022-07-07@16:47
2x2_2C_8b_C2v_L	7.3252075	10.888889	3.0428	0.42494226	-4.1926756	-4.8858413	0.66424724	-4.8856908	0.66379219	0.81038854	-4.4948762	11	-0.078864795	1.1385516	-1.7211538	-0.15663078	1.721164	-0.15653981	0.2301667	-2.2453688	2.0089	1	0.226	1.255013	1.6657895	-0.59777297	-0.19475044	0.082295542	0.25783753	0.0042128751	1.9552743	1.7721518	0.0084880836	1.7720788	0.0084777017	0.0027386904	1.4738283	1.2506874	0.28141491	-0.52813578	1.6751119	0.31642251	-1.6755211	0.31619418	-0.18062978	2.9481903	0.046863848	0.0042014452	0.045580181	0.21933262	0.0084779306	0.2193915	0.0084675983	0.0027393282	0.39613553	0.047599762	6.3923824	1.8359721	3.5079312	4.8753373	3.508126	4.874837	3.8370426	2.4208472	-89.074384	R0:N12:S0:1	-63.6576	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 2.49e+03	 9.61e-04	2022-07-07@16:48
2x2_2C_8b_C2v_L	7.4632894	11.166667	3.0428	0.42667147	-4.1798797	-4.8637438	0.67816015	-4.8635447	0.6777356	0.84032063	-4.458683	11	-0.057224112	1.1375622	-1.7195856	-0.12595957	1.7195419	-0.12591637	0.1901223	-2.239132	2.0089	1	0.226	1.2589139	1.6657775	-0.58546479	-0.18438179	0.078150542	0.24537043	0.0022923483	1.9554503	1.7848884	0.0055879892	1.7848917	0.0055863195	0.0019089661	1.5027982	1.2391489	0.2051896	-0.54330502	1.6399208	0.25438474	-1.6398883	0.25434067	-0.14950051	2.8729251	0.04547069	0.0022889516	0.045318857	0.2073293	0.0055835729	0.20732707	0.0055819055	0.0019094291	0.38234186	0.045920118	6.3132113	1.9232277	3.5123787	4.8358226	3.5123542	4.8358942	3.8265198	2.5568433	-88.58368	R0:N12:S0:1	-63.6576	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 4.28e+02	 1.62e-03	2022-07-07@16:49
2x2_2C_8b_C2v_L	7.5948121	11.444444	3.0428	0.42470247	-4.1667369	-4.841442	0.68000344	-4.8413087	0.67958734	0.84941318	-4.44431	11	-0.036630923	1.1369251	-1.718539	-0.097565395	1.7185121	-0.097528866	0.15563168	-2.2391912	2.0089	1	0.226	1.2625448	1.6657203	-0.57349691	-0.17475628	0.074278562	0.23336652	0.00096817186	1.9556984	1.7965078	0.0034320457	1.7965076	0.0034307255	0.0013149208	1.5305438	1.2278991	0.13179816	-0.55712201	1.6061026	0.19744019	-1.6060962	0.19739609	-0.12280367	2.7979877	0.044045228	0.00096756423	0.044985702	0.19635253	0.0034303742	0.19635301	0.0034290553	0.0013152236	0.36819338	0.044276841	6.2306807	2.0076618	3.5176712	4.7978256	3.5176625	4.7978523	3.8150911	2.6865181	-88.165932	R0:N12:S0:1	-63.6576	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 2.22e+02	 3.59e-03	2022-07-07@16:50
2x2_2C_8b_C2v_L	7.7220333	11.722222	3.0428	0.42438869	-4.1642432	-4.8324618	0.67813614	-4.832361	0.67774423	0.8502587	-4.426294	11	-0.0057306242	1.1382293	-1.7203252	-0.068107577	1.7203122	-0.068116271	0.11860435	-2.2386439	2.0089	1	0.226	1.2659742	1.6656867	-0.56168009	-0.16569469	0.070613243	0.22187347	2.4322393e-05	1.9560263	1.8074613	0.0017124781	1.8074594	0.0017134898	0.00078685988	1.5565257	1.2170725	0.020647982	-0.56975219	1.5726743	0.13810839	-1.5726817	0.13814449	-0.094091413	2.7242213	0.042601197	2.4322009e-05	0.044573723	0.18598761	0.0017120604	0.18598937	0.0017130717	0.00078699587	0.35414458	0.042658681	6.1463396	2.0897953	3.5241931	4.760453	3.5241904	4.7604565	3.8068669	2.8074526	-87.836762	R0:N12:S0:1	-63.6576	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.43e+02	 9.37e-04	2022-07-07@16:51
2x2_2C_8b_C2v_L	7.8423382	12	3.0428	0.42439132	-4.1688658	-4.8351179	0.67795607	-4.8350446	0.67756381	0.84967856	-4.42902	11	-0.00022994514	1.140958	-1.7240576	-0.037812074	1.7240473	-0.037803523	0.090004007	-2.2436121	2.0089	1	0.226	1.2691435	1.6655972	-0.55029008	-0.1573513	0.067221165	0.2107948	3.9858487e-08	1.9563665	1.8175977	0.00053573667	1.8175959	0.00053567839	0.00046606546	1.5809394	1.2064907	0.0008264485	-0.58137717	1.5401922	0.076569778	-1.5402001	0.076562907	-0.071714154	2.6520243	0.041134357	3.9858486e-08	0.044149831	0.17637903	0.00053569558	0.17638062	0.00053563731	0.00046612226	0.34020708	0.041080087	6.0578786	2.1692445	3.5319949	4.7240926	3.5319962	4.7240905	3.7983684	2.9204499	-87.637061	R0:N12:S0:1	-63.6576	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.01e+02	 1.50e-03	2022-07-07@16:51
