w	up_1	up_2	up_3	cumul_up_1	cumul_up_2	cumul_up_3	
-20	0.000698379	0.000245161	0.00024973	0	0	0
-19.975	0.000661215	0.000245188	0.000248349	1.65304e-05	6.1297e-06	6.20872e-06
-19.95	0.000638401	0.000245728	0.000247767	3.24904e-05	1.22729e-05	1.24029e-05
-19.925	0.000627054	0.000246693	0.000247806	4.81668e-05	1.84402e-05	1.85981e-05
-19.9	0.000625155	0.000248031	0.000248333	6.37956e-05	2.4641e-05	2.48064e-05
-19.875	0.000631588	0.00024972	0.00024926	7.95853e-05	3.0884e-05	3.10379e-05
-19.85	0.000646055	0.000251774	0.00025054	9.57367e-05	3.71783e-05	3.73014e-05
-19.825	0.000669046	0.00025424	0.000252159	0.000112463	4.35343e-05	4.36054e-05
-19.8	0.000701884	0.000257203	0.000254135	0.00013001	4.99644e-05	4.99587e-05
-19.775	0.000746887	0.000260801	0.000256517	0.000148682	5.64845e-05	5.63717e-05
-19.75	0.000807585	0.000265234	0.000259394	0.000168872	6.31153e-05	6.28565e-05
-19.725	0.000888819	0.000270779	0.000262894	0.000191092	6.98848e-05	6.94288e-05
-19.7	0.000996168	0.000277767	0.000267178	0.000215996	7.6829e-05	7.61083e-05
-19.675	0.00113321	0.000286458	0.000272391	0.000244327	8.39904e-05	8.29181e-05
-19.65	0.00129454	0.000296682	0.000278519	0.00027669	9.14075e-05	8.9881e-05
-19.625	0.0014565	0.000307238	0.000285211	0.000313103	9.90884e-05	9.70113e-05
-19.6	0.0015805	0.000315807	0.000291806	0.000352615	0.000106984	0.000104306
-19.575	0.00163989	0.000320408	0.000297663	0.000393613	0.000114994	0.000111748
-19.55	0.00163573	0.000320852	0.0003021	0.000434506	0.000123015	0.000119301
-19.525	0.00157586	0.000317782	0.000304085	0.000473903	0.00013096	0.000126903
-19.5	0.0014708	0.000312039	0.000303236	0.000510673	0.000138761	0.000134484
-19.475	0.00134983	0.000305323	0.000300898	0.000544419	0.000146394	0.000142006
-19.45	0.0012464	0.000299434	0.000299003	0.000575579	0.00015388	0.000149481
-19.425	0.00117854	0.000295251	0.000298742	0.000605042	0.000161261	0.00015695
-19.4	0.00115065	0.00029287	0.000300568	0.000633809	0.000168583	0.000164464
-19.375	0.00116182	0.000292081	0.000304619	0.000662854	0.000175885	0.000172079
-19.35	0.0012087	0.000292617	0.000310828	0.000693072	0.0001832	0.00017985
-19.325	0.00128128	0.00029413	0.000318564	0.000725104	0.000190553	0.000187814
-19.3	0.00135396	0.00029605	0.000325942	0.000758952	0.000197955	0.000195963
-19.275	0.00138719	0.000297601	0.000329963	0.000793632	0.000205395	0.000204212
-19.25	0.00135811	0.00029833	0.000328896	0.000827585	0.000212853	0.000212434
-19.225	0.00128638	0.000298549	0.00032428	0.000859744	0.000220317	0.000220541
-19.2	0.00120981	0.000298905	0.000319032	0.00088999	0.000227789	0.000228517
-19.175	0.00115253	0.000299819	0.000314985	0.000918803	0.000235285	0.000236392
-19.15	0.00112217	0.000301438	0.000312667	0.000946857	0.000242821	0.000244208
-19.125	0.00111901	0.000303793	0.000312007	0.000974832	0.000250415	0.000252008
-19.1	0.00114181	0.000306905	0.000312805	0.00100338	0.000258088	0.000259829
-19.075	0.00118914	0.000310795	0.000314876	0.00103311	0.000265858	0.0002677
-19.05	0.00125687	0.000315423	0.000318018	0.00106453	0.000273743	0.000275651
-19.025	0.00133335	0.000320563	0.000321888	0.00109786	0.000281758	0.000283698
-19	0.00139989	0.000325829	0.000326005	0.00113286	0.000289903	0.000291848
-18.975	0.0014467	0.000331103	0.000330178	0.00116903	0.000298181	0.000300103
-18.95	0.00148786	0.000336942	0.000334896	0.00120622	0.000306604	0.000308475
-18.925	0.00154935	0.000344262	0.000341007	0.00124496	0.000315211	0.000317
-18.9	0.00165006	0.000353796	0.000349165	0.00128621	0.000324056	0.000325729
-18.875	0.0017944	0.00036572	0.000359454	0.00133107	0.000333199	0.000334716
-18.85	0.00196537	0.000379077	0.000370792	0.0013802	0.000342676	0.000343986
-18.825	0.00211702	0.000391211	0.000380352	0.00143313	0.000352456	0.000353494
-18.8	0.00219673	0.000399082	0.000384854	0.00148805	0.000362433	0.000363116
-18.775	0.00220193	0.000402711	0.000383986	0.00154309	0.000372501	0.000372715
-18.75	0.00218886	0.000405709	0.00038091	0.00159782	0.000382644	0.000382238
-18.725	0.00221765	0.000411942	0.000378955	0.00165326	0.000392942	0.000391712
-18.7	0.00231907	0.000423436	0.000379725	0.00171123	0.000403528	0.000401205
