GS_consistency	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	githash	model	mu	script	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	time	tpd	tpp	tppp	version	
NY	11.5	3.5474	-0.20268919	-3.2682276	-3.3773796	0.032705266	-3.3785144	0.032669487	0.038627515	-3.0922242	a248bdd	2x2_2C_8b_C2v_L	10.28	validity_data_2022.py	-0.1967194	1.0729816	-1.6087347	-0.15964886	1.6089784	0.15963768	0.20111311	-2.1461026	2024-08-13@13:42	2.0385	1	0.2119	v2.7.1	
NY	11.5	3.5474	-0.20586661	-3.2859947	-3.3852629	0.032824364	-3.3844163	0.032830182	0.038481362	-3.1004594	a248bdd	2x2_2C_8b_C2v_L	10.29	validity_data_2022.py	-0.1980016	1.0746452	-1.6094441	-0.15906036	1.609244	0.1590585	0.20056473	-2.1465079	2024-08-13@13:43	2.0385	1	0.2119	v2.7.1	
NY	11.5	3.5474	-0.21291134	-3.3013793	-3.3916626	0.031792145	-3.3936173	0.031826331	0.037865984	-3.1076649	a248bdd	2x2_2C_8b_C2v_L	10.3	validity_data_2022.py	-0.19913101	1.0762897	-1.6102538	-0.15827874	1.6107463	0.15832972	0.19951212	-2.1474831	2024-08-13@13:43	2.0385	1	0.2119	v2.7.1	
NY	11.5	3.5474	-0.21587684	-3.3110193	-3.3985897	0.030294168	-3.3980693	0.030254505	0.037707125	-3.1129584	a248bdd	2x2_2C_8b_C2v_L	10.31	validity_data_2022.py	-0.19878472	1.0770096	-1.6106966	-0.1580353	1.610583	0.1580419	0.1991869	-2.1474609	2024-08-13@13:44	2.0385	1	0.2119	v2.7.1	
NY	11.5	3.5474	-0.22188537	-3.3331533	-3.4072336	0.029864468	-3.4069087	0.029876099	0.037299466	-3.1213106	a248bdd	2x2_2C_8b_C2v_L	10.32	validity_data_2022.py	-0.20034343	1.0793589	-1.6118944	-0.15728502	1.6117891	0.15726578	0.19828438	-2.1484124	2024-08-13@13:45	2.0385	1	0.2119	v2.7.1	
NY	11.5	3.5474	-0.2247489	-3.3413716	-3.4132314	0.028821464	-3.4136421	0.028837436	0.03706871	-3.1278651	a248bdd	2x2_2C_8b_C2v_L	10.33	validity_data_2022.py	-0.20006387	1.0800761	-1.6121468	-0.1569999	1.6122403	0.15699492	0.19803108	-2.1486873	2024-08-13@13:45	2.0385	1	0.2119	v2.7.1	
NY	11.5	3.5474	-0.22951737	-3.3588928	-3.4225004	0.02827572	-3.4214196	0.028274094	0.036685394	-3.1362555	a248bdd	2x2_2C_8b_C2v_L	10.34	validity_data_2022.py	-0.2010074	1.0819605	-1.613377	-0.15631543	1.6131297	0.15631117	0.19726647	-2.1495994	2024-08-13@13:46	2.0385	1	0.2119	v2.7.1	
NY	11.5	3.5474	-0.23248589	-3.3634251	-3.4283633	0.027024247	-3.4283584	0.027040054	0.036391725	-3.1424496	a248bdd	2x2_2C_8b_C2v_L	10.35	validity_data_2022.py	-0.20047317	1.0822551	-1.6136887	-0.15631213	1.6136852	0.15632014	0.197452	-2.149889	2024-08-13@13:47	2.0385	1	0.2119	v2.7.1	
NY	11.5	3.5474	-0.23778113	-3.384641	-3.4381708	0.026635324	-3.4375996	0.026614986	0.035865307	-3.1521147	a248bdd	2x2_2C_8b_C2v_L	10.36	validity_data_2022.py	-0.20183236	1.0843945	-1.614889	-0.15536465	1.6147767	0.15535451	0.19632676	-2.1509681	2024-08-13@13:48	2.0385	1	0.2119	v2.7.1	
NY	11.5	3.5474	-0.24026062	-3.3910262	-3.4460749	0.025558894	-3.4459186	0.025577201	0.035341125	-3.1597901	a248bdd	2x2_2C_8b_C2v_L	10.37	validity_data_2022.py	-0.2013279	1.0850983	-1.6156093	-0.15514407	1.615593	0.15513788	0.19621939	-2.1515517	2024-08-13@13:48	2.0385	1	0.2119	v2.7.1	
