model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	8.3226998	11	3.5474	-0.22707801	-3.2545736	-3.3351367	0.031349434	-3.334575	0.031331959	0.03730805	-3.0626793	10.28	-0.20241532	1.0705456	-1.5960956	-0.15810027	1.5959787	0.1580811	0.19876367	-2.1308605	2.0385	1	0.2119	1.231459	1.6506193	-0.66398714	-0.26323874	0.10633402	0.26777009	0.20000904	1.9245544	1.6756484	0.11435023	1.6755867	0.1142883	0.0035975122	1.3056239	1.2465854	1.6953259	-0.67420874	1.9279079	0.8859136	-1.9280916	-0.88562172	-0.19980497	3.2484717	0.048315219	0.17090305	0.072991304	0.29665039	0.11359307	0.29670111	0.11353581	0.0036019516	0.45039054	0.054911074	5.1178803	1.8924251	3.3740315	4.9797107	3.3741403	4.9796695	3.9230507	1.8418347	-75.415089	R0:N12:S0:1	-53.8608	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.06e+02	 7.80e-04	2022-07-05@13:46
2x2_2C_8b_C2v_L	8.3474723	11	3.5474	-0.23221688	-3.2706092	-3.3418781	0.030910897	-3.342242	0.030929811	0.037080614	-3.0701997	10.29	-0.20338068	1.0721074	-1.5967202	-0.15743458	1.5967937	0.15744257	0.19807348	-2.1314438	2.0385	1	0.2119	1.2320479	1.6517119	-0.66159787	-0.2618327	0.10582382	0.26804285	0.20064756	1.9245943	1.6768139	0.11160933	1.6768465	0.11163505	0.0035496191	1.3062606	1.2470108	1.6991945	-0.67447923	1.9239685	0.87743925	-1.9238799	-0.87756763	-0.19875762	3.2478891	0.048344073	0.17136077	0.072947775	0.29598188	0.11089191	0.29595499	0.11091547	0.0035538667	0.4502643	0.054884935	5.1119684	1.8924879	3.3786488	4.9811116	3.3786077	4.9811176	3.9227909	1.8427461	-75.536992	R0:N12:S0:1	-53.9408	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 2.05e+02	 1.40e-03	2022-07-05@13:48
2x2_2C_8b_C2v_L	8.3773745	11	3.5474	-0.23605276	-3.2797443	-3.3481321	0.029611147	-3.3476362	0.029610426	0.036901209	-3.0756315	10.3	-0.20325753	1.0729267	-1.5971299	-0.15700544	1.5970109	0.15699866	0.19768324	-2.1315528	2.0385	1	0.2119	1.2327588	1.6529946	-0.65874946	-0.26005652	0.10517704	0.26837589	0.19982434	1.9247958	1.6777272	0.10974126	1.6777227	0.10973078	0.0035228625	1.3069096	1.2475064	1.6967709	-0.67344516	1.9211102	0.87162567	-1.9210445	-0.87160213	-0.19817434	3.2471122	0.048378636	0.17077413	0.072765868	0.29542207	0.10904565	0.29542983	0.10903486	0.0035270161	0.45016204	0.054860087	5.1163701	1.8908944	3.3814968	4.9820264	3.3814983	4.9821434	3.9230916	1.8440032	-75.633219	R0:N12:S0:1	-54.0208	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.04e+02	 6.03e-04	2022-07-05@13:50
2x2_2C_8b_C2v_L	8.4168698	11	3.5474	-0.24016587	-3.2926108	-3.3558166	0.029130359	-3.3563751	0.029084731	0.036610782	-3.0840902	10.31	-0.20383991	1.0741313	-1.597868	-0.15631619	1.5979837	0.15630094	0.19696785	-2.1323243	2.0385	1	0.2119	1.2336955	1.6546226	-0.65503206	-0.25760629	0.10429967	0.26864933	0.19959698	1.9249593	1.6790569	0.10704642	1.6790721	0.10705443	0.0034790555	1.307899	1.247959	1.697149	-0.67290417	1.9168224	0.86308571	-1.9168435	-0.86310093	-0.19712925	3.2460081	0.048406276	0.17061869	0.072614358	0.29460682	0.10638401	0.29459117	0.10639166	0.0034830772	0.44996119	0.054820926	5.1161058	1.8901594	3.3859249	4.9832444	3.3859273	4.9831551	3.9226093	1.8459812	-75.753693	R0:N12:S0:1	-54.1008	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.03e+02	 1.19e-03	2022-07-05@13:52
2x2_2C_8b_C2v_L	8.4450702	11	3.5474	-0.2446186	-3.3035215	-3.3615085	0.027908174	-3.3623226	0.027918709	0.03630959	-3.0901502	10.32	-0.2038893	1.0751792	-1.598195	-0.15594785	1.5983836	0.15594158	0.19673264	-2.1326137	2.0385	1	0.2119	1.234363	1.6558585	-0.65234586	-0.25593454	0.10375424	0.26896447	0.1991138	1.9251092	1.6798721	0.10525642	1.6798556	0.10523347	0.0034564574	1.3084374	1.2484164	1.6960944	-0.67220149	1.9140919	0.85741422	-1.9143	-0.85726927	-0.19667143	3.2454287	0.048439275	0.17027318	0.07247772	0.29412584	0.10461435	0.29413239	0.10459387	0.0034603852	0.44987688	0.054802175	5.1183096	1.8889218	3.3886592	4.9843635	3.3887455	4.984096	3.9228183	1.8468639	-75.855689	R0:N12:S0:1	-54.1808	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.02e+02	 1.42e-03	2022-07-05@13:53
2x2_2C_8b_C2v_L	8.4648741	11	3.5474	-0.24810389	-3.312249	-3.3706038	0.027222469	-3.3694823	0.027230723	0.035894728	-3.0984606	10.33	-0.20403327	1.0759076	-1.5991532	-0.15535558	1.5989153	0.15531737	0.19610003	-2.1332848	2.0385	1	0.2119	1.2348501	1.6566776	-0.65052586	-0.25468836	0.10336445	0.26924983	0.19823301	1.9253301	1.6811998	0.10287702	1.6810814	0.10275145	0.0034212396	1.309547	1.2488897	1.6935849	-0.67113384	1.9101055	0.84970629	-1.9104569	-0.84910497	-0.19577536	3.2440937	0.048467485	0.16965181	0.072277938	0.29326831	0.10226032	0.29336782	0.10214226	0.0034250895	0.449655	0.054759308	5.1227058	1.8875106	3.3924696	4.985133	3.3927086	4.9850402	3.9223995	1.8493081	-75.966067	R0:N12:S0:1	-54.2608	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.01e+02	 1.57e-03	2022-07-05@13:54
2x2_2C_8b_C2v_L	8.4837296	11	3.5474	-0.25195397	-3.3223238	-3.379831	0.02666004	-3.3769032	0.026563598	0.035462803	-3.1068404	10.34	-0.20415239	1.0771693	-1.6004312	-0.15475322	1.5997311	0.15467647	0.19545921	-2.1342497	2.0385	1	0.2119	1.2353095	1.6574835	-0.6487733	-0.25353143	0.1030137	0.26953971	0.19760957	1.9254716	1.6823176	0.10057407	1.6822618	0.10048185	0.0033861473	1.3105005	1.2493492	1.6919383	-0.6704773	1.9068175	0.84195949	-1.9065785	-0.84161811	-0.1948748	3.2429933	0.048496592	0.16921024	0.072150208	0.29256359	0.099986421	0.29263143	0.099895134	0.0033899205	0.449467	0.054724662	5.1256482	1.8863671	3.3961441	4.9857611	3.3962154	4.9863732	3.9221093	1.8512644	-76.082291	R0:N12:S0:1	-54.3408	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 2.01e+02	 1.00e+06	2022-07-05@13:55
2x2_2C_8b_C2v_L	8.500195	11	3.5474	-0.25543117	-3.3338167	-3.3850211	0.025340147	-3.3847032	0.025347981	0.034825292	-3.113679	10.35	-0.20407469	1.0781483	-1.6004082	-0.15437875	1.6003027	0.15437085	0.19524903	-2.1344349	2.0385	1	0.2119	1.2357153	1.6581844	-0.64725721	-0.25250854	0.10271081	0.26983315	0.19638393	1.9257975	1.683186	0.098703263	1.6832375	0.098724449	0.0033663458	1.3113695	1.2498078	1.6882046	-0.66890707	1.9040124	0.83567092	-1.9037155	-0.83583623	-0.19445346	3.2418681	0.048526426	0.16833491	0.071856235	0.29203228	0.098137491	0.29199773	0.098155118	0.0033700515	0.44930882	0.054692733	5.1322746	1.8846064	3.3989517	4.9866389	3.3988789	4.9869033	3.9221225	1.8532859	-76.187728	R0:N12:S0:1	-54.4208	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.00e+02	 4.68e-04	2022-07-05@13:56
2x2_2C_8b_C2v_L	8.5174757	11	3.5474	-0.25999945	-3.34761	-3.3939935	0.024630779	-3.3928754	0.024605339	0.03423334	-3.1218474	10.36	-0.20461029	1.0794488	-1.6013567	-0.15371827	1.6010901	0.15370543	0.19453436	-2.135057	2.0385	1	0.2119	1.2361358	1.6589247	-0.64564805	-0.25145499	0.10240268	0.27008253	0.19617654	1.9259543	1.6843951	0.096336091	1.6844011	0.096332938	0.0033246453	1.3122096	1.2502174	1.6885767	-0.66840449	1.9002088	0.82758379	-1.8999982	-0.82761787	-0.19343965	3.2409179	0.048551517	0.16819082	0.071711046	0.29127238	0.095795689	0.29127706	0.09579107	0.0033282232	0.44913625	0.054657974	5.1320213	1.8839736	3.402842	4.9876141	3.4027941	4.9879386	3.9218196	1.8549591	-76.310767	R0:N12:S0:1	-54.5008	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.99e+02	 1.09e-03	2022-07-05@13:58
2x2_2C_8b_C2v_L	8.5299485	11	3.5474	-0.26145029	-3.3517746	-3.4009227	0.023242657	-3.401047	0.023248238	0.033236065	-3.1290762	10.37	-0.20362512	1.0800137	-1.6018483	-0.15347932	1.6018828	0.15348201	0.19439646	-2.1354693	2.0385	1	0.2119	1.2364596	1.6594061	-0.64456939	-0.25058839	0.10213519	0.270413	0.1934934	1.9264093	1.6853258	0.094843	1.6853161	0.094838438	0.0033180253	1.3134828	1.2507433	1.6784491	-0.66573547	1.8975779	0.82251356	-1.8976437	-0.82247895	-0.19321162	3.2391094	0.048583629	0.16626561	0.071308383	0.29063545	0.094314813	0.29064154	0.094310939	0.003321644	0.44890171	0.05461486	5.1489013	1.880766	3.4046948	4.9880224	3.4047136	4.9879539	3.9218815	1.8583438	-76.406374	R0:N12:S0:1	-54.5808	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.98e+02	 9.85e-04	2022-07-05@13:59
2x2_2C_8b_C2v_L	8.5480874	11	3.5474	-0.26781084	-3.3748173	-3.4095347	0.023247093	-3.4098433	0.023291971	0.033019957	-3.1385087	10.38	-0.20526499	1.0822354	-1.6027769	-0.15229465	1.6028485	0.15231207	0.19295276	-2.1364129	2.0385	1	0.2119	1.2368938	1.6601896	-0.64285662	-0.24950752	0.10182289	0.27060995	0.19490623	1.9264117	1.6867085	0.091748601	1.6867237	0.091763396	0.0032410678	1.3141514	1.2510863	1.685937	-0.66656904	1.8928525	0.81134758	-1.8928325	-0.81142642	-0.1913075	3.2386031	0.048604361	0.16728762	0.071294018	0.28981316	0.091256282	0.2897993	0.091270459	0.0032444275	0.4487373	0.054582168	5.1370955	1.8819271	3.4100938	4.9897101	3.4100735	4.9896751	3.9211657	1.8591608	-76.552459	R0:N12:S0:1	-54.6608	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.97e+02	 1.81e-03	2022-07-05@14:01
