model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	8.4311011	11.5	3.5474	-0.20268919	-3.2682276	-3.3773796	0.032705266	-3.3785144	0.032669487	0.038627515	-3.0922242	10.28	-0.1967194	1.0729816	-1.6087347	-0.15964886	1.6089784	0.15963768	0.20111311	-2.1461026	2.0385	1	0.2119	1.234945	1.6448445	-0.65656636	-0.253814	0.10263211	0.24237879	0.20292981	1.9254673	1.6941079	0.12697259	1.6941293	0.12698358	0.0039076199	1.3452068	1.2200738	1.6726976	-0.69674521	1.8909152	0.90882083	-1.8910031	-0.90882136	-0.20069543	3.1506524	0.045413058	0.17251901	0.072108512	0.27910981	0.12573025	0.27908655	0.12574163	0.0039160514	0.43796729	0.052255926	5.0395323	2.0334754	3.379245	4.907561	3.3792764	4.9073641	3.8755226	2.0575126	-75.203892	R0:N12:S0:1	-53.8608	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.89e+02	 1.12e-03	2022-07-05@13:47
2x2_2C_8b_C2v_L	8.4475113	11.5	3.5474	-0.20586661	-3.2859947	-3.3852629	0.032824364	-3.3844163	0.032830182	0.038481362	-3.1004594	10.29	-0.1980016	1.0746452	-1.6094441	-0.15906036	1.609244	0.1590585	0.20056473	-2.1465079	2.0385	1	0.2119	1.2353591	1.6455095	-0.65506668	-0.25279656	0.10228445	0.24263416	0.20316531	1.925659	1.6956625	0.12368666	1.6956698	0.12369469	0.0038585131	1.3464482	1.2205388	1.675576	-0.69643874	1.8859916	0.89970818	-1.8858152	-0.89979391	-0.19975973	3.1490319	0.045443412	0.17269829	0.071928602	0.27811557	0.12251179	0.27811559	0.12251693	0.0038666712	0.43766367	0.052212488	5.0353427	2.0334826	3.3841164	4.9079752	3.384052	4.9082028	3.8749463	2.0604082	-75.327231	R0:N12:S0:1	-53.9408	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.88e+02	 4.79e-03	2022-07-05@13:48
2x2_2C_8b_C2v_L	8.4708927	11.5	3.5474	-0.21291134	-3.3013793	-3.3916626	0.031792145	-3.3936173	0.031826331	0.037865984	-3.1076649	10.3	-0.19913101	1.0762897	-1.6102538	-0.15827874	1.6107463	0.15832972	0.19951212	-2.1474831	2.0385	1	0.2119	1.2359013	1.6466209	-0.65272356	-0.25161035	0.10184992	0.24288943	0.20507189	1.9254164	1.696709	0.1209809	1.6967061	0.12101808	0.0037895416	1.3466687	1.2209098	1.6836797	-0.69809124	1.8819866	0.89203558	-1.8823388	-0.89207199	-0.19831808	3.1491872	0.04547434	0.17403213	0.072137533	0.27751527	0.1198578	0.27750254	0.11989887	0.0037973082	0.43761057	0.052204859	5.0229464	2.0342728	3.3880955	4.909584	3.3881358	4.9090928	3.8747827	2.059826	-75.452446	R0:N12:S0:1	-54.0208	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.86e+02	 1.00e+06	2022-07-05@13:49
2x2_2C_8b_C2v_L	8.489909	11.5	3.5474	-0.21587684	-3.3110193	-3.3985897	0.030294168	-3.3980693	0.030254505	0.037707125	-3.1129584	10.31	-0.19878472	1.0770096	-1.6106966	-0.1580353	1.610583	0.1580419	0.1991869	-2.1474609	2.0385	1	0.2119	1.2363711	1.6474201	-0.65095108	-0.25046534	0.10144318	0.24319663	0.20350954	1.9257747	1.6976413	0.11916352	1.697659	0.11920808	0.0037631957	1.3476485	1.221408	1.6788051	-0.69625584	1.8794111	0.88677056	-1.879248	-0.88697513	-0.1978094	3.1477883	0.045510378	0.17293494	0.071815098	0.2768881	0.11807491	0.27687607	0.1181158	0.0037708296	0.43740425	0.052172738	5.0308605	2.0322431	3.3904852	4.9094989	3.3903611	4.9096921	3.8750564	2.0622138	-75.547112	R0:N12:S0:1	-54.1008	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.85e+02	 2.20e-03	2022-07-05@13:51
2x2_2C_8b_C2v_L	8.5155584	11.5	3.5474	-0.22188537	-3.3331533	-3.4072336	0.029864468	-3.4069087	0.029876099	0.037299466	-3.1213106	10.32	-0.20034343	1.0793589	-1.6118944	-0.15728502	1.6117891	0.15726578	0.19828438	-2.1484124	2.0385	1	0.2119	1.2369717	1.6485788	-0.64843775	-0.24906544	0.10095312	0.24342035	0.205114	1.9257213	1.6989518	0.11611825	1.6989703	0.11610589	0.0036957734	1.3482233	1.2217748	1.6866259	-0.69729882	1.8748958	0.87788564	-1.8747458	-0.87788645	-0.19644954	3.1473374	0.045537352	0.17406281	0.07185223	0.27608552	0.11508802	0.27607542	0.11507368	0.0037030185	0.43725621	0.052150772	5.0189805	2.0332209	3.395081	4.9105582	3.3950781	4.9107001	3.8746184	2.0628335	-75.691117	R0:N12:S0:1	-54.1808	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.84e+02	 1.21e-03	2022-07-05@13:52
2x2_2C_8b_C2v_L	8.5385783	11.5	3.5474	-0.2247489	-3.3413716	-3.4132314	0.028821464	-3.4136421	0.028837436	0.03706871	-3.1278651	10.33	-0.20006387	1.0800761	-1.6121468	-0.1569999	1.6122403	0.15699492	0.19803108	-2.1486873	2.0385	1	0.2119	1.2375331	1.6495304	-0.64629315	-0.24765042	0.10045705	0.24371905	0.203637	1.9260208	1.7000079	0.11413062	1.6999928	0.11410305	0.0036745971	1.3493556	1.2222694	1.6819359	-0.69572872	1.8716194	0.87210052	-1.8717543	-0.87195973	-0.19600898	3.1457392	0.045572076	0.17302966	0.071583832	0.27538098	0.1131312	0.27539079	0.1131062	0.0036817639	0.43700298	0.052114937	5.0264834	2.031369	3.3976121	4.9109331	3.3976972	4.9107767	3.8746578	2.0656226	-75.788804	R0:N12:S0:1	-54.2608	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.83e+02	 1.79e-03	2022-07-05@13:54
2x2_2C_8b_C2v_L	8.5706477	11.5	3.5474	-0.22951737	-3.3588928	-3.4225004	0.02827572	-3.4214196	0.028274094	0.036685394	-3.1362555	10.34	-0.2010074	1.0819605	-1.613377	-0.15631543	1.6131297	0.15631117	0.19726647	-2.1495994	2.0385	1	0.2119	1.2382877	1.6509051	-0.6432193	-0.24576434	0.099799429	0.2439619	0.20410633	1.9260978	1.7012722	0.11135444	1.7012701	0.11135322	0.0036213143	1.350212	1.2226782	1.6851927	-0.69583032	1.8675919	0.86364587	-1.8674288	-0.8636891	-0.19487624	3.1447773	0.045600662	0.17336333	0.071508298	0.27457276	0.11040615	0.27458129	0.11040326	0.0036282131	0.43679139	0.052084931	5.0216414	2.0313762	3.4017051	4.9114604	3.4016458	4.9117208	3.8742685	2.0672189	-75.921258	R0:N12:S0:1	-54.3408	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.82e+02	 1.00e-03	2022-07-05@13:56
2x2_2C_8b_C2v_L	8.6132745	11.5	3.5474	-0.23248589	-3.3634251	-3.4283633	0.027024247	-3.4283584	0.027040054	0.036391725	-3.1424496	10.35	-0.20047317	1.0822551	-1.6136887	-0.15631213	1.6136852	0.15632014	0.197452	-2.149889	2.0385	1	0.2119	1.2392904	1.6526758	-0.63919286	-0.24312343	0.098871553	0.24426973	0.20245224	1.9263616	1.702038	0.10986101	1.7020515	0.10987569	0.0036199066	1.3511284	1.2231529	1.6794564	-0.69420898	1.8652886	0.85930615	-1.8652245	-0.85938529	-0.19491346	3.1435096	0.045636339	0.1722035	0.071274037	0.27406282	0.10893605	0.27405248	0.10894943	0.0036268083	0.43659842	0.052060187	5.0309092	2.0291243	3.4034692	4.9116883	3.4034337	4.9117356	3.8744807	2.0693606	-76.01181	R0:N12:S0:1	-54.4208	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.81e+02	 9.80e-04	2022-07-05@13:58
2x2_2C_8b_C2v_L	8.6430132	11.5	3.5474	-0.23778113	-3.384641	-3.4381708	0.026635324	-3.4375996	0.026614986	0.035865307	-3.1521147	10.36	-0.20183236	1.0843945	-1.614889	-0.15536465	1.6147767	0.15535451	0.19632676	-2.1509681	2.0385	1	0.2119	1.2399923	1.6539511	-0.63635836	-0.24136299	0.098325393	0.24447407	0.20332987	1.9264387	1.7035703	0.10667563	1.7035293	0.10664134	0.0035495103	1.3521274	1.2235345	1.684615	-0.69453383	1.8602347	0.84931265	-1.8603414	-0.84914319	-0.19334974	3.1423875	0.045660113	0.17282712	0.071195447	0.27307232	0.10580365	0.27310718	0.10577207	0.0035560722	0.43633323	0.052020811	5.0230286	2.0296998	3.4082388	4.9125113	3.4082951	4.912507	3.87374	2.0713051	-76.157858	R0:N12:S0:1	-54.5008	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.79e+02	 1.89e-03	2022-07-05@13:59
2x2_2C_8b_C2v_L	8.6621124	11.5	3.5474	-0.24026062	-3.3910262	-3.4460749	0.025558894	-3.4459186	0.025577201	0.035341125	-3.1597901	10.37	-0.2013279	1.0850983	-1.6156093	-0.15514407	1.615593	0.15513788	0.19621939	-2.1515517	2.0385	1	0.2119	1.2404637	1.6547322	-0.63461598	-0.24014269	0.097957906	0.24475737	0.20140555	1.9267616	1.7046265	0.10483196	1.7045764	0.10478074	0.0035380804	1.3534202	1.2240148	1.6779975	-0.69271432	1.8571597	0.84361416	-1.8573728	-0.84335461	-0.19308234	3.1405166	0.045692241	0.17147706	0.070908423	0.27234058	0.10398639	0.2723805	0.10393936	0.0035446359	0.43603265	0.051980597	5.0334699	2.0275399	3.4105075	4.9125721	3.4106297	4.9124241	3.8736897	2.0746262	-76.261805	R0:N12:S0:1	-54.5808	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.79e+02	 2.96e-03	2022-07-05@14:01
