model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	9.1933847	11.5	3.5474	0.1565601	-3.6821663	-4.4042618	0.51267895	-4.406011	0.51592996	0.74751534	-4.0935879	11.24	0.022372155	1.1165417	-1.7003145	0.086502354	1.7006852	0.086904372	-0.15363046	-2.2383215	2.0385	1	0.2119	1.2556672	1.6654969	-0.59590034	-0.19245482	0.08166818	0.25864626	0.00059695258	1.9550436	1.7724396	0.0040049161	1.7724417	0.0040278363	0.0014135423	1.4784846	1.2528868	-0.10138283	-0.5348617	1.6721353	-0.20645529	-1.6722512	-0.20710626	0.12668961	2.929182	0.047052169	0.00059671293	0.045838144	0.21918913	0.0040029338	0.21918158	0.0040258301	0.0014139692	0.39426747	0.047412748	6.3918123	1.8645449	3.5018891	4.8914528	3.5019855	4.8910462	3.8691996	2.4474741	-86.191933	R0:N12:S0:1	-61.5408	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	299.0	0.000388	2022-07-11@11:58
2x2_2C_8b_C2v_L	9.1933827	11.5	3.5474	0.17016199	-3.697916	-4.4194717	0.52351867	-4.4201896	0.52281755	0.75165589	-4.105667	11.25	0.024094907	1.1176028	-1.7016413	0.08873192	1.7017835	0.088804274	-0.1556597	-2.2391983	2.0385	1	0.2119	1.2556621	1.6655153	-0.59588381	-0.19247256	0.081674624	0.2586055	0.00067278218	1.9550262	1.7724383	0.0041138174	1.7724452	0.0041240154	0.0014412413	1.4784344	1.252826	-0.1078143	-0.53496318	1.6722294	-0.20972951	-1.6722434	-0.20996869	0.12805613	2.9292264	0.047047037	0.00067247836	0.045854833	0.21918279	0.0041117109	0.21917452	0.0041218989	0.0014416719	0.39429212	0.04741475	6.39115	1.8646984	3.5019388	4.8909096	3.5019582	4.8907912	3.8691047	2.4474141	-86.35119	R0:N12:S0:1	-61.6208	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	306.0	0.000207	2022-07-11@11:59
2x2_2C_8b_C2v_L	9.1932269	11.5	3.5474	0.19000297	-3.7153668	-4.4373555	0.53783211	-4.4363087	0.53531085	0.76078867	-4.1200415	11.26	0.026138638	1.1188461	-1.7034683	0.091582243	1.7032242	0.091322076	-0.15867698	-2.2407178	2.0385	1	0.2119	1.2556524	1.6655282	-0.5958794	-0.19250135	0.081685402	0.25852067	0.00076336694	1.9550132	1.772459	0.004259311	1.7724861	0.0042473927	0.0014836033	1.4784361	1.252713	-0.11509353	-0.53503619	1.6723317	-0.2139861	-1.6721007	-0.213644	0.13009321	2.9291886	0.04703644	0.00076297676	0.045866723	0.21915186	0.0042570347	0.2191335	0.0042451277	0.0014840414	0.39429011	0.047413441	6.3903188	1.8648763	3.502082	4.8899834	3.5019465	4.8904361	3.8686972	2.4475719	-86.529133	R0:N12:S0:1	-61.7008	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	315.0	0.00016	2022-07-11@11:59
2x2_2C_8b_C2v_L	9.1930054	11.5	3.5474	0.203254	-3.7322607	-4.4561796	0.55028279	-4.4526719	0.54660636	0.77378135	-4.1354367	11.27	0.027935793	1.1199466	-1.7054153	0.094460875	1.7047301	0.093811848	-0.16224272	-2.2425356	2.0385	1	0.2119	1.2556411	1.6655387	-0.59588118	-0.1925341	0.081697762	0.25842425	0.00084728104	1.9550051	1.7725475	0.0044153629	1.7724798	0.0043696262	0.001533993	1.4784576	1.2525859	-0.12146394	-0.53506268	1.6721048	-0.2184276	-1.6722376	-0.21722161	0.13247601	2.9291427	0.047024224	0.00084680127	0.04587371	0.21906393	0.0044128936	0.21913009	0.0043672141	0.0015344391	0.3942773	0.047410815	6.3895958	1.8649749	3.5021209	4.8893436	3.5020956	4.8896829	3.8681073	2.447783	-86.710791	R0:N12:S0:1	-61.7808	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	324.0	0.000153	2022-07-11@12:00
2x2_2C_8b_C2v_L	9.1928013	11.5	3.5474	0.2159221	-3.7485421	-4.4707924	0.5611973	-4.4703134	0.55787766	0.78055598	-4.150219	11.28	0.029758634	1.121002	-1.7066028	0.096814091	1.7064727	0.096534606	-0.16514237	-2.2441409	2.0385	1	0.2119	1.2556306	1.6655499	-0.59588215	-0.19256522	0.08170953	0.25834747	0.00093565486	1.9549939	1.7725191	0.0045272873	1.7725337	0.0045173893	0.0015763762	1.4784737	1.2524807	-0.12784906	-0.53511386	1.6722529	-0.2216944	-1.6721345	-0.2213828	0.13443319	2.9291082	0.047014642	0.00093507085	0.045883942	0.21908374	0.0045246747	0.21907344	0.0045147892	0.0015768305	0.39426712	0.047410352	6.388843	1.8650881	3.5021982	4.8888411	3.5021339	4.8890707	3.8675912	2.4479643	-86.883524	R0:N12:S0:1	-61.8608	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	333.0	0.000216	2022-07-11@12:00
2x2_2C_8b_C2v_L	9.1927292	11.5	3.5474	0.22788624	-3.7642709	-4.4866637	0.56864784	-4.4877359	0.56813455	0.79143104	-4.1639906	11.29	0.031318146	1.122002	-1.7080069	0.098885185	1.7081788	0.098911757	-0.16813534	-2.2455377	2.0385	1	0.2119	1.2556234	1.6655658	-0.59587119	-0.19258785	0.081717925	0.25827713	0.0010099376	1.9549815	1.7725431	0.0046300624	1.7725851	0.0046365177	0.0016183641	1.478454	1.2523853	-0.1330314	-0.53517076	1.6722295	-0.22462839	-1.6720629	-0.22477457	0.13638976	2.9291218	0.047005502	0.0010092583	0.045895686	0.21905628	0.0046273136	0.21901896	0.0046337585	0.0016188211	0.39427574	0.047409301	6.3882225	1.8651859	3.5022668	4.8883406	3.502228	4.8884031	3.8672436	2.4480086	-87.055065	R0:N12:S0:1	-61.9408	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	343.0	0.000204	2022-07-11@12:01
2x2_2C_8b_C2v_L	9.1926101	11.5	3.5474	0.24241827	-3.7838699	-4.5049784	0.58035822	-4.5048762	0.58054338	0.7963053	-4.1775651	11.3	0.033441599	1.1235335	-1.7098564	0.10151534	1.7098567	0.10149445	-0.17061445	-2.2467832	2.0385	1	0.2119	1.2556145	1.6655782	-0.59586346	-0.19261394	0.081727539	0.25818335	0.0011191464	1.9549703	1.7726305	0.0047641416	1.7725992	0.0047602905	0.0016537419	1.4784448	1.2522644	-0.1402811	-0.53526869	1.6719866	-0.22839316	-1.6721581	-0.22829789	0.13802566	2.9290658	0.046994006	0.0011183138	0.045905177	0.21897047	0.0047612053	0.21899603	0.0047573623	0.0016542016	0.39428031	0.04740725	6.3871025	1.8654894	3.5022897	4.8877649	3.5023699	4.8875587	3.866998	2.4481609	-87.23843	R0:N12:S0:1	-62.0208	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	353.0	0.000124	2022-07-11@12:01
2x2_2C_8b_C2v_L	9.1924026	11.5	3.5474	0.25345794	-3.8004342	-4.5220362	0.59097189	-4.5216829	0.58999465	0.80280129	-4.1919319	11.31	0.03518688	1.1246276	-1.711514	0.10410683	1.7114253	0.10400221	-0.17349698	-2.2482911	2.0385	1	0.2119	1.2556038	1.6655889	-0.59586468	-0.19264516	0.081739318	0.25810213	0.0012092934	1.9549592	1.772637	0.0048973209	1.772651	0.0048927318	0.0016965762	1.4784399	1.2521542	-0.14603334	-0.53532488	1.6721079	-0.23206411	-1.6720023	-0.23193957	0.13994519	2.9290551	0.046983728	0.0012083228	0.045915372	0.21895438	0.0048941987	0.21894428	0.0048896144	0.0016970417	0.39428086	0.047406444	6.3863152	1.8656215	3.5024379	4.8869314	3.5023799	4.8871201	3.8665682	2.4482745	-87.414271	R0:N12:S0:1	-62.1008	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	364.0	0.000145	2022-07-11@12:01
2x2_2C_8b_C2v_L	9.1921946	11.5	3.5474	0.26286534	-3.8156765	-4.5385122	0.59952843	-4.5379232	0.59996085	0.81028627	-4.2070501	11.32	0.036707038	1.125523	-1.7130339	0.10658014	1.7129289	0.10642452	-0.17655197	-2.2500204	2.0385	1	0.2119	1.2555932	1.6656006	-0.59586617	-0.19267641	0.081751193	0.25802628	0.0012870859	1.9549503	1.7726844	0.0050306174	1.7726391	0.0050122634	0.0017425635	1.4784571	1.2520492	-0.15085716	-0.53534791	1.6719577	-0.23566979	-1.6721693	-0.23524372	0.14196682	2.9290404	0.046974013	0.0012859881	0.045923586	0.21890746	0.0050272983	0.21894611	0.0050089729	0.0017430354	0.39426959	0.047405817	6.3857134	1.8656583	3.5024379	4.8865478	3.50254	4.886359	3.8659811	2.448433	-87.586784	R0:N12:S0:1	-62.1808	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	376.0	1000000.0	2022-07-11@12:02
2x2_2C_8b_C2v_L	9.192164	11.5	3.5474	0.27774534	-3.8371432	-4.5541129	0.6068559	-4.5546869	0.60941626	0.82090894	-4.22198	11.33	0.038891424	1.1273513	-1.7143314	0.10847533	1.7145083	0.10869335	-0.17961679	-2.2516952	2.0385	1	0.2119	1.2555867	1.6656168	-0.59585074	-0.19269637	0.081758499	0.25793761	0.0014053057	1.9549415	1.7727269	0.0051142021	1.7726654	0.0051198101	0.0017857676	1.4785017	1.2519349	-0.1579003	-0.53543741	1.671816	-0.23805812	-1.6722089	-0.23822637	0.14390897	2.9289063	0.046963486	0.0014039993	0.045930514	0.21886594	0.0051107495	0.21891361	0.0051163554	0.0017862381	0.39424849	0.047403786	6.3844999	1.865972	3.502457	4.886215	3.5026572	4.8856214	3.8655062	2.4487795	-87.770607	R0:N12:S0:1	-62.2608	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	388.0	0.000184	2022-07-11@12:02
