model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	8.932742	9.5	3.5474	0.020869439	-3.2742021	-3.6261132	0.028761973	-3.6253667	0.02869099	0.027164748	-3.4051017	11.24	0.082141556	1.0646079	-1.5320641	0.13816005	1.5316613	0.13823875	-0.1790738	-2.0172123	2.0385	1	0.2119	1.2400433	1.73015	-0.58048295	-0.26021512	0.10467514	0.40412713	0.0089644448	1.9595524	1.6158984	0.020117002	1.616847	0.020209416	0.00257285	1.174224	1.3954036	-0.41370225	-0.36365232	1.9577704	-0.4625801	-1.9536483	-0.46392697	0.18862605	3.4937616	0.057787511	0.008912004	0.041909518	0.36677489	0.020087466	0.36616993	0.020178375	0.0025718117	0.48602571	0.059819827	7.0864135	1.0929955	3.5114189	5.4317658	3.5110962	5.4356518	4.2583267	1.2427053	-83.136884	R0:N12:S0:1	-61.5408	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 2.92e+02	 1.00e+06	2022-07-11@11:37
2x2_2C_8b_C2v_L	8.8928489	9.5555556	3.5474	0.019180679	-3.2759985	-3.6566472	0.03183835	-3.6565762	0.031846992	0.029013405	-3.4358901	11.24	0.080560801	1.0636735	-1.5369297	0.13909212	1.5369209	0.13909155	-0.18025123	-2.024146	2.0385	1	0.2119	1.2395862	1.7256851	-0.58643455	-0.25973196	0.1045486	0.39843667	0.0086296099	1.9590056	1.6224956	0.020094552	1.6224624	0.020091471	0.0026034083	1.1856869	1.3897326	-0.40512499	-0.37131045	1.9491614	-0.46223155	-1.9492923	-0.46218872	0.18857484	3.4783936	0.057564623	0.0085809591	0.042467446	0.36057614	0.020063854	0.36059901	0.020060823	0.0026025205	0.48436439	0.059553493	7.066	1.120257	3.5068427	5.4108481	3.506853	5.4107425	4.2392681	1.2783129	-83.231432	R0:N12:S0:1	-61.5408	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 2.97e+02	 1.12e-03	2022-07-11@11:39
2x2_2C_8b_C2v_L	8.8598863	9.6111111	3.5474	0.015143351	-3.2841302	-3.6911588	0.035819185	-3.6911608	0.035819611	0.031907551	-3.4684871	11.24	0.079060323	1.0633484	-1.5429683	0.14029916	1.5429678	0.14029925	-0.18211149	-2.031927	2.0385	1	0.2119	1.2392661	1.7215501	-0.59163548	-0.25894975	0.10439534	0.39269868	0.0083220333	1.9585459	1.6286369	0.020061132	1.6286407	0.020061438	0.002647666	1.1970681	1.384004	-0.39712883	-0.37857727	1.9424232	-0.46169042	-1.942407	-0.46169509	0.18907615	3.4628606	0.057321553	0.0082767292	0.04293071	0.35466686	0.020029938	0.35466431	0.020030238	0.0026469164	0.48256923	0.059270303	7.0451497	1.147056	3.502894	5.3875009	3.5028926	5.3875155	4.2200926	1.3143059	-83.361746	R0:N12:S0:1	-61.5408	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 3.02e+02	 1.39e-03	2022-07-11@11:40
2x2_2C_8b_C2v_L	8.8313953	9.6666667	3.5474	0.0097825918	-3.3004015	-3.7307229	0.040927586	-3.7307314	0.040920917	0.03608101	-3.5026214	11.24	0.078074456	1.0640039	-1.5502461	0.14196251	1.5502489	0.14196388	-0.18474687	-2.0405346	2.0385	1	0.2119	1.2390327	1.717618	-0.59634252	-0.25798511	0.10421544	0.38688874	0.0081186843	1.9581617	1.6348923	0.020088439	1.6348916	0.020088986	0.0027070316	1.2082939	1.3781893	-0.39164145	-0.3855381	1.9352301	-0.46196835	-1.9352349	-0.46197362	0.19019584	3.4472011	0.057056567	0.0080755026	0.043309983	0.34866654	0.020056487	0.34866682	0.020057033	0.0027064042	0.48065633	0.058970573	7.0230322	1.1735661	3.4994026	5.3636164	3.4994015	5.3636096	4.2009991	1.3505635	-83.536868	R0:N12:S0:1	-61.5408	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 3.06e+02	 1.80e-03	2022-07-11@11:41
2x2_2C_8b_C2v_L	8.8058943	9.7222222	3.5474	0.0040562078	-3.3168977	-3.7673065	0.047094163	-3.7673008	0.047095318	0.042119516	-3.5352669	11.24	0.078193277	1.0647369	-1.5571969	0.14359066	1.5571998	0.14359093	-0.18755562	-2.0491855	2.0385	1	0.2119	1.2388588	1.7138199	-0.60072591	-0.25689294	0.10402652	0.38130717	0.008153905	1.9578017	1.6408119	0.020116646	1.6407979	0.020115564	0.0027692861	1.2190481	1.3725963	-0.39186988	-0.39229039	1.9280739	-0.46224196	-1.9281349	-0.46222527	0.19144463	3.4318857	0.056787675	0.0081102827	0.043657682	0.34300014	0.020083965	0.34300961	0.020082905	0.0027687793	0.47868909	0.058672179	6.999143	1.1993705	3.4964235	5.3410254	3.4964296	5.3409684	4.182595	1.3860378	-83.702012	R0:N12:S0:1	-61.5408	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 3.11e+02	 1.71e-02	2022-07-11@11:42
2x2_2C_8b_C2v_L	8.7864621	9.7777778	3.5474	-0.00032680417	-3.3445065	-3.8107253	0.054973541	-3.8107326	0.054976145	0.048979533	-3.5770773	11.24	0.078578291	1.0668959	-1.5657241	0.14685512	1.5657281	0.14685684	-0.1926123	-2.0605474	2.0385	1	0.2119	1.2387908	1.7103855	-0.60436373	-0.25566045	0.10377681	0.3754611	0.0081922669	1.9575053	1.6467307	0.020448166	1.6467246	0.020448063	0.0028871455	1.2302721	1.3666979	-0.39239808	-0.39885155	1.920931	-0.46622008	-1.9209595	-0.46621686	0.19454466	3.4158277	0.056488493	0.0081481752	0.043936864	0.33729582	0.020413637	0.33729983	0.020413543	0.0028867511	0.47649267	0.058356306	6.9743813	1.2255605	3.4932401	5.3170395	3.4932424	5.31701	4.1622896	1.4233057	-83.942379	R0:N12:S0:1	-61.5408	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 3.16e+02	 2.53e-03	2022-07-11@11:43
2x2_2C_8b_C2v_L	8.7694314	9.8333333	3.5474	-0.0023953821	-3.3699009	-3.8563127	0.064706868	-3.8562856	0.064704834	0.058638883	-3.6180984	11.24	0.07988666	1.0692116	-1.5749197	0.15043661	1.5749139	0.1504361	-0.19833258	-2.0721742	2.0385	1	0.2119	1.238767	1.7070739	-0.60772368	-0.25434756	0.10351147	0.36971318	0.0084043898	1.9571665	1.6525689	0.020803813	1.6525672	0.020803534	0.0030245209	1.2411115	1.3608874	-0.39703918	-0.40557077	1.9135849	-0.47054422	-1.9135891	-0.47054096	0.19821085	3.3997483	0.056176776	0.0083579362	0.044257214	0.33167727	0.020767223	0.3316788	0.020766947	0.0030242518	0.47424574	0.058033756	6.9481143	1.251817	3.4904211	5.2932791	3.4904214	5.2932804	4.1429902	1.4604844	-84.190707	R0:N12:S0:1	-61.5408	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 3.20e+02	 3.08e-03	2022-07-11@11:44
2x2_2C_8b_C2v_L	8.7536863	9.8888889	3.5474	-0.0023374975	-3.4001096	-3.9061189	0.074743829	-3.9061302	0.074743208	0.068868294	-3.6629469	11.24	0.081318843	1.0724733	-1.5850257	0.15416307	1.5850278	0.15416266	-0.20423126	-2.0850635	2.0385	1	0.2119	1.2387675	1.7037792	-0.61094943	-0.25296409	0.10323713	0.36390937	0.0086078224	1.9568503	1.6584675	0.021142418	1.6584687	0.021142456	0.0031643215	1.252096	1.3550151	-0.40151317	-0.41223726	1.9058184	-0.47470556	-1.9058144	-0.4747061	0.20182349	3.3831473	0.055844412	0.0085590512	0.044553383	0.32601553	0.021103726	0.32601459	0.021103762	0.0031642073	0.47184116	0.057691568	6.9215255	1.278289	3.4879691	5.2694057	3.4879689	5.2694075	4.12346	1.4987934	-84.477681	R0:N12:S0:1	-61.5408	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 3.25e+02	 3.34e-03	2022-07-11@11:45
2x2_2C_8b_C2v_L	8.7410548	9.9444444	3.5474	-0.00035279967	-3.4374442	-3.9684172	0.088610309	-3.9684517	0.088611686	0.083526258	-3.7137667	11.24	0.083111759	1.0769302	-1.597738	0.15944056	1.5977463	0.15943963	-0.21252673	-2.0998448	2.0385	1	0.2119	1.2388165	1.7006848	-0.61376758	-0.25153641	0.10292134	0.357842	0.0088334981	1.9565281	1.6646684	0.021660589	1.664666	0.021660138	0.0033669533	1.2632308	1.3488464	-0.4065754	-0.41903775	1.8974532	-0.48124571	-1.8974688	-0.48123913	0.20733036	3.3657842	0.055474884	0.0087821052	0.044854521	0.32005996	0.02161878	0.32006133	0.021618336	0.0033669987	0.46927496	0.057322876	6.8938895	1.305547	3.4857011	5.2436525	3.4857046	5.243631	4.1035655	1.5386655	-84.848423	R0:N12:S0:1	-61.5408	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 3.30e+02	 4.83e-03	2022-07-11@11:47
2x2_2C_8b_C2v_L	8.7252935	10	3.5474	0.004315848	-3.465479	-4.0219696	0.10422261	-4.0219466	0.10422109	0.10355205	-3.7745209	11.24	0.085092322	1.0803643	-1.608661	0.16474179	1.6086568	0.16473987	-0.22272161	-2.1175368	2.0385	1	0.2119	1.238804	1.6973368	-0.61696042	-0.25017849	0.10264339	0.35198643	0.0090724347	1.9561524	1.67026	0.022136605	1.6702559	0.022135709	0.0036304757	1.2748543	1.3428755	-0.41181084	-0.42592679	1.8895497	-0.48737038	-1.889566	-0.48735945	0.21416885	3.3478118	0.05510528	0.0090182342	0.045213252	0.31468519	0.022091742	0.31468837	0.022090857	0.0036307807	0.46644256	0.056956381	6.866524	1.332695	3.4835523	5.2202341	3.4835556	5.2202227	4.081518	1.5801075	-85.189481	R0:N12:S0:1	-61.5408	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 3.35e+02	 3.58e-03	2022-07-11@11:48
