model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	7.3633551	14	2.9573	-0.029074923	-3.0889848	-3.609736	0.034277787	-3.6107932	0.034287065	0.059349533	-3.2598196	9.68	-0.12283897	1.0478431	-1.6215425	0.14926488	1.6217487	-0.14925275	-0.20143598	-2.1516443	1.9665	1	0.2546	1.2615955	1.6301424	-0.56462769	-0.18525313	0.07513271	0.13119126	0.10831373	1.9480331	1.8008676	0.16632503	1.8008521	0.16615026	0.0082163703	1.5719076	1.1073336	1.0967969	-0.67538462	1.5641123	-0.91081134	-1.5643668	0.91013761	0.2304768	2.4766715	0.02848999	0.099171213	0.051146923	0.18394238	0.15962089	0.18395705	0.15947899	0.0083087341	0.33681099	0.035071313	5.0502848	2.7251851	3.5676788	4.6494457	3.5681387	4.6490379	3.7321282	3.2624768	-71.228096	R0:N12:S0:1	-53.7816	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 1.14e+02	 2.73e-03	2022-07-05@11:10
2x2_2C_8b_C2v_L	7.3815568	14	2.9573	-0.030897549	-3.1025861	-3.6183337	0.03341417	-3.6193459	0.033413851	0.057920125	-3.2679567	9.69	-0.12292698	1.0493556	-1.6226725	0.14830111	1.6228907	-0.14829626	-0.19974308	-2.1524899	1.9665	1	0.2546	1.2620944	1.6307889	-0.56291263	-0.18391243	0.074655371	0.13136211	0.10757851	1.9482481	1.8026267	0.16226994	1.8026088	0.1621295	0.0080452087	1.5748423	1.1079127	1.0943965	-0.67478424	1.5581923	-0.902424	-1.55845	0.90184611	0.22843743	2.4706005	0.028521461	0.098558983	0.050940796	0.18255307	0.15587556	0.18256913	0.15576285	0.008134291	0.33538668	0.034982078	5.05094	2.7250107	3.5696809	4.6455028	3.5700891	4.6451292	3.7327152	3.2693915	-71.347722	R0:N12:S0:1	-53.8616	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.12e+02	 2.60e-03	2022-07-05@11:12
2x2_2C_8b_C2v_L	7.3991765	14	2.9573	-0.032113727	-3.1151936	-3.6272947	0.032044752	-3.6273225	0.032072996	0.055654819	-3.2751282	9.7	-0.12309191	1.0507592	-1.6237192	0.14744955	1.6237457	-0.14746714	-0.19778915	-2.1528535	1.9665	1	0.2546	1.2625757	1.6314192	-0.56124708	-0.18261998	0.07419235	0.13151582	0.1067108	1.9484786	1.8042628	0.15849053	1.8042625	0.15850731	0.007864576	1.5776065	1.1084541	1.0913159	-0.67410714	1.5528034	-0.8942991	-1.5528072	0.89436183	0.22617969	2.4647769	0.028549799	0.097838425	0.050721123	0.18125635	0.15238735	0.18125642	0.15240265	0.0079502257	0.33403341	0.034895728	5.0521852	2.7248726	3.5717226	4.6416476	3.571698	4.6416561	3.7333845	3.2759755	-71.462075	R0:N12:S0:1	-53.9416	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.11e+02	 1.00e+06	2022-07-05@11:13
2x2_2C_8b_C2v_L	7.4167672	14	2.9573	-0.034070846	-3.1255137	-3.6340363	0.031313705	-3.6341749	0.031342232	0.054676348	-3.2827557	9.71	-0.1232575	1.0516821	-1.6243798	0.14653024	1.6244046	-0.14651929	-0.19636069	-2.1534693	1.9665	1	0.2546	1.2630595	1.6320309	-0.55960093	-0.18130543	0.073726008	0.13168	0.10617605	1.9486486	1.8059589	0.15459806	1.8059365	0.15447288	0.0077183976	1.5804329	1.1090144	1.0897049	-0.6736519	1.5469685	-0.88601577	-1.5471251	0.88555198	0.2244154	2.4589288	0.028580008	0.097392535	0.050557085	0.17991171	0.14878075	0.17993235	0.14867514	0.0078013266	0.3326376	0.034808362	5.0523014	2.7247788	3.573531	4.6378679	3.5738114	4.6376154	3.7339428	3.2825445	-71.565941	R0:N12:S0:1	-54.0216	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.10e+02	 8.93e-04	2022-07-05@11:15
2x2_2C_8b_C2v_L	7.4348465	14	2.9573	-0.036252403	-3.1384143	-3.641553	0.02993274	-3.6427985	0.030043954	0.052621875	-3.2903482	9.72	-0.12362343	1.0529318	-1.6251573	0.14551307	1.6254242	-0.14556213	-0.19441299	-2.1540204	1.9665	1	0.2546	1.2635467	1.6327064	-0.55786274	-0.18002104	0.073265898	0.13183566	0.1058611	1.9488162	1.8075503	0.15074483	1.8075679	0.15073267	0.0075322694	1.5830284	1.1095416	1.0892641	-0.67326384	1.5415155	-0.87741296	-1.5415825	0.87737304	0.22204776	2.4535712	0.028608632	0.097130448	0.050394171	0.17865174	0.14521075	0.17863667	0.14520406	0.0076116816	0.33134368	0.034726669	5.0516994	2.724691	3.5754698	4.6341716	3.5756059	4.6339965	3.7343434	3.2885456	-71.680473	R0:N12:S0:1	-54.1016	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.09e+02	 1.00e+06	2022-07-05@11:16
2x2_2C_8b_C2v_L	7.4518855	14	2.9573	-0.037088088	-3.1519008	-3.6499776	0.028939007	-3.6501146	0.028914438	0.050548525	-3.2979726	9.73	-0.12359358	1.0546637	-1.6261433	0.14489928	1.6262101	-0.14487555	-0.19272356	-2.1544982	1.9665	1	0.2546	1.2640125	1.6333017	-0.55626657	-0.17874104	0.072807934	0.13199258	0.10462796	1.9490654	1.809098	0.14744519	1.8090446	0.14726482	0.0073841738	1.5857821	1.1100719	1.0842993	-0.67249363	1.5363498	-0.87026437	-1.5366928	0.86949986	0.22014059	2.4477392	0.028637544	0.096102282	0.05015911	0.17741082	0.14214189	0.17745785	0.14199138	0.0074608554	0.32996402	0.034644461	5.0544006	2.7244917	3.5768685	4.6307791	3.5773339	4.6303525	3.7351704	3.2949209	-71.795635	R0:N12:S0:1	-54.1816	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.08e+02	 1.00e+06	2022-07-05@11:17
2x2_2C_8b_C2v_L	7.4703761	14	2.9573	-0.041169155	-3.168284	-3.6593336	0.028057678	-3.659646	0.028061744	0.049463298	-3.3062346	9.74	-0.1245415	1.0559238	-1.6274157	0.14379007	1.6274873	-0.14378863	-0.19110102	-2.1554174	1.9665	1	0.2546	1.2645028	1.6340282	-0.55445422	-0.17747625	0.072354987	0.13215536	0.10553952	1.9491173	1.8107466	0.14314255	1.8107363	0.14309247	0.0071927146	1.5881056	1.1105817	1.0900549	-0.67270649	1.530656	-0.86039013	-1.5307614	0.86017266	0.21781381	2.4431563	0.02866737	0.096862601	0.050099582	0.17611309	0.13815489	0.17612222	0.13811332	0.007265742	0.32878741	0.034571171	5.0493267	2.7245899	3.5792047	4.6266534	3.5793598	4.6265015	3.7351147	3.3000604	-71.925746	R0:N12:S0:1	-54.2616	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.07e+02	 3.38e-03	2022-07-05@11:19
2x2_2C_8b_C2v_L	7.4879498	14	2.9573	-0.043714204	-3.1841143	-3.667485	0.027283035	-3.6675549	0.027268804	0.048247575	-3.314343	9.75	-0.12505441	1.0574974	-1.6283663	0.14295503	1.6283863	-0.14295443	-0.18965125	-2.1561259	1.9665	1	0.2546	1.2649753	1.6346771	-0.55277094	-0.17621006	0.071900252	0.13231242	0.10544283	1.9492583	1.812299	0.13933842	1.8122977	0.13934164	0.0070376624	1.5906148	1.1110924	1.0907854	-0.67249017	1.5253634	-0.85154739	-1.5253807	0.85154369	0.21589307	2.4380067	0.028696223	0.096782342	0.04996133	0.17487853	0.13462021	0.17487941	0.13462364	0.0071077961	0.32750983	0.034494643	5.0478749	2.724628	3.5811265	4.6228231	3.5811353	4.6228135	3.7355034	3.3056881	-72.047944	R0:N12:S0:1	-54.3416	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.05e+02	 1.51e-03	2022-07-05@11:21
2x2_2C_8b_C2v_L	7.5053793	14	2.9573	-0.045276367	-3.1958817	-3.6771301	0.02597968	-3.6776628	0.0260022	0.045958769	-3.3219022	9.76	-0.12517763	1.0587835	-1.6295081	0.14229726	1.629611	-0.14229022	-0.18793812	-2.1565022	1.9665	1	0.2546	1.2654445	1.6353087	-0.55111041	-0.17493663	0.071442206	0.13245771	0.10451423	1.9494662	1.8138156	0.13601454	1.8138016	0.13592128	0.0068893126	1.5932038	1.1115934	1.0872267	-0.67185016	1.5202797	-0.84380379	-1.5204362	0.84341789	0.21389999	2.4325325	0.028722905	0.096008659	0.049763886	0.17365701	0.13151633	0.1736699	0.13143654	0.0069568243	0.32618058	0.03441475	5.0496351	2.7244555	3.5825955	4.6194316	3.5828657	4.619164	3.736189	3.3115774	-72.167748	R0:N12:S0:1	-54.4216	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.04e+02	 1.45e-03	2022-07-05@11:23
2x2_2C_8b_C2v_L	7.5228911	14	2.9573	-0.048868933	-3.2158596	-3.6855451	0.025035676	-3.6862664	0.025027425	0.044490022	-3.3304268	9.77	-0.12615183	1.06072	-1.6304884	0.14146199	1.6306307	-0.14147469	-0.18643386	-2.1573505	1.9665	1	0.2546	1.265905	1.6360035	-0.54938664	-0.17374034	0.071008366	0.13260888	0.10518751	1.9495393	1.8152531	0.13222553	1.8152695	0.13226156	0.0067184504	1.5953267	1.1120546	1.0919103	-0.67204035	1.5152957	-0.83465014	-1.5152894	0.8347673	0.21175595	2.4283036	0.02875061	0.096572075	0.049686738	0.17251939	0.12799016	0.17250422	0.12802319	0.0067827808	0.32508436	0.034350149	5.045417	2.724654	3.5845998	4.6156953	3.5845882	4.6156868	3.7362581	3.3161713	-72.302038	R0:N12:S0:1	-54.5016	uncorrelated	b7fd39a	v1.0.3	11	sharp_wc_2.0_b_50	 1.03e+02	 8.09e-04	2022-07-05@11:30
