model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	6.1281778	10.5	2.9573	-0.10498152	-2.9128184	-3.294864	0.080907393	-3.2957735	0.081038015	0.10252882	-3.0380233	9.43	0.16549111	1.0153989	-1.5632677	0.17668833	1.5635174	-0.17678659	0.24011621	-2.1006828	1.9665	1	0.2546	1.2282292	1.6343116	-0.68612959	-0.26758985	0.10741363	0.24838767	0.16021263	1.9295136	1.6783661	0.1581502	1.6784432	0.15830042	0.0064278749	1.3370621	1.223381	-1.5081767	-0.64959851	1.9547837	-1.0178878	-1.9545995	1.0184698	-0.25093022	3.1932241	0.046034906	0.14140498	0.06874869	0.28941773	0.15629168	0.28935242	0.15642978	0.0064555219	0.44098798	0.053688063	5.3517925	1.92663	3.3253234	4.8919252	3.3251134	4.891875	3.8485809	1.9694661	-70.597486	R0:N12:S0:1	-51.7816	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	210.0	0.00303	2022-07-06@12:33
2x2_2C_8b_C2v_L	7.0035738	10.5	2.9573	0.35814914	-4.5676175	-5.1863838	0.4832971	-5.1856482	0.4824733	0.5462599	-4.7042344	11.0	0.11503201	1.1496101	-1.7168219	0.19393459	1.7166293	0.19385372	0.26110751	-2.2176405	1.9665	1	0.2546	1.2524953	1.6658321	-0.60473159	-0.20178979	0.084504291	0.26288279	0.0077510502	1.9552711	1.7666017	0.012236216	1.7666669	0.012238862	0.0035209791	1.4569155	1.2546994	-0.38787369	-0.52054934	1.6915383	-0.38448164	-1.6911135	-0.38453661	-0.2070152	2.9891957	0.047372026	0.0077128289	0.045592088	0.22445089	0.012214789	0.22440133	0.012217381	0.0035215419	0.40374011	0.048461602	6.4084471	1.7938697	3.5089025	4.8816068	3.5086757	4.8822535	3.8420746	2.3441869	-91.539624	R0:N12:S0:1	-64.3416	uncorrelated	b7fd39a	v1.0.3	8	sharp_wc_2.0_b_50	468.0	0.00029	2022-07-07@15:45
2x2_2C_8b_C2v_L	7.0036598	10.5	2.9573	0.35035342	-4.5730266	-5.1923927	0.47155518	-5.1935122	0.47250315	0.53442468	-4.7106784	11.01	0.11521225	1.1492071	-1.7161471	0.19358377	1.7163666	0.19380678	0.26060236	-2.2167635	1.9665	1	0.2546	1.2524977	1.6658423	-0.60472194	-0.20178695	0.084503172	0.26296369	0.0077699234	1.9552446	1.766533	0.012221646	1.7665824	0.012243932	0.0035131982	1.4567503	1.2547852	-0.38834356	-0.52067737	1.6916129	-0.38419507	-1.6914149	-0.38457448	-0.20677237	2.9894557	0.047381471	0.0077315189	0.045619665	0.22451917	0.012200267	0.22447606	0.012222446	0.0035137633	0.40381731	0.048470891	6.408483	1.7938399	3.5087162	4.8822151	3.5086517	4.8822912	3.8426422	2.3435753	-91.630048	R0:N12:S0:1	-64.4216	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	474.0	0.000332	2022-07-07@15:47
2x2_2C_8b_C2v_L	7.0038271	10.5	2.9573	0.3399275	-4.5879136	-5.2015924	0.45977729	-5.1998121	0.45975141	0.52152358	-4.7183894	11.02	0.11531015	1.1499341	-1.7160447	0.19339572	1.715753	0.19335576	0.26005013	-2.216182	1.9665	1	0.2546	1.252502	1.6658522	-0.60470424	-0.20177769	0.084499385	0.26300246	0.0077904736	1.955252	1.7665416	0.012227763	1.7664759	0.012217949	0.0035014643	1.4566718	1.2548303	-0.3888482	-0.52066833	1.6915096	-0.38421693	-1.6917529	-0.3840641	-0.2064463	2.9895506	0.047386879	0.0077518608	0.045611354	0.22451391	0.012206352	0.22457236	0.012196597	0.0035020273	0.40385601	0.048475573	6.4082216	1.7938928	3.508574	4.882526	3.508611	4.8824804	3.8430194	2.3433252	-91.745495	R0:N12:S0:1	-64.5016	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	481.0	0.00016	2022-07-07@15:48
2x2_2C_8b_C2v_L	7.0039233	10.5	2.9573	0.33081245	-4.6064501	-5.2093083	0.44663629	-5.2069281	0.44586009	0.50676399	-4.7247829	11.03	0.11574748	1.1511279	-1.7156766	0.19309855	1.7152399	0.19290473	0.25926143	-2.2152106	1.9665	1	0.2546	1.2525045	1.6658581	-0.60469419	-0.20177239	0.084497038	0.26304595	0.0078500134	1.9552665	1.7664824	0.01223068	1.7664199	0.012209147	0.0034847608	1.4565361	1.2548801	-0.39034678	-0.52065266	1.6916828	-0.38413466	-1.6918622	-0.38378684	-0.20599232	2.9897121	0.047393293	0.0078108039	0.045594891	0.22456716	0.012209284	0.22462503	0.012187848	0.0034853192	0.40392171	0.04848223	6.4075174	1.7940328	3.5084837	4.8827095	3.5084802	4.882839	3.84362	2.3429055	-91.863846	R0:N12:S0:1	-64.5816	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	492.0	0.000239	2022-07-07@15:49
2x2_2C_8b_C2v_L	7.00408	10.5	2.9573	0.32040886	-4.616549	-5.2136829	0.43365919	-5.2152038	0.43346726	0.49294233	-4.7294866	11.04	0.11575324	1.1512439	-1.7147143	0.19251496	1.7149392	0.1925276	0.25833047	-2.2138718	1.9665	1	0.2546	1.2525096	1.6658685	-0.60468002	-0.20176198	0.084492996	0.26313774	0.0078632577	1.9552618	1.7663356	0.012195808	1.7664221	0.01220583	0.0034665896	1.4563162	1.2549832	-0.39064528	-0.52067637	1.6921343	-0.38346357	-1.6917536	-0.38362575	-0.20547009	2.9900479	0.047404375	0.0078239092	0.045599603	0.22470124	0.012174583	0.22462708	0.01218453	0.0034671445	0.40402552	0.048491698	6.4075353	1.7939438	3.5084268	4.8830289	3.508317	4.8832863	3.8444435	2.3420995	-91.956788	R0:N12:S0:1	-64.6616	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	505.0	0.000285	2022-07-07@15:49
2x2_2C_8b_C2v_L	7.0042569	10.5	2.9573	0.31028595	-4.6215583	-5.2192918	0.42238335	-5.2268848	0.4236099	0.48140894	-4.7368836	11.05	0.11557027	1.1507255	-1.7139728	0.1921446	1.715335	0.19249283	0.25779085	-2.2132162	1.9665	1	0.2546	1.2525143	1.6658796	-0.60466153	-0.20175238	0.084489239	0.26318882	0.0078446985	1.9552401	1.7662695	0.012166399	1.7664315	0.012210946	0.0034570789	1.4562166	1.2550408	-0.39015213	-0.52077528	1.6921919	-0.38297902	-1.6918311	-0.3836589	-0.20516843	2.9901944	0.047410006	0.0078055345	0.04562248	0.22476838	0.012145278	0.22461325	0.012189634	0.0034576364	0.40407277	0.048495886	6.4078442	1.7939105	3.5082488	4.8836565	3.5083846	4.882989	3.8448785	2.3417252	-92.05532	R0:N12:S0:1	-64.7416	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	519.0	0.000276	2022-07-07@15:50
2x2_2C_8b_C2v_L	7.0043773	10.5	2.9573	0.30000586	-4.6401447	-5.2273839	0.40931714	-5.2296323	0.40984984	0.46723569	-4.7422254	11.06	0.11577245	1.1518057	-1.7136677	0.19177604	1.7140334	0.19181425	0.25690904	-2.2119842	1.9665	1	0.2546	1.2525185	1.6658871	-0.6046514	-0.2017436	0.084485611	0.2632681	0.0078822892	1.9552689	1.7662189	0.012168554	1.7662919	0.012173765	0.0034372987	1.4560348	1.2551309	-0.39108881	-0.52065118	1.6923644	-0.38285869	-1.6921111	-0.38295065	-0.20463487	2.9904703	0.047420743	0.0078427401	0.045591645	0.22481296	0.012147445	0.22474731	0.012152611	0.003437846	0.40415924	0.048505469	6.4074642	1.7938318	3.5081852	4.8837983	3.5081759	4.883786	3.8455477	2.3410809	-92.162903	R0:N12:S0:1	-64.8216	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	534.0	0.000565	2022-07-07@15:51
2x2_2C_8b_C2v_L	7.0046352	10.5	2.9573	0.2872864	-4.6450172	-5.2298719	0.39462864	-5.2291912	0.39392562	0.45222318	-4.7472535	11.07	0.11542994	1.1513316	-1.7123681	0.19082361	1.7121681	0.19075897	0.2558225	-2.2106991	1.9665	1	0.2546	1.2525271	1.6659048	-0.60462846	-0.20172633	0.084478921	0.26342431	0.0078669567	1.9552445	1.7660248	0.012118325	1.766119	0.012123846	0.0034193616	1.455862	1.2553053	-0.39061703	-0.5207498	1.6929586	-0.38186142	-1.6923719	-0.38197579	-0.20405359	2.990761	0.047440009	0.0078275522	0.04561728	0.22498959	0.012097437	0.22491682	0.012102877	0.0034199193	0.40424137	0.048520446	6.4078946	1.7936782	3.5080616	4.884305	3.5077646	4.885146	3.8462272	2.3404057	-92.223527	R0:N12:S0:1	-64.9016	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	544.0	0.000485	2022-07-07@15:52
2x2_2C_8b_C2v_L	7.0049412	10.5	2.9573	0.27697658	-4.6519565	-5.2350631	0.3825701	-5.2301432	0.3811565	0.43876163	-4.7504851	11.08	0.11521943	1.151037	-1.7115202	0.19013154	1.7106422	0.18988901	0.25452439	-2.208974	1.9665	1	0.2546	1.2525369	1.6659241	-0.60460077	-0.20170585	0.084471033	0.26357568	0.0078551342	1.9552369	1.7659914	0.0120827	1.7658831	0.012057544	0.0033929603	1.4555969	1.2554758	-0.39028033	-0.52075731	1.6928467	-0.38119697	-1.6931001	-0.38079265	-0.20327245	2.9912033	0.047458201	0.0078158409	0.045625369	0.22503017	0.012061906	0.22513306	0.012036866	0.0033935121	0.40436597	0.048534567	6.4083085	1.793421	3.5077796	4.8852556	3.5076911	4.8856685	3.8471986	2.3393745	-92.293017	R0:N12:S0:1	-64.9816	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	549.0	0.000455	2022-07-07@15:53
