model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	6	6.5	1.5	0.092118388	-2.1957602	-2.7381036	0.24894062	-2.7380656	0.2489376	0.29628049	-2.7779187	9.76	-0.0041921423	0.024074755	-0.02596476	0.0093092653	0.025964499	-0.0093093345	0.013099571	-0.040230487	1e-09	1e-09	1e-09	1.3333333	2	0	0	0	0.99415198	1.2430358e-05	0.0040462171	1.8768965	5.6124677e-05	0.14221843	5.5476475e-05	0.00010839139	1.9999992	1.9941518	0.019912756	-0.35913405	0.049016208	-0.042336427	-0.7288254	0.041920925	-0.058840526	1.6928249e-05	0.0014471972	1.2430266e-05	0.0040361138	0.22985821	5.6122813e-05	0.24645142	5.547466e-05	0.00010838445	1.2872541e-06	0.0014473404	7.9836036	7.9293779	0.5199672	7.9941401	7.2329509	7.9275567	7.9981313	0.00048286949	-63.127415	R0:N12:S0:1	-66.08	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-07-05@09:19
2x2_2C_8b_C2v_L	6.6476889	7.1666667	1.6619222	0.092109219	-2.195435	-2.7376536	0.24935369	-2.7376157	0.24935068	0.29860787	-2.7788757	9.76	0.00058241505	0.084521513	-0.13149145	0.0024056053	0.13149022	-0.0024056429	0.00093251669	-0.16265051	0.2185	0.11111111	0.02828889	1.3333333	1.9999998	-3.5731051e-08	-1.0291687e-09	4.651039e-10	0.63762657	2.6473686e-07	0.20007767	1.9318549	4.1400558e-06	1.9318045	4.1399203e-06	2.4672559e-07	1.386033	1.6375553	-0.0026492073	-2.1398829	0.4325635	-0.010429813	-0.43282445	0.010429391	-0.0019035901	3.0176551	0.039683524	2.6473682e-07	0.17676741	0.084498836	4.1400456e-06	0.084561728	4.1399101e-06	2.4672557e-07	0.46915203	0.039708493	7.3342511	5.3678783	1.4979164	7.2948559	1.4987219	7.2945325	4.2771594	2.8453861	-61.30522	R0:N12:S0:1	-64.784622	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.89e-02	 1.69e-02	2022-07-05@09:20
2x2_2C_8b_C2v_L	7.2953773	7.8333333	1.8238444	0.092109145	-2.9234552	-4.3872869	0.25037981	-4.3873173	0.25037652	0.29861399	-6.5078471	9.76	1.1514767e-05	0.1940189	-0.33430491	-0.0021841523	0.33430603	0.0021841725	0.00029892152	-0.50533273	0.437	0.22222222	0.056577779	1.3333333	1.9999993	-2.9684004e-07	-1.6465411e-08	8.2650087e-09	0.067347527	0	1.894523	1.9393175	3.5802506e-07	1.9393184	3.5803071e-07	6.0600036e-09	1.9574507	1.0673474	-1.3976018e-05	-1.2286678	0.95498777	0.0022525712	-0.95498113	-0.0022525885	-0.00029250505	0.80735487	0.015568106	0	0.094351593	0.057000152	3.5802497e-07	0.05699936	3.5803062e-07	6.0600036e-09	0.040738873	0.015568133	4.4219077	2.4903752	3.0879996	4.2427259	3.0880122	4.2427223	4.1701972	3.3481781	-76.138002	R0:N12:S0:1	-63.489244	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 4.20e-01	 5.83e-02	2022-07-05@09:20
2x2_2C_8b_C2v_L	7.942996	8.5	1.9857667	0.092109145	-4.3165664	-5.7298259	0.25489883	-5.7298352	0.25489447	0.29942803	-6.5531517	9.76	4.1121559e-05	0.35949157	-0.58424255	0.0038640181	0.58424984	-0.003865594	-0.011460624	-0.78743838	0.6555	0.33333333	0.084866667	1.3333321	1.9999361	-3.1359123e-05	-2.0578836e-06	8.7161871e-07	0.058669458	1.3199406e-10	1.9614306	1.9429544	9.7350766e-07	1.942952	9.7427861e-07	7.4822573e-06	1.9188449	1.0584522	-4.6261466e-05	-0.73635662	0.92744066	-0.0038319472	-0.92746587	0.0038334413	0.010200021	1.140368	0.013818738	1.3199406e-10	0.038311869	0.056243233	9.7350738e-07	0.056245575	9.7427833e-07	7.4822442e-06	0.079153598	0.013778075	4.4852562	3.5614783	3.7868949	4.2280723	3.7869301	4.2280289	3.9938777	3.9510542	-84.880473	R0:N12:S0:1	-62.193867	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 3.76e+00	 1.05e-01	2022-07-05@09:21
2x2_2C_8b_C2v_L	8.2523059	9.1666667	2.1476889	0.013850128	-4.7063592	-5.8604855	-0.0044350433	-5.8605183	-0.0044290022	0.27117893	-5.8880746	9.76	-0.031797125	0.50597456	-0.80314323	-0.031706046	0.80314722	0.031706924	0.039515787	-1.0347054	0.874	0.44444444	0.11315556	1.326598	1.8923896	-0.10583471	-0.014795011	0.0063968834	0.080332812	0.00012081633	1.9631396	1.9264211	8.9289206e-05	1.926421	8.9293734e-05	9.023181e-05	1.8648466	1.0796955	0.044371375	-0.69030217	1.0436375	0.035924976	-1.0436395	-0.035925842	-0.034858456	1.4847144	0.018510345	0.0001208102	0.03670278	0.0722782	8.9286979e-05	0.072278318	8.9291507e-05	9.0230205e-05	0.12892563	0.018429641	4.7664382	3.308573	3.735359	4.2935896	3.7353646	4.2935822	3.9212333	3.9073573	-85.571906	R0:N12:S0:1	-60.898489	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 3.43e+01	 1.32e-03	2022-07-05@09:23
2x2_2C_8b_C2v_L	7.65145	9.8333333	2.3096111	0.23158155	-4.9249674	-5.9607329	0.37977467	-5.9606668	0.37984812	0.52457199	-5.7814849	9.76	-0.036683745	0.64866848	-1.0239296	-0.068027898	1.0239209	0.068035063	0.098849071	-1.3133886	1.0925	0.55555556	0.14144444	1.3031396	1.6672568	-0.38865089	-0.070225249	0.030773203	0.097165851	0.00020671848	1.9633174	1.9127401	0.00045142952	1.9127407	0.00045151603	0.00053765471	1.8260013	1.0958883	0.05862646	-0.66441504	1.1276645	0.079956802	-1.1276577	-0.079964885	-0.083660721	1.6977035	0.021975481	0.00020669868	0.03659175	0.085479458	0.00045137675	0.08547896	0.00045146323	0.00053761402	0.16295404	0.021886822	4.9855499	3.1113908	3.6982139	4.3465745	3.6981992	4.3465947	3.8549162	3.8491142	-86.981076	R0:N12:S0:1	-59.603111	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 2.04e+02	 2.39e-03	2022-07-05@09:24
2x2_2C_8b_C2v_L	7.7538852	10.5	2.4715333	0.24925219	-5.2296149	-5.8563681	0.55833143	-5.8563695	0.55838155	0.81488773	-5.2779041	9.76	0.025917205	0.82056731	-1.2462141	-0.065819658	1.2462149	0.065822378	0.1000291	-1.5634087	1.311	0.66666667	0.16973333	1.2957344	1.6665426	-0.43109982	-0.088796788	0.038573998	0.11732649	0.00016283289	1.9635552	1.8974938	0.00055012881	1.8974936	0.0005501601	0.00052350265	1.7777086	1.1154905	-0.051984666	-0.63606802	1.2116851	0.085913315	-1.2116868	-0.08591589	-0.081665396	1.928276	0.025914944	0.00016281903	0.036427115	0.10013786	0.00055006071	0.10013804	0.00055009199	0.00052348011	0.20313077	0.025780978	5.2195769	2.8994632	3.6609818	4.4070453	3.6609838	4.4070425	3.8138383	3.7201524	-87.073503	R0:N12:S0:1	-58.307733	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 3.83e+01	 4.86e-03	2022-07-05@09:25
2x2_2C_8b_C2v_L	7.825778	11.166667	2.6334556	0.28755092	-5.1230485	-5.2871438	0.70107996	-5.2871514	0.70111648	0.96163181	-4.6853429	9.76	-0.027017223	0.9796234	-1.4226402	-0.053306993	1.4226438	0.053311409	0.087283772	-1.79635	1.5295	0.77777778	0.19802222	1.2889263	1.6663241	-0.46567401	-0.10614601	0.045797944	0.13939154	0.0003151061	1.9621634	1.8788869	0.00054798779	1.8788857	0.00054805809	0.00042424006	1.7301711	1.1370144	0.071706363	-0.62244846	1.302893	0.082100904	-1.3029025	-0.082106157	-0.07181086	2.1293901	0.029968603	0.00031504802	0.037897367	0.11794723	0.00054793049	0.1179483	0.00054800077	0.00042424409	0.24025782	0.029808711	5.4349826	2.7082383	3.619909	4.4812104	3.6199194	4.4811939	3.7941656	3.5578203	-84.347188	R0:N12:S0:1	-57.012356	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 2.44e+01	 1.16e-02	2022-07-05@09:26
2x2_2C_8b_C2v_L	7.8663844	11.833333	2.7953778	0.34715681	-4.009897	-4.4801192	0.74084752	-4.4801152	0.74088755	1.0248989	-3.9891041	9.76	-7.7175966e-06	1.0417077	-1.555802	-4.5068964e-06	1.5558016	-4.3090555e-10	-1.1190302e-06	-1.9979974	1.748	0.88888889	0.22631111	1.2826005	1.6655354	-0.49558568	-0.12243559	0.05254146	0.16197789	0	1.9596749	1.8599116	0	1.8599115	0	0	1.6838239	1.1591695	2.9739047e-05	-0.61625279	1.3854538	9.1984763e-06	-1.3854541	8.7944987e-10	9.741164e-07	2.3081559	0.033819544	0	0.040507774	0.13607529	0	0.13607534	0	0	0.27398807	0.033608221	5.6445566	2.5296597	3.5846077	4.5582205	3.5846078	4.5582205	3.7857148	3.3750088	-78.39194	R0:N12:S0:1	-55.716978	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 2.64e+01	 1.67e-03	2022-07-05@09:28
2x2_2C_8b_C2v_L	7.2159091	12.5	2.9573	-0.16586785	-3.5024167	-3.6290111	0.01892673	-3.6290093	0.018926323	0.029814089	-3.2870408	9.76	-0.17265578	1.077742	-1.6112297	-0.14949119	1.6112291	-0.14949104	0.18829387	-2.1320149	1.9665	1	0.2546	1.2577514	1.6477941	-0.57878364	-0.19661663	0.080712586	0.17311965	0.17628781	1.9380517	1.7762431	0.11341208	1.7762432	0.11341217	0.0045173498	1.4975908	1.1510604	1.49037	-0.70847611	1.6584301	0.83255599	-1.6584295	0.83255648	-0.19409863	2.7534096	0.035657107	0.15250934	0.06037744	0.20827153	0.11141477	0.20827146	0.11141484	0.0045412527	0.37720871	0.041932685	4.9311126	2.4525594	3.5077302	4.7045187	3.5077296	4.7045195	3.7469761	2.8235744	-73.42962	R0:N12:S0:1	-54.4216	uncorrelated	b7fd39a	v1.0.3	17	sharp_wc_2.0_b_50	 1.19e+02	 6.94e-03	2022-07-05@09:38
