model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	20.358904	12	7	-5.2815932e-05	-1.9012999	-2.1933409	0.21464303	-2.1933381	0.21464483	0.26896378	-1.4546296	11.6	0.12302263	-0.77638642	1.225201	-0.2386706	-1.2252018	0.23867071	0.39667258	-1.5908049	1.5	1	1e-09	1.185055	1.6161957	-0.75746449	-0.37288655	0.14946596	0.32616365	0.11318636	1.9346202	1.5939193	0.1911406	1.5939118	0.19113223	0.022459959	1.1077883	1.3129603	-1.2394861	0.55225587	-2.097774	1.1228784	2.0978029	-1.122847	-0.55691184	3.3318086	0.053999227	0.10361315	0.064648642	0.35689619	0.18809348	0.35690125	0.18808662	0.02224795	0.48872285	0.058575157	5.9010176	1.6454675	3.2057759	5.0141043	3.2057836	5.0140979	4.3864172	1.6395946	-69.237959	R0:N12:S0:1	-36.8	uncorrelated	b7fd39a	v1.0.3	6	sharp_wc_2.0_b_50	 1.38e+02	 5.50e-03	2022-06-16@11:41
2x2_2C_8b_C2v_L	18.9002	12	6.5508111	-0.0035996896	-1.9918261	-2.3109532	0.21799179	-2.3109566	0.21799129	0.27294232	-1.6019453	11.311111	0.12472898	-0.80400194	1.2727917	-0.23348406	-1.2727925	0.23348411	0.37679033	-1.6614038	1.5518333	1	0.02828889	1.1925171	1.6135957	-0.74917359	-0.35329833	0.1415152	0.30098607	0.12237164	1.9324726	1.6165563	0.19344636	1.6165571	0.1934475	0.01875752	1.1616869	1.286176	-1.2722543	0.5858588	-2.0639371	1.1080701	2.063935	-1.1080737	-0.49634023	3.2847393	0.05183579	0.11107063	0.066516983	0.33782571	0.19015295	0.33782513	0.19015394	0.018640403	0.48210577	0.056827147	5.7574101	1.7646632	3.2232383	4.9674993	3.2232369	4.9674993	4.2915985	1.7431995	-68.883027	R0:N12:S0:1	-38.0824	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.40e+02	 2.19e-02	2022-06-16@11:42
2x2_2C_8b_C2v_L	17.384248	12	6.1016222	-0.0036063974	-2.076232	-2.4265457	0.21109552	-2.4265464	0.21109425	0.26377121	-1.7516711	11.022222	0.12715327	-0.83011076	1.3171469	-0.22996359	-1.3171464	0.2299644	0.36086684	-1.7267858	1.6036667	1	0.056577779	1.1986328	1.611285	-0.74150434	-0.3373675	0.13500655	0.27836457	0.13099225	1.9307165	1.6329861	0.20167664	1.632992	0.2016864	0.016422051	1.2061469	1.2615953	-1.3008635	0.61510109	-2.0398338	1.1081191	2.0398092	-1.1081534	-0.45169906	3.2363003	0.0496136	0.11796423	0.068042965	0.32321352	0.19790072	0.32320928	0.19790873	0.016366275	0.47410195	0.055144839	5.6309502	1.8736418	3.2339896	4.9236849	3.2339776	4.9236917	4.206196	1.852603	-68.528826	R0:N12:S0:1	-39.3648	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.42e+02	 4.69e-03	2022-06-16@11:44
2x2_2C_8b_C2v_L	15.822478	12	5.6524333	-0.0029751281	-2.1526311	-2.5501928	0.20365049	-2.5501949	0.20364911	0.25374074	-1.9074188	10.733333	0.12857873	-0.85569559	1.3623541	-0.22821162	-1.3623546	0.22821121	0.34873468	-1.7915096	1.6555	1	0.084866667	1.2037118	1.6087104	-0.73497928	-0.32397562	0.1295258	0.25816677	0.13809391	1.9292751	1.6461279	0.21246677	1.6461279	0.21246706	0.015000709	1.2440092	1.2391079	-1.3207846	0.63954273	-2.0207877	1.1161396	2.0207884	-1.1161395	-0.41832608	3.1895573	0.047395886	0.123553	0.069294932	0.31125161	0.20804256	0.31125157	0.20804286	0.014991629	0.46548101	0.053567328	5.5272502	1.9700666	3.2442222	4.8840658	3.2442217	4.8840657	4.1278205	1.9588403	-68.231424	R0:N12:S0:1	-40.6472	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.45e+02	 4.99e-03	2022-06-16@11:45
2x2_2C_8b_C2v_L	14.216804	12	5.2032444	-0.0013691689	-2.2241321	-2.6741239	0.19638336	-2.6741181	0.19638139	0.24441339	-2.0657411	10.444444	0.12969503	-0.88060487	1.4064253	-0.22760396	-1.4064245	0.2276032	0.33952243	-1.8545917	1.7073333	1	0.11315556	1.207786	1.6057064	-0.73014223	-0.31302041	0.12500875	0.24017037	0.14502341	1.9279565	1.6557274	0.22620356	1.6557252	0.2262005	0.014244439	1.2752433	1.2184189	-1.3396868	0.6605806	-2.0084851	1.1312124	2.0084936	-1.1312005	-0.39369967	3.1476726	0.045235425	0.12894151	0.070437829	0.3021095	0.2209597	0.30211106	0.22095742	0.014274674	0.45694412	0.052168264	5.4363283	2.0553629	3.2528769	4.8493874	3.25288	4.8493856	4.0561589	2.0550664	-67.951399	R0:N12:S0:1	-41.9296	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.50e+02	 4.56e-03	2022-06-16@11:47
2x2_2C_8b_C2v_L	12.572137	12	4.7540556	0.00095540057	-2.288537	-2.7980802	0.19105631	-2.7980783	0.19105627	0.23650672	-2.2256115	10.155556	0.13069717	-0.90417432	1.449547	-0.22821311	-1.4495465	0.22821285	0.33248182	-1.9161381	1.7591667	1	0.14144444	1.2109613	1.6022534	-0.7271614	-0.30423155	0.12135179	0.22410382	0.15258231	1.9265798	1.6622335	0.24263777	1.6622325	0.24263544	0.013967867	1.3004119	1.1991797	-1.3611817	0.67911869	-2.0030783	1.1520257	2.0030823	-1.1520183	-0.37555342	3.1127443	0.043158723	0.1347516	0.07163051	0.29545751	0.23641903	0.29545823	0.23641722	0.014034131	0.44895603	0.050990703	5.3533966	2.1301103	3.2602506	4.8191127	3.2602534	4.8191118	3.9897859	2.1370474	-67.679764	R0:N12:S0:1	-43.212	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.57e+02	 4.17e-03	2022-06-16@11:48
2x2_2C_8b_C2v_L	10.896271	12	4.3048667	0.0035135428	-2.3473982	-2.9209849	0.18746279	-2.9209943	0.18746076	0.23075463	-2.3851819	9.8666667	0.13165803	-0.9266151	1.4915489	-0.22948024	-1.4915536	0.22947693	0.32707575	-1.9759182	1.811	1	0.16973333	1.2133999	1.5988036	-0.72563368	-0.29742122	0.1184764	0.20967919	0.16158632	1.9249583	1.6658165	0.26199575	1.6658022	0.26195528	0.014033174	1.3198182	1.1810086	-1.3882172	0.69642046	-2.0051523	1.1773472	2.0052212	-1.1772193	-0.3621874	3.0863182	0.041175397	0.14157165	0.073040099	0.29111835	0.25463678	0.2911289	0.25460701	0.014133353	0.44186677	0.050064552	5.2742345	2.1957198	3.2657445	4.7930088	3.2657927	4.7929903	3.9275201	2.2020163	-67.408975	R0:N12:S0:1	-44.4944	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.66e+02	 3.50e-03	2022-06-16@11:50
2x2_2C_8b_C2v_L	9.1920409	12	3.8556778	0.0057883914	-2.4010549	-3.0436397	0.18733145	-3.0436331	0.18733094	0.22859169	-2.5454429	9.5777778	0.1325821	-0.94801823	1.5332389	-0.23123445	-1.5332374	0.23123468	0.32273703	-2.0351195	1.8628333	1	0.19802222	1.2151725	1.5950636	-0.72579726	-0.2922802	0.11624786	0.19670456	0.17301778	1.9228921	1.6668369	0.28374544	1.6668381	0.28375117	0.014296472	1.3341489	1.1636183	-1.4239494	0.71352158	-2.0146512	1.2053663	2.0146438	-1.2053827	-0.35176144	3.0695466	0.039294863	0.15005569	0.074837922	0.28881249	0.27515961	0.28881156	0.27516376	0.014427859	0.43581764	0.049415348	5.1950134	2.2524238	3.2697293	4.7702647	3.2697223	4.7702669	3.8672666	2.2480473	-67.147535	R0:N12:S0:1	-45.7768	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.78e+02	 9.72e-03	2022-06-16@11:51
2x2_2C_8b_C2v_L	7.4580641	12	3.4064889	0.0086587142	-2.4481705	-3.1626857	0.18782333	-3.1626909	0.18782508	0.22710054	-2.7044075	9.2888889	0.13357644	-0.96779103	1.5727922	-0.23353819	-1.5727936	0.23353895	0.3197214	-2.0919865	1.9146667	1	0.22631111	1.216241	1.5906457	-0.72823324	-0.28871345	0.11465294	0.1848538	0.18650818	1.9204011	1.6651694	0.3089357	1.6651697	0.30893525	0.014779688	1.3438462	1.1465637	-1.4658414	0.73074348	-2.0327077	1.2360491	2.0327073	-1.2360492	-0.34421439	3.0624234	0.03749794	0.15982861	0.07701287	0.28852363	0.29899829	0.28852344	0.29899789	0.014940854	0.43089549	0.049044349	5.118045	2.301913	3.2709518	4.7493911	3.2709528	4.7493901	3.808136	2.2753591	-66.866804	R0:N12:S0:1	-47.0592	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.93e+02	 8.03e-03	2022-06-16@11:53
2x2_2C_8b_C2v_L	5.6973909	12	2.9573	0.011412567	-2.4914329	-3.2813183	0.1907417	-3.2812971	0.19074605	0.22750081	-2.8624393	9	0.13455022	-0.98663829	1.6116897	-0.23627979	-1.6116847	0.23628305	0.31733813	-2.147508	1.9665	1	0.2546	1.2166825	1.5854796	-0.73299955	-0.2864397	0.1135845	0.17400021	0.20313929	1.9172694	1.6613416	0.33670178	1.6613484	0.33673541	0.015341545	1.3496301	1.1296231	-1.5167201	0.74929318	-2.0585892	1.2673016	2.0585511	-1.2673958	-0.33787029	3.0651395	0.035785445	0.17149696	0.079744402	0.28985233	0.32542611	0.28984735	0.32544777	0.015528775	0.42704102	0.048961192	5.0396788	2.3443665	3.2701443	4.7290976	3.2701105	4.7291012	3.7485496	2.2835968	-66.590341	R0:N12:S0:1	-48.3416	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 2.12e+02	 6.52e-03	2022-06-16@11:54
