GS_consistency	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	githash	model	mu	script	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	time	tpd	tpp	tppp	version	Unnamed: 28
YY	9.5	2.7745	-1.9797557	0.04008972	-2.8189943	0.2851393	-2.8198953	0.28533331	0.33289818	-2.3160341	a248bdd	2x2_2C_8b_C2v_L	8.0	validity_data_2022.py	-0.92851772	0.15282947	-1.5497183	0.28280623	1.5500687	-0.28268888	0.39098049	-2.0763649	2024-08-13@14:05	1.9139	1	0.273	v2.7.1	
YY	9.5	2.7745	-1.982788	0.039981349	-2.8244144	0.28464663	-2.8242401	0.28461766	0.33240982	-2.322244	a248bdd	2x2_2C_8b_C2v_L	8.01	validity_data_2022.py	-0.92841065	0.15265575	-1.5497454	0.28235109	1.5497344	-0.28224248	0.39002191	-2.0760277	2024-08-13@14:06	1.9139	1	0.273	v2.7.1	
YY	9.5	2.7745	-1.9875071	0.039664721	-2.8286896	0.28339394	-2.8294032	0.28351792	0.33145653	-2.3279379	a248bdd	2x2_2C_8b_C2v_L	8.02	validity_data_2022.py	-0.92867099	0.15244434	-1.5497172	0.28161032	1.5498985	-0.2816711	0.38876303	-2.0758651	2024-08-13@14:06	1.9139	1	0.273	v2.7.1	
YY	9.5	2.7745	-1.9940062	0.039167617	-2.8334639	0.28255075	-2.8334568	0.28209812	0.33040854	-2.3344735	a248bdd	2x2_2C_8b_C2v_L	8.03	validity_data_2022.py	-0.92931616	0.15212893	-1.5496593	0.28116056	1.5496263	-0.28113902	0.38798724	-2.0756947	2024-08-13@14:07	1.9139	1	0.273	v2.7.1	
YY	9.5	2.7745	-1.9980788	0.038573744	-2.8380143	0.28118116	-2.8360027	0.28172794	0.32948119	-2.3407566	a248bdd	2x2_2C_8b_C2v_L	8.04	validity_data_2022.py	-0.92928147	0.15181245	-1.5495183	0.28042511	1.5489483	-0.28064969	0.38687799	-2.0756275	2024-08-13@14:07	1.9139	1	0.273	v2.7.1	
YY	9.5	2.7745	-2.0012505	0.038445156	-2.8418412	0.28017358	-2.8404055	0.27893687	0.3289272	-2.3471348	a248bdd	2x2_2C_8b_C2v_L	8.05	validity_data_2022.py	-0.92927223	0.15160441	-1.5491522	0.27993101	1.5487531	-0.27931369	0.38592437	-2.0755254	2024-08-13@14:08	1.9139	1	0.273	v2.7.1	
YY	9.5	2.7745	-2.006367	0.037661109	-2.8458864	0.27907053	-2.8499092	0.28084115	0.32763498	-2.353447	a248bdd	2x2_2C_8b_C2v_L	8.06	validity_data_2022.py	-0.92966631	0.15118433	-1.5488912	0.27951629	1.5501041	-0.2800263	0.38511639	-2.0752631	2024-08-13@14:08	1.9139	1	0.273	v2.7.1	
YY	9.5	2.7745	-2.010831	0.037816598	-2.8499753	0.27810461	-2.8523048	0.27766381	0.32676893	-2.3590872	a248bdd	2x2_2C_8b_C2v_L	8.07	validity_data_2022.py	-0.929703	0.1511781	-1.5487821	0.27867434	1.549375	-0.27841097	0.38347558	-2.0750839	2024-08-13@14:09	1.9139	1	0.273	v2.7.1	
YY	9.5	2.7745	-2.0157717	0.036753657	-2.8570442	0.27767253	-2.8550949	0.27836824	0.32609228	-2.3657967	a248bdd	2x2_2C_8b_C2v_L	8.08	validity_data_2022.py	-0.93008462	0.15060461	-1.5491948	0.27847525	1.5486836	-0.27882553	0.3832522	-2.0748122	2024-08-13@14:09	1.9139	1	0.273	v2.7.1	
YY	9.5	2.7745	-2.0198337	0.036599543	-2.8603803	0.27657327	-2.8584546	0.27507722	0.3250503	-2.3719523	a248bdd	2x2_2C_8b_C2v_L	8.09	validity_data_2022.py	-0.93000126	0.1504404	-1.5489619	0.27747477	1.5483868	-0.27715253	0.38157645	-2.0749579	2024-08-13@14:10	1.9139	1	0.273	v2.7.1	
YY	9.5	2.7745	-2.0242059	0.03596672	-2.8659858	0.27533451	-2.8624562	0.27503482	0.32361785	-2.378071	a248bdd	2x2_2C_8b_C2v_L	8.1	validity_data_2022.py	-0.93037474	0.15006939	-1.5489379	0.2773164	1.5479004	-0.27717819	0.38105999	-2.0743535	2024-08-13@14:10	1.9139	1	0.273	v2.7.1	
YY	9.5	2.7745	-2.0296987	0.03542119	-2.8679734	0.27430423	-2.8722097	0.27520373	0.32293413	-2.3841415	a248bdd	2x2_2C_8b_C2v_L	8.11	validity_data_2022.py	-0.93057224	0.14974238	-1.5482867	0.27644357	1.5495642	-0.27676621	0.37967684	-2.0744119	2024-08-13@14:11	1.9139	1	0.273	v2.7.1	
YY	9.5	2.7745	-2.0320152	0.035480954	-2.87191	0.27294965	-2.8746848	0.27311672	0.32281287	-2.3910384	a248bdd	2x2_2C_8b_C2v_L	8.12	validity_data_2022.py	-0.93046862	0.1496933	-1.5479899	0.27588332	1.5486407	-0.27575107	0.37899194	-2.0745448	2024-08-13@14:11	1.9139	1	0.273	v2.7.1	
YY	9.5	2.7745	-2.0384729	0.034425935	-2.8790748	0.27267349	-2.8768387	0.27288288	0.32055615	-2.3962492	a248bdd	2x2_2C_8b_C2v_L	8.13	validity_data_2022.py	-0.93101551	0.14913534	-1.5485933	0.27553191	1.547989	-0.27554325	0.37773622	-2.0737323	2024-08-13@14:12	1.9139	1	0.273	v2.7.1	
YY	9.5	2.7745	-2.0429258	0.034190253	-2.8820744	0.27113774	-2.8809071	0.27045502	0.31966203	-2.4026345	a248bdd	2x2_2C_8b_C2v_L	8.14	validity_data_2022.py	-0.93101682	0.14896709	-1.5481225	0.27454474	1.5478559	-0.2744834	0.37632656	-2.0738506	2024-08-13@14:13	1.9139	1	0.273	v2.7.1	
YY	9.5	2.7745	-2.0461638	0.033554783	-2.8886149	0.2705598	-2.8868999	0.27096928	0.31917953	-2.4094074	a248bdd	2x2_2C_8b_C2v_L	8.15	validity_data_2022.py	-0.93115492	0.14855532	-1.5484759	0.27437902	1.5479823	-0.27456696	0.37608491	-2.0736937	2024-08-13@14:13	1.9139	1	0.273	v2.7.1	
YY	9.5	2.7745	-2.050739	0.033261822	-2.8912498	0.26979881	-2.8915248	0.26895961	0.31786924	-2.4146093	a248bdd	2x2_2C_8b_C2v_L	8.16	validity_data_2022.py	-0.93124135	0.14839818	-1.5481004	0.273596	1.5481132	-0.27326214	0.37421036	-2.0734427	2024-08-13@14:14	1.9139	1	0.273	v2.7.1	
YY	9.5	2.7745	-2.0568805	0.032853391	-2.8950455	0.26789058	-2.8950563	0.2689203	0.31726787	-2.4214257	a248bdd	2x2_2C_8b_C2v_L	8.17	validity_data_2022.py	-0.93182306	0.14808403	-1.547569	0.27298117	1.5476965	-0.27318984	0.37388096	-2.0732471	2024-08-13@14:14	1.9139	1	0.273	v2.7.1	
YY	9.5	2.7745	-2.0600958	0.032011199	-2.8978609	0.267411	-2.9005122	0.26674479	0.31571085	-2.427981	a248bdd	2x2_2C_8b_C2v_L	8.18	validity_data_2022.py	-0.93163758	0.14767602	-1.5472257	0.27231355	1.5478017	-0.27209532	0.37236819	-2.0733421	2024-08-13@14:15	1.9139	1	0.273	v2.7.1	
YY	9.5	2.7745	-2.0640961	0.031883655	-2.9043223	0.26535836	-2.9048426	0.26713359	0.314912	-2.4339637	a248bdd	2x2_2C_8b_C2v_L	8.19	validity_data_2022.py	-0.93185326	0.14748397	-1.5474384	0.27138834	1.5477562	-0.27220011	0.37166541	-2.0730769	2024-08-13@14:15	1.9139	1	0.273	v2.7.1	
YY	9.5	2.7745	-2.0697217	0.031200565	-2.9073464	0.2664035	-2.9077181	0.26475123	0.31405008	-2.4400133	a248bdd	2x2_2C_8b_C2v_L	8.2	validity_data_2022.py	-0.93222194	0.14718013	-1.5472453	0.27132967	1.5472001	-0.27092987	0.37040686	-2.0728995	2024-08-13@14:16	1.9139	1	0.273	v2.7.1	
YY	9.5	2.7745	-2.0742665	0.03100508	-2.9131913	0.26305846	-2.9110395	0.2650468	0.31306074	-2.4461704	a248bdd	2x2_2C_8b_C2v_L	8.21	validity_data_2022.py	-0.93246454	0.14695021	-1.5472361	0.27010379	1.5469076	-0.27060938	0.36938259	-2.0727213	2024-08-13@14:16	1.9139	1	0.273	v2.7.1	
YY	9.5	2.7745	-2.0777926	0.030282331	-2.9143913	0.2642452	-2.9187465	0.26181009	0.31167112	-2.4524034	a248bdd	2x2_2C_8b_C2v_L	8.22	validity_data_2022.py	-0.93242351	0.14655772	-1.5466228	0.27028418	1.547426	-0.26940792	0.3684476	-2.0725166	2024-08-13@14:17	1.9139	1	0.273	v2.7.1	
YY	9.5	2.7745	-2.0824711	0.029735781	-2.922305	0.26065925	-2.920839	0.26429646	0.31028267	-2.4584592	a248bdd	2x2_2C_8b_C2v_L	8.23	validity_data_2022.py	-0.93265674	0.14629217	-1.5470989	0.26877055	1.5470474	-0.26995157	0.36712623	-2.0722942	2024-08-13@14:17	1.9139	1	0.273	v2.7.1	
YY	9.5	2.7745	-2.0866688	0.029464164	-2.9267851	0.26095059	-2.923492	0.26159405	0.30976877	-2.4647573	a248bdd	2x2_2C_8b_C2v_L	8.24	validity_data_2022.py	-0.9328286	0.1460855	-1.547134	0.26850202	1.5464057	-0.26868201	0.36624263	-2.0722391	2024-08-13@14:18	1.9139	1	0.273	v2.7.1	
YY	9.5	2.7745	-2.0913846	0.028969557	-2.9291675	0.26048322	-2.9298885	0.26005702	0.30871516	-2.470868	a248bdd	2x2_2C_8b_C2v_L	8.25	validity_data_2022.py	-0.93304844	0.14579972	-1.5466251	0.26805532	1.5467466	-0.26786469	0.36517057	-2.072061	2024-08-13@14:18	1.9139	1	0.273	v2.7.1	
YY	9.5	2.7745	-2.0950826	0.028331247	-2.9324015	0.25869152	-2.9353281	0.25964304	0.30774055	-2.4769067	a248bdd	2x2_2C_8b_C2v_L	8.26	validity_data_2022.py	-0.93298591	0.14541541	-1.5462045	0.26713514	1.5469857	-0.26744556	0.36412098	-2.0718723	2024-08-13@14:19	1.9139	1	0.273	v2.7.1	
YY	9.5	2.7745	-2.1019512	0.028061497	-2.9360612	0.25814001	-2.9382869	0.2576641	0.3067216	-2.483923	a248bdd	2x2_2C_8b_C2v_L	8.27	validity_data_2022.py	-0.93380516	0.14531376	-1.5459647	0.26649805	1.5464025	-0.26655821	0.36314167	-2.072021	2024-08-13@14:19	1.9139	1	0.273	v2.7.1	
