model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	7.1261084	15	2.7745	-0.020783525	-3.1796828	-3.6181395	0.027112826	-3.6171913	0.027112638	0.047042211	-3.2072953	9.4	0.11958649	1.0443871	-1.5974852	0.14752982	1.5973031	-0.14752499	-0.19409726	-2.1053576	1.9139	1	0.273	1.269697	1.6306668	-0.52179237	-0.16725836	0.067809642	0.10276913	0.10905817	1.9537943	1.8266687	0.17507948	1.8266552	0.17512259	0.009157435	1.6158047	1.0771649	-1.0546605	-0.66016847	1.4441197	-0.89707117	-1.4440618	0.89725089	0.23617508	2.2751678	0.023079053	0.099694203	0.045493077	0.16117015	0.16640542	0.16118133	0.16643735	0.0092651987	0.3088947	0.030006942	4.8805153	2.9503456	3.6627428	4.6105954	3.6625827	4.6107335	3.7192573	3.5462143	-69.468657	R0:N12:S0:1	-53.004	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 9.45e+01	 2.85e-03	2022-07-07@15:55
2x2_2C_8b_C2v_L	7.1451758	15	2.7745	-0.022286938	-3.1905024	-3.6252557	0.026532082	-3.6254086	0.026488848	0.046309031	-3.2158991	9.41	0.11929918	1.045534	-1.5983426	0.14661141	1.5983601	-0.14658794	-0.19283716	-2.1064012	1.9139	1	0.273	1.2702332	1.631321	-0.51994746	-0.16577504	0.067273743	0.10290026	0.10780305	1.9540216	1.8284378	0.17094365	1.8284289	0.17086005	0.00901522	1.6193915	1.0777746	-1.0498298	-0.65945982	1.4379283	-0.889328	-1.438013	0.88899884	0.23471245	2.2671729	0.023105565	0.098651563	0.045276284	0.15972013	0.16264556	0.15972846	0.16257821	0.0091202363	0.30701193	0.029900312	4.8814726	2.9505588	3.6636482	4.6052262	3.663835	4.6050781	3.720673	3.5533144	-69.578845	R0:N12:S0:1	-53.084	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 9.35e+01	 2.50e-03	2022-07-07@15:56
2x2_2C_8b_C2v_L	7.1637013	15	2.7745	-0.023255868	-3.2004301	-3.6326487	0.025312558	-3.6339952	0.02537478	0.04463639	-3.2246737	9.42	0.11941233	1.0464556	-1.5990118	0.14589558	1.5992921	-0.1458936	-0.19134697	-2.107273	1.9139	1	0.273	1.2707501	1.6319817	-0.5181382	-0.16435686	0.066761364	0.10301827	0.10676141	1.9542427	1.8301095	0.16712445	1.8300811	0.16677266	0.0088527549	1.622723	1.0783331	-1.0461285	-0.65873681	1.4320339	-0.88229234	-1.4324166	0.8810073	0.23293894	2.2597996	0.023129419	0.097789436	0.045064906	0.15834739	0.15917166	0.15837542	0.15888968	0.0089546208	0.30524764	0.029801374	4.8821131	2.9506432	3.6644689	4.6001592	3.6652962	4.5993899	3.7218061	3.5598292	-69.688735	R0:N12:S0:1	-53.164	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 9.26e+01	 1.00e+06	2022-07-07@15:57
2x2_2C_8b_C2v_L	7.1822885	15	2.7745	-0.024396002	-3.2097477	-3.6434805	0.024755224	-3.6442827	0.024587774	0.043760679	-3.2318712	9.43	0.11918403	1.0475749	-1.6005741	0.14529486	1.6006721	-0.1452021	-0.19026631	-2.107778	1.9139	1	0.273	1.2712701	1.6326236	-0.51633617	-0.16290905	0.066234878	0.10314265	0.10542459	1.9544506	1.8318351	0.16315232	1.8318048	0.16283252	0.0087317973	1.6261233	1.0789113	-1.0407664	-0.65813417	1.4262493	-0.8746314	-1.4265786	0.87334819	0.23172564	2.2520317	0.023154575	0.096676815	0.044867574	0.15692595	0.15556455	0.15695457	0.15530344	0.0088313912	0.30342914	0.029700058	4.8834302	2.9509445	3.6655271	4.5946997	3.6662743	4.5940885	3.7234679	3.5665265	-69.805259	R0:N12:S0:1	-53.244	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 9.16e+01	 1.00e+06	2022-07-07@15:58
2x2_2C_8b_C2v_L	7.2010832	15	2.7745	-0.025776038	-3.2190875	-3.6525175	0.023536479	-3.6531111	0.023501918	0.042230567	-3.2411641	9.44	0.11923741	1.0483988	-1.6016875	0.14432348	1.6018118	-0.14433719	-0.18861495	-2.1089548	1.9139	1	0.273	1.2717918	1.6332994	-0.5144938	-0.16147662	0.065718073	0.10327134	0.10448744	1.9546569	1.8334665	0.15894692	1.8334915	0.15907116	0.0085558761	1.6294058	1.0794795	-1.0374214	-0.65743864	1.4207313	-0.86577231	-1.4206493	0.86618283	0.22971784	2.2448534	0.023180514	0.095896403	0.044669609	0.15558498	0.15175273	0.15556183	0.15185754	0.0086520486	0.30165383	0.029602716	4.8839944	2.9508985	3.6670197	4.5890256	3.6668248	4.5892174	3.7244418	3.5726867	-69.919551	R0:N12:S0:1	-53.324	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 9.06e+01	 6.23e-04	2022-07-07@15:59
2x2_2C_8b_C2v_L	7.2193209	15	2.7745	-0.026913466	-3.2307312	-3.6580455	0.022538979	-3.6607375	0.022384768	0.040912885	-3.2498904	9.45	0.11924787	1.049742	-1.601999	0.14358328	1.6025467	-0.14362437	-0.18731871	-2.1098705	1.9139	1	0.273	1.2722984	1.6339471	-0.51271137	-0.16007567	0.065209944	0.10338932	0.10344085	1.9548523	1.8349835	0.15507375	1.8350742	0.15546756	0.008416172	1.6326063	1.0800213	-1.0334708	-0.6569181	1.415388	-0.85768014	-1.4151629	0.85894386	0.22817702	2.2377281	0.023204287	0.095023489	0.044483223	0.15433547	0.14823141	0.15425169	0.14856755	0.0085096137	0.2999094	0.02950777	4.8847877	2.9511186	3.6681793	4.583761	3.6676334	4.5843202	3.7256835	3.5786642	-70.027205	R0:N12:S0:1	-53.404	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 8.96e+01	 1.00e+06	2022-07-07@16:00
2x2_2C_8b_C2v_L	7.2386579	15	2.7745	-0.028482508	-3.2397333	-3.6708243	0.021669769	-3.6706401	0.021630406	0.039731536	-3.2590242	9.46	0.1191773	1.0504322	-1.6039445	0.14270516	1.6038931	-0.14271083	-0.1858331	-2.1109807	1.9139	1	0.273	1.2728349	1.6346271	-0.51082423	-0.15858294	0.064669943	0.10351948	0.10235092	1.9550727	1.8367727	0.15104997	1.8367993	0.15122226	0.0082541097	1.6360427	1.0806088	-1.0293182	-0.65611884	1.4094005	-0.84939565	-1.4092013	0.85004422	0.22634937	2.2301211	0.023230554	0.094111022	0.044271988	0.15285008	0.14454737	0.15282515	0.14469006	0.0083444559	0.2980144	0.0294051	4.8857088	2.9510931	3.6691365	4.5782817	3.6687417	4.578664	3.726828	3.5850249	-70.150646	R0:N12:S0:1	-53.484	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 8.86e+01	 7.24e-04	2022-07-07@16:01
2x2_2C_8b_C2v_L	7.257377	15	2.7745	-0.02988194	-3.2503098	-3.6808094	0.020647469	-3.6804675	0.02066549	0.038468121	-3.2678992	9.47	0.11923245	1.051468	-1.6052425	0.14193182	1.6051776	-0.14192744	-0.18447905	-2.1119595	1.9139	1	0.273	1.2733515	1.6352992	-0.50898631	-0.15715194	0.06414988	0.10364383	0.10137603	1.9552687	1.8383992	0.14731821	1.8383877	0.14727481	0.0081052252	1.639238	1.081158	-1.0256791	-0.65551548	1.4037787	-0.8416499	-1.4038085	0.84150486	0.22467231	2.2230258	0.02325561	0.093294704	0.044084294	0.15149861	0.14112372	0.15150923	0.14108642	0.0081926963	0.29623775	0.02931044	4.8864298	2.9511792	3.6698602	4.5732907	3.6699217	4.5732273	3.7279766	3.5908424	-70.270877	R0:N12:S0:1	-53.564	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 8.76e+01	 7.30e-04	2022-07-07@16:03
2x2_2C_8b_C2v_L	7.2763581	15	2.7745	-0.03131107	-3.2625573	-3.6910936	0.019773496	-3.6901113	0.019781146	0.037319839	-3.2767133	9.48	0.11915459	1.0527683	-1.6065657	0.14116036	1.6063887	-0.14110032	-0.18318652	-2.1129214	1.9139	1	0.273	1.2738756	1.6359684	-0.50712984	-0.15568751	0.06361937	0.10376563	0.10022987	1.9554802	1.840071	0.14362254	1.839991	0.14324783	0.0079632494	1.6425293	1.0817163	-1.0211605	-0.6548799	1.3979809	-0.83388648	-1.3983801	0.83244506	0.22308647	2.2156419	0.023280159	0.092331715	0.043882407	0.15010351	0.13772113	0.15017722	0.13740333	0.0080479748	0.29438995	0.029211758	4.8875246	2.9513631	3.6704368	4.5683698	3.6712083	4.5676365	3.7292863	3.5967911	-70.394436	R0:N12:S0:1	-53.644	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 8.65e+01	 1.00e+06	2022-07-07@16:03
2x2_2C_8b_C2v_L	7.2949859	15	2.7745	-0.032916214	-3.2726539	-3.7012707	0.018782166	-3.6981687	0.018696989	0.036020765	-3.2859111	9.49	0.11915241	1.0537637	-1.6080232	0.14025955	1.607307	-0.14017545	-0.1816221	-2.1140848	1.9139	1	0.273	1.2743877	1.6366416	-0.50529696	-0.15426659	0.06310543	0.10389466	0.099304181	1.9556666	1.8415705	0.13970899	1.8415581	0.13973958	0.0078019598	1.6456104	1.0822599	-1.0176204	-0.6542915	1.3930442	-0.82469642	-1.3927383	0.82495863	0.22114893	2.2088694	0.023306088	0.091552866	0.043703661	0.14885696	0.13414298	0.14886839	0.13415698	0.0078836053	0.29264425	0.029120185	4.8883479	2.9513267	3.671867	4.5628363	3.6714347	4.5632843	3.7302777	3.6021724	-70.51129	R0:N12:S0:1	-53.724	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 8.56e+01	 1.00e+06	2022-07-07@16:04
