model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	7.0175566	9.5	2.7745	0.015092031	-3.9540672	-4.1404656	0.019566438	-4.143386	0.019558793	0.017815728	-3.8842026	11	-0.070147848	1.0393742	-1.4754175	0.11720588	1.4759724	-0.11717425	-0.14929428	-1.9264921	1.9139	1	0.273	1.2604472	1.7520453	-0.50853164	-0.20757931	0.08400288	0.34496395	0.0043305815	1.9570135	1.6853252	0.0081519702	1.6855386	0.0081568734	0.0016026793	1.2988582	1.3377556	0.29392149	-0.4376312	1.8545389	-0.31048999	-1.853877	0.31057975	0.14657823	3.2993714	0.054768221	0.0043184357	0.04428776	0.30208595	0.0081437254	0.30190589	0.0081485889	0.0016022921	0.46102473	0.055917667	6.838419	1.3975526	3.4958803	5.2136445	3.4958431	5.2137816	4.0887514	1.6842254	-84.896113	R0:N12:S0:1	-65.804	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 2.63e+02	 1.00e+06	2022-07-25@11:30
2x2_2C_8b_C2v_L	7.0175133	9.5	2.7745	0.01508805	-3.9540663	-4.1404592	0.019561032	-4.1433809	0.019548539	0.017740051	-3.8842008	11	-0.070163378	1.0393887	-1.4754521	0.11712076	1.4759629	-0.11713773	-0.14923593	-1.9264864	1.9139	1	0.273	1.2604465	1.7520425	-0.50853769	-0.20758021	0.084003022	0.34496397	0.0043325775	1.9570117	1.6852545	0.0081380676	1.6856155	0.0081547717	0.0016015066	1.2988658	1.3377564	0.29398778	-0.43764592	1.8548787	-0.31020782	-1.8535154	0.31055438	0.14652359	3.2993575	0.054768271	0.0043204205	0.044289654	0.30213667	0.0081298672	0.30185055	0.0081464757	0.0016011202	0.46102289	0.055917418	6.8383814	1.3975828	3.4959557	5.2132937	3.4957731	5.2141766	4.0887569	1.6842543	-84.896082	R0:N12:S0:1	-65.804	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 2.63e+02	 1.00e+06	2022-07-25@11:31
2x2_2C_8b_C2v_L	7.0175276	9.5	2.7745	0.015089112	-3.9540666	-4.1404586	0.019551085	-4.143379	0.019548925	0.017739665	-3.8842048	11	-0.070165213	1.0393914	-1.4754514	0.11713737	1.4759543	-0.11714294	-0.14923651	-1.9264627	1.9139	1	0.273	1.2604468	1.7520426	-0.50853599	-0.20757942	0.084002688	0.34496188	0.0043327435	1.9570095	1.6852471	0.008140015	1.6856229	0.0081555712	0.0016015578	1.2988729	1.3377544	0.29399251	-0.43766267	1.8549159	-0.31024324	-1.8534804	0.31057177	0.14652557	3.2993374	0.054768208	0.0043205855	0.044291922	0.3021414	0.0081318121	0.30184476	0.0081472717	0.0016011714	0.46102138	0.055917366	6.8383517	1.3976232	3.4959489	5.2132473	3.4957562	5.2142105	4.0887639	1.6842966	-84.895997	R0:N12:S0:1	-65.804	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 2.63e+02	 1.00e+06	2022-07-25@11:33
2x2_2C_8b_C2v_L	7.0175276	9.5	2.7745	0.015089112	-3.9540666	-4.1404586	0.019551085	-4.143379	0.019548925	0.017739665	-3.8842048	11	-0.070165213	1.0393914	-1.4754514	0.11713737	1.4759543	-0.11714294	-0.14923651	-1.9264627	1.9139	1	0.273	1.2604468	1.7520426	-0.50853599	-0.20757942	0.084002688	0.34496188	0.0043327435	1.9570095	1.6852471	0.008140015	1.6856229	0.0081555712	0.0016015578	1.2988729	1.3377544	0.29399251	-0.43766267	1.8549159	-0.31024324	-1.8534804	0.31057177	0.14652557	3.2993374	0.054768208	0.0043205855	0.044291922	0.3021414	0.0081318121	0.30184476	0.0081472717	0.0016011714	0.46102138	0.055917366	6.8383517	1.3976232	3.4959489	5.2132473	3.4957562	5.2142105	4.0887639	1.6842966	-84.895997	R0:N12:S0:1	-65.804	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 2.63e+02	 1.00e+06	2022-07-25@11:34
2x2_2C_8b_C2v_L	7.0175276	9.5	2.7745	0.015089112	-3.9540666	-4.1404586	0.019551085	-4.143379	0.019548925	0.017739665	-3.8842048	11	-0.070165213	1.0393914	-1.4754514	0.11713737	1.4759543	-0.11714294	-0.14923651	-1.9264627	1.9139	1	0.273	1.2604468	1.7520426	-0.50853599	-0.20757942	0.084002688	0.34496188	0.0043327435	1.9570095	1.6852471	0.008140015	1.6856229	0.0081555712	0.0016015578	1.2988729	1.3377544	0.29399251	-0.43766267	1.8549159	-0.31024324	-1.8534804	0.31057177	0.14652557	3.2993374	0.054768208	0.0043205855	0.044291922	0.3021414	0.0081318121	0.30184476	0.0081472717	0.0016011714	0.46102138	0.055917366	6.8383517	1.3976232	3.4959489	5.2132473	3.4957562	5.2142105	4.0887639	1.6842966	-84.895997	R0:N12:S0:1	-65.804	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 2.63e+02	 1.00e+06	2022-07-25@11:35
2x2_2C_8b_C2v_L	7.0175276	9.5	2.7745	0.015089112	-3.9540666	-4.1404586	0.019551085	-4.143379	0.019548925	0.017739665	-3.8842048	11	-0.070165213	1.0393914	-1.4754514	0.11713737	1.4759543	-0.11714294	-0.14923651	-1.9264627	1.9139	1	0.273	1.2604468	1.7520426	-0.50853599	-0.20757942	0.084002688	0.34496188	0.0043327435	1.9570095	1.6852471	0.008140015	1.6856229	0.0081555712	0.0016015578	1.2988729	1.3377544	0.29399251	-0.43766267	1.8549159	-0.31024324	-1.8534804	0.31057177	0.14652557	3.2993374	0.054768208	0.0043205855	0.044291922	0.3021414	0.0081318121	0.30184476	0.0081472717	0.0016011714	0.46102138	0.055917366	6.8383517	1.3976232	3.4959489	5.2132473	3.4957562	5.2142105	4.0887639	1.6842966	-84.895997	R0:N12:S0:1	-65.804	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 2.63e+02	 1.00e+06	2022-07-25@11:37
2x2_2C_8b_C2v_L	7.0175276	9.5	2.7745	0.015089112	-3.9540666	-4.1404586	0.019551085	-4.143379	0.019548925	0.017739665	-3.8842048	11	-0.070165213	1.0393914	-1.4754514	0.11713737	1.4759543	-0.11714294	-0.14923651	-1.9264627	1.9139	1	0.273	1.2604468	1.7520426	-0.50853599	-0.20757942	0.084002688	0.34496188	0.0043327435	1.9570095	1.6852471	0.008140015	1.6856229	0.0081555712	0.0016015578	1.2988729	1.3377544	0.29399251	-0.43766267	1.8549159	-0.31024324	-1.8534804	0.31057177	0.14652557	3.2993374	0.054768208	0.0043205855	0.044291922	0.3021414	0.0081318121	0.30184476	0.0081472717	0.0016011714	0.46102138	0.055917366	6.8383517	1.3976232	3.4959489	5.2132473	3.4957562	5.2142105	4.0887639	1.6842966	-84.895997	R0:N12:S0:1	-65.804	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 2.63e+02	 1.00e+06	2022-07-25@11:38
2x2_2C_8b_C2v_L	7.0175276	9.5	2.7745	0.015089112	-3.9540666	-4.1404586	0.019551085	-4.143379	0.019548925	0.017739665	-3.8842048	11	-0.070165213	1.0393914	-1.4754514	0.11713737	1.4759543	-0.11714294	-0.14923651	-1.9264627	1.9139	1	0.273	1.2604468	1.7520426	-0.50853599	-0.20757942	0.084002688	0.34496188	0.0043327435	1.9570095	1.6852471	0.008140015	1.6856229	0.0081555712	0.0016015578	1.2988729	1.3377544	0.29399251	-0.43766267	1.8549159	-0.31024324	-1.8534804	0.31057177	0.14652557	3.2993374	0.054768208	0.0043205855	0.044291922	0.3021414	0.0081318121	0.30184476	0.0081472717	0.0016011714	0.46102138	0.055917366	6.8383517	1.3976232	3.4959489	5.2132473	3.4957562	5.2142105	4.0887639	1.6842966	-84.895997	R0:N12:S0:1	-65.804	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 2.63e+02	 1.00e+06	2022-07-25@11:39
2x2_2C_8b_C2v_L	7.0175276	9.5	2.7745	0.015089112	-3.9540666	-4.1404586	0.019551085	-4.143379	0.019548925	0.017739665	-3.8842048	11	-0.070165213	1.0393914	-1.4754514	0.11713737	1.4759543	-0.11714294	-0.14923651	-1.9264627	1.9139	1	0.273	1.2604468	1.7520426	-0.50853599	-0.20757942	0.084002688	0.34496188	0.0043327435	1.9570095	1.6852471	0.008140015	1.6856229	0.0081555712	0.0016015578	1.2988729	1.3377544	0.29399251	-0.43766267	1.8549159	-0.31024324	-1.8534804	0.31057177	0.14652557	3.2993374	0.054768208	0.0043205855	0.044291922	0.3021414	0.0081318121	0.30184476	0.0081472717	0.0016011714	0.46102138	0.055917366	6.8383517	1.3976232	3.4959489	5.2132473	3.4957562	5.2142105	4.0887639	1.6842966	-84.895997	R0:N12:S0:1	-65.804	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 2.63e+02	 1.00e+06	2022-07-25@11:41
2x2_2C_8b_C2v_L	7.0175276	9.5	2.7745	0.015089112	-3.9540666	-4.1404586	0.019551085	-4.143379	0.019548925	0.017739665	-3.8842048	11	-0.070165213	1.0393914	-1.4754514	0.11713737	1.4759543	-0.11714294	-0.14923651	-1.9264627	1.9139	1	0.273	1.2604468	1.7520426	-0.50853599	-0.20757942	0.084002688	0.34496188	0.0043327435	1.9570095	1.6852471	0.008140015	1.6856229	0.0081555712	0.0016015578	1.2988729	1.3377544	0.29399251	-0.43766267	1.8549159	-0.31024324	-1.8534804	0.31057177	0.14652557	3.2993374	0.054768208	0.0043205855	0.044291922	0.3021414	0.0081318121	0.30184476	0.0081472717	0.0016011714	0.46102138	0.055917366	6.8383517	1.3976232	3.4959489	5.2132473	3.4957562	5.2142105	4.0887639	1.6842966	-84.895997	R0:N12:S0:1	-65.804	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 2.63e+02	 1.00e+06	2022-07-25@11:42
