model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	20.358916	12	7	-6.3312769e-05	-1.9015953	-2.1932494	0.21491705	-2.1932505	0.21491646	0.26928897	-1.4546004	11.6	0.12302801	-0.77643439	1.2251964	-0.23869474	-1.2251965	0.23869474	0.39670333	-1.5908396	1.5	1	1e-09	1.1850569	1.6161797	-0.75748079	-0.37287166	0.14946022	0.32617237	0.11320959	1.9346227	1.5939502	0.19105709	1.5939519	0.19105913	0.022458591	1.1078077	1.3129708	-1.2396469	0.55224981	-2.0976829	1.122749	2.0976766	-1.1227563	-0.55690862	3.331818	0.053999861	0.10363211	0.064645371	0.35688414	0.1880131	0.35688297	0.18801479	0.022246567	0.48872363	0.058575103	5.9008425	1.645414	3.2059427	5.0141465	3.2059406	5.0141478	4.3863857	1.6395596	-69.238302	R0:N12:S0:1	-36.8	uncorrelated	b7fd39a	v1.0.3	6	sharp_wc_2.0_b_50	 1.38e+02	 5.06e-03	2022-06-16@12:01
2x2_2C_8b_C2v_L	18.968635	12	6.5305	-0.0097250186	-2.0253303	-2.3242996	0.21141523	-2.3242984	0.21141764	0.26406551	-1.6265048	11.333333	0.12401938	-0.8035789	1.2672862	-0.22657303	-1.2672862	0.22657334	0.36503599	-1.6557895	1.5459889	1	0.030333334	1.1959072	1.6173549	-0.7407482	-0.34601677	0.13885438	0.3009322	0.11637983	1.9346782	1.6258598	0.17907336	1.6258577	0.1790701	0.017530933	1.1740222	1.286882	-1.2474387	0.57883733	-2.0394532	1.0746891	2.0394618	-1.0746779	-0.47909141	3.2752059	0.051819477	0.10615343	0.06446183	0.33200412	0.17617468	0.33200572	0.17617189	0.017431367	0.48104536	0.05650659	5.7854141	1.762664	3.2473975	4.9752899	3.2474019	4.975287	4.2855633	1.7605453	-69.074494	R0:N12:S0:1	-38.422667	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.38e+02	 3.26e-03	2022-06-16@12:03
2x2_2C_8b_C2v_L	17.518029	12	6.061	-0.01855333	-2.1571447	-2.4570967	0.19600513	-2.4570833	0.19601206	0.2441906	-1.8049137	11.066667	0.12615721	-0.83193366	1.307562	-0.21554808	-1.3075611	0.21554903	0.33825421	-1.7169998	1.5919778	1	0.060666667	1.2054169	1.6190002	-0.72360543	-0.32259027	0.12964908	0.27800984	0.11954021	1.9349329	1.6519683	0.17177973	1.6519593	0.1717673	0.014265273	1.2319337	1.2629633	-1.2557875	0.60236039	-1.9880467	1.0393138	1.9880822	-1.0392683	-0.41989927	3.2109935	0.049559755	0.10867636	0.064115288	0.3108982	0.16887595	0.31090494	0.16886538	0.014228973	0.4705979	0.054422029	5.6770383	1.8738373	3.2808954	4.9348385	3.2809134	4.9348238	4.1927377	1.8997604	-68.971539	R0:N12:S0:1	-40.045333	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 1.35e+02	 4.09e-03	2022-06-16@12:05
2x2_2C_8b_C2v_L	16.009422	12	5.5915	-0.027311535	-2.288026	-2.5985831	0.17710092	-2.598584	0.17709939	0.21917959	-1.9876262	10.8	0.12856832	-0.86016752	1.3485794	-0.20645962	-1.3485789	0.20645945	0.31556128	-1.7760447	1.6379667	1	0.091000001	1.2136628	1.6202124	-0.70742009	-0.30205684	0.12160261	0.25740836	0.1224518	1.9353288	1.6742882	0.16701847	1.6742905	0.16702178	0.012078996	1.282634	1.2412218	-1.2630911	0.62222731	-1.9409925	1.0136373	1.9409827	-1.01365	-0.37445483	3.1440662	0.0472914	0.11100205	0.063647752	0.29250223	0.16402705	0.29250054	0.16402985	0.01208144	0.45853899	0.052384601	5.5790444	1.9757018	3.3113901	4.8948206	3.3113847	4.8948258	4.108744	2.0439383	-68.939245	R0:N12:S0:1	-41.668	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 1.32e+02	 5.20e-03	2022-06-16@12:07
2x2_2C_8b_C2v_L	14.445692	12	5.122	-0.035192166	-2.4172459	-2.7389847	0.15436018	-2.738987	0.1543606	0.19169601	-2.1729331	10.533333	0.13071198	-0.88807129	1.3878884	-0.19839464	-1.3878895	0.19839427	0.29653101	-1.8328794	1.6839556	1	0.12133333	1.2206922	1.6208434	-0.69282858	-0.28437426	0.11466154	0.23899709	0.12476871	1.9358775	1.6925365	0.16555426	1.6925342	0.16555042	0.010667755	1.3265551	1.2214889	-1.267902	0.63854543	-1.900373	0.99818849	1.900384	-0.99817307	-0.34004758	3.0779334	0.045074321	0.11285094	0.063053033	0.27710753	0.16236569	0.27710926	0.16236245	0.010695969	0.44581451	0.05046557	5.4931672	2.0682566	3.3374384	4.8576047	3.3374453	4.8575981	4.0333522	2.1846198	-68.924658	R0:N12:S0:1	-43.290667	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 1.30e+02	 6.52e-03	2022-06-16@12:09
2x2_2C_8b_C2v_L	12.836508	12	4.6525	-0.040372392	-2.5256984	-2.8760372	0.12945181	-2.8760022	0.12946059	0.16411573	-2.3574496	10.266667	0.13158071	-0.91314839	1.4251448	-0.19036643	-1.4251392	0.19036836	0.27959511	-1.8871475	1.7299444	1	0.15166667	1.2267265	1.6211986	-0.67968335	-0.26917237	0.10864431	0.22259696	0.12567426	1.9364698	1.7075104	0.16695183	1.7075057	0.16694381	0.009788631	1.3647154	1.2036101	-1.2652484	0.65145919	-1.8656407	0.99086247	1.865656	-0.99083619	-0.31349166	3.0144762	0.042945688	0.11357026	0.062439554	0.26419979	0.16343964	0.26420366	0.16343269	0.0098366176	0.43300503	0.048687356	5.4242544	2.1511769	3.3598238	4.8244755	3.3598365	4.8244674	3.9659318	2.3173463	-68.866333	R0:N12:S0:1	-44.913333	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 1.29e+02	 7.60e-03	2022-06-16@12:11
2x2_2C_8b_C2v_L	11.201932	12	4.183	-0.042356662	-2.6228561	-3.0059208	0.10949374	-3.0059413	0.10947481	0.14589016	-2.5416962	10	0.13147605	-0.93688596	1.4603701	-0.18200229	-1.4603687	0.18199644	0.26472738	-1.9405598	1.7759333	1	0.182	1.23224	1.6222678	-0.66646918	-0.25566646	0.10323534	0.20808761	0.12620147	1.9370871	1.7204366	0.1689655	1.7204433	0.16897828	0.0092348683	1.3985114	1.1875354	-1.2613846	0.66169223	-1.8339426	0.98656668	1.8339136	-0.98660913	-0.29265267	2.9544395	0.040940779	0.11398623	0.061806234	0.25299485	0.16508144	0.25298936	0.16509218	0.0092979416	0.42032715	0.047057409	5.3643239	2.2247897	3.3814612	4.7958657	3.3814374	4.795888	3.90431	2.4405176	-68.770601	R0:N12:S0:1	-46.536	uncorrelated	b7fd39a	v1.0.3	6	sharp_wc_2.0_b_50	 1.30e+02	 3.38e-03	2022-06-16@12:14
2x2_2C_8b_C2v_L	9.5337655	12	3.7135	-0.0390314	-2.7109602	-3.1332755	0.08859955	-3.133273	0.088595666	0.12785016	-2.7222408	9.7333333	0.12991329	-0.95995023	1.4936481	-0.17361333	-1.4936445	0.17361119	0.25142348	-1.9910206	1.8219222	1	0.21233333	1.2370091	1.6229765	-0.65453584	-0.24410214	0.098450102	0.19500747	0.12434799	1.9379536	1.7308517	0.17427386	1.7308537	0.17427634	0.0089907196	1.4276845	1.1726919	-1.2466494	0.6687527	-1.8081938	0.99009122	1.8081831	-0.99010157	-0.27709699	2.8986128	0.039036267	0.1124888	0.060967767	0.24371454	0.16978122	0.24371299	0.16978305	0.009067398	0.40829277	0.045588349	5.3221499	2.2911786	3.3991982	4.7719232	3.3991923	4.7719313	3.8493853	2.5529589	-68.646123	R0:N12:S0:1	-48.158667	uncorrelated	b7fd39a	v1.0.3	5	sharp_wc_2.0_b_50	 1.33e+02	 1.84e-03	2022-06-16@12:17
2x2_2C_8b_C2v_L	7.8306924	12	3.244	-0.035635413	-2.7831847	-3.2649769	0.077991843	-3.2649697	0.077991964	0.11907131	-2.9050213	9.4666667	0.12907279	-0.98006962	1.5278205	-0.16854345	-1.5278191	0.16854361	0.24181115	-2.0415078	1.8679111	1	0.24266667	1.2409894	1.6230218	-0.64458037	-0.23439646	0.0942715	0.18331193	0.12493209	1.9384125	1.7394957	0.18052181	1.7394958	0.18052271	0.0090082709	1.4521241	1.1588718	-1.2445699	0.67528384	-1.7867625	0.99995703	1.7867607	-0.99996062	-0.26691876	2.8504777	0.037253977	0.11296848	0.060492892	0.23598499	0.17539556	0.23598491	0.1753963	0.0090977603	0.39735051	0.04434911	5.2743522	2.3491064	3.4172811	4.7501814	3.4172788	4.7501834	3.7973281	2.649799	-68.534139	R0:N12:S0:1	-49.781333	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 1.38e+02	 6.87e-03	2022-06-16@12:20
2x2_2C_8b_C2v_L	6.0968226	12	2.7745	-0.029510227	-2.838691	-3.3976695	0.071657881	-3.3976695	0.071657467	0.11415014	-3.0902611	9.2	0.12729712	-0.99781812	1.5614595	-0.16593406	-1.5614593	0.16593438	0.23533665	-2.0915849	1.9139	1	0.273	1.2442475	1.6226284	-0.63643651	-0.22655621	0.090628558	0.17272552	0.12453546	1.9388734	1.7456689	0.19040685	1.74567	0.19041079	0.0093348086	1.4723079	1.145698	-1.2383349	0.67950178	-1.772961	1.0194253	1.7729547	-1.0194394	-0.26176455	2.8100022	0.035576963	0.11266259	0.060031784	0.23021325	0.18442589	0.23021226	0.18442911	0.009440186	0.38764968	0.043345284	5.2380104	2.3990726	3.4323719	4.7317905	3.4323645	4.7317958	3.7479846	2.731848	-68.412013	R0:N12:S0:1	-51.404	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 1.46e+02	 4.39e-03	2022-06-16@12:22
