model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	20.358724	12	7	-2.2672426e-05	-1.9004542	-2.193055	0.21484253	-2.1930508	0.21484653	0.26882384	-1.4546072	11.6	0.12299855	-0.77626254	1.2251291	-0.23875983	-1.225129	0.23876041	0.39663045	-1.590781	1.5	1	1e-09	1.1850515	1.6161829	-0.75748762	-0.37288792	0.14946782	0.32617432	0.1131881	1.9346055	1.5938934	0.19114995	1.5938872	0.19114224	0.022460134	1.1077906	1.3129707	-1.2394082	0.55226918	-2.0978113	1.122992	2.0978342	-1.1229652	-0.55689065	3.3318328	0.054000144	0.1036149	0.064662509	0.35691822	0.18810275	0.35692251	0.1880963	0.022248196	0.48872307	0.058576217	5.9011358	1.6454169	3.2057685	5.0140485	3.2057766	5.0140438	4.3864135	1.6395461	-69.235004	R0:N12:S0:1	-36.8	uncorrelated	b7fd39a	v1.0.3	6	sharp_wc_2.0_b_50	 1.38e+02	 5.53e-03	2022-06-16@11:42
2x2_2C_8b_C2v_L	18.922637	12	6.5305	-0.0065724646	-2.0101522	-2.31785	0.21391476	-2.3178523	0.21391526	0.26683556	-1.6127148	11.311111	0.12430568	-0.80253887	1.2680682	-0.22944285	-1.2680688	0.22944308	0.36958124	-1.6553926	1.5459889	1	0.030333334	1.1946862	1.615637	-0.74383889	-0.34862488	0.13974185	0.2999163	0.11914928	1.9337769	1.6230747	0.18524715	1.6230753	0.18524774	0.018057526	1.1702322	1.2855348	-1.2586404	0.58293816	-2.0476483	1.0886285	2.0476464	-1.0886309	-0.48621979	3.2760793	0.051730899	0.10842644	0.065297732	0.3335443	0.18215383	0.33354387	0.18215432	0.017951026	0.48129295	0.056546307	5.7675854	1.7693617	3.2385549	4.9696162	3.2385543	4.9696163	4.2864205	1.760162	-68.902417	R0:N12:S0:1	-38.244889	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.38e+02	 2.80e-03	2022-06-16@11:44
2x2_2C_8b_C2v_L	17.429965	12	6.061	-0.011748629	-2.1203884	-2.4413395	0.202473	-2.4413401	0.20247334	0.25251766	-1.776358	11.022222	0.12608805	-0.82906275	1.3087157	-0.22082114	-1.3087159	0.22082169	0.34648288	-1.7166194	1.5919778	1	0.060666667	1.2030554	1.6156824	-0.72985841	-0.32778296	0.13138765	0.27629757	0.12463773	1.9332576	1.6462711	0.18406412	1.6462724	0.18406632	0.015115322	1.2241947	1.2605302	-1.2748711	0.60955825	-2.0048368	1.0669681	2.0048312	-1.0669764	-0.43204881	3.2151634	0.04938835	0.11281611	0.065668471	0.31429652	0.18075718	0.31429552	0.18075903	0.015072921	0.47152219	0.054521872	5.647752	1.884545	3.2646681	4.9268794	3.2646651	4.9268812	4.1950039	1.8939857	-68.602039	R0:N12:S0:1	-39.689778	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.36e+02	 5.53e-03	2022-06-16@11:46
2x2_2C_8b_C2v_L	15.881699	12	5.5915	-0.015138874	-2.2238328	-2.5703768	0.18838674	-2.5703616	0.18838955	0.23501728	-1.9448144	10.733333	0.12737652	-0.8549806	1.3492058	-0.21426575	-1.3492031	0.214266	0.32791237	-1.7758226	1.6379667	1	0.091000001	1.2102095	1.6152969	-0.71705652	-0.30977209	0.12417693	0.2551889	0.1285384	1.933094	1.6655393	0.18581501	1.6655356	0.18580905	0.013258472	1.2711194	1.2378227	-1.2830664	0.63121885	-1.9671539	1.0557349	1.9671669	-1.0557148	-0.39160521	3.1528965	0.047043376	0.11590272	0.065733047	0.29798897	0.18215898	0.29799188	0.18215394	0.013259357	0.46049145	0.052566878	5.5485625	1.9884177	3.2882683	4.8864551	3.2882766	4.8864506	4.1120626	2.0301475	-68.347793	R0:N12:S0:1	-41.134667	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.35e+02	 6.79e-03	2022-06-16@11:47
2x2_2C_8b_C2v_L	14.285256	12	5.122	-0.016861593	-2.3165034	-2.7035869	0.17506469	-2.7035838	0.17506492	0.21814595	-2.1164887	10.444444	0.12805536	-0.8794397	1.3895012	-0.20953668	-1.3895001	0.20953671	0.31287222	-1.8334049	1.6839556	1	0.12133333	1.2163133	1.6145219	-0.70563828	-0.2942523	0.11794794	0.23641776	0.13128355	1.9331481	1.6815769	0.18980527	1.6815775	0.1898063	0.012151861	1.3117658	1.2172212	-1.2860734	0.64848197	-1.9344001	1.0529527	1.9343962	-1.0529571	-0.36148638	3.0924952	0.044756441	0.11806186	0.065609788	0.28421515	0.18569172	0.28421468	0.1856925	0.01218608	0.44897154	0.050742978	5.4660682	2.0807233	3.3104784	4.8494268	3.3104767	4.8494289	4.0369737	2.1609327	-68.119751	R0:N12:S0:1	-42.579556	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.35e+02	 7.03e-03	2022-06-16@11:49
2x2_2C_8b_C2v_L	12.643761	12	4.6525	-0.017076733	-2.4041297	-2.8346574	0.16249281	-2.8346569	0.1624931	0.20342956	-2.2897833	10.155556	0.128298	-0.90313683	1.4281926	-0.20578227	-1.4281926	0.20578262	0.3007872	-1.8893591	1.7299444	1	0.15166667	1.2214172	1.6132658	-0.6959754	-0.28114207	0.11264542	0.21972166	0.13361733	1.9333194	1.6942824	0.19648769	1.694283	0.19648925	0.011586087	1.3463265	1.1984021	-1.2881043	0.66241375	-1.9079347	1.0579823	1.9079315	-1.057988	-0.33945831	3.0365893	0.042563593	0.11989534	0.065386311	0.27306008	0.19178121	0.27305958	0.19178248	0.011648508	0.43763805	0.049103581	5.3944074	2.1628487	3.3303082	4.8170051	3.3303057	4.8170067	3.968895	2.2810231	-67.895398	R0:N12:S0:1	-44.024444	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.36e+02	 6.75e-03	2022-06-16@11:50
2x2_2C_8b_C2v_L	10.96378	12	4.183	-0.01578341	-2.4817798	-2.9692777	0.15213405	-2.9692776	0.15213369	0.19086221	-2.4635801	9.8666667	0.12815775	-0.92522618	1.4667244	-0.2034658	-1.4667243	0.20346586	0.29105346	-1.9435374	1.7759333	1	0.182	1.2256542	1.611707	-0.68797973	-0.27020187	0.10818562	0.2047991	0.13577792	1.9334951	1.7043269	0.20569085	1.7043275	0.20569245	0.011424562	1.3752921	1.1809932	-1.2901499	0.67358688	-1.8874965	1.0702767	1.8874936	-1.070282	-0.32372011	2.9868214	0.040475877	0.12159694	0.065166037	0.26404183	0.20024331	0.26404137	0.2002446	0.011513318	0.42695976	0.047675502	5.3318784	2.2353007	3.3484474	4.788576	3.3484448	4.7885777	3.9066904	2.3875567	-67.684959	R0:N12:S0:1	-45.469333	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.40e+02	 5.94e-03	2022-06-16@11:52
2x2_2C_8b_C2v_L	9.2534501	12	3.7135	-0.013441791	-2.5531269	-3.0974683	0.14332355	-3.097478	0.14332535	0.18122966	-2.6372619	9.5777778	0.12790222	-0.94611282	1.5028487	-0.20169387	-1.5028508	0.20169453	0.28337356	-1.9961874	1.8219222	1	0.21233333	1.2291821	1.6104301	-0.68109337	-0.26137941	0.10452559	0.19142385	0.138882	1.9334983	1.711211	0.21822362	1.7112115	0.21822363	0.011573633	1.3985757	1.1646501	-1.2971209	0.68333781	-1.8750048	1.0893983	1.8750041	-1.0893992	-0.31289243	2.9455288	0.038503257	0.12404218	0.06510759	0.25752406	0.211837	0.25752367	0.21183699	0.011687887	0.41741273	0.046500254	5.2727544	2.2995087	3.3636405	4.7652678	3.3636412	4.7652667	3.8487016	2.4770337	-67.449714	R0:N12:S0:1	-46.914222	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.47e+02	 4.94e-03	2022-06-16@11:54
2x2_2C_8b_C2v_L	7.5116992	12	3.244	-0.010231402	-2.6164033	-3.2297644	0.13802554	-3.2297744	0.1380246	0.1740477	-2.8101967	9.2888889	0.12763444	-0.9653774	1.5390911	-0.20148218	-1.539093	0.20148157	0.27741268	-2.0471545	1.8679111	1	0.24266667	1.2319823	1.6086172	-0.67612456	-0.25434643	0.1015226	0.17934508	0.14299436	1.9333209	1.7158434	0.23352437	1.715843	0.2335217	0.011955058	1.4168702	1.1490318	-1.3092248	0.69176818	-1.8693531	1.114518	1.8693573	-1.1145084	-0.30579859	2.9132464	0.036638559	0.1272681	0.06521673	0.25283629	0.22601822	0.25283661	0.22601621	0.01209503	0.40915993	0.04558617	5.2168404	2.3555347	3.3773681	4.7454229	3.3773729	4.7454203	3.7934895	2.5492132	-67.2298	R0:N12:S0:1	-48.359111	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.55e+02	 3.82e-03	2022-06-16@11:56
2x2_2C_8b_C2v_L	5.7395217	12	2.7745	-0.0067182321	-2.6742418	-3.3571035	0.13531167	-3.3571073	0.13531134	0.17021496	-2.9824994	9	0.12750265	-0.9834166	1.5735099	-0.2019597	-1.5735106	0.20195937	0.27305721	-2.0968613	1.9139	1	0.273	1.2340585	1.606223	-0.67332839	-0.24910446	0.099143421	0.16838444	0.14915946	1.9327748	1.7177204	0.25237033	1.7177201	0.25236831	0.012522067	1.4301465	1.1338045	-1.3302946	0.70017055	-1.8723623	1.1447984	1.8723648	-1.1447918	-0.30150023	2.891753	0.034878808	0.13205683	0.065663732	0.25032672	0.24352835	0.25032697	0.24352684	0.012687624	0.40244746	0.044965327	5.1601807	2.404525	3.3885032	4.7296581	3.3885064	4.7296568	3.7391773	2.6017839	-66.991215	R0:N12:S0:1	-49.804	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.67e+02	 2.77e-03	2022-06-16@11:58
