model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	7.138821	11.5	2.911	0.73471475	-2.2841749	-3.2990745	1.0877397	-3.2991713	1.1029245	1.1731398	-3.1445031	9.68	9.8241403e-06	0.95155205	-1.5460495	4.9031792e-06	1.5460662	1.2896669e-05	2.3398614e-05	-2.0795525	1.9306	1	0.2821	1.2613426	1.6486103	-0.5881991	-0.17693659	0.072146195	0.21563825	1.6924162e-10	1.9580995	1.812895	0	1.8128945	1.1784039e-10	0	1.5707127	1.2113496	-5.1221467e-05	-0.56402941	1.5545373	-1.3059372e-05	-1.5545456	-3.4069195e-05	-2.1820111e-05	2.6859759	0.04180778	1.6924162e-10	0.042450489	0.18097943	0	0.18097967	1.1784039e-10	0	0.34582616	0.041733817	6.0991719	2.1243977	3.5316755	4.743795	3.5316862	4.7437703	3.794856	2.8700337	-69.286927	R0:N12:S0:1	-54.152	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 9.90e+01	 8.41e-04	2022-07-05@11:31
2x2_2C_8b_C2v_L	7.2691486	11.5	2.911	0.81260028	-2.301421	-3.309246	1.1480423	-3.3091657	1.1493911	1.2396168	-3.1529077	9.69	-2.6497549e-06	0.95388069	-1.5474798	-1.3694256e-07	1.5474636	-2.6983167e-06	-2.0305785e-07	-2.0804518	1.9306	1	0.2821	1.2643791	1.6555631	-0.57370125	-0.1699627	0.070869421	0.21579905	0	1.9580286	1.8127241	0	1.812727	0	0	1.5704776	1.2115107	1.3075419e-05	-0.56441784	1.5550993	3.5205095e-07	-1.5550773	6.9321137e-06	1.8669807e-07	2.686512	0.04183008	0	0.042522841	0.18113852	0	0.18113631	0	0	0.3459697	0.041756795	6.0997693	2.1241744	3.5313608	4.7444399	3.5313425	4.7444816	3.79548	2.869029	-69.427037	R0:N12:S0:1	-54.232	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 9.82e+01	 9.91e-06	2022-07-05@11:34
2x2_2C_8b_C2v_L	7.3542985	11.5	2.911	0.90329478	-2.3205082	-3.3205644	1.2252703	-3.3205359	1.2383616	1.3458381	-3.1621291	9.7	3.7253498e-06	0.95640099	-1.5490318	-5.0501141e-06	1.5490263	-1.6037758e-05	-9.6115513e-06	-2.0814822	1.9306	1	0.2821	1.2663806	1.659709	-0.56444826	-0.16483061	0.069313181	0.215931	0	1.957962	1.8125876	0	1.8125883	1.5086892e-10	0	1.57029	1.211643	-1.7326967e-05	-0.56479978	1.5555383	1.2447342e-05	-1.5555324	3.9281212e-05	8.6529164e-06	2.686919	0.041848346	0	0.042590666	0.18126557	0	0.18126503	1.5086892e-10	0	0.34608577	0.041775618	6.1002167	2.1240663	3.5310648	4.7450084	3.5310594	4.7450206	3.7960424	2.8682405	-69.577516	R0:N12:S0:1	-54.312	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 9.73e+01	 1.15e-04	2022-07-05@11:35
2x2_2C_8b_C2v_L	7.4050406	11.5	2.911	1.0777582	-2.34146	-3.3333838	1.3528026	-3.3333166	1.4046878	1.4995358	-3.1722787	9.71	7.4956072e-07	0.95911102	-1.5507497	5.0740884e-07	1.5507356	-1.902284e-06	-3.6220223e-07	-2.082637	1.9306	1	0.2821	1.2675775	1.6620449	-0.55900863	-0.16156653	0.068123002	0.21602793	0	1.9578985	1.8124867	0	1.8124896	0	0	1.570163	1.2117405	-3.1566223e-06	-0.56519001	1.5558743	-1.1749168e-06	-1.5558525	4.3070205e-06	3.1693693e-07	2.6871574	0.041861742	0	0.042655091	0.18135846	0	0.18135615	0	0	0.34616709	0.041789426	6.1004673	2.1241217	3.5308251	4.7453998	3.5308077	4.7454394	3.7965423	2.8677289	-69.73931	R0:N12:S0:1	-54.392	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 9.63e+01	 1.55e-05	2022-07-05@11:37
2x2_2C_8b_C2v_L	7.4066129	11.5	2.911	1.1075136	-2.3640016	-3.3476448	1.6821431	-3.3476446	1.9793801	1.6073535	-3.1834156	9.72	7.3679964e-09	0.96196528	-1.5525994	6.4944012e-08	1.5525993	1.3622013e-07	-1.9365582e-07	-2.083906	1.9306	1	0.2821	1.2676063	1.6621639	-0.55880732	-0.16150848	0.068099311	0.21608676	0	1.9578376	1.8124292	0	1.8124293	0	0	1.570103	1.2118002	-3.0433822e-08	-0.56559424	1.5560629	-1.3148084e-07	-1.5560627	-2.4972759e-07	1.6616608e-07	2.687209	0.041869842	0	0.042716585	0.18141053	0	0.18141051	0	0	0.34620984	0.041797779	6.1005041	2.1243591	3.5306183	4.7456635	3.5306182	4.7456638	3.7969721	2.867524	-69.912019	R0:N12:S0:1	-54.472	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 9.52e+01	 3.30e-06	2022-07-05@11:38
2x2_2C_8b_C2v_L	7.4081579	11.5	2.911	1.0710446	-2.3879403	-3.3633264	2.1805177	-3.3633228	3.028066	1.6638341	-3.1954676	9.73	-1.1991527e-07	0.96494577	-1.5545827	-1.4446645e-07	1.554582	5.9451829e-07	-3.8178475e-07	-2.0852734	1.9306	1	0.2821	1.2676347	1.6622762	-0.55861088	-0.16144836	0.068074525	0.21610948	0	1.9577785	1.8124089	0	1.8124091	0	0	1.5701072	1.2118241	5.0214574e-07	-0.56601786	1.5561411	2.4883872e-07	-1.55614	-8.3391564e-07	3.2405514e-07	2.6870798	0.041872929	0	0.042776118	0.18142707	0	0.18142696	0	0	0.34621567	0.041800969	6.1003333	2.1247773	3.5304645	4.7457545	3.5304636	4.7457564	3.7973408	2.8676139	-70.094651	R0:N12:S0:1	-54.552	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 9.41e+01	 4.73e-06	2022-07-05@11:39
2x2_2C_8b_C2v_L	7.4096633	11.5	2.911	0.96571437	-2.4129449	-3.3801454	2.8861965	-3.3801443	4.5402181	1.6992912	-3.2082674	9.74	1.049544e-06	0.96801347	-1.5566587	2.2226089e-06	1.5566582	-1.4204778e-06	1.3488433e-07	-2.0867096	1.9306	1	0.2821	1.2676625	1.6623809	-0.55842029	-0.16138843	0.068050009	0.21610135	0	1.9577207	1.8124217	0	1.812422	0	0	1.5701663	1.2118173	-4.6203632e-06	-0.56645907	1.5561152	-3.2066576e-06	-1.5561132	1.5312432e-06	-1.136428e-07	2.6867956	0.041871738	0	0.042834097	0.18141223	0	0.18141197	0	0	0.34619	0.041799755	6.0999838	2.125352	3.5303484	4.7457154	3.5303471	4.7457184	3.7976596	2.8679554	-70.285202	R0:N12:S0:1	-54.632	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 9.30e+01	 1.42e-05	2022-07-05@11:40
2x2_2C_8b_C2v_L	7.4111148	11.5	2.911	0.84296212	-2.4385937	-3.3977799	3.826878	-3.39778	6.559414	1.7342736	-3.2216074	9.75	2.1170395e-07	0.97111587	-1.5587879	8.5673973e-07	1.558788	-2.3284828e-06	-1.6131322e-06	-2.0881849	1.9306	1	0.2821	1.2676893	1.6624787	-0.55823703	-0.1613296	0.068025748	0.21606992	0	1.9576644	1.8124599	0	1.8124598	0	0	1.5702661	1.2117874	-9.9285818e-07	-0.56690929	1.5560082	-1.0305994e-06	-1.556009	1.9578092e-06	1.3492177e-06	2.6863976	0.041867311	0	0.042890357	0.18137332	0	0.18137342	0	0	0.34614086	0.041795209	6.0995033	2.1260389	3.5302615	4.7455797	3.530262	4.7455786	3.7979376	2.8684828	-70.481107	R0:N12:S0:1	-54.712	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 9.18e+01	 2.04e-05	2022-07-05@11:41
2x2_2C_8b_C2v_L	7.4125284	11.5	2.911	0.7343011	-2.4645513	-3.4159129	5.002224	-3.4159076	9.0743067	1.8127292	-3.2352887	9.76	-1.4910846e-06	0.97421343	-1.5609353	-1.785364e-06	1.5609339	-5.7322515e-06	-1.716063e-06	-2.0896735	1.9306	1	0.2821	1.2677155	1.6625713	-0.55805911	-0.16127126	0.068001767	0.21602273	0	1.95761	1.8125145	0	1.812515	0	0	1.5703927	1.2117419	7.4227102e-06	-0.56736008	1.555851	1.7997562e-06	-1.5558476	3.8347515e-06	1.4155927e-06	2.6859257	0.041860696	0	0.042944711	0.1813188	0	0.18131839	0	0	0.3460761	0.04178841	6.0989378	2.1267949	3.530199	4.7453716	3.5301966	4.745377	3.7981844	2.869132	-70.680035	R0:N12:S0:1	-54.792	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 9.07e+01	 2.01e-05	2022-07-05@11:42
2x2_2C_8b_C2v_L	7.4139006	11.5	2.911	0.67380551	-2.4905418	-3.4343216	6.4399367	-3.4342915	12.120868	1.938326	-3.24915	9.77	-1.5838521e-06	0.97727379	-1.5630794	-5.3526117e-06	1.5630728	6.1095282e-07	-3.8790701e-06	-2.0911551	1.9306	1	0.2821	1.267741	1.6626594	-0.55788701	-0.16121379	0.067978225	0.21596575	0	1.9575575	1.8125797	0	1.8125812	0	0	1.570535	1.2116867	8.1411521e-06	-0.56780478	1.5556615	4.5463825e-06	-1.5556503	-3.3042142e-07	3.1352824e-06	2.6854125	0.041852717	0	0.042997032	0.18125434	0	0.18125311	0	0	0.34600215	0.041780208	6.0983245	2.1275854	3.5301541	4.7451171	3.5301454	4.7451369	3.798408	2.8698509	-70.880218	R0:N12:S0:1	-54.872	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 8.96e+01	 1.48e-05	2022-07-05@11:44
