model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	7.1900844	11	2.911	0.79944699	-2.3035489	-3.2813225	0.89675302	-3.2812674	1.1690667	1.1601421	-3.1304335	9.68	4.8187359e-06	0.95481724	-1.5381661	1.36012e-05	1.5381549	6.0260192e-06	-1.6709125e-06	-2.0687202	1.9306	1	0.2821	1.2616152	1.6624993	-0.57988299	-0.17733917	0.074420983	0.23884063	0.0	1.9571671	1.7921036	1.7024247e-10	1.7921055	0.0	0.0	1.5227954	1.2339571	-2.4042657e-05	-0.54366969	1.6169381	-4.057187e-05	-1.6169233	-1.5472276e-05	1.5536635e-06	2.8231754	0.044751501	0.0	0.043556736	0.20082401	1.7024247e-10	0.2008226	0.0	0.0	0.37196091	0.044787822	6.2714176	1.9704204	3.5175843	4.8259681	3.5175735	4.8259961	3.8199322	2.643296	-69.639782	R0:N12:S0:1	-54.152	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	115.0	5.61e-05	2022-07-05@11:18
2x2_2C_8b_C2v_L	7.1917251	11	2.911	0.82885918	-2.3274202	-3.2968068	0.94916682	-3.2967927	1.3379673	1.2726667	-3.1422928	9.69	2.0955841e-07	0.95780209	-1.5400648	-1.1924728e-07	1.5400627	-2.5558192e-09	1.852587e-08	-2.0699841	1.9306	1	0.2821	1.2616464	1.662612	-0.57967689	-0.17727345	0.074394127	0.23883813	0.0	1.9571106	1.7921133	0.0	1.7921129	0.0	0.0	1.5228373	1.2339565	-1.0214743e-06	-0.54408415	1.6169213	3.4272957e-07	-1.6169225	6.041311e-09	-1.6846611e-08	2.8229284	0.044751294	0.0	0.043613506	0.20081148	0.0	0.20081179	0.0	0.0	0.37194926	0.04478758	6.2710742	1.9710022	3.5174342	4.8259619	3.517434	4.8259625	3.8203047	2.6436096	-69.820838	R0:N12:S0:1	-54.232	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	114.0	4.13e-05	2022-07-05@11:20
2x2_2C_8b_C2v_L	7.1933026	11	2.911	0.91136661	-2.3521128	-3.3133465	1.0515475	-3.3132799	1.5335428	1.4176346	-3.1548387	9.7	1.4543471e-07	0.9608359	-1.5420531	-1.7536908e-06	1.5420404	3.5837606e-06	5.6534923e-06	-2.0713139	1.9306	1	0.2821	1.2616765	1.6627165	-0.57947954	-0.17720859	0.074367437	0.23880414	0.0	1.9570564	1.7921555	0.0	1.7921567	0.0	0.0	1.5229336	1.2339244	-6.7247094e-07	-0.54451046	1.6168212	4.7341587e-06	-1.6168098	-7.7876697e-06	-5.0051221e-06	2.8225442	0.044747088	0.0	0.043667897	0.2007677	0.0	0.20076688	0.0	0.0	0.37190912	0.044783188	6.2705696	1.9717216	3.5173276	4.8257938	3.517318	4.8258189	3.8206088	2.64417	-70.008633	R0:N12:S0:1	-54.312	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	113.0	7.83e-05	2022-07-05@11:21
2x2_2C_8b_C2v_L	7.1948503	11	2.911	1.060117	-2.3777731	-3.3307657	1.2372844	-3.3307403	1.787126	1.6172343	-3.1679778	9.71	-8.4257654e-07	0.96395754	-1.5441227	-1.3184066e-06	1.5441165	-7.3549211e-07	-2.1398254e-06	-2.0727131	1.9306	1	0.2821	1.261706	1.6628151	-0.57928671	-0.17714345	0.074340717	0.2387434	0.0	1.9570038	1.7922277	0.0	1.7922297	0.0	0.0	1.5230757	1.2338658	3.5851432e-06	-0.54494827	1.6166327	3.2299943e-06	-1.6166189	1.4541302e-06	1.8309446e-06	2.8220429	0.044739487	0.0	0.043720368	0.20069578	0.0	0.20069417	0.0	0.0	0.37184507	0.044775271	6.269924	1.9725617	3.5172432	4.8255233	3.5172345	4.8255455	3.8208601	2.6449398	-70.20308	R0:N12:S0:1	-54.392	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	112.0	1.9e-05	2022-07-05@11:23
2x2_2C_8b_C2v_L	7.1963411	11	2.911	1.3065413	-2.40334	-3.3484673	1.541009	-3.3484355	2.1204552	1.8757557	-3.1813015	9.72	1.5003316e-06	0.96701359	-1.5461734	-2.4644269e-07	1.5461667	3.2077247e-06	-4.8315279e-07	-2.0740881	1.9306	1	0.2821	1.2617346	1.6629073	-0.5791019	-0.17707908	0.074314406	0.23866995	0.0	1.9569529	1.7923145	0.0	1.7923158	0.0	0.0	1.5232387	1.2337945	-5.6736497e-06	-0.54538521	1.6164011	5.2964979e-07	-1.616391	-5.704017e-06	3.969671e-07	2.8214891	0.044730272	0.0	0.043771053	0.20061004	0.0	0.20060902	0.0	0.0	0.37176983	0.044765681	6.2692152	1.9734519	3.5171748	4.8251981	3.5171678	4.8252162	3.8210832	2.6458039	-70.398377	R0:N12:S0:1	-54.472	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	111.0	2.02e-05	2022-07-05@11:24
2x2_2C_8b_C2v_L	7.1977553	11	2.911	1.6601892	-2.4288813	-3.3663159	2.0031016	-3.3663009	2.5713839	2.1956285	-3.1947561	9.73	-1.4759093e-06	0.97002413	-1.548204	-3.6627895e-06	1.5482004	2.2902013e-06	-3.7227309e-07	-2.07545	1.9306	1	0.2821	1.2617617	1.6629943	-0.57892666	-0.17701791	0.074289543	0.23858823	0.0	1.9569041	1.7924099	0.0	1.7924112	0.0	0.0	1.5234148	1.233715	4.8444396e-06	-0.54581492	1.616145	6.7180365e-06	-1.6161362	-3.6106568e-06	2.9209971e-07	2.8209047	0.044720007	0.0	0.043819613	0.20051624	0.0	0.20051521	0.0	0.0	0.37168745	0.044755001	6.2684697	1.9743657	3.5171186	4.8248375	3.5171132	4.8248514	3.8212819	2.646725	-70.594272	R0:N12:S0:1	-54.552	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	110.0	1.38e-05	2022-07-05@11:25
2x2_2C_8b_C2v_L	7.1991378	11	2.911	2.1272723	-2.4542704	-3.3842258	2.6466223	-3.3842161	3.1679621	2.6238876	-3.2082528	9.74	-1.1392282e-07	0.97297885	-1.5502113	8.6055042e-07	1.5502092	-5.6053996e-07	4.0714746e-06	-2.0767898	1.9306	1	0.2821	1.2617881	1.6630771	-0.57875503	-0.17695812	0.074264761	0.23850204	0.0	1.9568571	1.7925107	0.0	1.7925111	0.0	0.0	1.5235969	1.233631	3.2057683e-07	-0.54623535	1.615872	-1.3293456e-06	-1.6158688	7.7459349e-07	-3.0206464e-06	2.8203078	0.044709166	0.0	0.043866285	0.2004174	0.0	0.20041707	0.0	0.0	0.37160167	0.044743726	6.2677087	1.9752849	3.5170705	4.8244587	3.5170683	4.8244644	3.821465	2.6476707	-70.789962	R0:N12:S0:1	-54.632	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	109.0	9.7e-06	2022-07-05@11:26
2x2_2C_8b_C2v_L	7.2004564	11	2.911	2.7431645	-2.4794011	-3.40209	3.4947358	-3.4020888	3.9043399	3.2074214	-3.2217381	9.75	-5.6842281e-07	0.97586425	-1.5521839	-6.4535018e-07	1.5521836	-3.4445762e-07	7.1584067e-07	-2.0781027	1.9306	1	0.2821	1.2618133	1.6631563	-0.57859134	-0.17690128	0.074241255	0.23841418	0.0	1.9568122	1.7926132	0.0	1.7926133	0.0	0.0	1.5237799	1.2335453	1.3557716e-06	-0.54664201	1.6155943	8.3660548e-07	-1.6155939	4.1618886e-07	-4.958853e-07	2.8197128	0.044698101	0.0	0.043910823	0.20031706	0.0	0.20031701	0.0	0.0	0.37151505	0.044732221	6.26695	1.9761915	3.5170299	4.8240703	3.5170296	4.8240711	3.8216341	2.6486166	-70.984747	R0:N12:S0:1	-54.712	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	108.0	5.63e-06	2022-07-05@11:27
2x2_2C_8b_C2v_L	7.2017524	11	2.911	3.5647868	-2.5042695	-3.4198708	4.5790966	-3.4198711	4.8120344	3.9617851	-3.2351852	9.76	-3.0429743e-07	0.97868447	-1.5541202	-2.8465403e-07	1.5541203	2.3120393e-07	4.3512487e-07	-2.0793876	1.9306	1	0.2821	1.2618381	1.6632336	-0.57843091	-0.17684471	0.074217985	0.23832604	0.0	1.9567691	1.792716	0.0	1.7927159	0.0	0.0	1.5239617	1.2334593	6.0755417e-07	-0.54703531	1.6153162	3.0977896e-07	-1.6153165	-2.4359506e-07	-2.7851047e-07	2.8191246	0.04468699	0.0	0.043953445	0.20021658	0.0	0.20021662	0.0	0.0	0.37142876	0.044720669	6.2661997	1.9770812	3.5169951	4.8236783	3.5169953	4.8236779	3.821793	2.6495533	-71.178415	R0:N12:S0:1	-54.792	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	108.0	3.52e-06	2022-07-05@11:28
2x2_2C_8b_C2v_L	7.2030102	11	2.911	4.5874679	-2.5288472	-3.4375516	5.9153437	-3.4375514	5.9185807	4.9369493	-3.2485767	9.77	-8.4464712e-08	0.98143698	-1.5560205	-7.6330729e-08	1.5560205	2.1421752e-07	1.0248217e-07	-2.0806434	1.9306	1	0.2821	1.2618621	1.6633084	-0.57827516	-0.17678977	0.074195347	0.23823836	0.0	1.956728	1.7928184	0.0	1.7928182	0.0	0.0	1.5241408	1.2333737	1.4111634e-07	-0.54741458	1.6150385	7.0029631e-08	-1.6150394	-1.9646155e-07	-5.9918311e-08	2.8185475	0.044675925	0.0	0.043994175	0.20011655	0.0	0.20011667	0.0	0.0	0.37134361	0.044709168	6.2654624	1.9779497	3.5169648	4.823287	3.5169653	4.8232859	3.8219431	2.6504735	-71.370832	R0:N12:S0:1	-54.872	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	107.0	9.8e-06	2022-07-05@11:29
