model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	ave_e	ave_mu	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	time
2x2_2C_8b_C2v_L	28	12	7	0.092118373	-2.1957602	-2.7381036	0.24894063	-2.7380656	0.24893761	0.29628048	-2.7779187	11.6	-0.0041921372	0.02407473	-0.025964756	0.0093092537	0.025964484	-0.0093092969	0.013099567	-0.040230483	1.3333333	1.6667616	0.00038285644	5.2151186e-07	1.9996544	1.9997249	2.5264882e-06	1.9997249	2.5265134e-06	4.9106904e-06	1.9993578	1.0003795	0.0028761474	-0.074178155	0.066128264	-0.006315391	-0.06612837	0.0063154223	-0.0088320804	0.10122753	9.5679073e-05	5.2151179e-07	0.00034716319	0.00027668543	2.5264866e-06	0.00027668631	2.5265118e-06	4.9106843e-06	0.00064373271	9.7126883e-05	4.0005692	3.9994241	3.9976386	4.0023566	3.9976385	4.0023567	4.0007893	3.9992024	-67.304466	R0:N12:S0:1	-36.8	uncorrelated	b7fd39a	v1.0.3	2022-07-04@14:53
2x2_2C_8b_C2v_L	25.555556	11.388889	6.3888889	0.092118373	-2.1957602	-2.7381036	0.24894063	-2.7380656	0.24893761	0.29628048	-2.7779187	11.38	-0.0041921372	0.02407473	-0.025964756	0.0093092537	0.025964484	-0.0093092969	0.013099567	-0.040230483	1.3333333	1.6667888	0.00050572358	5.434841e-07	1.9995222	1.9996422	2.6364564e-06	1.9996422	2.6364826e-06	5.1114293e-06	1.9991661	1.0005025	0.002933348	-0.087327067	0.075519081	-0.0064425931	-0.075519332	0.0064426249	-0.009004357	0.11541544	0.0001263705	5.4348403e-07	0.0004787274	0.00035874059	2.6364546e-06	0.00035874297	2.6364809e-06	5.1114227e-06	0.00083469046	0.00012754538	4.0007847	3.9992106	3.9969001	4.0030985	3.9969001	4.0030986	4.0010591	3.9989337	-66.425157	R0:N12:S0:1	-39.928889	uncorrelated	b7fd39a	v1.0.3	2022-07-04@14:53
2x2_2C_8b_C2v_L	23.111111	10.777778	5.7777778	0.092118373	-2.1957602	-2.7381036	0.24894063	-2.7380656	0.24893761	0.29628048	-2.7779187	11.16	-0.0041921372	0.02407473	-0.025964756	0.0093092537	0.025964484	-0.0093092969	0.013099567	-0.040230483	1.3333333	1.999606	0.00069998903	5.6782995e-07	1.9992954	1.9995151	2.7607648e-06	1.9995151	2.7607923e-06	5.3312835e-06	1.9988733	1.0006971	0.0029939633	-0.10613861	0.088011389	-0.0065790456	-0.088011883	0.006579078	-0.0091862715	0.13422449	0.0001748835	5.6782987e-07	0.00070462821	0.00048502567	2.7607629e-06	0.00048503112	2.7607904e-06	5.3312763e-06	0.0011266149	0.00017567935	4.0011412	3.9988562	3.995731	4.0042731	3.995731	4.0042731	4.0014665	3.9985268	-65.54609	R0:N12:S0:1	-43.057778	uncorrelated	b7fd39a	v1.0.3	2022-07-04@14:54
2x2_2C_8b_C2v_L	20.666667	10.166667	5.1666667	0.092118373	-2.1957602	-2.7381036	0.24894063	-2.7380656	0.24893761	0.29628048	-2.7779187	10.94	-0.0041921372	0.02407473	-0.025964756	0.0093092537	0.025964484	-0.0093092969	0.013099567	-0.040230483	1.3333333	1.9998603	0.0010359414	5.9587638e-07	1.9988556	1.9993039	2.9087858e-06	1.9993039	2.908815e-06	5.5781859e-06	1.9983919	1.001033	0.0030594106	-0.13527075	0.10543777	-0.0067296849	-0.1054387	0.0067297181	-0.0093809096	0.16034915	0.00025874235	5.9587629e-07	0.0011441836	0.00069612199	2.9087837e-06	0.00069613427	2.9088129e-06	5.578178e-06	0.0016076034	0.00025953242	4.0017934	3.9982009	3.993693	4.0063169	3.993693	4.0063169	4.0021009	3.9978862	-64.667424	R0:N12:S0:1	-46.186667	uncorrelated	b7fd39a	v1.0.3	2022-07-04@14:54
2x2_2C_8b_C2v_L	18.222222	9.5555556	4.5555556	0.092118373	-2.1957602	-2.7381036	0.24894063	-2.7380656	0.24893761	0.29628048	-2.7779187	10.72	-0.0041921372	0.02407473	-0.025964756	0.0093092537	0.025964484	-0.0093092969	0.013099567	-0.040230483	1.3333333	1.9999325	0.0017042138	6.3124895e-07	1.9978262	1.9989178	3.1062768e-06	1.9989177	3.1063089e-06	5.8695826e-06	1.9975207	1.0017012	0.0031334818	-0.18641125	0.1314111	-0.0069078805	-0.13141289	0.006907915	-0.0095948345	0.1990852	0.00042542129	6.3124884e-07	0.0021725935	0.0010819767	3.1062744e-06	0.0010820061	3.1063065e-06	5.8695737e-06	0.0024778263	0.0004261854	4.0032059	3.9967735	3.9895632	4.0104637	3.9895632	4.0104637	4.0030861	3.9968828	-63.789503	R0:N12:S0:1	-49.315556	uncorrelated	b7fd39a	v1.0.3	2022-07-04@14:55
2x2_2C_8b_C2v_L	15.777778	8.9444444	3.9444444	0.092118373	-2.1957602	-2.7381036	0.24894063	-2.7380656	0.24893761	0.29628048	-2.7779187	10.5	-0.0041921372	0.02407473	-0.025964756	0.0093092537	0.025964484	-0.0093092969	0.013099567	-0.040230483	1.3333333	1.9999622	0.0034341828	6.8878361e-07	1.9943826	1.9980955	3.4579566e-06	1.9980955	3.4579943e-06	6.2522529e-06	1.9956884	1.003431	0.0032313834	-0.29951013	0.17407898	-0.0071670331	-0.17408271	0.00716707	-0.0098441407	0.26250589	0.00085613978	6.8878348e-07	0.0056094359	0.0019035578	3.4579537e-06	0.0019036396	3.4579914e-06	6.2522426e-06	0.0043068774	0.00085692033	4.0073968	3.9924472	3.9783699	4.021733	3.9783698	4.0217332	4.0040344	3.9958531	-62.913274	R0:N12:S0:1	-52.444444	uncorrelated	b7fd39a	v1.0.3	2022-07-04@14:55
2x2_2C_8b_C2v_L	13.333333	8.3333333	3.3333333	0.092118373	-2.1957602	-2.7381036	0.24894063	-2.7380656	0.24893761	0.29628048	-2.7779187	10.28	-0.0041921372	0.02407473	-0.025964756	0.0093092537	0.025964484	-0.0093092969	0.013099567	-0.040230483	1.3333333	1.999977	0.013377975	9.3771069e-07	1.9640576	1.995882	5.113451e-06	1.9958817	5.1134889e-06	6.8829424e-06	1.9906624	1.0133746	0.0035231325	-0.75459779	0.2536332	-0.0080803237	-0.25364263	0.008080357	-0.010148557	0.38717334	0.0033078511	9.3771035e-07	0.035590369	0.0041139971	5.1134436e-06	0.0041143017	5.1134816e-06	6.8829301e-06	0.0093150279	0.0033086369	4.0391078	3.9537102	3.9067431	4.0943404	3.906744	4.0943395	3.9862096	4.0126359	-62.043522	R0:N12:S0:1	-55.573333	uncorrelated	b7fd39a	v1.0.3	2022-07-04@14:56
2x2_2C_8b_C2v_L	10.888889	7.7222222	2.7222222	0.092118373	-2.1957602	-2.7381036	0.24894063	-2.7380656	0.24893761	0.29628048	-2.7779187	10.06	-0.0041921372	0.02407473	-0.025964756	0.0093092537	0.025964484	-0.0093092969	0.013099567	-0.040230483	1.3333333	1.999991	0.48082519	1.649198e-05	0.12972095	1.995391	6.2038677e-05	1.9953895	6.2036883e-05	1.4286153e-05	1.9560706	1.4808183	0.020553941	-1.696278	0.1495714	-0.037448964	-0.14960774	0.037447787	-0.0098894657	0.9768169	0.010669188	1.6491811e-05	0.11909605	0.0046562516	6.2036501e-05	0.0046577835	6.2034708e-05	1.4286475e-05	0.043340697	0.010671052	7.5709611	6.2353062	1.2857455	6.778273	1.2859563	6.7780805	2.5647935	5.3230306	-61.470487	R0:N12:S0:1	-58.702222	uncorrelated	b7fd39a	v1.0.3	2022-07-04@14:56
2x2_2C_8b_C2v_L	8.4444444	7.1111111	2.1111111	0.092118373	-2.1957602	-2.7381036	0.24894063	-2.7380656	0.24893761	0.29628048	-2.7779187	9.84	-0.0041921372	0.02407473	-0.025964756	0.0093092537	0.025964484	-0.0093092969	0.013099567	-0.040230483	1.3333333	1.9999962	0.6842321	1.4760706e-05	0.012904592	1.9282147	6.0714004e-05	1.9279	6.0698146e-05	5.4361129e-05	1.3938886	1.6842254	0.020723696	-0.59295371	0.40429501	-0.040677171	-0.40575678	0.04066702	-0.028088667	3.0308062	0.030123947	1.4760571e-05	0.012796745	0.094929903	6.0711819e-05	0.095343356	6.0695961e-05	5.4359937e-05	0.46509034	0.030126324	7.9015812	7.7432864	1.4745333	7.420643	1.4791837	7.4190155	4.2048226	2.9333722	-61.445725	R0:N12:S0:1	-61.831111	uncorrelated	b7fd39a	v1.0.3	2022-07-04@14:57
2x2_2C_8b_C2v_L	6	6.5	1.5	0.092118373	-2.1957602	-2.7381036	0.24894063	-2.7380656	0.24893761	0.29628048	-2.7779187	9.62	-0.0041921372	0.02407473	-0.025964756	0.0093092537	0.025964484	-0.0093092969	0.013099567	-0.040230483	1.3333333	1.9999999	0.98989722	1.349613e-05	0.0053354579	1.5882441	6.0519743e-05	0.44658354	5.9741433e-05	0.00011721272	1.9999981	1.9898969	0.020732435	-0.41193448	0.22101497	-0.043875478	-0.82481526	0.043376981	-0.061160317	2.4854501e-05	0.0024819744	1.3496022e-05	0.0053178413	0.64673255	6.0517573e-05	0.66672213	5.9739327e-05	0.00011720458	3.2231546e-06	0.0024821756	7.9784476	7.9067923	1.7554076	7.9692647	6.051983	7.8894587	7.9979515	0.00056417126	-62.011713	R0:N12:S0:1	-64.96	uncorrelated	b7fd39a	v1.0.3	2022-07-04@14:58
model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	time
2x2_2C_8b_C2v_L	6	6.5	1.5	0.092118373	-2.1957602	-2.7381036	0.24894063	-2.7380656	0.24893761	0.29628048	-2.7779187	9.62	-0.0041921372	0.02407473	-0.025964756	0.0093092537	0.025964484	-0.0093092969	0.013099567	-0.040230483	1e-09	1e-09	1e-09	1.3333333	1.9999999	0	0	0	0.98989726	1.349613e-05	0.0053354582	1.5888146	6.0520137e-05	0.44601292	5.9741049e-05	0.00011721273	1.9999981	1.989897	0.020732435	-0.4119345	0.22071162	-0.04387573	-0.82511537	0.043376734	-0.06116032	2.4875964e-05	0.0024819604	1.3496022e-05	0.0053178416	0.64607103	6.0517967e-05	0.66608041	5.9738942e-05	0.00011720458	3.2288792e-06	0.0024821608	7.9784476	7.9067922	1.7530657	7.969305	6.0539374	7.8894192	7.9979515	0.00056430343	-62.011714	R0:N12:S0:1	-64.96	uncorrelated	b7fd39a	v1.0.3	2022-07-05@09:25
model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	time
2x2_2C_8b_C2v_L	6	6.5	1.5	0.092118373	-2.1957602	-2.7381036	0.24894063	-2.7380656	0.24893761	0.29628048	-2.7779187	9.62	-0.0041921372	0.02407473	-0.025964756	0.0093092537	0.025964484	-0.0093092969	0.013099567	-0.040230483	1e-09	1e-09	1e-09	1.3333333	1.9999999	0	0	0	0.98989726	1.349613e-05	0.0053354582	1.5888146	6.0520137e-05	0.44601292	5.9741049e-05	0.00011721273	1.9999981	1.989897	0.020732435	-0.4119345	0.22071162	-0.04387573	-0.82511537	0.043376734	-0.06116032	2.4875964e-05	0.0024819604	1.3496022e-05	0.0053178416	0.64607103	6.0517967e-05	0.66608041	5.9738942e-05	0.00011720458	3.2288958e-06	0.0024821608	7.9784476	7.9067922	1.7530657	7.969305	6.0539374	7.8894192	7.9979515	0.00056430343	-62.011714	R0:N12:S0:1	-64.96	uncorrelated	b7fd39a	v1.0.3	2022-07-05@09:25
model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	time
2x2_2C_8b_C2v_L	6	6.5	1.5	0.092118373	-2.1957602	-2.7381036	0.24894063	-2.7380656	0.24893761	0.29628048	-2.7779187	9.62	-0.0041921372	0.02407473	-0.025964756	0.0093092537	0.025964484	-0.0093092969	0.013099567	-0.040230483	1e-09	1e-09	1e-09	1.3333333	1.9999999	0	0	0	0.98989726	1.349613e-05	0.0053354582	1.5888146	6.0520137e-05	0.44601292	5.9741049e-05	0.00011721273	1.9999981	1.989897	0.020732435	-0.4119345	0.22071162	-0.04387573	-0.82511537	0.043376734	-0.06116032	2.4875964e-05	0.0024819604	1.3496022e-05	0.0053178416	0.64607103	6.0517967e-05	0.66608041	5.9738942e-05	0.00011720458	3.2287258e-06	0.0024821607	7.9784476	7.9067922	1.7530657	7.969305	6.0539374	7.8894192	7.9979515	0.00056430343	-62.011714	R0:N12:S0:1	-64.96	uncorrelated	b7fd39a	v1.0.3	2022-07-05@09:25
model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	time
2x2_2C_8b_C2v_L	6	6.5	1.5	0.092118373	-2.1957602	-2.7381036	0.24894063	-2.7380656	0.24893761	0.29628048	-2.7779187	9.62	-0.0041921372	0.02407473	-0.025964756	0.0093092537	0.025964484	-0.0093092969	0.013099567	-0.040230483	1e-09	1e-09	1e-09	1.3333333	1.9999999	0	0	0	0.98989726	1.349613e-05	0.0053354582	1.5888146	6.0520137e-05	0.44601292	5.9741049e-05	0.00011721273	1.9999981	1.989897	0.020732435	-0.4119345	0.22071162	-0.04387573	-0.82511537	0.043376734	-0.06116032	2.4875964e-05	0.0024819604	1.3496022e-05	0.0053178416	0.64607103	6.0517967e-05	0.66608041	5.9738942e-05	0.00011720458	3.2287258e-06	0.0024821607	7.9784476	7.9067922	1.7530657	7.969305	6.0539374	7.8894192	7.9979515	0.00056430343	-62.011714	R0:N12:S0:1	-64.96	uncorrelated	b7fd39a	v1.0.3	2022-07-05@09:25
model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	time
2x2_2C_8b_C2v_L	6	6.5	1.5	0.092118373	-2.1957602	-2.7381036	0.24894063	-2.7380656	0.24893761	0.29628048	-2.7779187	9.62	-0.0041921372	0.02407473	-0.025964756	0.0093092537	0.025964484	-0.0093092969	0.013099567	-0.040230483	1e-09	1e-09	1e-09	1.3333333	1.9999999	0	0	0	0.98989726	1.349613e-05	0.0053354582	1.5888146	6.0520137e-05	0.44601292	5.9741049e-05	0.00011721273	1.9999981	1.989897	0.020732435	-0.4119345	0.22071162	-0.04387573	-0.82511537	0.043376734	-0.06116032	2.4875964e-05	0.0024819605	1.3496022e-05	0.0053178416	0.64607103	6.0517967e-05	0.66608041	5.9738942e-05	0.00011720458	3.2289462e-06	0.0024821609	7.9784476	7.9067922	1.7530657	7.969305	6.0539374	7.8894192	7.9979515	0.00056430343	-62.011714	R0:N12:S0:1	-64.96	uncorrelated	b7fd39a	v1.0.3	2022-07-05@09:25
model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	time
2x2_2C_8b_C2v_L	6	6.5	1.5	0.092118373	-2.1957602	-2.7381036	0.24894063	-2.7380656	0.24893761	0.29628048	-2.7779187	9.62	-0.0041921372	0.02407473	-0.025964756	0.0093092537	0.025964484	-0.0093092969	0.013099567	-0.040230483	1e-09	1e-09	1e-09	1.3333333	1.9999999	0	0	0	0.98989726	1.349613e-05	0.0053354582	1.5888146	6.0520137e-05	0.44601292	5.9741049e-05	0.00011721273	1.9999981	1.989897	0.020732435	-0.4119345	0.22071162	-0.04387573	-0.82511537	0.043376734	-0.06116032	2.4875964e-05	0.0024819605	1.3496022e-05	0.0053178416	0.64607103	6.0517967e-05	0.66608041	5.9738942e-05	0.00011720458	3.2290428e-06	0.002482161	7.9784476	7.9067922	1.7530657	7.969305	6.0539374	7.8894192	7.9979515	0.00056430343	-62.011714	R0:N12:S0:1	-64.96	uncorrelated	b7fd39a	v1.0.3	2022-07-05@09:25
