model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	20.358883	12	7	-5.7342777e-05	-1.9019444	-2.1934288	0.2145524	-2.1934301	0.21455264	0.26894996	-1.4545867	11.6	0.12301386	-0.77650118	1.2251993	-0.23866615	-1.2251995	0.23866558	0.39669354	-1.5907813	1.5	1	1e-09	1.1850543	1.616195	-0.75746493	-0.3728881	0.14946717	0.32615775	0.11315506	1.934634	1.5939214	0.1911554	1.5939194	0.19115246	0.022461465	1.1077828	1.3129545	-1.2393754	0.5522307	-2.0977894	1.1228873	2.0977976	-1.1228766	-0.55694403	3.3317785	0.053998793	0.10358677	0.064636134	0.35689146	0.18810759	0.35689283	0.1881051	0.022249393	0.48872439	0.058574706	5.9011408	1.645499	3.2057463	5.014078	3.2057495	5.0140767	4.3864441	1.6396576	-69.239448	R0:N12:S0:1	-36.8	uncorrelated	b7fd39a	v1.0.3	6	sharp_wc_2.0_b_50	 1.38e+02	 5.57e-03	2022-06-16@11:43
2x2_2C_8b_C2v_L	18.931075	12	6.5456667	-0.0053530584	-1.9993541	-2.3125661	0.21582789	-2.3125569	0.21582908	0.27036409	-1.6068175	11.311111	0.12416063	-0.80318377	1.2697306	-0.23133081	-1.2697292	0.23133069	0.37329594	-1.6580541	1.5478444	1	0.031344445	1.193551	1.6145849	-0.74654255	-0.35110366	0.14058161	0.30046877	0.12056079	1.9330856	1.6198117	0.18934218	1.6198066	0.18933589	0.018429691	1.1660784	1.2858873	-1.2640324	0.58453713	-2.055715	1.0982611	2.0557335	-1.0982383	-0.49151925	3.2801614	0.051785459	0.10958477	0.065949134	0.33569018	0.18614517	0.33569382	0.18613994	0.01831793	0.48170866	0.056683641	5.7639239	1.7672822	3.2308046	4.9687137	3.2308116	4.9687094	4.2890627	1.7521433	-68.87825	R0:N12:S0:1	-38.123556	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.39e+02	 2.45e-02	2022-06-16@11:45
2x2_2C_8b_C2v_L	17.446477	12	6.0913333	-0.0071782824	-2.0937123	-2.4311492	0.20712507	-2.4311458	0.20712371	0.25820516	-1.7603799	11.022222	0.12644604	-0.82877277	1.3116098	-0.22565407	-1.3116091	0.22565394	0.35362358	-1.719751	1.5956889	1	0.06268889	1.2007423	1.6133985	-0.73580698	-0.33285649	0.13313303	0.27734787	0.12775622	1.9319329	1.6396691	0.1929114	1.6396694	0.19291261	0.015798187	1.2149456	1.2611012	-1.2872269	0.61260753	-2.0221775	1.088137	2.0221755	-1.0881406	-0.44234159	3.2254899	0.049503507	0.11534958	0.066910977	0.31875635	0.18936137	0.31875611	0.18936242	0.01574917	0.47290403	0.054829602	5.6397522	1.8796214	3.2495008	4.9252874	3.2494989	4.9252885	4.2015269	1.8738359	-68.530645	R0:N12:S0:1	-39.447111	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.39e+02	 4.82e-03	2022-06-16@11:46
2x2_2C_8b_C2v_L	15.912235	12	5.637	-0.0081785394	-2.1802607	-2.5540082	0.19612132	-2.5540087	0.19611925	0.2445975	-1.9208224	10.733333	0.12762265	-0.85401065	1.3533256	-0.22138666	-1.3533253	0.22138626	0.33816246	-1.7808525	1.6435333	1	0.094033334	1.2068332	1.6118925	-0.72618328	-0.31725323	0.12675353	0.25670104	0.13308769	1.9311259	1.6557621	0.19932903	1.6557637	0.19933216	0.014162002	1.257332	1.2385264	-1.3002941	0.6357188	-1.9939908	1.0869514	1.993984	-1.0869615	-0.40545642	3.170916	0.047223985	0.11956143	0.067578062	0.30472147	0.19527318	0.30472026	0.19527577	0.014158565	0.46314507	0.053060225	5.5393229	1.9800577	3.2662683	4.8856987	3.2662638	4.8857016	4.1211316	1.9952697	-68.226192	R0:N12:S0:1	-40.770667	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.39e+02	 5.38e-03	2022-06-16@11:48
2x2_2C_8b_C2v_L	14.333355	12	5.1826667	-0.007862347	-2.2613782	-2.682205	0.18631034	-2.682202	0.18631095	0.23172752	-2.0841091	10.444444	0.12841927	-0.87848972	1.3951482	-0.21898794	-1.3951484	0.21898821	0.32605012	-1.8402588	1.6913778	1	0.12537778	1.2119304	1.6100118	-0.71800798	-0.30403501	0.12132462	0.23829068	0.13757848	1.9305814	1.6688407	0.2079949	1.668839	0.20799237	0.013231968	1.2934186	1.2178806	-1.3099512	0.65461196	-1.9708413	1.0934575	1.9708483	-1.0934484	-0.37818278	3.1194277	0.044997276	0.12308042	0.068011057	0.29312082	0.20329685	0.29312207	0.20329487	0.013265413	0.45318444	0.051437132	5.4540026	2.0690392	3.2823968	4.8500084	3.2824001	4.8500057	4.0480126	2.1095962	-67.961945	R0:N12:S0:1	-42.094222	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.41e+02	 5.54e-03	2022-06-16@11:50
2x2_2C_8b_C2v_L	12.713284	12	4.7283333	-0.0065371869	-2.3348345	-2.8100281	0.17772194	-2.810034	0.17772012	0.22056986	-2.2491673	10.155556	0.12890731	-0.9016966	1.4358692	-0.21763348	-1.4358701	0.21763291	0.31637872	-1.8981585	1.7392222	1	0.15672222	1.2160972	1.6076993	-0.71157062	-0.29307483	0.11678408	0.22188128	0.14209008	1.9300699	1.6787515	0.21930843	1.6787524	0.21931035	0.012809443	1.32348	1.198857	-1.3201328	0.67051111	-1.9541535	1.1067514	1.9541505	-1.1067567	-0.35807067	3.0736253	0.042858709	0.12659801	0.068417712	0.28404623	0.21381999	0.28404546	0.21382156	0.012875816	0.44358952	0.050013907	5.3784384	2.1476151	3.2968317	4.8189576	3.2968293	4.8189589	3.9809665	2.2116594	-67.703731	R0:N12:S0:1	-43.417778	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.45e+02	 4.89e-03	2022-06-16@11:52
2x2_2C_8b_C2v_L	11.057517	12	4.274	-0.0044327615	-2.3999068	-2.9356103	0.17068968	-2.9356009	0.17068668	0.21164613	-2.414526	9.8666667	0.1293102	-0.92341829	1.4750839	-0.21708934	-1.4750825	0.21708769	0.30882262	-1.9543302	1.7870667	1	0.18806667	1.2194392	1.6051963	-0.70677938	-0.28424773	0.11307406	0.20719119	0.14750088	1.9293833	1.6856323	0.23351706	1.6856284	0.23350899	0.012780902	1.3477269	1.1810803	-1.3344708	0.6846893	-1.9446303	1.126087	1.9446469	-1.1260582	-0.3436591	3.0354039	0.040821121	0.13079311	0.068986354	0.27738123	0.22707006	0.27738414	0.22706395	0.012878619	0.43481654	0.048826316	5.3078528	2.2170696	3.309208	4.7924871	3.3092183	4.7924821	3.9187665	2.298175	-67.436562	R0:N12:S0:1	-44.741333	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.51e+02	 4.35e-03	2022-06-16@11:53
2x2_2C_8b_C2v_L	9.3733153	12	3.8196667	-0.0019091908	-2.4615702	-3.0593328	0.16596055	-3.059362	0.16595717	0.20477161	-2.5797684	9.5777778	0.12970368	-0.94424714	1.5130665	-0.21741235	-1.5130715	0.21741159	0.3028026	-2.0089707	1.8349111	1	0.21941111	1.222113	1.6027422	-0.70329752	-0.27729164	0.11008665	0.19396754	0.15421025	1.9285188	1.6897359	0.25067575	1.6897397	0.2506843	0.013019127	1.3666188	1.1641993	-1.3546878	0.69757667	-1.9426539	1.1505401	1.942642	-1.150564	-0.33327714	3.0060311	0.038887428	0.13594193	0.069714841	0.27292107	0.24310286	0.27291808	0.24310951	0.013146922	0.42713712	0.047897741	5.2401714	2.2780263	3.3195529	4.7700001	3.3195435	4.7700041	3.8598363	2.3672858	-67.170832	R0:N12:S0:1	-46.064889	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.60e+02	 3.50e-03	2022-06-16@11:55
2x2_2C_8b_C2v_L	7.6596569	12	3.3653333	0.00087034146	-2.5177164	-3.1852629	0.16374234	-3.1852668	0.16374175	0.20003525	-2.7436696	9.2888889	0.1301332	-0.9638356	1.5507811	-0.21863307	-1.5507814	0.21863357	0.29801419	-2.0618263	1.8827556	1	0.25075556	1.2240958	1.5997504	-0.70178453	-0.2719942	0.10772099	0.18197644	0.16265205	1.9273461	1.6915416	0.27065691	1.6915448	0.27066819	0.013449447	1.3806215	1.1478798	-1.3818164	0.70993739	-1.947938	1.1790258	1.9479229	-1.1790594	-0.32583037	2.9861967	0.037052126	0.14233014	0.070721133	0.27028785	0.26180022	0.27028536	0.26180849	0.013606191	0.42069571	0.047239816	5.1739381	2.3312192	3.3282541	4.7505784	3.3282401	4.7505839	3.8028449	2.4181742	-66.915669	R0:N12:S0:1	-47.388444	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.71e+02	 2.81e-03	2022-06-16@11:57
2x2_2C_8b_C2v_L	5.9174735	12	2.911	0.0033920783	-2.5681973	-3.3083185	0.16502604	-3.3083692	0.16501775	0.1996965	-2.9092737	9	0.13058766	-0.9822863	1.5876576	-0.2203247	-1.587668	0.22031758	0.2946053	-2.1147582	1.9306	1	0.2821	1.2254035	1.5961036	-0.70252699	-0.26823935	0.1059187	0.1711023	0.17399953	1.9256108	1.6908526	0.29354247	1.69084	0.29348027	0.014015873	1.3901903	1.1318671	-1.4194562	0.72304001	-1.9614251	1.2103731	1.9615002	-1.2101861	-0.3203996	2.9771357	0.035320527	0.15074274	0.072229193	0.26959818	0.28329581	0.26960783	0.28325261	0.014199577	0.41553862	0.046883759	5.1054493	2.3768038	3.3346962	4.7336965	3.334774	4.7336739	3.7453636	2.4490123	-66.65913	R0:N12:S0:1	-48.712	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.86e+02	 9.47e-03	2022-06-16@11:59
