model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	time
2x2_2C_8b_C2v_L	7.0469192	11	2.9738	0.88219933	-2.1872889	-3.1927455	0.95989649	-3.192721	0.96829325	1.0352812	-3.0334458	9.68	-3.2729537e-06	0.93649468	-1.523804	6.718737e-06	1.5238018	1.4622071e-05	-1.1801674e-05	-2.0539334	1.926	1	0.2481	1.2524831	1.6449231	-0.6209413	-0.19980532	0.080923269	0.24168865	0	1.9577364	1.7899103	0	1.7899077	1.8793679e-10	0	1.5153581	1.2367719	1.5960407e-05	-0.53674615	1.6230065	-1.9788323e-05	-1.6230205	-4.2847763e-05	1.1330013e-05	2.8426296	0.045094004	0	0.042995015	0.20295308	0	0.20295529	1.8793679e-10	0	0.37575444	0.045146785	6.2922641	1.9483112	3.5179074	4.8345703	3.5179134	4.8345553	3.8269604	2.6085277	-68.84934	R0:N12:S0:1	-53.6496	uncorrelated	b7fd39a	v1.0.3	2022-07-05@11:36
model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	time
2x2_2C_8b_C2v_L	8.1695601	12.277778	2.8100444	1.1381593	-4.0107864	-4.4557978	1.092714	-4.4557974	0.58087547	0.44551854	-3.9249729	9.68	-2.1850445e-07	1.02891	-1.5377073	9.3336544e-08	1.5377072	5.3857782e-08	1.1787363e-08	-1.9695539	1.712	0.88888889	0.22053333	1.28771	1.6654959	-0.47220512	-0.10948097	0.047140015	0.14437391	0	1.9617067	1.8748468	0	1.8748468	0	0	1.7203775	1.1420555	5.9465596e-07	-0.62076187	1.3212637	-1.6543384e-07	-1.3212636	-1.1534228e-07	-1.1594644e-08	2.1692695	0.03084529	0	0.038383913	0.12182419	0	0.12182419	0	0	0.24755087	0.030626289	5.4834896	2.6675963	3.6114555	4.4989833	3.6114554	4.4989834	3.7914323	3.5197737	-77.432959	R0:N12:S0:1	-54.959645	uncorrelated	b7fd39a	v1.0.3	2022-07-05@11:36
model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	time
2x2_2C_8b_C2v_L	7.3182243	12	2.9738	-0.19249783	-3.5040097	-3.570334	0.016576459	-3.5700804	0.016570787	0.027570307	-3.2091735	9.68	0.17709039	1.0616675	-1.5790289	-0.14738466	1.578982	0.14738854	-0.18690524	-2.0874442	1.926	1	0.2481	1.2567062	1.6528602	-0.58087549	-0.19935981	0.081987639	0.18595876	0.18103322	1.9369747	1.7697293	0.10141262	1.7697296	0.10142316	0.0041410702	1.4758941	1.1649155	-1.5347288	-0.70436453	1.6797037	0.80566476	-1.6796703	-0.8057179	0.19229568	2.8231832	0.037654835	0.15608468	0.061395616	0.21487911	0.099970111	0.21487928	0.099979853	0.0041590128	0.38792334	0.043670113	4.9431506	2.3723614	3.4971458	4.7315082	3.4970998	4.7315749	3.7655894	2.697014	-72.861794	R0:N12:S0:1	-53.6496	uncorrelated	b7fd39a	v1.0.3	2022-07-05@11:37
model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	time
2x2_2C_8b_C2v_L	7.935526	15	2.9738	-0.031526657	-3.2335908	-3.6645792	0.02139213	-3.6657651	0.021368915	0.039854255	-3.2460596	9.68	0.11994055	1.0541447	-1.6124802	-0.14248916	1.6127382	0.14248364	0.18701178	-2.122223	1.926	1	0.2481	1.2719748	1.6354278	-0.51579878	-0.16027211	0.065607867	0.10851416	0.1000215	1.9544787	1.8346444	0.14447819	1.83463	0.14434837	0.0078516463	1.6316552	1.086973	-1.0227745	-0.65835757	1.4216341	0.83577391	-1.4218853	-0.83518991	-0.22252715	2.2541661	0.024213808	0.092154388	0.044867247	0.15490925	0.13859536	0.15492253	0.13849021	0.0079349138	0.30144801	0.030032223	4.9182301	2.9169818	3.6534022	4.5811867	3.6538372	4.5807752	3.7386193	3.5486519	-71.104076	R0:N12:S0:1	-53.6496	uncorrelated	b7fd39a	v1.0.3	2022-07-05@11:37
2x2_2C_8b_C2v_L	8.1697595	12.277778	2.8100444	1.1643768	-4.0266254	-4.4691159	1.1487387	-4.4691951	0.64945903	0.49636479	-3.9362954	9.69	-4.8229456e-06	1.0297106	-1.5383359	-3.3207375e-06	1.5383482	-8.5622734e-06	-9.6725199e-06	-1.9699319	1.712	0.88888889	0.22053333	1.2877137	1.6655117	-0.47217618	-0.10947257	0.047136461	0.14436407	0	1.9617023	1.8748592	0	1.8748585	0	0	1.7203963	1.1420459	1.296424e-05	-0.6208099	1.3212074	5.7631589e-06	-1.3212153	1.7742365e-05	9.3991395e-06	2.1691869	0.030843504	0	0.03838818	0.12181226	0	0.12181287	0	0	0.24753756	0.030624502	5.48339	2.6676972	3.6114646	4.4989476	3.6114777	4.4989262	3.791471	3.5198409	-77.582275	R0:N12:S0:1	-55.039645	uncorrelated	b7fd39a	v1.0.3	2022-07-05@11:38
2x2_2C_8b_C2v_L	7.0947439	11	2.9738	0.93214199	-2.2024913	-3.2003708	0.99800773	-3.2008296	0.96478798	1.0641867	-3.0404421	9.69	8.4702996e-06	0.93873513	-1.5249349	-6.2594575e-05	1.5250428	-9.9024535e-06	-4.6139613e-05	-2.0546309	1.926	1	0.2481	1.2536056	1.6473862	-0.6157092	-0.19709619	0.080187334	0.24191266	0	1.9576586	1.789683	3.269312e-09	1.7896493	0	1.9529776e-10	1.515022	1.2369967	-3.9991884e-05	-0.53711208	1.6235919	0.00017964344	-1.6238216	2.8977053e-05	4.3991909e-05	2.8433269	0.045122206	0	0.043075255	0.20316764	3.269312e-09	0.20319397	0	1.9529776e-10	0.37593757	0.045176039	6.293079	1.9479416	3.5174566	4.8357202	3.5176001	4.8353454	3.8278034	2.6071315	-68.974374	R0:N12:S0:1	-53.7296	uncorrelated	b7fd39a	v1.0.3	2022-07-05@11:38
model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	time
