model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	8.3175251	11.833333	2.8100444	-0.79764103	-5.0135791	-4.935209	-0.59479883	-4.9406543	-0.59842738	-0.50869702	-4.125893	9.68	0.1792435	1.0942948	-1.5797453	0.18229973	1.58037	0.18350284	0.2031493	-1.9873054	1.712	0.88888889	0.22053333	1.2886019	1.6926191	-0.44513404	-0.10883945	0.046683833	0.15091111	0.10248963	1.9550537	1.837391	0.056794551	1.8387662	0.059111769	0.0045376985	1.6063805	1.1348687	-1.1927571	-0.64534643	1.4637784	-0.6611085	-1.4554058	-0.67638674	-0.20941306	2.4746062	0.031948849	0.094739933	0.044477918	0.15561626	0.056318357	0.15438235	0.058540012	0.0045537265	0.32189411	0.036147572	5.0972014	2.5876325	3.6110256	4.5431423	3.6012202	4.5554448	3.7347427	3.2261647	-82.271842	R0:N12:S0:1	-54.959645	uncorrelated	b7fd39a	v1.0.3	7	sharp_wc_2.0_b_50	 2.47e+01	 3.12e-04	2022-07-05@11:47
2x2_2C_8b_C2v_L	8.3099857	11.833333	2.8100444	-0.78774436	-4.9972516	-4.9506124	-0.60435232	-4.9458389	-0.60260337	-0.51414937	-4.1340534	9.69	0.17556726	1.0932029	-1.5804974	0.18259076	1.5799257	0.18199387	0.20177486	-1.9871757	1.712	0.88888889	0.22053333	1.2884808	1.6919171	-0.44628446	-0.10909541	0.046794299	0.15099144	0.096154726	1.9554363	1.8391724	0.05814078	1.8384372	0.056966361	0.0045263283	1.6097437	1.1353556	-1.1569621	-0.64266533	1.4554021	-0.67016839	-1.4597798	-0.66236551	-0.20875442	2.4666139	0.031962139	0.089347725	0.044134726	0.15399049	0.05759601	0.15465117	0.05647047	0.0045424089	0.32001693	0.036027601	5.1279631	2.5850436	3.603179	4.5511497	3.6081261	4.5449589	3.7373843	3.2347542	-82.33013	R0:N12:S0:1	-55.039645	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 2.44e+01	 1.09e-03	2022-07-05@11:49
2x2_2C_8b_C2v_L	8.3098626	11.833333	2.8100444	-0.78874362	-4.9930112	-4.9746357	-0.62605281	-4.9630402	-0.61316013	-0.52468196	-4.1463127	9.7	0.17347194	1.0925863	-1.5818346	0.18475735	1.5808991	0.18122372	0.20080908	-1.9877077	1.712	0.88888889	0.22053333	1.2884875	1.6918678	-0.44632543	-0.10908268	0.046789311	0.15093734	0.092568427	1.9556659	1.8411104	0.062270889	1.836745	0.054731438	0.0045104483	1.6108567	1.1353852	-1.1361768	-0.64092643	1.444104	-0.69543875	-1.4713558	-0.64596518	-0.2081504	2.4638512	0.031951668	0.086268889	0.043928097	0.15220451	0.061557915	0.15612003	0.054338581	0.0045265005	0.31939477	0.035987111	5.1461339	2.5829622	3.5890359	4.567347	3.6214588	4.5264851	3.7384626	3.2377126	-82.467499	R0:N12:S0:1	-55.119645	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.42e+01	 3.38e-04	2022-07-05@11:50
2x2_2C_8b_C2v_L	8.3186246	11.833333	2.8100444	-0.82267834	-5.0528516	-4.9791165	-0.62972068	-4.9596564	-0.60664592	-0.5263091	-4.1517463	9.71	0.17936892	1.0952782	-1.581524	0.1855572	1.5798522	0.17894938	0.20117641	-1.9871447	1.712	0.88888889	0.22053333	1.2886403	1.6926442	-0.44503052	-0.10873748	0.046641948	0.15098854	0.10205835	1.9551934	1.8423192	0.063673155	1.8346196	0.050611049	0.0044117945	1.6068301	1.1350708	-1.1908549	-0.64458715	1.4342766	-0.70764655	-1.4819966	-0.62099449	-0.20684474	2.4738382	0.031961923	0.094374531	0.04434381	0.15120415	0.0628659	0.15810733	0.050334864	0.0044268578	0.32164881	0.036120827	5.099022	2.5871931	3.5775375	4.583527	3.634124	4.511937	3.7349506	3.2268682	-82.648306	R0:N12:S0:1	-55.199645	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 2.41e+01	 5.29e-04	2022-07-05@11:51
2x2_2C_8b_C2v_L	8.3070829	11.833333	2.8100444	-0.81336684	-5.0300487	-4.9762704	-0.62188207	-4.9692166	-0.61977399	-0.53220597	-4.1614602	9.72	0.17519769	1.093659	-1.5807188	0.18002796	1.5798261	0.17908694	0.19862031	-1.9873525	1.712	0.88888889	0.22053333	1.2884563	1.6915694	-0.44679323	-0.10913124	0.046812459	0.15112617	0.095725073	1.9555383	1.8402147	0.055927602	1.8391948	0.054334126	0.0043614027	1.6114492	1.1358137	-1.1546698	-0.642247	1.4509536	-0.65892398	-1.4570134	-0.64808183	-0.20513	2.4631308	0.031985508	0.088975722	0.044035579	0.15310845	0.055419703	0.15402553	0.053888705	0.0043762786	0.31903853	0.035947199	5.1290527	2.5851835	3.602622	4.551915	3.6094486	4.5433246	3.7374457	3.2386265	-82.665578	R0:N12:S0:1	-55.279645	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 2.38e+01	 3.25e-04	2022-07-05@11:54
2x2_2C_8b_C2v_L	8.3146776	11.833333	2.8100444	-0.84109817	-5.0879072	-4.9751785	-0.61378962	-4.9897774	-0.63098827	-0.52574904	-4.1648432	9.73	0.18007293	1.0964643	-1.5798255	0.17741031	1.5810635	0.18220695	0.19687441	-1.9867949	1.712	0.88888889	0.22053333	1.2885846	1.6922464	-0.44566431	-0.10883123	0.046684688	0.15115508	0.10332589	1.9552837	1.8365823	0.049994013	1.8420636	0.059013224	0.0041566638	1.6075862	1.1354986	-1.198413	-0.64429209	1.4714991	-0.62033935	-1.4375618	-0.68142941	-0.2014083	2.4728029	0.031990664	0.095439876	0.044247908	0.15642629	0.049690207	0.15150882	0.058365562	0.0041697775	0.32121471	0.036066932	5.0920951	2.5871583	3.6269121	4.5225365	3.5868683	4.5736942	3.7343636	3.2279557	-82.875059	R0:N12:S0:1	-55.359645	uncorrelated	b7fd39a	v1.0.3	5	sharp_wc_2.0_b_50	 2.38e+01	 5.16e-04	2022-07-05@11:57
2x2_2C_8b_C2v_L	8.3080149	11.833333	2.8100444	-0.84356692	-5.0794351	-4.9823911	-0.62392445	-4.9839131	-0.62508773	-0.532273	-4.1748892	9.74	0.17829386	1.0953228	-1.5796974	0.17716042	1.5798084	0.17750506	0.1951833	-1.9870366	1.712	0.88888889	0.22053333	1.2884807	1.6916229	-0.44668803	-0.10905371	0.046781413	0.15127668	0.10098926	1.9553789	1.8398732	0.052351944	1.8402936	0.05299041	0.0041123048	1.6100894	1.1359802	-1.1850642	-0.64369901	1.4529648	-0.63859616	-1.4503763	-0.64303109	-0.20006049	2.4671863	0.032011946	0.093458157	0.044164411	0.15350738	0.051934033	0.15313051	0.052548661	0.0041252283	0.3197928	0.035971603	5.1027381	2.5868131	3.6084973	4.5463974	3.6055423	4.550211	3.7352158	3.2342329	-82.915147	R0:N12:S0:1	-55.439645	uncorrelated	b7fd39a	v1.0.3	5	sharp_wc_2.0_b_50	 2.36e+01	 1.24e-04	2022-07-05@11:59
2x2_2C_8b_C2v_L	8.3003495	11.833333	2.8100444	-0.82087106	-5.0406179	-5.000483	-0.64699425	-4.9946778	-0.63407047	-0.54927454	-4.1882839	9.75	0.17132862	1.0933108	-1.5804143	0.17917954	1.5799613	0.17549686	0.19521312	-1.9875026	1.712	0.88888889	0.22053333	1.2883716	1.6908626	-0.44788565	-0.10930364	0.04688935	0.15129556	0.08946675	1.9559811	1.8427389	0.05684799	1.8388797	0.050172248	0.0042382566	1.6155079	1.1365418	-1.1181018	-0.63935295	1.4381352	-0.66686248	-1.4626112	-0.62145421	-0.20201816	2.4538232	0.032014408	0.083582097	0.043632462	0.15084066	0.056263583	0.15430772	0.049836488	0.0042523724	0.3167293	0.03579375	5.1591849	2.5827314	3.5906082	4.5651698	3.6204212	4.526963	3.7399381	3.2485251	-82.952184	R0:N12:S0:1	-55.519645	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 2.33e+01	 1.19e-03	2022-07-05@12:01
2x2_2C_8b_C2v_L	8.3163559	11.833333	2.8100444	-0.85674973	-5.1062225	-5.0216351	-0.65140553	-5.0068336	-0.63138254	-0.5378677	-4.1908543	9.76	0.17803479	1.0961908	-1.5818012	0.18102291	1.5806224	0.17569643	0.19322503	-1.9868923	1.712	0.88888889	0.22053333	1.2886664	1.6922341	-0.44555283	-0.10865746	0.046613045	0.15128599	0.099598831	1.9556047	1.8432863	0.057888408	1.8372934	0.04807534	0.0039876224	1.610166	1.1360249	-1.1779347	-0.64215771	1.4325803	-0.67627027	-1.4699354	-0.60899343	-0.19742907	2.4671865	0.032012318	0.092277814	0.043951091	0.1504228	0.057253272	0.15580286	0.04780154	0.0039996065	0.3197659	0.035959347	5.1100948	2.5849502	3.5848866	4.5752563	3.6291694	4.5183325	3.7356356	3.2339745	-83.206848	R0:N12:S0:1	-55.599645	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 2.33e+01	 3.92e-04	2022-07-05@12:03
2x2_2C_8b_C2v_L	8.3052021	11.833333	2.8100444	-0.84909104	-5.0852341	-5.0128641	-0.64404292	-5.0094351	-0.64079931	-0.54935993	-4.2025602	9.77	0.17391115	1.0947341	-1.5803289	0.17530094	1.5799944	0.1743911	0.19176319	-1.9872736	1.712	0.88888889	0.22053333	1.2884937	1.6911759	-0.44726936	-0.10902817	0.046774523	0.15143726	0.093679894	1.9558702	1.8419662	0.051469606	1.8409714	0.049888849	0.004001321	1.6149759	1.1367942	-1.143434	-0.64046674	1.4440443	-0.63490429	-1.4502173	-0.62384174	-0.19708249	2.4559232	0.032039115	0.087212737	0.043718375	0.15162904	0.051040813	0.15252338	0.049515229	0.0040136316	0.31701727	0.035785212	5.1376141	2.5841552	3.6030882	4.5512337	3.6103389	4.5418587	3.7381176	3.2463427	-83.205461	R0:N12:S0:1	-55.679645	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 2.30e+01	 4.69e-04	2022-07-05@12:05
