model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	6	6.5	1.5	0.092118384	-2.1957602	-2.7381036	0.24894062	-2.7380656	0.24893761	0.29628046	-2.7779187	9.68	-0.0041921388	0.024074753	-0.025964753	0.0093092429	0.025964491	-0.0093093091	0.013099567	-0.040230486	1e-09	1e-09	1e-09	1.3333333	1.9999999	0	0	0	0.99217086	1.3026208e-05	0.0047179288	1.7431855	5.8628907e-05	0.28317253	5.787611e-05	0.00011332719	1.9999987	1.9921706	0.020376588	-0.38759121	0.11993753	-0.043237215	-0.79178933	0.04275484	-0.060152713	2.1091124e-05	0.0019309369	1.3026108e-05	0.0047041714	0.44425062	5.8626871e-05	0.4635477	5.7874134e-05	0.00011331958	2.2806486e-06	0.0019311098	7.9809126	7.9175996	1.0910694	7.9849615	6.6693257	7.9076951	7.998032	0.00052722076	-62.48958	R0:N12:S0:1	-65.44	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-07-05@09:27
2x2_2C_8b_C2v_L	6.6550221	7.4444444	1.6637556	0.092109573	-2.1954962	-2.7378566	0.24940146	-2.7378186	0.24939847	0.29862809	-2.7790819	9.68	0.00050577978	0.082158755	-0.12710254	0.0037051231	0.12710161	-0.0037050711	0.0009185687	-0.15947606	0.214	0.11111111	0.027566668	1.3333333	1.9999991	-1.9125705e-07	-5.9223754e-09	2.5264263e-09	0.36833152	1.3741139e-07	0.90233209	1.9362505	7.7478564e-06	1.9362373	7.7472542e-06	1.3626651e-07	1.7519918	1.3682931	-0.0015610149	-3.1417409	0.67967415	-0.012296554	-0.67977532	0.012295876	-0.0012365454	2.0414317	0.048801729	1.3741138e-07	0.5122948	0.065534656	7.7478205e-06	0.06554831	7.7472183e-06	1.3626651e-07	0.22685898	0.048807598	5.7328581	2.1159739	2.2216055	6.1830991	2.2218381	6.1829332	3.7937054	3.8122453	-60.221012	R0:N12:S0:1	-64.129956	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.63e-02	 1.60e-02	2022-07-05@09:29
2x2_2C_8b_C2v_L	7.3100348	8.3888889	1.8275111	0.09210981	-2.6512154	-3.7761898	0.25360977	-3.7761959	0.25360498	0.29899415	-5.1369034	9.68	-0.00010591608	0.18235602	-0.30644944	-0.0032463714	0.30644945	0.003247095	-0.00255727	-0.44409943	0.428	0.22222222	0.055133334	1.3333332	1.9999817	-6.651056e-06	-3.0645398e-07	1.446864e-07	0.051223726	8.8827301e-10	1.9471573	1.9483619	8.003085e-07	1.9483626	8.0065236e-07	5.3230515e-07	1.9513496	1.0511916	0.00011318079	-0.88655834	0.88505443	0.0033220475	-0.88504763	-0.0033227834	0.0025793371	0.86841102	0.012153815	8.8827301e-10	0.052239566	0.050972889	8.0030829e-07	0.050972219	8.0065215e-07	5.3230507e-07	0.048016741	0.012147556	4.2814	3.7448471	3.8044173	4.2064862	3.8044116	4.2064934	4.1246858	3.8733423	-69.974114	R0:N12:S0:1	-62.819911	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 6.15e-01	 5.66e-02	2022-07-05@09:29
2x2_2C_8b_C2v_L	7.8252711	9.3333333	1.9912667	0.092105089	-3.7872568	-5.1660972	0.25386981	-5.1661087	0.25386503	0.30768665	-5.8875414	9.68	5.7020959e-05	0.33342811	-0.54869374	0.001514509	0.54869282	-0.0015211987	0.0030127954	-0.73729724	0.642	0.33333333	0.082700001	1.3305544	1.9279454	-0.061160161	-0.0061320436	0.0029505579	0.046348412	2.6017497e-10	1.971555	1.954959	1.5341897e-07	1.9549595	1.5477873e-07	5.3165458e-07	1.9336896	1.046209	-6.3473491e-05	-0.64082524	0.8294032	-0.0014969137	-0.82939692	0.001503534	-0.0026927671	1.0315142	0.011062728	2.6017497e-10	0.028293719	0.04453888	1.5341896e-07	0.044538327	1.5477872e-07	5.3165452e-07	0.065007827	0.011034506	4.3907267	3.6379478	3.8291457	4.1800831	3.8291376	4.1800927	3.988442	3.9727819	-79.713763	R0:N12:S0:1	-61.509867	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.97e+01	 1.03e-01	2022-07-05@09:31
2x2_2C_8b_C2v_L	7.7283028	10.277778	2.1550222	0.09210505	-4.8373959	-6.1132427	0.25405709	-6.1132827	0.25406547	0.31067042	-6.0710779	9.68	-0.003080336	0.49760262	-0.79965316	-0.020799949	0.79965825	0.020811732	-0.031699446	-1.0230053	0.856	0.44444444	0.11026667	1.3170596	1.6670206	-0.28946392	-0.036483605	0.016362195	0.052790681	9.4717451e-07	1.9755693	1.9512156	3.1611521e-05	1.9512154	3.1647089e-05	5.4978323e-05	1.9120507	1.0524575	0.0038411276	-0.58234674	0.86139656	0.02137965	-0.86139981	-0.021391648	0.027408132	1.1979135	0.012528701	9.4717417e-07	0.024334025	0.048200792	3.1611257e-05	0.048201031	3.1646825e-05	5.4977764e-05	0.085501159	0.012473236	4.5289225	3.5063124	3.8170727	4.1949048	3.8170803	4.1948958	3.9206119	3.9961778	-86.496905	R0:N12:S0:1	-60.199822	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.17e+01	 1.48e-01	2022-07-05@09:32
2x2_2C_8b_C2v_L	8.0013267	11.222222	2.3187778	0.095132599	-5.0745618	-6.1425368	0.25759286	-6.1425664	0.25760953	0.33500825	-5.6502955	9.68	-0.00073235037	0.6499918	-1.0252663	0.015421291	1.0252689	-0.015422428	0.02714367	-1.2808986	1.07	0.55555556	0.13783333	1.3121805	1.6665324	-0.32872152	-0.048171928	0.021389353	0.065667719	7.8702103e-08	1.9739674	1.9408743	2.2521806e-05	1.9408744	2.2525015e-05	4.3135876e-05	1.8837527	1.0651107	0.0010945182	-0.58720332	0.94301813	-0.017548776	-0.94301751	0.017550025	-0.02370679	1.3838324	0.015380783	7.8702101e-08	0.025943038	0.058280095	2.2521682e-05	0.058279999	2.2524891e-05	4.3135643e-05	0.11171141	0.015286454	4.6880578	3.3611703	3.78288	4.2362202	3.7828811	4.2362189	3.8813071	3.9722319	-86.887034	R0:N12:S0:1	-58.889778	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 6.09e+00	 2.14e-01	2022-07-05@09:33
2x2_2C_8b_C2v_L	8.2468871	12.166667	2.4825333	0.09513444	-5.3589733	-5.9653973	0.28065024	-5.9654071	0.28066792	0.40164269	-5.2160987	9.68	0.0017901156	0.82500327	-1.2479902	-0.022346392	1.2479907	0.022339387	0.028238876	-1.5419639	1.284	0.66666667	0.1654	1.3077252	1.6665068	-0.36016151	-0.059048782	0.026023096	0.078541738	7.6002759e-07	1.9721993	1.9301155	6.7503281e-05	1.9301156	6.7460442e-05	5.0853114e-05	1.8565167	1.0777166	-0.0033462001	-0.59325215	1.0191868	0.02916338	-1.0191863	-0.029154143	-0.025047739	1.5429588	0.018145016	7.600273e-07	0.02772012	0.068721289	6.7502307e-05	0.06872122	6.7459469e-05	5.0853027e-05	0.13624502	0.018018794	4.8342667	3.2293581	3.7493688	4.2790049	3.7493689	4.2790047	3.8512896	3.9298018	-86.60184	R0:N12:S0:1	-57.579733	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 4.13e+00	 2.60e-03	2022-07-05@09:34
2x2_2C_8b_C2v_L	8.4705077	13.111111	2.6462889	0.095133714	-5.3255552	-5.2980088	0.33715733	-5.2981043	0.33726215	0.44708881	-4.6198491	9.68	0.00078800728	0.99053888	-1.417662	-0.0033148421	1.4176696	0.0026936818	-0.008779458	-1.7773541	1.498	0.77777778	0.19296667	1.3036788	1.6663375	-0.386217	-0.069033042	0.030249526	0.091591097	2.8875106e-07	1.9700121	1.9187195	2.5531985e-06	1.9187191	1.6858257e-06	5.8793924e-06	1.8303559	1.0905458	-0.0020066455	-0.60337339	1.0922189	0.0053050094	-1.0922237	-0.0043107423	0.0081529485	1.6811136	0.020858965	2.8875101e-07	0.029917655	0.079734523	2.5531973e-06	0.079734826	1.6858252e-06	5.8793967e-06	0.15915055	0.020700039	4.964688	3.114199	3.7155032	4.324647	3.7155198	4.3246252	3.8347824	3.8707248	-83.383337	R0:N12:S0:1	-56.269689	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 4.28e+00	 8.76e-03	2022-07-05@09:35
2x2_2C_8b_C2v_L	8.6679134	14.055556	2.8100444	0.10469599	-4.1779004	-4.5047013	0.34748677	-4.5044474	0.35264341	0.45438788	-3.9411416	9.68	-1.0133734e-06	1.0519262	-1.5570157	0.0018129706	1.5569652	7.5417351e-06	-0.00022842574	-1.9882364	1.712	0.88888889	0.22053333	1.2998578	1.6653569	-0.40950618	-0.078565428	0.034265543	0.1037781	0	1.9678284	1.9085051	1.967445e-06	1.9085091	0	5.8983895e-09	1.8053644	1.1024477	4.1272572e-06	-0.6116165	1.1520785	-0.0041612657	-1.1520377	-1.7265011e-05	0.0002351716	1.8047438	0.023304147	0	0.032125204	0.08957598	1.9674444e-06	0.089572343	0	5.8983895e-09	0.18034775	0.023118993	5.0928204	3.0028507	3.6880997	4.3652134	3.6880393	4.3652987	3.8158342	3.8066678	-77.20188	R0:N12:S0:1	-54.959644	uncorrelated	b7fd39a	v1.0.3	5	sharp_wc_2.0_b_50	 1.23e+01	 9.14e-05	2022-07-05@09:38
2x2_2C_8b_C2v_L	7.9353881	15	2.9738	-0.032376556	-3.2182932	-3.6627161	0.022030852	-3.6627038	0.022030515	0.040958725	-3.2469612	9.68	0.11963241	1.0517445	-1.6123204	-0.14200815	1.6123178	0.1420084	0.18696685	-2.1227893	1.926	1	0.2481	1.2719814	1.6353803	-0.51585358	-0.1602283	0.065591667	0.10853678	0.10020477	1.9544256	1.8347537	0.14398269	1.8347541	0.14398612	0.0078628136	1.6318897	1.0870351	-1.0232112	-0.65817267	1.4212474	0.83426385	-1.4212428	-0.83427756	-0.22249345	2.2539941	0.024218231	0.092306036	0.044916116	0.15482154	0.13814156	0.15482111	0.13814442	0.0079465651	0.30131288	0.030024044	4.9181998	2.9164513	3.6536942	4.5806329	3.6536852	4.5806416	3.7381587	3.5488537	-71.064251	R0:N12:S0:1	-53.6496	uncorrelated	b7fd39a	v1.0.3	5	sharp_wc_2.0_b_50	 8.90e+01	 5.54e-03	2022-07-05@09:42
