model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	20.358869	12	7	-1.9970204e-05	-1.8998975	-2.1933042	0.21471036	-2.1933017	0.21471066	0.26893738	-1.4545657	11.6	0.1229945	-0.7761753	1.225179	-0.23868259	-1.2251784	0.23868251	0.39665208	-1.5907836	1.5	1	1e-09	1.1850549	1.616189	-0.75747472	-0.3728827	0.14946546	0.32616982	0.11319389	1.9345934	1.5939282	0.19111816	1.593927	0.19111673	0.022462495	1.1077912	1.3129672	-1.2393726	0.55230399	-2.0977559	1.1228496	2.0977599	-1.1228445	-0.5569148	3.3318207	0.053999484	0.10361998	0.0646742	0.35689207	0.18807213	0.35689291	0.18807092	0.022250528	0.48872244	0.058575062	5.901143	1.6454539	3.2058228	5.0140949	3.2058243	5.0140945	4.3864236	1.6395622	-69.234728	R0:N12:S0:1	-36.8	uncorrelated	b7fd39a	v1.0.3	6	sharp_wc_2.0_b_50	 1.38e+02	 5.49e-03	2022-06-16@11:44
2x2_2C_8b_C2v_L	18.931791	12	6.5526444	-0.003559388	-1.9942289	-2.3059539	0.21614351	-2.3059517	0.21615092	0.27034753	-1.5969332	11.311111	0.12481774	-0.80196109	1.2684607	-0.23255481	-1.2684614	0.23255678	0.37549288	-1.6555606	1.5473333	1	0.027566668	1.1929092	1.6139531	-0.74805166	-0.35252067	0.1412256	0.30076425	0.12173916	1.9328701	1.6178818	0.19187681	1.617878	0.19187068	0.018714224	1.1628145	1.2860887	-1.2700284	0.58506897	-2.0603615	1.1042437	2.0603762	-1.104225	-0.49580581	3.2822519	0.051816169	0.11055218	0.066144091	0.33696541	0.18861094	0.33696824	0.18860573	0.018596925	0.4820352	0.056757521	5.7581985	1.7664669	3.2265321	4.9678445	3.2265402	4.9678394	4.2921647	1.7482981	-68.825593	R0:N12:S0:1	-38.067733	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.39e+02	 2.61e-03	2022-06-16@11:45
2x2_2C_8b_C2v_L	17.4561	12	6.1052889	-0.0053520432	-2.0837376	-2.421764	0.20898799	-2.4217617	0.20898628	0.26075462	-1.7445588	11.022222	0.12650238	-0.82730611	1.3105371	-0.22773102	-1.3105364	0.22773059	0.35803225	-1.7173355	1.5946667	1	0.055133334	1.1996428	1.612369	-0.7384204	-0.3353335	0.13425989	0.27785855	0.12905454	1.9315501	1.6366475	0.19714938	1.6366477	0.19715031	0.016244483	1.2098272	1.2614322	-1.2927514	0.61322357	-2.0300329	1.0977788	2.0300315	-1.0977812	-0.44935045	3.2298827	0.049559821	0.11639292	0.067266761	0.32077318	0.1934684	0.32077298	0.1934692	0.016189422	0.47366962	0.054962732	5.6359902	1.877381	3.2425194	4.9243443	3.2425178	4.9243453	4.2061791	1.8652617	-68.453981	R0:N12:S0:1	-39.335467	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.40e+02	 4.73e-03	2022-06-16@11:47
2x2_2C_8b_C2v_L	15.93118	12	5.6579333	-0.0056707417	-2.1659705	-2.5420802	0.19972761	-2.5420747	0.1997296	0.24911046	-1.8968059	10.733333	0.12769284	-0.85188102	1.3523151	-0.22452859	-1.3523143	0.22452852	0.34438717	-1.7775247	1.642	1	0.082700001	1.2052713	1.6103993	-0.73006592	-0.32079773	0.12835057	0.25736659	0.13509275	1.930563	1.6516685	0.20536069	1.6516652	0.20535453	0.014711989	1.2500039	1.2388949	-1.308567	0.63670549	-2.0052182	1.1002596	2.0052311	-1.1002393	-0.41456806	3.1784354	0.047303612	0.12115087	0.06809843	0.30749831	0.20110017	0.30750078	0.2010951	0.014702922	0.46452379	0.053261216	5.5338035	1.9766998	3.2569702	4.8848514	3.2569784	4.8848474	4.1277275	1.9805892	-68.120723	R0:N12:S0:1	-40.6032	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.41e+02	 4.91e-03	2022-06-16@11:48
2x2_2C_8b_C2v_L	14.362758	12	5.2105778	-0.0046836673	-2.2390644	-2.6638385	0.19090938	-2.6638507	0.19091154	0.23773274	-2.0517415	10.444444	0.12846233	-0.87515708	1.393238	-0.22281138	-1.3932409	0.22281172	0.33377399	-1.8360614	1.6893333	1	0.11026667	1.2099205	1.6080416	-0.72323167	-0.30862446	0.1233811	0.23908955	0.14051733	1.929727	1.6633383	0.21621799	1.6633376	0.21621469	0.013868586	1.2838533	1.2182313	-1.3213549	0.65640081	-1.986335	1.1102128	1.9863411	-1.1102025	-0.38882628	3.1307961	0.045100685	0.12538614	0.068800056	0.29689888	0.21122236	0.29689945	0.2112197	0.013897993	0.45528063	0.051716155	5.4463922	2.0648416	3.2702093	4.8498297	3.2702146	4.8498259	4.0561355	2.0876639	-67.802105	R0:N12:S0:1	-41.870933	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.43e+02	 4.76e-03	2022-06-16@11:50
2x2_2C_8b_C2v_L	12.755047	12	4.7632222	-0.0030362344	-2.3092691	-2.786421	0.18356797	-2.78642	0.18356783	0.22795033	-2.2080915	10.155556	0.12911901	-0.89782702	1.433416	-0.22223023	-1.4334155	0.22222999	0.3254057	-1.8930623	1.7366667	1	0.13783333	1.213673	1.605266	-0.71811578	-0.29862269	0.11926247	0.22275158	0.1462071	1.9289598	1.6719982	0.22961156	1.6719979	0.22961082	0.013498339	1.3117335	1.1990957	-1.3358833	0.67321009	-1.9737397	1.1262921	1.9737405	-1.1262899	-0.36973409	3.0891806	0.042979054	0.12979225	0.069437873	0.2887251	0.22372611	0.28872528	0.2237255	0.013562221	0.44646433	0.050372275	5.3674695	2.1427956	3.2822362	4.8194181	3.2822371	4.8194181	3.9903305	2.1820512	-67.503829	R0:N12:S0:1	-43.138667	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.48e+02	 4.42e-03	2022-06-16@11:52
2x2_2C_8b_C2v_L	11.115596	12	4.3158667	-0.00076743053	-2.371672	-2.9076826	0.17795164	-2.9076851	0.17795087	0.21999943	-2.3646514	9.8666667	0.12965514	-0.91914272	1.4723867	-0.2224055	-1.4723866	0.22240565	0.31877546	-1.9484029	1.784	1	0.1654	1.2166873	1.6024987	-0.7143683	-0.29060236	0.11592241	0.20809876	0.15282937	1.9280141	1.6777956	0.24570753	1.6777983	0.24571462	0.01349828	1.3340267	1.1811539	-1.3543319	0.68835696	-1.9680583	1.1474688	1.9680461	-1.1474911	-0.35577856	3.0552145	0.040953586	0.13487379	0.07023914	0.28283835	0.23876966	0.2828363	0.23877505	0.013595153	0.43844627	0.049261565	5.2939096	2.2116408	3.2926141	4.7934259	3.292605	4.7934303	3.9289829	2.2608785	-67.201672	R0:N12:S0:1	-44.4064	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.55e+02	 3.81e-03	2022-06-16@11:53
2x2_2C_8b_C2v_L	9.4483957	12	3.8685111	0.0011705592	-2.4297593	-3.0276134	0.17585877	-3.027613	0.17586079	0.2164432	-2.5224629	9.5777778	0.13016416	-0.93952632	1.5108013	-0.22303955	-1.5108023	0.22303926	0.31352358	-2.0034155	1.8313333	1	0.19296667	1.2190548	1.5996048	-0.71205932	-0.28429408	0.11323312	0.1949488	0.16150448	1.92674	1.6810494	0.26409417	1.6810443	0.26407747	0.013720986	1.3512353	1.1641335	-1.3811058	0.70278959	-1.9692286	1.1722178	1.9692527	-1.172168	-0.34522033	3.0303957	0.039036709	0.1414332	0.071328926	0.27900161	0.25598295	0.27900549	0.25597055	0.013848495	0.43144245	0.048413653	5.220716	2.2715894	3.3016003	4.7714884	3.3016212	4.7714797	3.870008	2.3217526	-66.907328	R0:N12:S0:1	-45.674133	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.64e+02	 1.15e-02	2022-06-16@11:55
2x2_2C_8b_C2v_L	7.751864	12	3.4211556	0.0039783333	-2.4831175	-3.1465548	0.17447466	-3.1465404	0.17447637	0.21272399	-2.678339	9.2888889	0.13077729	-0.95863217	1.5476571	-0.22461187	-1.5476537	0.22461305	0.30951265	-2.0557672	1.8786667	1	0.22053333	1.2207272	1.5961549	-0.71180072	-0.27962601	0.11118263	0.18294999	0.17153785	1.9252325	1.6817448	0.2858344	1.681747	0.2858442	0.014174475	1.3636431	1.1475604	-1.4127342	0.71654251	-1.9784665	1.2009053	1.9784526	-1.2009361	-0.33780606	3.0148258	0.037206383	0.14889192	0.072631762	0.27713442	0.2763846	0.2771328	0.27639138	0.014331918	0.42561881	0.047830833	5.1512419	2.3243519	3.3083224	4.7520362	3.3083099	4.7520404	3.8129858	2.3648597	-66.606888	R0:N12:S0:1	-46.941867	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.76e+02	 9.65e-03	2022-06-16@11:56
2x2_2C_8b_C2v_L	6.0281227	12	2.9738	0.0068499398	-2.530346	-3.2632736	0.17540139	-3.2632638	0.17540172	0.21154439	-2.8338043	9	0.13140746	-0.97646912	1.5834098	-0.22659852	-1.583408	0.22659795	0.30644339	-2.1070016	1.926	1	0.2481	1.221756	1.5920352	-0.7137647	-0.27638221	0.1096701	0.17200155	0.18418658	1.9232006	1.6801025	0.31045584	1.6800992	0.31044291	0.014758148	1.3718312	1.1312307	-1.4529443	0.7309806	-1.9956063	1.2316204	1.9956207	-1.2315851	-0.33214555	3.0093506	0.035468327	0.15808048	0.074401306	0.27706149	0.29958032	0.27706403	0.29957135	0.014943357	0.42096899	0.047532493	5.0812591	2.3700179	3.3129582	4.7344708	3.3129716	4.7344676	3.7558262	2.3888556	-66.299148	R0:N12:S0:1	-48.2096	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.91e+02	 8.02e-03	2022-06-16@11:58
