GS_consistency	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	githash	model	mu	script	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	time	tpd	tpp	tppp	version	
YY	9.5	3.4161	-0.013406082	-2.3231132	-3.1500196	0.1920187	-3.149359	0.19210413	0.23704872	-2.8912085	a248bdd	2x2_2C_8b_C2v_L	9.68	validity_data_2022.py	-0.1351108	0.99171338	-1.5982639	0.23245041	1.5981183	-0.23242148	0.31729562	-2.1556813	2024-08-14@08:19	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	-0.014242217	-2.3299654	-3.1531306	0.18993977	-3.1524012	0.18985179	0.23382418	-2.8958994	a248bdd	2x2_2C_8b_C2v_L	9.69	validity_data_2022.py	-0.13494684	0.99231522	-1.5976581	0.23183078	1.5975055	-0.2317558	0.31630843	-2.1546684	2024-08-14@08:20	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	-0.015849578	-2.3381651	-3.15658	0.18726291	-3.1582056	0.18753683	0.23110812	-2.9026567	a248bdd	2x2_2C_8b_C2v_L	9.7	validity_data_2022.py	-0.13462198	0.99323931	-1.5973913	0.23041549	1.5977718	-0.23055047	0.31483319	-2.154695	2024-08-14@08:20	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	-0.017435446	-2.3464046	-3.1596873	0.1861533	-3.1576126	0.18596606	0.22921985	-2.906491	a248bdd	2x2_2C_8b_C2v_L	9.71	validity_data_2022.py	-0.13453816	0.99412861	-1.5971483	0.22942645	1.5967495	-0.22927378	0.31308939	-2.1538931	2024-08-14@08:21	2.0342	1	0.236	v2.7.1	
NY	9.5	3.4161	-0.018769234	-2.3523407	-3.1645031	0.18511153	-3.1629802	0.1856356	0.22872292	-2.9131437	a248bdd	2x2_2C_8b_C2v_L	9.72	validity_data_2022.py	-0.13434765	0.99452316	-1.5970898	0.22859012	1.5968558	-0.2286204	0.31236155	-2.153784	2024-08-14@08:22	2.0342	1	0.236	v2.7.1	
NY	9.5	3.4161	-0.020645903	-2.3617697	-3.167896	0.1850889	-3.1658885	0.18376655	0.22829103	-2.9201707	a248bdd	2x2_2C_8b_C2v_L	9.73	validity_data_2022.py	-0.13420436	0.99560635	-1.596978	0.22783728	1.5963481	-0.22738526	0.31148279	-2.1540437	2024-08-14@08:23	2.0342	1	0.236	v2.7.1	
NY	9.5	3.4161	-0.022296708	-2.3701436	-3.1728514	0.18181762	-3.1706753	0.18370643	0.22580853	-2.9247332	a248bdd	2x2_2C_8b_C2v_L	9.74	validity_data_2022.py	-0.1342978	0.99623172	-1.5968522	0.22656486	1.5965769	-0.2268568	0.31001211	-2.1531691	2024-08-14@08:24	2.0342	1	0.236	v2.7.1	
NY	9.5	3.4161	-0.023935637	-2.3777193	-3.1738523	0.17925574	-3.172818	0.18189719	0.22332819	-2.9303164	a248bdd	2x2_2C_8b_C2v_L	9.75	validity_data_2022.py	-0.13417629	0.99689699	-1.5957792	0.22539151	1.5959233	-0.22584855	0.30886117	-2.152727	2024-08-14@08:25	2.0342	1	0.236	v2.7.1	
NY	9.5	3.4161	-0.025771492	-2.3877243	-3.1753677	0.17923753	-3.1757174	0.17822931	0.22089113	-2.9354217	a248bdd	2x2_2C_8b_C2v_L	9.76	validity_data_2022.py	-0.13420561	0.99788473	-1.5952861	0.22465352	1.5951265	-0.22441492	0.30748013	-2.1520905	2024-08-14@08:27	2.0342	1	0.236	v2.7.1	
NY	9.5	3.4161	-0.028105675	-2.3965548	-3.1797841	0.17911058	-3.1814899	0.17605815	0.21925145	-2.9408974	a248bdd	2x2_2C_8b_C2v_L	9.77	validity_data_2022.py	-0.13435228	0.99859855	-1.5953528	0.22397854	1.5953276	-0.22342787	0.30626236	-2.1516743	2024-08-14@08:28	2.0342	1	0.236	v2.7.1	
NY	9.5	3.4161	-0.030789015	-2.4079138	-3.1869869	0.17582954	-3.1846246	0.17745263	0.21697584	-2.9453844	a248bdd	2x2_2C_8b_C2v_L	9.78	validity_data_2022.py	-0.13462804	0.99962666	-1.5957503	0.22290247	1.5953287	-0.22307322	0.30483787	-2.1507999	2024-08-14@08:29	2.0342	1	0.236	v2.7.1	
NY	9.5	3.4161	-0.0333815	-2.4192689	-3.1869887	0.17497535	-3.1879481	0.17253735	0.21435471	-2.9516363	a248bdd	2x2_2C_8b_C2v_L	9.79	validity_data_2022.py	-0.13500702	1.0006134	-1.5946812	0.2218928	1.5945992	-0.22143631	0.30372612	-2.1506063	2024-08-14@08:30	2.0342	1	0.236	v2.7.1	
NY	9.5	3.4161	-0.036327427	-2.4310268	-3.1905165	0.1698659	-3.1896088	0.17255145	0.21091242	-2.9561786	a248bdd	2x2_2C_8b_C2v_L	9.8	validity_data_2022.py	-0.13549441	1.0015533	-1.5939835	0.22029698	1.5941029	-0.22082091	0.30223269	-2.1497189	2024-08-14@08:31	2.0342	1	0.236	v2.7.1	
NY	9.5	3.4161	-0.040054674	-2.4464152	-3.1919293	0.16993056	-3.1926993	0.16734062	0.20738375	-2.9609097	a248bdd	2x2_2C_8b_C2v_L	9.81	validity_data_2022.py	-0.1364097	1.0028963	-1.5934433	0.2196949	1.5933182	-0.21916212	0.30075006	-2.148889	2024-08-14@08:32	2.0342	1	0.236	v2.7.1	
