GS_consistency	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	githash	model	mu	script	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	time	tpd	tpp	tppp	version	Unnamed: 28
YY	9.5	3.4161	-0.013406082	-2.3231132	-3.1500196	0.1920187	-3.149359	0.19210413	0.23704872	-2.8912085	a248bdd	2x2_2C_8b_C2v_L	9.68	validity_data_2022.py	-0.1351108	0.99171338	-1.5982639	0.23245041	1.5981183	-0.23242148	0.31729562	-2.1556813	2024-08-14@08:19	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	-0.014242217	-2.3299654	-3.1531306	0.18993977	-3.1524012	0.18985179	0.23382418	-2.8958994	a248bdd	2x2_2C_8b_C2v_L	9.69	validity_data_2022.py	-0.13494684	0.99231522	-1.5976581	0.23183078	1.5975055	-0.2317558	0.31630843	-2.1546684	2024-08-14@08:20	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	-0.015849578	-2.3381651	-3.15658	0.18726291	-3.1582056	0.18753683	0.23110812	-2.9026567	a248bdd	2x2_2C_8b_C2v_L	9.7	validity_data_2022.py	-0.13462198	0.99323931	-1.5973913	0.23041549	1.5977718	-0.23055047	0.31483319	-2.154695	2024-08-14@08:20	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	-0.017435446	-2.3464046	-3.1596873	0.1861533	-3.1576126	0.18596606	0.22921985	-2.906491	a248bdd	2x2_2C_8b_C2v_L	9.71	validity_data_2022.py	-0.13453816	0.99412861	-1.5971483	0.22942645	1.5967495	-0.22927378	0.31308939	-2.1538931	2024-08-14@08:21	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	0.028539348	-3.0289439	-3.720012	0.14207518	-3.7188695	0.1421183	0.16956272	-3.5173416	a248bdd	2x2_2C_8b_C2v_L	10.62	validity_data_2022.py	-0.094854699	1.0604051	-1.6058642	0.18439131	1.6056317	-0.18440797	0.25877955	-2.1387013	2024-08-14@09:17	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	0.027447609	-3.0368116	-3.7226928	0.14095663	-3.7228772	0.14112819	0.16757094	-3.5211936	a248bdd	2x2_2C_8b_C2v_L	10.63	validity_data_2022.py	0.094479073	1.0606953	-1.6050857	0.18383915	1.6051454	-0.18390654	0.25784827	-2.1375654	2024-08-14@09:18	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	0.024793888	-3.0466918	-3.7253446	0.13826625	-3.7258808	0.1382946	0.16226864	-3.5224662	a248bdd	2x2_2C_8b_C2v_L	10.64	validity_data_2022.py	0.093973816	1.0611138	-1.6043169	0.18321602	1.6044139	-0.18323961	0.25637766	-2.1355595	2024-08-14@09:18	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	0.022419195	-3.0518066	-3.7261833	0.13544035	-3.7261781	0.13557132	0.1570056	-3.5221496	a248bdd	2x2_2C_8b_C2v_L	10.65	validity_data_2022.py	-0.093264211	1.0608869	-1.6032017	0.18235204	1.6031913	-0.18238389	0.25442023	-2.1331087	2024-08-14@09:19	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	0.021467471	-3.0618894	-3.7326375	0.13526793	-3.7317691	0.13516095	0.15522574	-3.5270834	a248bdd	2x2_2C_8b_C2v_L	10.66	validity_data_2022.py	-0.093199512	1.0614227	-1.6032248	0.18246654	1.6030533	-0.18240445	0.25405378	-2.1322809	2024-08-14@09:20	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	0.020212803	-3.0676701	-3.7319176	0.13270224	-3.7325652	0.13281272	0.15198755	-3.5280121	a248bdd	2x2_2C_8b_C2v_L	10.67	validity_data_2022.py	0.092697654	1.0614035	-1.6017073	0.1812318	1.601894	-0.18120325	0.25219622	-2.130274	2024-08-14@10:36	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	0.022042619	-3.0609701	-3.7318485	0.1358045	-3.7315097	0.13588218	0.15678117	-3.5284853	a248bdd	2x2_2C_8b_C2v_L	10.66	validity_data_2022.py	0.093281847	1.0613217	-1.6030524	0.18245892	1.6030035	-0.18249895	0.25446332	-2.1327536	2024-08-14@10:38	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	0.023147005	-3.0520625	-3.7278094	0.13635308	-3.7255972	0.13625991	0.15835537	-3.5230393	a248bdd	2x2_2C_8b_C2v_L	10.65	validity_data_2022.py	0.09348643	1.0609305	-1.6035197	0.18247935	1.6030505	-0.18247056	0.25472778	-2.1333758	2024-08-14@10:39	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	0.025758156	-3.045071	-3.7258507	0.13955077	-3.7277011	0.14000643	0.16446012	-3.5242428	a248bdd	2x2_2C_8b_C2v_L	10.64	validity_data_2022.py	0.094105643	1.0609557	-1.6044248	0.18348134	1.6048696	-0.1836932	0.25693469	-2.1361351	2024-08-14@10:40	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	0.026698128	-3.0370096	-3.7224393	0.14051898	-3.7218393	0.14033824	0.16615585	-3.5206074	a248bdd	2x2_2C_8b_C2v_L	10.63	validity_data_2022.py	0.094410014	1.0606018	-1.6050496	0.183955	1.6049236	-0.18385892	0.25774456	-2.1373489	2024-08-14@10:42	2.0342	1	0.236	v2.7.1	
