model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	7.1815288	11.5	3.4161	-0.00019915702	-2.4693395	-3.3070345	0.20038116	-3.3056339	0.20055119	0.24705214	-2.9734965	9.68	-0.13780126	1.0032468	-1.6444766	0.23111878	1.6441808	-0.23109801	0.31143699	-2.2047016	2.0342	1	0.236	1.2158181	1.6014264	-0.73664757	-0.28831087	0.11561846	0.22366663	0.15514532	1.922323	1.6539977	0.25415681	1.6537077	0.25342909	0.011918892	1.3305411	1.1911951	1.4007892	-0.67793358	2.0560314	-1.2041246	-2.0570959	1.2019706	-0.31891799	3.1654657	0.042984626	0.13718962	0.075596874	0.30062858	0.2487387	0.30085034	0.24816197	0.012032125	0.44010323	0.053002151	5.3891354	2.0425856	3.2255961	4.8004447	3.2263706	4.8003441	3.8326863	2.04154	-70.640147	R0:N12:S0:1	-50.1112	uncorrelated	b7fd39a	v1.0.3	6	sharp_wc_2.0_b_50	 2.43e+02	 2.72e-03	2022-07-05@12:04
2x2_2C_8b_C2v_L	7.200217	11.5	3.4161	-0.00082346717	-2.4747101	-3.3092004	0.20071163	-3.309147	0.20090049	0.24784206	-2.979361	9.69	-0.1377846	1.0034319	-1.6438786	0.23031494	1.6439118	-0.23034985	0.31043987	-2.2044787	2.0342	1	0.236	1.2163443	1.6021761	-0.73498442	-0.28716351	0.11520139	0.22402918	0.15366664	1.9227878	1.6558478	0.25009861	1.6556917	0.24966	0.011810903	1.3326902	1.1919366	1.3957981	-0.67611909	2.049883	-1.1978381	-2.0505988	1.1965184	-0.31768693	3.1620718	0.043030852	0.13605373	0.07517366	0.29949716	0.24484475	0.29961576	0.24450149	0.011922856	0.43963161	0.052922772	5.3955468	2.0409356	3.2309255	4.8017821	3.2314479	4.8015902	3.8324979	2.0480122	-70.710694	R0:N12:S0:1	-50.1912	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.42e+02	 5.24e-03	2022-07-05@12:05
2x2_2C_8b_C2v_L	7.2183528	11.5	3.4161	-0.0021303344	-2.4806458	-3.3093813	0.20018418	-3.3112277	0.20033802	0.24740803	-2.9847975	9.7	-0.13772406	1.0038931	-1.6433949	0.22873711	1.6438199	-0.22884378	0.30838344	-2.2046953	2.0342	1	0.236	1.216844	1.6029745	-0.73331514	-0.28613064	0.11481899	0.22441785	0.15266611	1.9231504	1.657046	0.24648183	1.6572496	0.24683297	0.01163082	1.3343257	1.1926541	1.3925325	-0.67468953	2.0456823	-1.1910013	-2.0450949	1.1921644	-0.31539861	3.1597732	0.043081056	0.13528005	0.074839506	0.2987996	0.24142961	0.29864661	0.24170808	0.011740057	0.43926597	0.052864657	5.4000925	2.0391515	3.2351197	4.8038028	3.2348295	4.8037172	3.8323251	2.0523704	-70.77667	R0:N12:S0:1	-50.2712	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 2.41e+02	 1.00e+06	2022-07-05@12:06
2x2_2C_8b_C2v_L	7.2350448	11.5	3.4161	-0.0028038902	-2.4915323	-3.3156623	0.19896848	-3.3144866	0.1988122	0.24603501	-2.9900954	9.71	-0.13782432	1.0051234	-1.6438016	0.22796227	1.6435583	-0.22790556	0.30727173	-2.2043436	2.0342	1	0.236	1.2173061	1.6036657	-0.73180581	-0.28513163	0.11446287	0.22473055	0.15106711	1.9236874	1.6587281	0.24364792	1.6586302	0.24357182	0.01152107	1.3360201	1.1932816	1.3873025	-0.6727862	2.0403126	-1.1868204	-2.040544	1.1864837	-0.31416669	3.1569677	0.043121134	0.13404594	0.07435348	0.29772643	0.23864508	0.29779773	0.23859007	0.011628721	0.438895	0.052800795	5.4070545	2.0377488	3.2388345	4.8049241	3.2388286	4.8049989	3.8325813	2.0576369	-70.866775	R0:N12:S0:1	-50.3512	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 2.41e+02	 1.00e+06	2022-07-05@12:07
2x2_2C_8b_C2v_L	7.2524581	11.5	3.4161	-0.0038823179	-2.4930561	-3.3225473	0.19816524	-3.3190113	0.19789572	0.24374799	-2.9963891	9.72	-0.13740938	1.0051285	-1.6445664	0.22726628	1.6436615	-0.22700593	0.3058998	-2.2042765	2.0342	1	0.236	1.2177887	1.6043858	-0.73023386	-0.28408444	0.1140864	0.22506453	0.1492714	1.9240722	1.6605218	0.24081029	1.6601373	0.24000897	0.011441397	1.3379521	1.1939462	1.3800711	-0.6710293	2.0346441	-1.1827858	-2.0357519	1.1802313	-0.31288178	3.1539061	0.043163144	0.13265562	0.074010568	0.29656782	0.23584728	0.29686392	0.23519124	0.011549115	0.43845849	0.052731697	5.4162523	2.0360235	3.2424902	4.8058721	3.2432637	4.806068	3.8326563	2.0633909	-70.944072	R0:N12:S0:1	-50.4312	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 2.40e+02	 1.00e+06	2022-07-05@12:08
2x2_2C_8b_C2v_L	7.2703404	11.5	3.4161	-0.0049859097	-2.4991259	-3.3211153	0.19771087	-3.3194947	0.19687607	0.24394549	-3.0038953	9.73	-0.13739066	1.0054935	-1.6433925	0.2258179	1.6429377	-0.22555999	0.30443086	-2.2049789	2.0342	1	0.236	1.218284	1.605146	-0.72860891	-0.28303064	0.11370273	0.22544603	0.14812829	1.9244646	1.6616919	0.23679645	1.6617801	0.23734745	0.011301695	1.3398354	1.1946635	1.3762396	-0.66946338	2.0305108	-1.174858	-2.0298017	1.1762555	-0.3110787	3.1512952	0.043212022	0.1317669	0.073650315	0.29590026	0.23207843	0.29582285	0.23252988	0.011407405	0.43801917	0.052668348	5.4215167	2.0342393	3.2472836	4.8075795	3.246418	4.808117	3.8320287	2.0683732	-71.007219	R0:N12:S0:1	-50.5112	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 2.39e+02	 1.00e+06	2022-07-05@12:08
2x2_2C_8b_C2v_L	7.2874608	11.5	3.4161	-0.0059074212	-2.5065031	-3.3233946	0.19684977	-3.3257617	0.19612351	0.24270973	-3.0073748	9.74	-0.13749134	1.0060569	-1.6430046	0.22473921	1.6434013	-0.22476777	0.30290731	-2.2040003	2.0342	1	0.236	1.2187571	1.6058564	-0.72705955	-0.28200569	0.11333711	0.22577689	0.14690734	1.9248814	1.6628099	0.23264194	1.6637892	0.23511554	0.01116811	1.3414206	1.1953165	1.3721439	-0.66795352	2.0271126	-1.166247	-2.0229757	1.1740505	-0.30949526	3.1486239	0.043254333	0.13081712	0.073269314	0.29525733	0.22822045	0.29450431	0.23020942	0.011271833	0.43766346	0.052604334	5.426867	2.032888	3.2524385	4.8085827	3.2494007	4.8096191	3.832494	2.0733584	-71.083539	R0:N12:S0:1	-50.5912	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.38e+02	 1.20e-03	2022-07-05@12:10
2x2_2C_8b_C2v_L	7.3047909	11.5	3.4161	-0.0069734676	-2.5112311	-3.3283351	0.19577423	-3.3273758	0.19611942	0.241282	-3.014177	9.75	-0.13730608	1.0064201	-1.6430185	0.22392402	1.6430679	-0.22388335	0.30157224	-2.2042029	2.0342	1	0.236	1.219237	1.6065713	-0.72549787	-0.28095593	0.11295972	0.22612554	0.14543811	1.9252718	1.6653316	0.23164936	1.6643974	0.22954424	0.01106744	1.3433298	1.1959926	1.3665982	-0.66632256	2.0177409	-1.1681495	-2.0219797	1.1610292	-0.30807081	3.1457232	0.04329839	0.12967038	0.072915748	0.29355025	0.22687375	0.29425071	0.22521656	0.011170353	0.43721788	0.05253826	5.434071	2.0311939	3.2537285	4.8108663	3.2563327	4.8096274	3.8323034	2.0788253	-71.158512	R0:N12:S0:1	-50.6712	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 2.37e+02	 1.00e+06	2022-07-05@12:10
2x2_2C_8b_C2v_L	7.3222	11.5	3.4161	-0.008100812	-2.5200108	-3.3313598	0.1945102	-3.3293646	0.19498508	0.24078412	-3.0195489	9.76	-0.13743037	1.0072285	-1.6429141	0.22254527	1.6425688	-0.22253015	0.30011238	-2.2040458	2.0342	1	0.236	1.2197144	1.6073091	-0.72390739	-0.27993226	0.11259176	0.22646759	0.1443594	1.92567	1.6666425	0.22816815	1.6660018	0.22663323	0.010928227	1.3449812	1.1966539	1.3631266	-0.66491806	2.0135685	-1.1611308	-2.0162011	1.1562214	-0.30638898	3.1431612	0.043342088	0.12882609	0.072549804	0.29274355	0.22357949	0.29323896	0.22233456	0.011028891	0.4368301	0.052475706	5.4387097	2.0298395	3.257969	4.8122523	3.2598817	4.8115594	3.8323075	2.0836252	-71.234933	R0:N12:S0:1	-50.7512	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 2.36e+02	 6.39e-04	2022-07-05@12:13
2x2_2C_8b_C2v_L	7.3396686	11.5	3.4161	-0.0092406313	-2.5273416	-3.3339088	0.19404345	-3.334797	0.19387152	0.23970611	-3.0253403	9.77	-0.13744453	1.0078486	-1.6426709	0.22153233	1.6428125	-0.22150907	0.29873828	-2.2039143	2.0342	1	0.236	1.2201942	1.6080364	-0.72232153	-0.27888614	0.11221816	0.22680311	0.14309706	1.926073	1.6678069	0.2239106	1.667995	0.22431087	0.010807942	1.3467524	1.1973116	1.3586939	-0.66338654	2.010032	-1.152185	-2.0093148	1.153462	-0.30486348	3.1403865	0.043384478	0.12783627	0.072181283	0.29206885	0.21961453	0.29192274	0.21993974	0.01090701	0.43641115	0.052409981	5.4445087	2.0283388	3.26332	4.8130694	3.2628353	4.8132581	3.8322988	2.0888221	-71.315811	R0:N12:S0:1	-50.8312	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.36e+02	 6.97e-04	2022-07-05@12:14
