model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	8.792833	11.5	3.4161	0.72586961	-3.521589	-4.2494404	0.30049216	-4.2492033	0.29971551	0.56512095	-3.9659357	11.0	-2.990158e-06	1.1064993	-1.6846532	0.043647229	1.6846082	-0.043576032	0.098705853	-2.2212264	2.0342	1	0.236	1.2579519	1.6653254	-0.58920118	-0.18642511	0.078952899	0.25192541	0.0	1.9550879	1.7795017	0.0015905742	1.7794964	0.0015870984	0.00069327197	1.4953896	1.2466634	1.1054126e-05	-0.54338232	1.6526591	-0.12441014	-1.6526729	0.12426072	-0.086084949	2.888425	0.046304914	0.0	0.045748685	0.21259962	0.0015902902	0.2126047	0.0015868157	0.00069346923	0.38615549	0.046490671	6.3479111	1.9094984	3.504905	4.8717265	3.5049068	4.8717416	3.8568928	2.5223233	-83.806942	R0:N12:S0:1	-60.6712	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	190.0	8.23e-05	2022-07-12@11:55
2x2_2C_8b_C2v_L	8.7928606	11.5	3.4161	0.79794724	-3.5364419	-4.2647024	0.31445161	-4.2640847	0.31484787	0.57629287	-3.9783628	11.01	-8.6349799e-05	1.107344	-1.6859037	0.045998621	1.6857878	-0.045926331	0.10129341	-2.2221508	2.0342	1	0.236	1.2579483	1.6653411	-0.5891846	-0.18643811	0.078957368	0.25187564	5.2537582e-09	1.9550799	1.7795164	0.0017044244	1.7795103	0.001697983	0.00072183902	1.4953796	1.2465974	0.00030875775	-0.54340948	1.6526853	-0.1292254	-1.6526779	0.12898962	-0.088003412	2.8884004	0.046298369	5.2537582e-09	0.045756689	0.21257753	0.0017040961	0.21258455	0.0016976571	0.00072204591	0.38616126	0.046489436	6.3478559	1.9095768	3.5049016	4.8712773	3.5048817	4.871372	3.8567514	2.5223974	-83.96598	R0:N12:S0:1	-60.7512	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	193.0	0.000162	2022-07-12@11:56
2x2_2C_8b_C2v_L	8.7928797	11.5	3.4161	0.62802065	-3.5536839	-4.2795682	0.32989848	-4.2795605	0.32989295	0.59195423	-3.9924868	11.02	-1.826935e-06	1.1085084	-1.6870465	0.048330902	1.6870443	-0.048332085	0.10456552	-2.2235706	2.0342	1	0.236	1.2579442	1.6653563	-0.58916876	-0.18645115	0.078961969	0.25180891	0.0	1.9550777	1.7795311	0.001812108	1.7795323	0.0018122257	0.0007586106	1.4954259	1.2465125	6.9727826e-06	-0.54340088	1.6526883	-0.13372588	-1.6526807	0.13373038	-0.090413811	2.888286	0.046289894	0.0	0.045758655	0.21255688	0.0018117342	0.21255591	0.0018118519	0.00075883011	0.38613849	0.046486417	6.3477643	1.9096557	3.5048929	4.8708896	3.5048887	4.8709007	3.8563687	2.5226899	-84.134215	R0:N12:S0:1	-60.8312	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	196.0	1.97e-05	2022-07-12@11:57
2x2_2C_8b_C2v_L	8.792833	11.5	3.4161	0.72586961	-3.521589	-4.2494404	0.30049216	-4.2492033	0.29971551	0.56512095	-3.9659357	11.0	-2.990158e-06	1.1064993	-1.6846532	0.043647229	1.6846082	-0.043576032	0.098705853	-2.2212264	2.0342	1	0.236	1.2579519	1.6653254	-0.58920118	-0.18642511	0.078952899	0.25192541	0.0	1.9550879	1.7795017	0.0015905742	1.7794964	0.0015870984	0.00069327197	1.4953896	1.2466634	1.1054126e-05	-0.54338232	1.6526591	-0.12441014	-1.6526729	0.12426072	-0.086084949	2.888425	0.046304914	0.0	0.045748685	0.21259962	0.0015902902	0.2126047	0.0015868157	0.00069346923	0.38615549	0.046490671	6.3479111	1.9094984	3.504905	4.8717265	3.5049068	4.8717416	3.8568928	2.5223233	-83.806942	R0:N12:S0:1	-60.6712	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	190.0	8.23e-05	2022-07-12@12:02
2x2_2C_8b_C2v_L	8.7927476	11.5	3.4161	0.77425741	-3.5061706	-4.2355644	0.28699379	-4.2348053	0.28716224	0.55149443	-3.9530887	10.99	-4.8289741e-05	1.1055638	-1.683683	0.041595475	1.6835163	-0.04154104	0.096007711	-2.2201624	2.0342	1	0.236	1.257954	1.6653072	-0.58922277	-0.18641615	0.078949917	0.25196841	1.711469e-09	1.9550936	1.7794797	0.0014968547	1.7795093	0.0014928281	0.00066431371	1.4953795	1.246721	0.00017579646	-0.54337113	1.6527456	-0.12027583	-1.6525218	0.1201248	-0.08409391	2.8884697	0.046310482	1.711469e-09	0.045742989	0.21262366	0.0014966049	0.2126021	0.0014925792	0.00066450151	0.38615994	0.046491683	6.3479474	1.9094489	3.5049941	4.8718477	3.5048583	4.8722477	3.8571197	2.5221911	-83.649735	R0:N12:S0:1	-60.5912	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	188.0	0.000159	2022-07-12@12:03
2x2_2C_8b_C2v_L	8.792715	11.5	3.4161	0.82850414	-3.4891848	-4.2199537	0.2714746	-4.2199348	0.27113343	0.53668969	-3.939424	10.98	1.2339556e-06	1.1044039	-1.6823876	0.039133937	1.6823723	-0.039109472	0.092848186	-2.2188833	2.0342	1	0.236	1.2579579	1.6652916	-0.58924036	-0.18640337	0.078945528	0.25203428	0.0	1.9551003	1.7794701	0.0013792032	1.7794826	0.0013783211	0.00062997509	1.4953426	1.2468042	-4.4152716e-06	-0.54334579	1.652665	-0.11501731	-1.6525904	0.11497701	-0.08170754	2.8885858	0.046318821	0.0	0.04573648	0.2126432	0.0013789924	0.21263318	0.0013781104	0.00063015054	0.38617749	0.046494602	6.3480755	1.9093128	3.5049652	4.8724253	3.5049298	4.8725259	3.8574111	2.5219181	-83.482843	R0:N12:S0:1	-60.5112	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	185.0	0.000107	2022-07-12@12:04
2x2_2C_8b_C2v_L	8.7926635	11.5	3.4161	0.99605669	-3.4720719	-4.2047643	0.25544959	-4.2047617	0.25538204	0.52227154	-3.9260647	10.97	6.7831371e-06	1.1032377	-1.6811717	0.036720791	1.6811709	-0.036717504	0.089836768	-2.2176919	2.0342	1	0.236	1.2579612	1.6652755	-0.58925959	-0.18639182	0.078941643	0.25209804	0.0	1.9551054	1.7794568	0.0012661567	1.779457	0.001266065	0.00059800589	1.495313	1.2468844	-2.2868381e-05	-0.54332667	1.6526274	-0.10977053	-1.6526258	0.10976551	-0.079424827	2.8886893	0.046326888	0.0	0.045731582	0.21266472	0.00126598	0.21266454	0.0012658883	0.00059817003	0.38619133	0.046497489	6.3482077	1.9091805	3.5049696	4.8728923	3.5049688	4.8728948	3.8576632	2.5216765	-83.316704	R0:N12:S0:1	-60.4312	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	182.0	2.32e-05	2022-07-12@12:04
2x2_2C_8b_C2v_L	8.7926047	11.5	3.4161	1.3115726	-3.4555718	-4.1900959	0.24015824	-4.1899991	0.23990425	0.50806235	-3.9128965	10.96	-5.234017e-06	1.1021409	-1.6800602	0.034413709	1.6800352	-0.03437241	0.086884202	-2.2165508	2.0342	1	0.236	1.2579642	1.6652589	-0.58927927	-0.18638083	0.078937952	0.25215447	0.0	1.9551124	1.7794425	0.0011590083	1.7794475	0.0011567339	0.0005671003	1.4952889	1.2469565	1.5896195e-05	-0.5432988	1.652626	-0.10461465	-1.6525897	0.10450907	-0.077167957	2.8887791	0.046334038	0.0	0.045724643	0.21268556	0.0011588611	0.21268195	0.0011565872	0.00056725343	0.38620248	0.046499693	6.3483181	1.9090573	3.5050102	4.8732335	3.5049925	4.8732941	3.8578973	2.5214627	-83.154216	R0:N12:S0:1	-60.3512	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	180.0	1.35e-05	2022-07-12@12:05
2x2_2C_8b_C2v_L	8.7925335	11.5	3.4161	1.862268	-3.4388529	-4.1753445	0.22402264	-4.175288	0.22399174	0.49360952	-3.899804	10.95	-2.8563412e-06	1.1010071	-1.6789254	0.032043255	1.6789156	-0.032036434	0.08394666	-2.2154325	2.0342	1	0.236	1.257967	1.665242	-0.58930028	-0.18637043	0.078934547	0.25221148	0.0	1.9551199	1.779433	0.0010497774	1.7794318	0.0010493703	0.00053692113	1.4952644	1.2470287	7.4149051e-06	-0.54326508	1.6525896	-0.099156406	-1.6525926	0.0991367	-0.074908028	2.8888749	0.046341227	0.0	0.045717316	0.21270319	0.0010496573	0.21270432	0.0010492502	0.00053706356	0.38621363	0.046502011	6.3484456	1.9089164	3.5050387	4.8736302	3.5050383	4.8736342	3.8581129	2.5212428	-82.991414	R0:N12:S0:1	-60.2712	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	177.0	9.22e-06	2022-07-12@12:06
2x2_2C_8b_C2v_L	8.7924546	11.5	3.4161	2.6767714	-3.421936	-4.1605976	0.20707403	-4.1606676	0.20716227	0.47906434	-3.8867055	10.94	-2.9877106e-06	1.0998405	-1.6777983	0.0296539	1.677812	-0.029665062	0.080992404	-2.2143137	2.0342	1	0.236	1.2579696	1.6652248	-0.58932203	-0.18636051	0.07893133	0.25226904	0.0	1.9551276	1.77942	0.00094155241	1.7794197	0.00094212444	0.00050702801	1.4952371	1.2471012	6.4235428e-06	-0.54322757	1.6525714	-0.093502646	-1.6525778	0.093532105	-0.072614864	2.8889787	0.046348449	0.0	0.045709723	0.2127238	0.00094145617	0.2127238	0.00094202809	0.0005071598	0.38622608	0.046504449	6.3485859	1.9087622	3.5050776	4.8740033	3.5050829	4.8739851	3.858325	2.5210094	-82.828426	R0:N12:S0:1	-60.1912	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	175.0	1.97e-05	2022-07-12@12:07
