model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	8.259028	9.5	3.4161	0.002050706	-3.2562891	-3.7212382	0.051026787	-3.7212125	0.050983339	0.045591212	-3.5037225	11	0.079266612	1.0627458	-1.5556148	0.14694488	1.5555896	-0.14695341	0.19152334	-2.0517888	2.0342	1	0.236	1.2370677	1.7108568	-0.60795954	-0.26106287	0.10523957	0.38294931	0.0090355934	1.9580705	1.6372587	0.02287232	1.6373371	0.022883488	0.0029571389	1.2146353	1.3737375	-0.41150599	-0.38667788	1.9356442	-0.48994403	-1.9352978	0.49008705	-0.19709843	3.4445191	0.056816955	0.0089820138	0.043376949	0.34596189	0.022833056	0.34590931	0.022844047	0.0029567993	0.47923792	0.058865186	7.0105404	1.178153	3.4953172	5.3439235	3.4952724	5.3442496	4.1737434	1.3581696	-82.42158	R0:N12:S0:1	-60.6712	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 3.09e+02	 1.00e+06	2022-07-12@11:17
2x2_2C_8b_C2v_L	8.0540458	10.055556	3.4161	0.072046912	-3.5671143	-4.2314737	0.17458053	-4.231446	0.17458257	0.22309367	-3.9597244	11	0.10179649	1.1033233	-1.6576615	0.18238351	1.6576559	-0.18237985	0.25593918	-2.1862424	2.0342	1	0.236	1.236205	1.671521	-0.64671323	-0.24699447	0.10263005	0.32758607	0.012311538	1.9547673	1.694222	0.024786737	1.6942181	0.024785207	0.0045218111	1.3197126	1.3176687	-0.4788356	-0.45303078	1.8529548	-0.5157701	-1.8529703	0.51575336	-0.23427297	3.2765208	0.053333453	0.012211772	0.04647299	0.29173939	0.024727397	0.2917425	0.024725883	0.004524058	0.45399577	0.055300914	6.7377078	1.439285	3.4805939	5.1199825	3.4805989	5.1199721	3.9923846	1.743996	-85.430358	R0:N12:S0:1	-60.6712	uncorrelated	b7fd39a	v1.0.3	5	sharp_wc_2.0_b_50	 3.56e+02	 2.42e-03	2022-07-12@11:19
2x2_2C_8b_C2v_L	8.3118808	10.611111	3.4161	0.34260584	-3.6265074	-4.3949364	0.55465597	-4.3948435	0.55466738	0.67353897	-4.0833006	11	0.086549199	1.1150452	-1.7009449	0.17334075	1.7009859	-0.17331315	0.25152218	-2.2390582	2.0342	1	0.236	1.2444229	1.6649767	-0.62925794	-0.22239769	0.093168963	0.29345681	0.0070478119	1.9547402	1.7343416	0.015071694	1.734222	0.015057023	0.0037282811	1.3958914	1.284975	-0.36222455	-0.4906211	1.7677798	-0.41203574	-1.7684037	0.41179008	-0.21092173	3.1256798	0.050476856	0.0070152616	0.046358591	0.25477607	0.015044517	0.25486817	0.015030011	0.0037296962	0.42872907	0.051758775	6.591412	1.6270961	3.493215	5.000121	3.4934297	4.9994158	3.9092734	2.0680418	-85.882093	R0:N12:S0:1	-60.6712	uncorrelated	b7fd39a	v1.0.3	6	sharp_wc_2.0_b_50	 7.27e+02	 1.03e-03	2022-07-12@11:20
2x2_2C_8b_C2v_L	8.6222285	11.166667	3.4161	0.32240434	-3.5369144	-4.2825079	0.54356008	-4.2825522	0.54359654	0.7008282	-3.9938143	11	0.029744995	1.1054134	-1.6860354	0.09554052	1.6860663	-0.095519093	0.15757524	-2.2231147	2.0342	1	0.236	1.2532699	1.6653396	-0.60376126	-0.19884973	0.08390564	0.26738196	0.00096532399	1.9549909	1.7637073	0.0052306517	1.7636689	0.0052268279	0.0015814947	1.4599305	1.2611745	-0.13056072	-0.52376277	1.6947866	-0.23625195	-1.6950051	0.23615578	-0.13358858	2.9777535	0.047973397	0.00096470397	0.04596315	0.22744847	0.0052273886	0.22747892	0.0052235748	0.0015821124	0.40266009	0.048452606	6.4548696	1.8033029	3.4995733	4.9217993	3.4996738	4.9215172	3.8752486	2.3584182	-84.377222	R0:N12:S0:1	-60.6712	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 3.51e+02	 2.12e-03	2022-07-12@11:21
2x2_2C_8b_C2v_L	8.9006562	11.722222	3.4161	0.32227288	-3.5419113	-4.2662237	0.54117641	-4.2662467	0.5412102	0.68796058	-3.96836	11	3.6151193e-05	1.1112272	-1.6916655	0.016894243	1.6916753	-0.016912667	0.077033967	-2.2265199	2.0342	1	0.236	1.2608334	1.6652803	-0.57976711	-0.17879531	0.075889888	0.24162077	1.5506448e-09	1.9552106	1.789572	0.00017720684	1.7895661	0.00017757844	0.00040743119	1.5177361	1.2367882	-0.00016154161	-0.55536844	1.6245751	-0.042469783	-1.6246117	0.04251408	-0.065984684	2.8291232	0.045109589	1.5506448e-09	0.045542076	0.20308679	0.000177203	0.20309153	0.00017757458	0.00040749567	0.37500223	0.045176987	6.2723662	1.97868	3.5099352	4.8359129	3.5099549	4.8358606	3.8446798	2.6265349	-83.725744	R0:N12:S0:1	-60.6712	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.44e+02	 1.56e-03	2022-07-12@11:22
2x2_2C_8b_C2v_L	9.1472987	12.277778	3.4161	0.32227288	-3.564748	-4.3255114	0.54125229	-4.3255201	0.5412861	0.68888648	-3.9814173	11	-8.9117792e-05	1.1180252	-1.7128299	5.7720378e-05	1.7128311	-5.9013273e-05	-0.00025486468	-2.2407841	2.0342	1	0.236	1.2672392	1.6648929	-0.55761129	-0.16192126	0.069059124	0.21775673	9.9064013e-09	1.9558762	1.8109931	2.1504811e-09	1.8109933	2.2478073e-09	4.7274854e-09	1.5677747	1.2135907	0.00039930982	-0.57970008	1.5610299	-0.00014497682	-1.5610289	0.00014822183	0.00021961359	2.6869886	0.042110136	9.9064012e-09	0.044691133	0.18267078	2.1504811e-09	0.18267056	2.2478073e-09	4.7274854e-09	0.34789667	0.042047472	6.0935821	2.139382	3.5239539	4.751719	3.5239536	4.7517194	3.82043	2.8606767	-83.601483	R0:N12:S0:1	-60.6712	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 8.68e+01	 1.57e-03	2022-07-12@11:23
2x2_2C_8b_C2v_L	9.3775175	12.833333	3.4161	0.32227633	-3.5834386	-4.3639847	0.54125572	-4.363988	0.54128953	0.68888991	-4.0102557	11	0.0010316113	1.1232923	-1.7283177	-0.00013161302	1.7283178	0.00014521927	5.8640531e-05	-2.25937	2.0342	1	0.236	1.2729864	1.6645835	-0.53622118	-0.14687705	0.062917699	0.196696	1.3816017e-06	1.9569261	1.8293265	1.153829e-08	1.8293269	1.404671e-08	2.6559478e-10	1.6121631	1.193064	-0.0046156919	-0.59721878	1.5006122	0.00032969065	-1.5006099	-0.00036376873	-5.0934278e-05	2.550908	0.039195361	1.3816004e-06	0.043486984	0.16520837	1.153829e-08	0.16520804	1.404671e-08	2.6559478e-10	0.32143196	0.039058136	5.9280139	2.2851773	3.5416699	4.6791856	3.5416684	4.6791887	3.8026286	3.0639133	-83.463144	R0:N12:S0:1	-60.6712	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 6.09e+01	 1.15e-03	2022-07-12@11:23
2x2_2C_8b_C2v_L	9.5931763	13.388889	3.4161	0.32231467	-3.611731	-4.4007194	0.54125572	-4.4007113	0.54128927	0.68888964	-4.0302662	11	0.00016498591	1.1287109	-1.7416692	0.00043357753	1.7416766	-0.00049453872	-0.00014074766	-2.273542	2.0342	1	0.236	1.2781676	1.6643427	-0.51556692	-0.13339748	0.057376817	0.17795532	3.6445853e-08	1.9583191	1.8454689	1.2819628e-07	1.8454633	1.6676062e-07	1.6187325e-09	1.6515265	1.1748055	-0.00073436423	-0.60908416	1.4422052	-0.0010806663	-1.4422436	0.0012325298	0.00012352619	2.4209705	0.036388945	3.6445852e-08	0.041966321	0.1498367	1.2819628e-07	0.14984158	1.6676062e-07	1.6187325e-09	0.29607834	0.036205798	5.773402	2.4191994	3.5620084	4.6153363	3.5620389	4.6152793	3.7928698	3.2379058	-83.348125	R0:N12:S0:1	-60.6712	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 4.74e+01	 1.73e-02	2022-07-12@11:24
2x2_2C_8b_C2v_L	9.7943564	13.944444	3.4161	0.3223151	-3.6359184	-4.4191409	0.54125789	-4.4191385	0.54129231	0.68888964	-4.0385244	11	-0.00011630433	1.1336659	-1.7508275	-0.00010582437	1.7508276	0.00011829923	1.3085077e-05	-2.2834673	2.0342	1	0.236	1.2828251	1.664162	-0.49576481	-0.12135447	0.052397576	0.16142432	1.8647687e-08	1.9598774	1.8595244	7.8094227e-09	1.8595241	9.7586306e-09	0	1.6862595	1.1587036	0.00051471788	-0.61651763	1.3868779	0.00026250659	-1.3868798	-0.00029344516	-1.1636541e-05	2.2982099	0.033747228	1.8647687e-08	0.040307375	0.13644324	7.8094227e-09	0.13644348	9.7586306e-09	0	0.27224596	0.033539891	5.6305374	2.5420292	3.5834926	4.5596299	3.5834941	4.5596272	3.7894633	3.3843525	-83.153203	R0:N12:S0:1	-60.6712	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 4.01e+01	 1.43e-02	2022-07-12@11:24
2x2_2C_8b_C2v_L	9.9814145	14.5	3.4161	0.32231645	-3.6507893	-4.4248597	0.54125924	-4.4248582	0.54129367	0.68888968	-4.0375101	11	-0.00034797955	1.1373411	-1.7569167	0.00018630448	1.7569163	-0.0002076836	-3.0796787e-05	-2.2898655	2.0342	1	0.236	1.2870038	1.6640155	-0.47689106	-0.11061647	0.047935047	0.14677926	1.7146648e-07	1.9615486	1.8718882	2.4699549e-08	1.8718883	3.0692069e-08	0	1.7169366	1.1444345	0.0015299407	-0.62007695	1.3343058	-0.00045987064	-1.3343049	0.00051263293	2.7801076e-05	2.1827972	0.031275723	1.7146646e-07	0.038558927	0.12464877	2.4699549e-08	0.12464867	3.0692069e-08	0	0.25006494	0.031059407	5.4992366	2.6543814	3.6054547	4.5106199	3.6054537	4.5106215	3.7904736	3.5064987	-82.893032	R0:N12:S0:1	-60.6712	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 3.60e+01	 8.89e-04	2022-07-12@11:25
