model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	20.358691	12	7	1.1256039e-06	-1.8996025	-2.1927909	0.21485728	-2.1927916	0.21485601	0.2690966	-1.4546103	11.6	0.12300042	-0.77612708	1.2250629	-0.23868757	-1.2250627	0.23868742	0.39667213	-1.590807	1.5	1	1e-09	1.1850518	1.6161732	-0.75749904	-0.37288356	0.14946378	0.32618323	0.11323044	1.9345819	1.5938921	0.19110453	1.5938941	0.19110707	0.022463852	1.1078015	1.3129811	-1.2395425	0.55233575	-2.097787	1.1228382	2.0977794	-1.122847	-0.55692278	3.3318483	0.054000786	0.10365047	0.064684517	0.35692251	0.18806014	0.35692113	0.18806226	0.022251876	0.48872201	0.058576237	5.9009527	1.6454321	3.2058272	5.0141497	3.2058245	5.0141513	4.3863664	1.6395024	-69.232109	R0:N12:S0:1	-36.8	uncorrelated	b7fd39a	v1.0.3	6	sharp_wc_2.0_b_50	 1.38e+02	 5.26e-03	2022-06-16@12:15
2x2_2C_8b_C2v_L	19.03847	12	6.6017889	-0.0042540472	-1.9875315	-2.314738	0.21920794	-2.3147395	0.21921139	0.27445343	-1.6118389	11.377778	0.12493302	-0.80626544	1.276986	-0.23413816	-1.2769861	0.2341392	0.37746408	-1.6680397	1.5593556	1	0.026222223	1.1917898	1.6145129	-0.75064148	-0.35500375	0.14233579	0.30613422	0.11982669	1.9327857	1.6127215	0.19076135	1.6127233	0.19076258	0.018679924	1.1555759	1.2915408	-1.2630734	0.5785462	-2.0698498	1.1065223	2.0698424	-1.1065294	-0.49693843	3.2978829	0.052297299	0.1090295	0.066256867	0.34126058	0.18765341	0.34125942	0.18765429	0.018561712	0.48311853	0.057229738	5.7936463	1.7357402	3.221289	4.9791494	3.2212888	4.9791509	4.3019558	1.7136193	-69.284226	R0:N12:S0:1	-38.207911	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.44e+02	 2.24e-02	2022-06-16@12:16
2x2_2C_8b_C2v_L	17.670565	12	6.2035778	-0.0051664997	-2.0695733	-2.4353762	0.21481059	-2.435366	0.21479693	0.26802204	-1.7702339	11.155556	0.12778238	-0.83464362	1.3260826	-0.23105853	-1.3260785	0.23105498	0.36183047	-1.7399877	1.6187111	1	0.052444445	1.1973897	1.613147	-0.74429824	-0.34026415	0.13645074	0.28794775	0.12634925	1.931191	1.6265869	0.19551374	1.6265914	0.19552337	0.016212962	1.1952415	1.2716975	-1.2862551	0.60201832	-2.0504661	1.1034704	2.0504452	-1.1034986	-0.4519265	3.2624253	0.050575	0.11430431	0.067658075	0.32906471	0.19216627	0.32906129	0.19217446	0.016153695	0.47648421	0.055961311	5.6955621	1.8187388	3.2297599	4.944418	3.2297461	4.9444277	4.2247494	1.7937465	-69.327087	R0:N12:S0:1	-39.615822	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.49e+02	 4.79e-03	2022-06-16@12:18
2x2_2C_8b_C2v_L	16.262106	12	5.8053667	-0.0055426567	-2.1454496	-2.5599674	0.20967118	-2.5599691	0.20967028	0.26133811	-1.9337026	10.933333	0.12979952	-0.8627052	1.3753306	-0.22921308	-1.3753306	0.22921305	0.34963709	-1.8113555	1.6780667	1	0.078666667	1.2020616	1.6114222	-0.73910044	-0.32778687	0.13144312	0.27156427	0.13202997	1.9297206	1.6375731	0.20272505	1.6375752	0.20272836	0.014601229	1.229385	1.2534154	-1.3044624	0.62249304	-2.0360212	1.1079363	2.0360127	-1.1079479	-0.41732981	3.2278462	0.048871653	0.11884734	0.068957119	0.31908305	0.1990265	0.31908155	0.1990292	0.014584546	0.46935827	0.054788809	5.6121884	1.8926327	3.2359824	4.9118586	3.2359784	4.9118611	4.1527441	1.8729537	-69.401851	R0:N12:S0:1	-41.023733	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.55e+02	 4.96e-03	2022-06-16@12:19
2x2_2C_8b_C2v_L	14.815403	12	5.4071556	-0.0046341165	-2.2126881	-2.6844773	0.20483144	-2.6844678	0.20483908	0.25497896	-2.099793	10.711111	0.13148762	-0.88937801	1.4234895	-0.22872273	-1.4234897	0.22872372	0.34049671	-1.8813427	1.7374222	1	0.10488889	1.2058559	1.6092306	-0.73540461	-0.31742284	0.12726396	0.25680304	0.13758447	1.928265	1.6456783	0.21259506	1.6456684	0.21257627	0.013640997	1.2581462	1.2364613	-1.3217649	0.64060725	-2.0273291	1.1196215	2.0273701	-1.11956	-0.39128759	3.1963386	0.047213819	0.12325321	0.070247121	0.31132946	0.2084313	0.31133683	0.20841603	0.013658273	0.4622374	0.053754651	5.538249	1.9580768	3.2397591	4.8816336	3.2397829	4.8816207	4.0858891	1.9462957	-69.477199	R0:N12:S0:1	-42.431644	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.63e+02	 4.98e-03	2022-06-16@12:21
2x2_2C_8b_C2v_L	13.335661	12	5.0089444	-0.0029618579	-2.274846	-2.8122018	0.20128527	-2.8122044	0.20128673	0.25014278	-2.2667797	10.488889	0.1329852	-0.91506984	1.4716196	-0.22939076	-1.4716203	0.2293912	0.33368956	-1.9498714	1.7967778	1	0.13111111	1.2088886	1.6066211	-0.73318078	-0.30890504	0.12380887	0.24342876	0.14343904	1.9267887	1.6514826	0.22473364	1.6514823	0.22473255	0.013125687	1.2819869	1.2205572	-1.3404484	0.65686778	-2.0239622	1.1368551	2.0239639	-1.1368522	-0.37158768	3.16919	0.045609986	0.12785528	0.07155396	0.30538833	0.2199993	0.30538855	0.21999841	0.013172261	0.45546088	0.052876785	5.4702698	2.0158529	3.2418092	4.8537331	3.2418108	4.853732	4.0238088	2.0109167	-69.570405	R0:N12:S0:1	-43.839556	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.72e+02	 4.47e-03	2022-06-16@12:22
2x2_2C_8b_C2v_L	11.824931	12	4.6107333	-0.00064005556	-2.3301853	-2.9385853	0.1991029	-2.9385867	0.19910305	0.24641575	-2.434601	10.266667	0.13437599	-0.93948908	1.51862	-0.23097954	-1.5186206	0.23097969	0.32872324	-2.0171527	1.8561333	1	0.15733333	1.2112033	1.60353	-0.73261358	-0.30210553	0.12103061	0.23127402	0.1502052	1.9251024	1.6548326	0.23946089	1.6548325	0.23946072	0.012949868	1.3012818	1.2054685	-1.3627503	0.67222871	-2.0267462	1.1590863	2.026747	-1.1590856	-0.35673522	3.1476296	0.044069196	0.13311915	0.07304876	0.30134182	0.23404387	0.3013419	0.23404378	0.013023715	0.44926465	0.052181306	5.4050039	2.0669014	3.2414214	4.8282022	3.2414217	4.8282017	3.9653959	2.0644062	-69.657011	R0:N12:S0:1	-45.247467	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.84e+02	 3.69e-03	2022-06-16@12:24
2x2_2C_8b_C2v_L	10.287112	12	4.2125222	0.0015292361	-2.3810882	-3.0634797	0.19899289	-3.063471	0.19899395	0.24613456	-2.6036017	10.044444	0.13566744	-0.96304181	1.5650318	-0.23288426	-1.5650283	0.23288381	0.32530179	-2.0841731	1.9154889	1	0.18355556	1.2128865	1.6000239	-0.73362621	-0.29683521	0.11884303	0.22020176	0.15861705	1.9230667	1.6558713	0.25662795	1.6558717	0.25662722	0.012994665	1.3163602	1.1909908	-1.3913315	0.68748403	-2.0358674	1.1847621	2.0358637	-1.1847627	-0.3452947	3.1327355	0.042596424	0.13956773	0.074849309	0.29906581	0.25043312	0.29906567	0.25043218	0.013093766	0.44380815	0.05168769	5.338896	2.1116352	3.2385155	4.8052188	3.2385165	4.805221	3.9094102	2.1047082	-69.744345	R0:N12:S0:1	-46.655378	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.98e+02	 1.11e-02	2022-06-16@12:25
2x2_2C_8b_C2v_L	8.7221836	12	3.8143111	0.0046149813	-2.4280717	-3.1878814	0.19921557	-3.1878763	0.19921448	0.24486695	-2.7709912	9.8222222	0.1371517	-0.98538941	1.6101456	-0.23581722	-1.610145	0.23581744	0.32320386	-2.1488196	1.9748444	1	0.20977778	1.2139368	1.5958999	-0.73654319	-0.29297648	0.11725173	0.20994297	0.16822036	1.9207938	1.6547265	0.27682116	1.6547272	0.27682544	0.013249596	1.327539	1.1767743	-1.4240767	0.70251999	-2.0518377	1.2140929	2.0518334	-1.2141044	-0.33691255	3.1243856	0.041173517	0.14681339	0.076859252	0.29840096	0.26972817	0.2984004	0.26973149	0.013373443	0.43919645	0.051394785	5.2739492	2.1512664	3.2326751	4.7832106	3.2326697	4.7832114	3.8557111	2.132125	-69.825457	R0:N12:S0:1	-48.063289	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 2.15e+02	 9.41e-03	2022-06-16@12:27
2x2_2C_8b_C2v_L	7.1366988	12	3.4161	0.007653448	-2.4688529	-3.3084458	0.20047968	-3.30844	0.20047927	0.24470067	-2.936673	9.6	0.13863257	-1.0063443	1.6537233	-0.23891678	-1.6537226	0.23891606	0.32184571	-2.2119126	2.0342	1	0.236	1.2145035	1.5915771	-0.74085335	-0.29033695	0.11616566	0.20043101	0.17998206	1.9179977	1.6513914	0.29985944	1.651388	0.29984941	0.013618741	1.3351529	1.1626901	-1.4635055	0.71854772	-2.0748491	1.2450927	2.0748636	-1.2450633	-0.33019874	3.1232839	0.039804011	0.15550342	0.079326691	0.29932244	0.29178716	0.29932486	0.29178009	0.013765803	0.43545031	0.051314263	5.2065974	2.1861494	3.22366	4.7623931	3.2236696	4.762392	3.8030237	2.1452951	-69.883004	R0:N12:S0:1	-49.4712	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 2.36e+02	 7.81e-03	2022-06-16@12:28
