w	up_1	up_2	up_3	cumul_up_1	cumul_up_2	cumul_up_3	
-25	0.000822662	0.000161176	0.00016458	0	0	0
-24.975	0.000706903	0.00015804	0.00016118	1.76726e-05	3.95099e-06	4.0295e-06
-24.95	0.000605288	0.000155543	0.000158071	3.28048e-05	7.83957e-06	7.98129e-06
-24.925	0.000525195	0.000153741	0.000155666	4.59347e-05	1.16831e-05	1.18729e-05
-24.9	0.00046488	0.000152518	0.000153961	5.75567e-05	1.5496e-05	1.57219e-05
-24.875	0.000420092	0.000151736	0.000152821	6.8059e-05	1.92894e-05	1.95425e-05
-24.85	0.000386829	0.000151279	0.000152104	7.77297e-05	2.30714e-05	2.33451e-05
-24.825	0.000362	0.000151061	0.000151697	8.67797e-05	2.68479e-05	2.71375e-05
-24.8	0.000343377	0.00015102	0.000151518	9.53641e-05	3.06234e-05	3.09254e-05
-24.775	0.000329392	0.000151112	0.000151508	0.000103599	3.44012e-05	3.47131e-05
-24.75	0.000318945	0.000151308	0.000151626	0.000111573	3.81839e-05	3.85038e-05
-24.725	0.000311266	0.000151585	0.000151844	0.000119354	4.19736e-05	4.22999e-05
-24.7	0.000305817	0.000151928	0.000152141	0.000127	4.57718e-05	4.61034e-05
-24.675	0.00030223	0.000152326	0.000152503	0.000134555	4.95799e-05	4.9916e-05
-24.65	0.000300262	0.000152771	0.00015292	0.000142062	5.33992e-05	5.3739e-05
-24.625	0.000299771	0.000153259	0.000153384	0.000149556	5.72307e-05	5.75736e-05
-24.6	0.000300702	0.000153786	0.000153893	0.000157074	6.10753e-05	6.14209e-05
-24.575	0.000303087	0.000154352	0.000154443	0.000164651	6.49341e-05	6.5282e-05
-24.55	0.000307051	0.000154958	0.000155036	0.000172327	6.88081e-05	6.91579e-05
-24.525	0.000312828	0.000155607	0.000155674	0.000180148	7.26983e-05	7.30498e-05
-24.5	0.0003208	0.000156307	0.000156364	0.000188168	7.66059e-05	7.69589e-05
-24.475	0.000331547	0.000157067	0.000157116	0.000196457	8.05326e-05	8.08868e-05
-24.45	0.000345928	0.000157902	0.000157945	0.000205105	8.44802e-05	8.48354e-05
-24.425	0.000365182	0.000158836	0.000158873	0.000214234	8.84511e-05	8.88072e-05
-24.4	0.000391023	0.0001599	0.000159932	0.00022401	9.24486e-05	9.28055e-05
-24.375	0.000425588	0.000161135	0.000161161	0.00023465	9.64769e-05	9.68345e-05
-24.35	0.000470811	0.000162574	0.000162596	0.00024642	0.000100541	0.000100899
-24.325	0.000526214	0.000164211	0.000164229	0.000259575	0.000104647	0.000105005
-24.3	0.000584122	0.000165902	0.000165917	0.000274178	0.000108794	0.000109153
-24.275	0.000625644	0.0001673	0.000167311	0.000289819	0.000112977	0.000113336
