GS_consistency	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	githash	model	mu	script	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	time	tpd	tpp	tppp	version	Unnamed: 28
YY	13.5	4.0781	0.02628796	-2.1590011	-3.0493394	0.27623895	-3.049621	0.2754505	0.32551356	-2.6009674	a248bdd	2x2_2C_8b_C2v_L	9.79	validité_data_2022.py	0.15738949	1.0332807	-1.7504008	-0.29347135	1.7505578	-0.29312427	0.41628894	-2.3517788	2024-08-12@14:45	2.1719	1	0.1609	v2.7.1	
YY	13.5	4.0781	0.026306789	-2.1633469	-3.0556308	0.27494912	-3.0547035	0.27545591	0.32435433	-2.6074572	a248bdd	2x2_2C_8b_C2v_L	9.8	validité_data_2022.py	0.15716712	1.0335824	-1.7508069	-0.29279251	1.7504523	-0.29302306	0.41533336	-2.351694	2024-08-12@14:46	2.1719	1	0.1609	v2.7.1	
YY	13.5	4.0781	0.026312247	-2.1678253	-3.0604342	0.27465793	-3.061628	0.2744578	0.32326588	-2.6139876	a248bdd	2x2_2C_8b_C2v_L	9.81	validité_data_2022.py	0.15693635	1.0338903	-1.7506418	-0.2926072	1.7510453	-0.29252139	0.41442138	-2.3516725	2024-08-12@14:46	2.1719	1	0.1609	v2.7.1	
YY	13.5	4.0781	0.026268346	-2.1720637	-3.0662619	0.27398306	-3.0686585	0.2745139	0.32177895	-2.6198302	a248bdd	2x2_2C_8b_C2v_L	9.82	validité_data_2022.py	0.15668806	1.0341327	-1.7509126	-0.29212816	1.7516384	-0.29251213	0.41324631	-2.3513321	2024-08-12@14:47	2.1719	1	0.1609	v2.7.1	
YY	13.5	4.0781	0.026267928	-2.1763525	-3.0698846	0.27173074	-3.0726962	0.27358139	0.32068346	-2.6260486	a248bdd	2x2_2C_8b_C2v_L	9.83	validité_data_2022.py	0.15644416	1.0343779	-1.7504446	-0.29116937	1.7512921	-0.29186764	0.41233131	-2.3512339	2024-08-12@14:48	2.1719	1	0.1609	v2.7.1	
YY	13.5	4.0781	0.026293232	-2.1806942	-3.0781301	0.27213887	-3.0778075	0.27277815	0.31910234	-2.6320856	a248bdd	2x2_2C_8b_C2v_L	9.84	validité_data_2022.py	0.15624376	1.0346714	-1.7514163	-0.29124679	1.7512426	-0.29153502	0.41116778	-2.3509434	2024-08-12@14:48	2.1719	1	0.1609	v2.7.1	
YY	13.5	4.0781	0.026318556	-2.1832986	-3.0851903	0.2703549	-3.0850515	0.27307872	0.31788733	-2.6381139	a248bdd	2x2_2C_8b_C2v_L	9.85	validité_data_2022.py	0.15597665	1.0345813	-1.7520845	-0.29036829	1.7518331	-0.29166235	0.41007812	-2.3507842	2024-08-12@14:49	2.1719	1	0.1609	v2.7.1	
YY	13.5	4.0781	0.02629101	-2.1900572	-3.0886038	0.27179058	-3.0893529	0.27024591	0.31647465	-2.6441909	a248bdd	2x2_2C_8b_C2v_L	9.86	validité_data_2022.py	0.15586862	1.0354172	-1.7513557	-0.29098592	1.7517182	-0.29031985	0.40908381	-2.3504202	2024-08-12@14:49	2.1719	1	0.1609	v2.7.1	
YY	13.5	4.0781	0.026289921	-2.1948663	-3.0940669	0.26917065	-3.0938612	0.27055278	0.31561471	-2.6514461	a248bdd	2x2_2C_8b_C2v_L	9.87	validité_data_2022.py	0.15560156	1.0356453	-1.7516449	-0.28977785	1.7514261	-0.29039917	0.40829487	-2.3508536	2024-08-12@14:50	2.1719	1	0.1609	v2.7.1	
YY	13.5	4.0781	0.026293922	-2.1977078	-3.1014082	0.27027826	-3.099807	0.2686331	0.31432298	-2.6572491	a248bdd	2x2_2C_8b_C2v_L	9.88	validité_data_2022.py	0.1554468	1.0357472	-1.7521249	-0.29023872	1.7517634	-0.28943339	0.40722638	-2.3503979	2024-08-12@14:51	2.1719	1	0.1609	v2.7.1	
YY	13.5	4.0781	0.026323241	-2.2026847	-3.1070583	0.26786861	-3.105663	0.26844301	0.31283099	-2.6623045	a248bdd	2x2_2C_8b_C2v_L	9.89	validité_data_2022.py	0.15520013	1.0360817	-1.7524098	-0.28913522	1.7519195	-0.28944367	0.40601445	-2.3499136	2024-08-12@14:51	2.1719	1	0.1609	v2.7.1	
YY	13.5	4.0781	0.026300418	-2.2078183	-3.1096791	0.26707573	-3.1112313	0.26754681	0.31210272	-2.6701747	a248bdd	2x2_2C_8b_C2v_L	9.9	validité_data_2022.py	0.15509808	1.0365975	-1.7515701	-0.28868821	1.7520753	-0.28890719	0.40530774	-2.3503233	2024-08-12@14:52	2.1719	1	0.1609	v2.7.1	
YY	13.5	4.0781	0.026235143	-2.2123112	-3.1144871	0.26644591	-3.1155307	0.26548186	0.31064778	-2.6752105	a248bdd	2x2_2C_8b_C2v_L	9.91	validité_data_2022.py	0.15480531	1.036828	-1.7515507	-0.2884659	1.7518747	-0.28803234	0.40419588	-2.3498306	2024-08-12@14:52	2.1719	1	0.1609	v2.7.1	
YY	13.5	4.0781	0.026184282	-2.2149293	-3.1214962	0.26483469	-3.1242104	0.26658537	0.30927087	-2.6813427	a248bdd	2x2_2C_8b_C2v_L	9.92	validité_data_2022.py	0.1546614	1.0367505	-1.7521033	-0.28763847	1.7527551	-0.28846628	0.40303081	-2.3494716	2024-08-12@14:53	2.1719	1	0.1609	v2.7.1	
YY	13.5	4.0781	0.026362914	-2.2227812	-3.1289065	0.26515659	-3.1288622	0.26407579	0.30864525	-2.6874735	a248bdd	2x2_2C_8b_C2v_L	9.93	validité_data_2022.py	0.15454822	1.037734	-1.752723	-0.28783314	1.7529209	-0.28732175	0.40221045	-2.3496311	2024-08-12@14:54	2.1719	1	0.1609	v2.7.1	
YY	13.5	4.0781	0.026108885	-2.2258713	-3.1308275	0.26278782	-3.130176	0.26325584	0.30752636	-2.6949842	a248bdd	2x2_2C_8b_C2v_L	9.94	validité_data_2022.py	0.15429354	1.0377711	-1.7518264	-0.28670118	1.7515987	-0.28691468	0.40136771	-2.349818	2024-08-12@14:54	2.1719	1	0.1609	v2.7.1	
YY	13.5	4.0781	0.026078061	-2.2290995	-3.1404846	0.26307497	-3.1372475	0.26228203	0.30589272	-2.7000787	a248bdd	2x2_2C_8b_C2v_L	9.95	validité_data_2022.py	0.15408068	1.0377546	-1.7531814	-0.28686482	1.7522101	-0.28647085	0.40022317	-2.3492571	2024-08-12@14:55	2.1719	1	0.1609	v2.7.1	
YY	13.5	4.0781	0.026142882	-2.235495	-3.1438469	0.261316	-3.1412788	0.261074	0.30550017	-2.7069129	a248bdd	2x2_2C_8b_C2v_L	9.96	validité_data_2022.py	0.1539544	1.0384997	-1.752727	-0.28592623	1.7519908	-0.28591734	0.399285	-2.3495971	2024-08-12@14:55	2.1719	1	0.1609	v2.7.1	
YY	13.5	4.0781	0.025936212	-2.2398213	-3.1472234	0.25980023	-3.1495171	0.26091433	0.30417244	-2.7123673	a248bdd	2x2_2C_8b_C2v_L	9.97	validité_data_2022.py	0.15377392	1.0386979	-1.7522015	-0.28531607	1.7527839	-0.28581678	0.39844764	-2.3488946	2024-08-12@14:56	2.1719	1	0.1609	v2.7.1	
YY	13.5	4.0781	0.026097617	-2.2444315	-3.1521604	0.25963642	-3.1563886	0.25866094	0.3024418	-2.7179114	a248bdd	2x2_2C_8b_C2v_L	9.98	validité_data_2022.py	0.153641	1.0390364	-1.7521269	-0.28522969	1.753422	-0.28474612	0.39699164	-2.3487622	2024-08-12@14:56	2.1719	1	0.1609	v2.7.1	
YY	13.5	4.0781	0.025751228	-2.2495743	-3.1587219	0.25812966	-3.159719	0.2592086	0.30312078	-2.7270008	a248bdd	2x2_2C_8b_C2v_L	9.99	validité_data_2022.py	0.15336647	1.0394309	-1.752572	-0.28451031	1.7529228	-0.28495154	0.39696243	-2.3497749	2024-08-12@14:57	2.1719	1	0.1609	v2.7.1	
YY	13.5	4.0781	0.02580899	-2.253228	-3.1652696	0.25744108	-3.1639044	0.25734452	0.30111218	-2.7314684	a248bdd	2x2_2C_8b_C2v_L	10.0	validité_data_2022.py	0.15324422	1.0395492	-1.7530401	-0.28414311	1.7526336	-0.28410598	0.39551349	-2.3489132	2024-08-12@14:58	2.1719	1	0.1609	v2.7.1	
