CDMFT_iterations	CDMFT_method	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
1	Broyden	-119.9506491	-158.7504	11.6727721	YY	14	0.1934950986	self-energy	sharp_wc_2_b_50	4.0781	2	1.27261528	0.8329974011	0.002865010393	-6.824153773	1.95644745	-7.32208424	1.831227005	0.9639755517	0.003856755472	-7.330199895	1.831293066	0.9667541255	0.003876619785	1.028462103	0.001842177177	-6.601010867	1.61326634	a248bdd	2x2_2C_8b_C2v_L	14	1.188831394	2	1.666563311	1.188831393991871	0.9999999999999998	new_boucle_param.py	R0:N12:S0:1	uncorrelated	0.1253536068	-0.2313046825	1.352888029	-0.6024625071	-2.000948626	1.494761318	0.1958710365	-0.2245110286	2.002215597	-1.494617938	0.1964431037	-0.2250762532	0.2574893553	-0.1514562017	-2.532264938	2.541755511	2024-08-16@11:12	2.1719	-0.5350604238	1	-1.034264396e-16	-0.1471296183	0.1609	2.276938599e-17	0.06400877837	v2.7.1	
4	Broyden	-119.8054817	-158.5904	11.67278412	YY	14	0.1935161392	self-energy	sharp_wc_2_b_50	4.0781	2	1.272616154	0.8345927917	0.002834229053	-6.807068641	1.956444069	-7.308001124	1.831198824	0.9713378609	0.003840042091	-7.318048408	1.831260033	0.9777163135	0.003870932877	1.040519936	0.001843634318	-6.592088255	1.613287893	a248bdd	2x2_2C_8b_C2v_L	13.99	1.188855086	2	1.666564387	1.1888550855054603	1.0	new_boucle_param.py	R0:N12:S0:1	uncorrelated	0.1244454236	-0.2300233954	1.351992392	-0.6024466592	-2.000278692	1.494815807	0.1953121247	-0.2240107996	2.001915546	-1.494772048	0.1963195289	-0.2249144763	0.2576087356	-0.151499762	-2.532532728	2.541762389	2024-08-16@11:14	2.1719	-0.5350608801	1	-2.536142945e-16	-0.1471281072	0.1609	4.562204133e-17	0.06400829654	v2.7.1	
4	Broyden	-119.7214382	-158.4304	11.67276582	YY	14	0.1934618104	self-energy	sharp_wc_2_b_50	4.0781	2	1.272615278	0.8455969266	0.002834276024	-6.799945163	1.956451842	-7.305688505	1.831281727	0.9848579018	0.003855036275	-7.3117785	1.831307228	0.9888967831	0.003875504884	1.051902872	0.00184702176	-6.585105456	1.613359815	a248bdd	2x2_2C_8b_C2v_L	13.98	1.188796887	2	1.666561509	1.1887968872380288	1.0	new_boucle_param.py	R0:N12:S0:1	uncorrelated	0.1245139185	-0.2300387676	1.352260936	-0.602410274	-2.001436321	1.49454503	0.1958933992	-0.2244766163	2.002455124	-1.494595545	0.196564558	-0.22507272	0.2579488382	-0.1516441772	-2.533172024	2.541581267	2024-08-16@11:17	2.1719	-0.5350613982	1	-1.458986178e-16	-0.1471296027	0.1609	-4.432682149e-16	0.06400886952	v2.7.1	
4	Broyden	-119.5337599	-158.2704	11.67271988	YY	14	0.1935338215	self-energy	sharp_wc_2_b_50	4.0781	2	1.272615658	0.8476627882	0.002802970305	-6.776346694	1.956432682	-7.282480033	1.831159712	0.9889198633	0.003823359713	-7.297454158	1.831243025	0.9982924076	0.00386973109	1.061997679	0.001845897805	-6.57354237	1.613324143	a248bdd	2x2_2C_8b_C2v_L	13.97	1.18887462	2	1.666561082	1.1888746198057287	1.0	new_boucle_param.py	R0:N12:S0:1	uncorrelated	0.1235723603	-0.2287229162	1.350679067	-0.6024824668	-1.999356857	1.494895125	0.1947793481	-0.2235205883	2.001810447	-1.494883311	0.1962904117	-0.2248752462	0.2577425597	-0.1515652353	-2.53281429	2.541731872	2024-08-16@11:20	2.1719	-0.5350691191	1	9.155553081e-17	-0.1471297357	0.1609	-9.199739095e-17	0.06400911181	v2.7.1	
3	Broyden	-119.296994	-158.1104	11.67283816	YY	14	0.1936970955	self-energy	sharp_wc_2_b_50	4.0781	2	1.272620812	0.8541086943	0.00278770337	-6.756903941	1.956408821	-7.260484547	1.831028932	0.9930300167	0.003792763149	-7.268523069	1.831083586	0.9973858221	0.003815628461	1.060545485	0.001816735125	-6.548696257	1.613032301	a248bdd	2x2_2C_8b_C2v_L	13.96	1.189058383	2	1.666563176	1.189058382496198	0.9999999999999998	new_boucle_param.py	R0:N12:S0:1	uncorrelated	0.12299605	-0.2280436448	1.349704074	-0.602625747	-1.997469092	1.495422953	0.1935361674	-0.2225240739	1.998760238	-1.495351999	0.194260756	-0.2231925948	0.255139996	-0.1503488591	-2.529439054	2.542391848	2024-08-16@11:22	2.1719	-0.5350661621	1	4.885283091e-16	-0.1471169245	0.1609	-2.828737675e-16	0.06400399075	v2.7.1	
3	Broyden	-119.2132331	-157.9504	11.67268949	YY	14	0.1936163409	self-energy	sharp_wc_2_b_50	4.0781	2	1.272617316	0.8598427915	0.002766221594	-6.743130786	1.956417545	-7.255543559	1.831078784	1.004067588	0.003800123632	-7.262075287	1.8311365	1.0067572	0.003814489472	1.079874316	0.001840983249	-6.550668457	1.613272628	a248bdd	2x2_2C_8b_C2v_L	13.95	1.188968181	2	1.666557147	1.188968181226653	0.9999999999999997	new_boucle_param.py	R0:N12:S0:1	uncorrelated	0.1224976798	-0.2271737456	1.349102723	-0.6025291213	-1.998175687	1.495277722	0.1938787949	-0.2227705075	1.999182627	-1.495132272	0.1943146765	-0.2231865412	0.2571962389	-0.1513267552	-2.532167452	2.541924322	2024-08-16@11:24	2.1719	-0.535078682	1	4.233802621e-16	-0.1471256473	0.1609	4.840281871e-17	0.0640078063	v2.7.1	
3	Broyden	-119.0257698	-157.7904	11.67278771	YY	14	0.1937343908	self-energy	sharp_wc_2_b_50	4.0781	2	1.272621014	0.8719808733	0.002786280614	-6.738787922	1.956420065	-7.233457904	1.830971781	1.007193354	0.00377062215	-7.239821937	1.830997516	1.013063642	0.003795348	1.07852031	0.001813145639	-6.527972503	1.613040466	a248bdd	2x2_2C_8b_C2v_L	13.94	1.189101194	2	1.666558365	1.1891011939736926	0.9999999999999997	new_boucle_param.py	R0:N12:S0:1	uncorrelated	0.1228810528	-0.2279707949	1.349809142	-0.6025506037	-1.996234186	1.495599668	0.1926655384	-0.2218214984	1.997319643	-1.495657604	0.1935223133	-0.2225626282	0.2548124852	-0.1501910707	-2.529194618	2.542394333	2024-08-16@11:27	2.1719	-0.5350748097	1	-8.452808769e-17	-0.1471157313	0.1609	-1.36119054e-16	0.06400367136	v2.7.1	
6	Broyden	-118.9034115	-157.6304	11.67278425	YY	14	0.1937232126	self-energy	sharp_wc_2_b_50	4.0781	2	1.272621336	0.8802460848	0.002773037772	-6.72495884	1.956415435	-7.228122296	1.831018244	1.0181501	0.003776971972	-7.228254836	1.831009611	1.019348743	0.003780038414	1.087749074	0.001810934394	-6.517765856	1.613048651	a248bdd	2x2_2C_8b_C2v_L	13.93	1.189091769	2	1.666555116	1.1890917692163607	0.9999999999999998	new_boucle_param.py	R0:N12:S0:1	uncorrelated	0.1225492436	-0.2274206836	1.349324151	-0.6025790247	-1.996916459	1.495496744	0.1928688378	-0.2220012903	1.996967555	-1.495557758	0.193003396	-0.2220984217	0.2546159597	-0.1500920503	-2.529097192	2.54237254	2024-08-16@11:30	2.1719	-0.535076497	1	-1.861060613e-16	-0.147114452	0.1609	1.079852198e-16	0.06400316706	v2.7.1	
3	Broyden	-118.757134	-157.4704	11.67277449	YY	14	0.1937388162	self-energy	sharp_wc_2_b_50	4.0781	2	1.272621951	0.879369494	0.002737461974	-6.703527903	1.956401705	-7.216567281	1.831008045	1.026943942	0.003767132202	-7.220841758	1.831050482	1.029602103	0.003781180087	1.095613292	0.001806206417	-6.505617195	1.6130033	a248bdd	2x2_2C_8b_C2v_L	13.92	1.189111122	2	1.666552758	1.1891111220516632	0.9999999999999998	new_boucle_param.py	R0:N12:S0:1	uncorrelated	0.1214599815	-0.2259052466	1.347922431	-0.6026349778	-1.996648656	1.495540181	0.1925730083	-0.2217047212	1.997322924	-1.495412512	0.1930108402	-0.2221236863	0.2541421521	-0.1498752589	-2.528593982	2.542505638	2024-08-16@11:32	2.1719	-0.535079713	1	-2.59575464e-16	-0.1471131525	0.1609	3.984766117e-17	0.06400269821	v2.7.1	
4	Broyden	-118.5649315	-157.3104	11.67264173	YY	14	0.1937866623	self-energy	sharp_wc_2_b_50	4.0781	2	1.27262084	0.873703789	0.002675425405	-6.667399034	1.956363121	-7.208006462	1.831004253	1.039046089	0.003775841694	-7.200957259	1.830982657	1.032370635	0.003749520683	1.105096798	0.001807077334	-6.49519563	1.612989186	a248bdd	2x2_2C_8b_C2v_L	13.91	1.189163229	2	1.666546408	1.189163229423801	0.9999999999999998	new_boucle_param.py	R0:N12:S0:1	uncorrelated	0.119650408	-0.2232591836	1.344849725	-0.6028047508	-1.996865379	1.495655006	0.1928199195	-0.2219515844	1.995656481	-1.49554463	0.1918853329	-0.2211604254	0.2540020908	-0.1498509825	-2.528451807	2.542628034	2024-08-16@11:35	2.1719	-0.5350964328	1	9.150491244e-17	-0.1471168472	0.1609	4.763108829e-17	0.0640044834	v2.7.1	
