CDMFT_iterations	CDMFT_method	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
1	Broyden	-119.9506491	-158.7504	11.6727721	YY	14	0.1934950986	self-energy	sharp_wc_2_b_50	4.0781	2	1.27261528	0.8329974011	0.002865010393	-6.824153773	1.95644745	-7.32208424	1.831227005	0.9639755517	0.003856755472	-7.330199895	1.831293066	0.9667541255	0.003876619785	1.028462103	0.001842177177	-6.601010867	1.61326634	a248bdd	2x2_2C_8b_C2v_L	14	1.188831394	2	1.666563311	1.1888313939914117	0.9999999999999998	new_boucle_param.py	R0:N12:S0:1	uncorrelated	0.1253536068	-0.2313046825	1.352888029	-0.6024625071	-2.000948626	1.494761318	0.1958710365	-0.2245110286	2.002215597	-1.494617938	0.1964431037	-0.2250762532	0.2574893553	-0.1514562017	-2.532264938	2.541755511	2024-08-16@11:12	2.1719	-0.5350604238	1	-1.034264396e-16	-0.1471296183	0.1609	2.276938599e-17	0.06400877837	v2.7.1	
3	Broyden	-120.0478181	-158.9104	11.6728804	YY	14	0.1935628177	self-energy	sharp_wc_2_b_50	4.0781	2	1.272617858	0.8295035449	0.002891536264	-6.846909321	1.956469442	-7.327238149	1.831152104	0.9532488804	0.003850466146	-7.324787205	1.831135584	0.9521177491	0.003844232519	1.0179752	0.001836328385	-6.60778416	1.613201119	a248bdd	2x2_2C_8b_C2v_L	14.01	1.188904797	2	1.666570826	1.1889047969358326	0.9999999999999997	new_boucle_param.py	R0:N12:S0:1	uncorrelated	0.1260504004	-0.2323914955	1.354394193	-0.6023369723	-2.000270143	1.495076258	0.1955541834	-0.2242883846	1.999880063	-1.495096782	0.1953604512	-0.2241088816	0.2570899199	-0.1512413393	-2.531606085	2.541903861	2024-08-16@11:14	2.1719	-0.5350512647	1	-9.345587693e-17	-0.1471235246	0.1609	-1.758523964e-17	0.06400629831	v2.7.1	
3	Broyden	-120.0762676	-159.0704	11.67291176	YY	14	0.1936941604	self-energy	sharp_wc_2_b_50	4.0781	2	1.272620098	0.8176962089	0.002885261864	-6.847348827	1.956444874	-7.326171923	1.831018338	0.9393691297	0.003832970809	-7.3211749	1.831004956	0.9350991136	0.003815177695	1.00200515	0.001822353067	-6.608205638	1.612986092	a248bdd	2x2_2C_8b_C2v_L	14.02	1.189047494	2	1.666574495	1.1890474941181028	1.0	new_boucle_param.py	R0:N12:S0:1	uncorrelated	0.1257586895	-0.2321050807	1.353442467	-0.6024669744	-1.998614018	1.495587273	0.1947896782	-0.2237151974	1.997758616	-1.495495749	0.1941678678	-0.2231883607	0.2557575753	-0.1506497498	-2.529507241	2.542418289	2024-08-16@11:17	2.1719	-0.5350526433	1	5.132542742e-16	-0.1471189287	0.1609	-4.043478498e-16	0.06400454198	v2.7.1	
3	Broyden	-120.2307245	-159.2304	11.67294965	YY	14	0.1936672621	self-energy	sharp_wc_2_b_50	4.0781	2	1.272620202	0.8131933509	0.002907822469	-6.868738196	1.956465044	-7.338500253	1.831043244	0.9302702564	0.003838553582	-7.33316408	1.831017394	0.9264122122	0.003822719607	0.9930970635	0.001823459301	-6.619177771	1.613009396	a248bdd	2x2_2C_8b_C2v_L	14.03	1.189018092	2	1.666576241	1.1890180917297184	1.0000000000000002	new_boucle_param.py	R0:N12:S0:1	uncorrelated	0.1264123575	-0.2330389208	1.354728168	-0.6023664912	-1.998987637	1.495488181	0.194989658	-0.2238873509	1.998108416	-1.495466697	0.1944444036	-0.2234204987	0.2559578511	-0.1507216715	-2.529736118	2.542333719	2024-08-16@11:19	2.1719	-0.5350473152	1	5.532694374e-17	-0.1471182302	0.1609	-3.43917484e-18	0.0640041436	v2.7.1	
2	Broyden	-120.4337557	-159.3904	11.67294755	YY	14	0.1935506531	self-energy	sharp_wc_2_b_50	4.0781	2	1.27261827	0.8021389409	0.002903607047	-6.880092356	1.956467306	-7.359604176	1.831187242	0.9248438771	0.003861509763	-7.365605964	1.831214734	0.9289665358	0.003878987303	0.9862218147	0.001832088798	-6.633817096	1.613094042	a248bdd	2x2_2C_8b_C2v_L	14.04	1.188890121	2	1.666575633	1.1888901207216314	0.9999999999999998	new_boucle_param.py	R0:N12:S0:1	uncorrelated	0.1263774368	-0.2328833043	1.354830512	-0.6023680995	-2.000733968	1.494880286	0.1959323064	-0.2246353207	2.001722969	-1.494914659	0.1965290067	-0.2251459709	0.2567605556	-0.1510930761	-2.530787024	2.542099077	2024-08-16@11:21	2.1719	-0.5350420301	1	-5.650917428e-17	-0.147122789	0.1609	-1.782192381e-16	0.06400573727	v2.7.1	
3	Broyden	-120.5760009	-159.5504	11.67299524	YY	14	0.1935602882	self-energy	sharp_wc_2_b_50	4.0781	2	1.272618841	0.8028527934	0.002949321237	-6.909756874	1.95650184	-7.371128305	1.831179329	0.9164945727	0.003871886603	-7.365250687	1.831115211	0.914169561	0.003856453579	0.9777144676	0.001833105625	-6.643920248	1.613095219	a248bdd	2x2_2C_8b_C2v_L	14.05	1.188899409	2	1.6665795	1.1888994085395415	1.0000000000000004	new_boucle_param.py	R0:N12:S0:1	uncorrelated	0.1276460992	-0.2347568738	1.35709144	-0.602183137	-2.001009549	1.494972206	0.1962049708	-0.2249222526	2.000112345	-1.495185084	0.1957638295	-0.2244751883	0.25699067	-0.1511749009	-2.530870502	2.542072111	2024-08-16@11:23	2.1719	-0.5350365925	1	5.402623172e-16	-0.1471209032	0.1609	1.479342102e-16	0.06400494124	v2.7.1	
3	Broyden	-120.7737527	-159.7104	11.67299182	YY	14	0.1934642155	self-energy	sharp_wc_2_b_50	4.0781	2	1.272617179	0.7961501188	0.002966617869	-6.927310043	1.956511901	-7.382388118	1.831216362	0.9068933828	0.003869869351	-7.401634999	1.831365595	0.9173564287	0.003924018442	0.9693438554	0.001837255666	-6.656051695	1.613130841	a248bdd	2x2_2C_8b_C2v_L	14.06	1.188794385	2	1.666577897	1.1887943849202163	0.9999999999999996	new_boucle_param.py	R0:N12:S0:1	uncorrelated	0.1281718026	-0.2354699965	1.357934132	-0.6021550227	-2.001204954	1.494737229	0.1963673748	-0.2249257651	2.004262089	-1.494440808	0.1980683571	-0.2264963135	0.2574473529	-0.1513760866	-2.531353121	2.541926247	2024-08-16@11:25	2.1719	-0.535032576	1	5.955732335e-17	-0.1471241616	0.1609	-1.579350045e-16	0.06400602897	v2.7.1	
3	Broyden	-120.38055	-159.8704	11.67274502	YY	14	0.1940171987	self-energy	sharp_wc_2_b_50	4.0781	2	1.272620035	0.7655691659	0.002841376886	-6.852106105	1.956344823	-7.327545034	1.830298589	0.8745939353	0.003720369527	-7.307146071	1.830433525	0.8600022296	0.003704397998	0.9658450613	0.001850062906	-6.671503601	1.613274375	a248bdd	2x2_2C_8b_C2v_L	14.07	1.18938312	2	1.666588575	1.1893831201467697	1.0000000000000002	new_boucle_param.py	R0:N12:S0:1	uncorrelated	0.1246338943	-0.2303157449	1.348980636	-0.6029327764	-1.991320232	1.498556928	0.1909993726	-0.2202372928	1.987777069	-1.496902255	0.1898836058	-0.2198111451	0.2575980735	-0.1516024803	-2.532562024	2.542099061	2024-08-16@11:28	2.1719	-0.535075203	1	2.618735303e-16	-0.1471259196	0.1609	-1.338937076e-16	0.06400866471	v2.7.1	
5	Broyden	-121.0575426	-160.0304	11.67297649	YY	14	0.1933895047	self-energy	sharp_wc_2_b_50	4.0781	2	1.272615691	0.768636979	0.002942279889	-6.93663355	1.956490449	-7.437925159	1.831556933	0.9049152606	0.003961877442	-7.417336017	1.831347456	0.895215691	0.003905410523	0.9495748679	0.001839283878	-6.676159551	1.613106924	a248bdd	2x2_2C_8b_C2v_L	14.08	1.188712347	2	1.666576803	1.1887123466381473	0.9999999999999999	new_boucle_param.py	R0:N12:S0:1	uncorrelated	0.1274901914	-0.2344763026	1.356701319	-0.6022820588	-2.006821521	1.49371753	0.1994258385	-0.2276560092	2.003644034	-1.494369089	0.1977473601	-0.2260241803	0.2575901296	-0.1514581901	-2.53140368	2.541956019	2024-08-16@11:31	2.1719	-0.535030392	1	4.544930158e-16	-0.1471281774	0.1609	-3.226587642e-16	0.0640074527	v2.7.1	
6	Broyden	-121.1718583	-160.1904	11.6730614	YY	14	0.1934391214	self-energy	sharp_wc_2_b_50	4.0781	2	1.272617521	0.7667156799	0.002974207592	-6.956795641	1.956499548	-7.44973724	1.831556927	0.8963362432	0.003973191322	-7.422421171	1.831308893	0.8835322021	0.0039003463	0.9339129996	0.001824672986	-6.676880606	1.612894929	a248bdd	2x2_2C_8b_C2v_L	14.09	1.188766821	2	1.666580956	1.1887668213856348	1.0	new_boucle_param.py	R0:N12:S0:1	uncorrelated	0.1283333728	-0.2357621638	1.357958396	-0.6022560466	-2.00716479	1.493782005	0.1996855353	-0.2279538047	2.002909749	-1.49444549	0.1974910462	-0.2258583844	0.2563999232	-0.1508959547	-2.529398608	2.542379047	2024-08-16@11:35	2.1719	-0.5350229498	1	1.622059841e-16	-0.147123148	0.1609	-4.331914602e-17	0.06400526834	v2.7.1	
