model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	ave_e	ave_mu	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	28	12	7	0.092118412	-2.1957602	-2.7381035	0.24894062	-2.7380656	0.24893762	0.29628049	-2.7779187	11.6	-0.0041921458	0.024074766	-0.02596475	0.0093092492	0.025964494	-0.0093093295	0.013099567	-0.040230483	1.3333333	1.6667616	0.00038285692	5.2151428e-07	1.9996554	1.9997259	2.5264871e-06	1.9997259	2.5265324e-06	4.9106932e-06	1.9993588	1.00038	0.0028761547	-0.074178302	0.066128281	-0.0063153911	-0.066128429	0.0063154475	-0.0088320851	0.10122758	9.5679191e-05	5.2151421e-07	0.00034519277	0.00027471367	2.5264855e-06	0.00027471489	2.5265308e-06	4.9106872e-06	0.00064176201	9.6633552e-05	4.0005712	3.999426	3.9976405	4.0023586	3.9976405	4.0023586	4.0007913	3.9992043	-67.304466	R0:N12:S0:1	-36.8	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.41e-05	 1.94e+00	2022-06-29@11:42
2x2_2C_8b_C2v_L	25.555556	11.388889	6.3888889	0.092118412	-2.1957602	-2.7381035	0.24894062	-2.7380656	0.24893762	0.29628049	-2.7779187	11.544444	-0.0041921458	0.024074766	-0.02596475	0.0093092492	0.025964494	-0.0093093295	0.013099567	-0.040230483	1.3333333	1.9989872	0.00057597379	5.2963144e-07	1.9994439	1.999597	2.5736935e-06	1.999597	2.5737396e-06	4.9814257e-06	1.9990601	1.0005736	0.0028932974	-0.094359009	0.080313195	-0.0063577881	-0.080313584	0.0063578447	-0.0088833419	0.12264137	0.00014391561	5.2963136e-07	0.00055547071	0.00040237812	2.5736919e-06	0.00040238204	2.573738e-06	4.9814195e-06	0.0009391055	0.00014428914	4.0009215	3.9990797	3.996492	4.0035137	3.996492	4.0035137	4.0012298	3.9987684	-67.083288	R0:N12:S0:1	-41.244444	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-06-29@11:42
2x2_2C_8b_C2v_L	23.111111	10.777778	5.7777778	0.092118412	-2.1957602	-2.7381035	0.24894062	-2.7380656	0.24893762	0.29628049	-2.7779187	11.488889	-0.0041921458	0.024074766	-0.02596475	0.0093092492	0.025964494	-0.0093093295	0.013099567	-0.040230483	1.3333333	1.9998383	0.00096775726	5.4119382e-07	1.9989494	1.9993458	2.6456472e-06	1.9993458	2.6456948e-06	5.0754679e-06	1.998487	1.000965	0.0029141761	-0.12961127	0.10222042	-0.0064134271	-0.10222133	0.0064134843	-0.0089439357	0.15553179	0.00024172624	5.4119375e-07	0.0010505231	0.00065429492	2.6456455e-06	0.00065430653	2.6456931e-06	5.0754614e-06	0.0015125453	0.00024246518	4.001682	3.9983132	3.9941449	4.0058636	3.9941449	4.0058636	4.002032	3.9979567	-66.862724	R0:N12:S0:1	-45.688889	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-06-29@11:43
2x2_2C_8b_C2v_L	20.666667	10.166667	5.1666667	0.092118412	-2.1957602	-2.7381035	0.24894062	-2.7380656	0.24893762	0.29628049	-2.7779187	11.433333	-0.0041921458	0.024074766	-0.02596475	0.0093092492	0.025964494	-0.0093093295	0.013099567	-0.040230483	1.3333333	1.9999414	0.0019934439	5.6428824e-07	1.9973234	1.9987635	2.7995448e-06	1.9987635	2.7995965e-06	5.2315419e-06	1.9971752	1.0019908	0.0029472913	-0.20683474	0.14043668	-0.0065121391	-0.14043891	0.0065121977	-0.009028675	0.2124936	0.00049750812	5.6428816e-07	0.0026747328	0.0012360503	2.7995429e-06	0.0012360896	2.7995946e-06	5.2315348e-06	0.0028227501	0.00049814878	4.0039311	3.9960376	3.9878394	4.012197	3.9878394	4.012197	4.0035284	3.9964315	-66.643582	R0:N12:S0:1	-50.133333	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-06-29@11:43
2x2_2C_8b_C2v_L	18.222222	9.5555556	4.5555556	0.092118412	-2.1957602	-2.7381035	0.24894062	-2.7380656	0.24893762	0.29628049	-2.7779187	11.377778	-0.0041921458	0.024074766	-0.02596475	0.0093092492	0.025964494	-0.0093093295	0.013099567	-0.040230483	1.3333333	1.999972	0.0074041564	6.8078472e-07	1.9836921	1.9968674	3.5997092e-06	1.9968672	3.5997758e-06	5.6227076e-06	1.9929542	1.0074014	0.0030765189	-0.50956124	0.22248663	-0.0069402917	-0.22249358	0.0069403547	-0.0091917306	0.33572323	0.0018402946	6.8078456e-07	0.016238798	0.0031302456	3.5997059e-06	0.0031304412	3.5997724e-06	5.6226991e-06	0.0070331095	0.0018409527	4.0192676	3.9793001	3.9510517	4.0493588	3.9510516	4.049359	4.0004402	3.9991276	-66.429701	R0:N12:S0:1	-54.577778	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-06-29@11:44
2x2_2C_8b_C2v_L	15.777778	8.9444444	3.9444444	0.092118412	-2.1957602	-2.7381035	0.24894062	-2.7380656	0.24893762	0.29628049	-2.7779187	11.322222	-0.0041921458	0.024074766	-0.02596475	0.0093092492	0.025964494	-0.0093093295	0.013099567	-0.040230483	1.3333333	1.9999909	0.49416086	1.639077e-05	0.086840315	1.9946953	6.1389407e-05	1.9946933	6.1387848e-05	1.3495542e-05	1.9469957	1.4941557	0.020593017	-1.4086844	0.15581828	-0.037313176	-0.15586265	0.037311989	-0.0092687638	1.0765394	0.0089721402	1.6390601e-05	0.082009978	0.0053747362	6.1387258e-05	0.0053767872	6.1385699e-05	1.3495825e-05	0.052131125	0.0089735068	7.6825449	6.7494922	1.2297084	6.8473656	1.2299513	6.8471481	2.5284175	5.3287362	-66.597416	R0:N12:S0:1	-59.022222	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-06-29@11:44
2x2_2C_8b_C2v_L	13.333333	8.3333333	3.3333333	0.092118412	-2.1957602	-2.7381035	0.24894062	-2.7380656	0.24893762	0.29628049	-2.7779187	11.266667	-0.0041921458	0.024074766	-0.02596475	0.0093092492	0.025964494	-0.0093093295	0.013099567	-0.040230483	1.3333333	1.9999996	0.96884787	1.5018059e-05	0.0082122429	1.1657763	6.5390876e-05	0.95035123	6.4897847e-05	0.00012974513	1.9999954	1.9688474	0.021789023	-0.50834282	0.83069868	-0.044962622	-1.0392799	0.04464721	-0.064159964	5.1149241e-05	0.0073488498	1.5017922e-05	0.0081701461	0.92392934	6.5388319e-05	0.93673591	6.4895335e-05	0.00012973495	7.2771148e-06	0.0073491648	7.9671143	7.8564843	3.6402327	7.7919137	4.3368623	7.7414737	7.9975521	0.00080597452	-67.864946	R0:N12:S0:1	-63.466667	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-06-29@11:45
2x2_2C_8b_C2v_L	10.888889	7.7222222	2.7222222	0.092118412	-2.1957602	-2.7381035	0.24894062	-2.7380656	0.24893762	0.29628049	-2.7779187	11.211111	-0.0041921458	0.024074766	-0.02596475	0.0093092492	0.025964494	-0.0093093295	0.013099567	-0.040230483	1.3333333	2	0.99691252	1.0917337e-05	0.002752625	1.9833912	4.9565482e-05	0.026001168	4.9207328e-05	9.5801818e-05	1.9999998	1.9969124	0.018672343	-0.29644505	0.0046612443	-0.039806534	-0.54202623	0.039576749	-0.055331549	1.127815e-05	0.00076779505	1.0917266e-05	0.0027479515	0.032862085	4.956402e-05	0.042049278	4.920589e-05	9.5796361e-05	2.6633009e-07	0.00076785908	7.9888032	7.9519054	0.069505151	7.9988196	7.773619	7.9619485	7.9983606	0.00039803558	-69.843533	R0:N12:S0:1	-67.911111	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-06-29@11:46
2x2_2C_8b_C2v_L	8.4444444	7.1111111	2.1111111	0.092118412	-2.1957602	-2.7381035	0.24894062	-2.7380656	0.24893762	0.29628049	-2.7779187	11.155556	-0.0041921458	0.024074766	-0.02596475	0.0093092492	0.025964494	-0.0093093295	0.013099567	-0.040230483	1.3333333	2	0.99883786	8.2000025e-06	0.001352341	1.9995147	3.7610366e-05	0.0036255207	3.7488997e-05	7.2920795e-05	1.9999999	1.9988378	0.016191801	-0.20792765	8.2458956e-05	-0.034683337	-0.31661783	0.034605378	-0.048284335	7.7023429e-06	0.00028999598	8.1999629e-06	0.0013512251	0.0009696291	3.7609535e-05	0.0041023224	3.7488172e-05	7.2917673e-05	5.5370362e-08	0.0002900187	7.9944521	7.9765756	0.0021790658	7.9993598	7.9433162	7.9868124	7.9987671	0.00029313103	-71.839343	R0:N12:S0:1	-72.355556	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-06-29@11:46
2x2_2C_8b_C2v_L	6	6.5	1.5	0.092118412	-2.1957602	-2.7381035	0.24894062	-2.7380656	0.24893762	0.29628049	-2.7779187	11.1	-0.0041921458	0.024074766	-0.02596475	0.0093092492	0.025964494	-0.0093093295	0.013099567	-0.040230483	1.3333333	2	0.99938148	6.3783639e-06	0.0008007132	1.9999558	2.9494669e-05	0.0015950125	2.9434913e-05	5.7325803e-05	2	1.9993815	0.014283217	-0.16003042	7.23712e-06	-0.030715837	-0.22266411	0.030677443	-0.042813397	6.0075449e-06	0.00015448351	6.3783403e-06	0.00080032705	8.8329261e-05	2.9494164e-05	0.0016376287	2.9434411e-05	5.7323897e-05	4.0512127e-08	0.00015449551	7.99669	7.9862509	0.00030489718	7.9995041	7.9729628	7.9933032	7.9990373	0.00022958887	-73.837462	R0:N12:S0:1	-76.8	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-06-29@11:46
