model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	11.117337	11.5	4.0781	0.0037426347	-4.1449565	-4.5225249	0.034548688	-4.5209022	0.03463376	0.028189226	-4.2776734	13	0.072694972	1.146126	-1.6646406	0.13125346	1.6643591	0.13122441	0.1713316	-2.1667394	2.1719	1	0.1609	1.2538929	1.7229351	-0.55564476	-0.21528811	0.089318236	0.33994083	0.0038304217	1.953405	1.6880004	0.0082892142	1.68781	0.00827689	0.001750105	1.3145272	1.3335277	-0.27091708	-0.46953691	1.8493871	-0.30835709	-1.850119	-0.30811414	-0.15078092	3.2514997	0.054611423	0.0038208766	0.048021106	0.29898332	0.0082804984	0.29913347	0.0082682359	0.0017498109	0.45736363	0.055609997	6.7725234	1.4872621	3.4764967	5.2037156	3.4766056	5.2032198	4.1132031	1.7827876	-96.557431	R0:N12:S0:1	-71.3752	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 3.87e+02	 1.00e+06	2022-07-07@09:46
2x2_2C_8b_C2v_L	11.157023	11.444444	4.0781	0.012969345	-4.1336045	-4.4733207	0.028989834	-4.4730606	0.028982934	0.022320563	-4.2289894	13	0.073423246	1.1473027	-1.6570236	0.1294351	1.656966	0.12944053	0.1681841	-2.1562742	2.1719	1	0.1609	1.2542797	1.7277112	-0.54998798	-0.21591871	0.089294117	0.34545534	0.0039335769	1.95368	1.6823473	0.0082722851	1.6823497	0.0082729302	0.0017009841	1.3033129	1.3390326	-0.27512677	-0.46290469	1.8586495	-0.30805287	-1.8586105	-0.3080691	-0.14938833	3.2706675	0.054995894	0.0039235102	0.047766632	0.30437335	0.0082637263	0.30437379	0.0082643684	0.0017006537	0.4605765	0.056023807	6.7981341	1.459984	3.4779498	5.2251265	3.4779355	5.225212	4.1304851	1.7408997	-96.32142	R0:N12:S0:1	-71.3752	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 3.79e+02	 1.73e-02	2022-07-07@09:47
2x2_2C_8b_C2v_L	11.203819	11.388889	4.0781	0.018491736	-4.1168168	-4.4242909	0.025659537	-4.4242435	0.025657528	0.019257341	-4.1785955	13	0.074899044	1.1473722	-1.6498044	0.12821694	1.6497851	0.1282248	0.16592979	-2.1458864	2.1719	1	0.1609	1.2547855	1.732853	-0.54357331	-0.21630723	0.089245381	0.35119047	0.0041348353	1.9540296	1.6765278	0.0083259283	1.6765539	0.0083278249	0.001668853	1.2914532	1.3447445	-0.28263424	-0.45561873	1.8676861	-0.30911717	-1.8675601	-0.30915843	-0.14874446	3.2905953	0.05537737	0.0041237098	0.047433724	0.30994567	0.0083173675	0.30992758	0.0083192541	0.0016684798	0.4638076	0.056440876	6.8240691	1.431011	3.4798887	5.2474888	3.479865	5.2476273	4.1484275	1.6971628	-96.074798	R0:N12:S0:1	-71.3752	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 3.70e+02	 1.45e-02	2022-07-07@09:48
2x2_2C_8b_C2v_L	11.266601	11.333333	4.0781	0.019832456	-4.0993415	-4.3741713	0.023417811	-4.3741551	0.02341386	0.017402644	-4.1328157	13	0.076217738	1.1467731	-1.6426986	0.12735432	1.6426985	0.12735431	0.16418832	-2.137059	2.1719	1	0.1609	1.2555617	1.7388384	-0.53548173	-0.21610968	0.089184963	0.35703833	0.0043357113	1.9544928	1.6704669	0.0084207864	1.6704574	0.0084204814	0.001644485	1.2795342	1.3505568	-0.28997242	-0.44758204	1.8766866	-0.31098264	-1.8767286	-0.31097515	-0.14840951	3.3106606	0.055748769	0.0043234755	0.04698168	0.31576501	0.0084121432	0.31577184	0.0084118409	0.0016440692	0.46687441	0.056851071	6.8506842	1.4006083	3.4823109	5.2708221	3.4823168	5.2707816	4.1654289	1.6530991	-95.836426	R0:N12:S0:1	-71.3752	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 3.62e+02	 1.11e-02	2022-07-07@09:50
2x2_2C_8b_C2v_L	11.325139	11.277778	4.0781	0.018984646	-4.0784463	-4.323966	0.022182314	-4.3239525	0.022183071	0.016780713	-4.0927225	13	0.077168308	1.145935	-1.6359182	0.12695902	1.6359118	0.12696133	0.16318049	-2.1299109	2.1719	1	0.1609	1.2562719	1.7444294	-0.52789032	-0.21596782	0.089104741	0.3629227	0.0045055018	1.9549484	1.6641578	0.0085667925	1.6641681	0.008567434	0.0016342288	1.2678632	1.3563971	-0.29609738	-0.43955819	1.8858187	-0.31381206	-1.8857703	-0.31382612	-0.14863371	3.3301205	0.056105778	0.0044922884	0.046538152	0.32181064	0.0085579699	0.32180358	0.0085586076	0.0016337709	0.46971916	0.057249182	6.8774273	1.3702846	3.4848866	5.2946171	3.4848791	5.2946685	4.1816128	1.6102445	-95.607375	R0:N12:S0:1	-71.3752	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 3.55e+02	 9.74e-04	2022-07-07@09:52
2x2_2C_8b_C2v_L	11.381632	11.222222	4.0781	0.016810055	-4.0658505	-4.2886294	0.02110554	-4.2886436	0.02111624	0.016743383	-4.0496514	13	0.077891862	1.1451662	-1.6316796	0.12686275	1.6316896	0.12686738	0.16247397	-2.1224197	2.1719	1	0.1609	1.2569521	1.7497675	-0.52055861	-0.21581897	0.089006277	0.36862147	0.004644765	1.9555861	1.6584799	0.0087224293	1.6584632	0.0087223959	0.0016256021	1.2555684	1.3620468	-0.30125002	-0.43056512	1.8936993	-0.31686122	-1.8937768	-0.31685742	-0.14908097	3.3499897	0.056424749	0.0046307163	0.04590166	0.32729824	0.0087134024	0.3273096	0.0087133729	0.0016250909	0.47254467	0.057610729	6.9046783	1.3385109	3.4885471	5.3161734	3.488556	5.3160914	4.1991916	1.5660709	-95.451053	R0:N12:S0:1	-71.3752	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 3.47e+02	 7.69e-03	2022-07-07@09:53
2x2_2C_8b_C2v_L	11.437702	11.166667	4.0781	0.013752139	-4.0519293	-4.2465209	0.020181799	-4.2465247	0.020179888	0.017117862	-4.0136206	13	0.07835921	1.1444852	-1.6262877	0.12693187	1.6262882	0.12693069	0.16233616	-2.1166447	2.1719	1	0.1609	1.2576308	1.7549526	-0.51331786	-0.21560455	0.088892714	0.37443355	0.0047581468	1.9562072	1.6522956	0.0089090106	1.6522962	0.008908891	0.0016284076	1.2437734	1.3678058	-0.30548056	-0.42169059	1.9020237	-0.32044943	-1.9020213	-0.32044727	-0.14995294	3.3690124	0.056738532	0.0047434028	0.04528209	0.33325482	0.0088997245	0.33325436	0.0088996051	0.0016278444	0.47509282	0.057968165	6.9317898	1.3071052	3.4921462	5.3393034	3.4921463	5.3393054	4.2153005	1.5237905	-95.281946	R0:N12:S0:1	-71.3752	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 3.40e+02	 7.63e-03	2022-07-07@09:55
2x2_2C_8b_C2v_L	11.494526	11.111111	4.0781	0.010162218	-4.0421037	-4.2188031	0.019082863	-4.2187925	0.019086586	0.017474207	-3.9800215	13	0.078651886	1.1443288	-1.6234584	0.12712653	1.6234588	0.12712717	0.16245145	-2.111375	2.1719	1	0.1609	1.2583274	1.7600222	-0.50605062	-0.21526508	0.088749796	0.37988336	0.0048390395	1.956821	1.6467901	0.0090744385	1.6467816	0.0090741921	0.001634592	1.2321744	1.3732026	-0.30864745	-0.41310586	1.9091415	-0.32370554	-1.9091777	-0.32369984	-0.15100923	3.3870313	0.057010366	0.0048237895	0.044668122	0.33858565	0.0090649193	0.33859153	0.0090646754	0.0016339737	0.47745785	0.058282485	6.9578655	1.2769223	3.4961428	5.3600293	3.4961463	5.3599953	4.231934	1.4833763	-95.185091	R0:N12:S0:1	-71.3752	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 3.33e+02	 7.45e-03	2022-07-07@09:56
2x2_2C_8b_C2v_L	11.550731	11.055556	4.0781	0.0066942467	-4.0290763	-4.1799516	0.017737242	-4.1799633	0.017739454	0.017626883	-3.9499011	13	0.078815643	1.1436806	-1.6185002	0.12723961	1.6185013	0.12723965	0.16269125	-2.1068391	2.1719	1	0.1609	1.2590201	1.7649546	-0.49889591	-0.21487104	0.088607019	0.38561762	0.0049077338	1.9574562	1.6405817	0.0092568335	1.640587	0.009257006	0.0016444676	1.2207738	1.3788838	-0.31140039	-0.40433463	1.9168489	-0.32720312	-1.9168274	-0.32720707	-0.15216535	3.404751	0.057287302	0.0048920516	0.044031669	0.34458092	0.0092470608	0.34457724	0.0092472317	0.0016437962	0.4796313	0.058602897	6.9843127	1.246285	3.5002015	5.3832543	3.5001997	5.3832732	4.2475648	1.4437149	-95.045588	R0:N12:S0:1	-71.3752	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 3.27e+02	 7.80e-03	2022-07-07@09:58
2x2_2C_8b_C2v_L	11.607844	11	4.0781	0.0033515129	-4.0191234	-4.1533809	0.016216795	-4.1533919	0.016216363	0.017486411	-3.9214907	13	0.07894649	1.1434631	-1.6157108	0.12738553	1.6157106	0.12738653	0.16291976	-2.1025526	2.1719	1	0.1609	1.2597334	1.7697946	-0.49169553	-0.21435229	0.088430755	0.39102645	0.0049589654	1.9580721	1.6349832	0.0094082673	1.6349932	0.0094087664	0.0016531709	1.209557	1.3842413	-0.31359428	-0.39591315	1.9235183	-0.3301969	-1.9234766	-0.33020731	-0.15328978	3.4215126	0.057527497	0.0049429592	0.04341342	0.35001289	0.0093982892	0.35000606	0.0093987847	0.0016524469	0.48164102	0.058885144	7.0096293	1.2169251	3.5045776	5.4043104	3.5045738	5.4043485	4.2637899	1.4059029	-94.965621	R0:N12:S0:1	-71.3752	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 3.21e+02	 7.67e-03	2022-07-07@09:59
