GS_consistency	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	githash	model	mu	script	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	time	tpd	tpp	tppp	version	Unnamed: 28
YY	10.5	2.8548	0.76125006	-2.1076852	-3.0489074	0.97446424	-3.0486754	1.0130342	1.0566653	-2.8556045	a248bdd	2x2_2C_8b_C2v_L	9.21	validity_data_2022.py	5.5721e-06	0.89528551	-1.4497757	7.3136311e-06	1.4497255	2.8391263e-06	2.7272724e-05	-1.9545984	2024-08-14@09:02	1.8226	1	0.3032	v2.7.1	
YY	10.5	2.8548	0.71793132	-2.1160473	-3.0543026	1.0354996	-3.0541577	1.0585505	1.100157	-2.8618266	a248bdd	2x2_2C_8b_C2v_L	9.22	validity_data_2022.py	1.0960257e-05	0.89696706	-1.4507622	-1.581223e-05	1.450728	-1.1908124e-05	-8.1332028e-06	-1.9551828	2024-08-14@09:02	1.8226	1	0.3032	v2.7.1	
YY	10.5	2.8548	0.72008467	-2.1253779	-3.0599642	1.1447106	-3.0599587	1.0698681	1.2070948	-2.8677728	a248bdd	2x2_2C_8b_C2v_L	9.23	validity_data_2022.py	-4.4994444e-06	0.89851092	-1.4514652	7.0708272e-06	1.4514621	1.5841504e-05	-5.6252792e-06	-1.9554253	2024-08-14@09:03	1.8226	1	0.3032	v2.7.1	
YY	10.5	2.8548	0.80505053	-2.1369077	-3.0667783	1.3457641	-3.0667338	1.0802868	1.3822983	-2.8745084	a248bdd	2x2_2C_8b_C2v_L	9.24	validity_data_2022.py	-2.6153876e-06	0.90033479	-1.4524353	-5.2527526e-07	1.4524273	3.3762478e-06	1.1599601e-05	-1.9559576	2024-08-14@09:03	1.8226	1	0.3032	v2.7.1	
YY	10.5	2.8548	0.99124253	-2.1504156	-3.0745796	1.6889375	-3.0745908	1.106091	1.6163102	-2.8817462	a248bdd	2x2_2C_8b_C2v_L	9.25	validity_data_2022.py	-1.4728511e-07	0.90233147	-1.4535058	2.3457256e-07	1.4535077	-2.685501e-08	2.4776896e-07	-1.9565657	2024-08-14@09:03	1.8226	1	0.3032	v2.7.1	
YY	10.5	2.8548	1.3011558	-2.1658403	-3.0836305	2.1968166	-3.0836407	1.1402521	1.9443773	-2.8896886	a248bdd	2x2_2C_8b_C2v_L	9.26	validity_data_2022.py	2.3721524e-06	0.90449125	-1.4547108	1.3790144e-06	1.4547127	3.6001006e-06	1.9564633e-07	-1.9572893	2024-08-14@09:04	1.8226	1	0.3032	v2.7.1	
YY	10.5	2.8548	1.7869297	-2.183285	-3.0940389	2.8808322	-3.0940343	1.2096694	2.4155097	-2.8984093	a248bdd	2x2_2C_8b_C2v_L	9.27	validity_data_2022.py	-1.6751243e-07	0.90682915	-1.4560517	6.0344166e-07	1.4560509	1.4941753e-08	2.9577413e-07	-1.9581191	2024-08-14@09:04	1.8226	1	0.3032	v2.7.1	
YY	10.5	2.8548	2.4591379	-2.2026663	-3.1059081	3.7919254	-3.1059077	1.3077906	3.0553639	-2.9080195	a248bdd	2x2_2C_8b_C2v_L	9.28	validity_data_2022.py	-5.3093563e-07	0.90933591	-1.4575348	-8.1737606e-07	1.4575348	-1.2057076e-07	3.1696427e-07	-1.9590638	2024-08-14@09:04	1.8226	1	0.3032	v2.7.1	
YY	10.5	2.8548	3.3694112	-2.2238581	-3.1192353	4.9597849	-3.1192386	1.4025926	3.911358	-2.9185459	a248bdd	2x2_2C_8b_C2v_L	9.29	validity_data_2022.py	-2.0643631e-07	0.91199911	-1.4591512	4.8508667e-07	1.459152	8.744277e-08	3.1509749e-07	-1.9601152	2024-08-14@09:05	1.8226	1	0.3032	v2.7.1	
YY	10.5	2.8548	4.634492	-2.246562	-3.1338828	6.3075063	-3.1338887	1.5094241	5.0397248	-2.9299196	a248bdd	2x2_2C_8b_C2v_L	9.3	validity_data_2022.py	1.0131601e-08	0.91478472	-1.4608797	1.6233799e-06	1.460881	4.7495049e-07	7.2851894e-07	-1.9612543	2024-08-14@09:05	1.8226	1	0.3032	v2.7.1	
YY	10.5	2.8548	6.2548846	-2.2703522	-3.1495966	7.8927381	-3.1495781	1.6467877	6.4649242	-2.9419748	a248bdd	2x2_2C_8b_C2v_L	9.31	validity_data_2022.py	6.0627954e-07	0.91764373	-1.4626888	1.2613039e-06	1.4626851	6.3414023e-07	4.1225552e-07	-1.962451	2024-08-14@09:05	1.8226	1	0.3032	v2.7.1	
YY	10.5	2.8548	8.2439399	-2.2947793	-3.1660382	9.7317712	-3.1660309	1.8279415	8.219509	-2.9545112	a248bdd	2x2_2C_8b_C2v_L	9.32	validity_data_2022.py	-1.9150192e-06	0.92052463	-1.4645392	-2.3459727e-05	1.4645378	1.2843261e-06	3.107474e-06	-1.9636762	2024-08-14@09:06	1.8226	1	0.3032	v2.7.1	
YY	10.5	2.8548	10.648107	-2.3195049	-3.1828824	11.814631	-3.1828672	2.0859287	10.322258	-2.9673701	a248bdd	2x2_2C_8b_C2v_L	9.33	validity_data_2022.py	-2.8440442e-06	0.92339328	-1.4663917	3.8359761e-06	1.4663895	-3.3420098e-06	-4.8938168e-06	-1.9649151	2024-08-14@09:06	1.8226	1	0.3032	v2.7.1	
YY	10.5	2.8548	13.561236	-2.3442626	-3.1999436	14.139289	-3.1999339	2.4506357	12.758266	-2.9803364	a248bdd	2x2_2C_8b_C2v_L	9.34	validity_data_2022.py	-1.5337712e-06	0.92622255	-1.4682355	-9.7773812e-06	1.4682337	-1.1478307e-06	1.1382224e-06	-1.9661292	2024-08-14@09:06	1.8226	1	0.3032	v2.7.1	
YY	10.5	2.8548	16.998846	-2.368862	-3.2170671	16.778389	-3.2170679	2.917046	15.589021	-2.9933814	a248bdd	2x2_2C_8b_C2v_L	9.35	validity_data_2022.py	1.5593584e-06	0.92899023	-1.4700539	6.1197305e-06	1.4700542	1.7653059e-06	4.9250051e-06	-1.9673292	2024-08-14@09:07	1.8226	1	0.3032	v2.7.1	
YY	10.5	2.8548	20.959689	-2.3932531	-3.2341658	19.750821	-3.2341676	3.4811783	18.878133	-3.0064241	a248bdd	2x2_2C_8b_C2v_L	9.36	validity_data_2022.py	1.7441159e-06	0.93169729	-1.4718406	-1.9661674e-06	1.471841	1.6453609e-07	2.5570696e-06	-1.9685035	2024-08-14@09:07	1.8226	1	0.3032	v2.7.1	
YY	10.5	2.8548	25.465619	-2.4173738	-3.2511936	23.066427	-3.2511966	4.1853893	22.649348	-3.0194305	a248bdd	2x2_2C_8b_C2v_L	9.37	validity_data_2022.py	-1.6379636e-07	0.934338	-1.4735936	-7.1172838e-07	1.4735941	-1.598723e-07	-3.5285729e-06	-1.9696491	2024-08-14@09:08	1.8226	1	0.3032	v2.7.1	
YY	10.5	2.8548	30.526488	-2.4412067	-3.2681134	26.755083	-3.2681135	5.0573704	26.938135	-3.0323789	a248bdd	2x2_2C_8b_C2v_L	9.38	validity_data_2022.py	-1.8647709e-06	0.93691283	-1.4753094	1.8875581e-06	1.4753094	8.0333684e-07	-1.4041759e-06	-1.9707649	2024-08-14@09:08	1.8226	1	0.3032	v2.7.1	
YY	10.5	2.8548	36.182762	-2.4647498	-3.2849193	30.838911	-3.2849203	6.1125637	31.77518	-3.045267	a248bdd	2x2_2C_8b_C2v_L	9.39	validity_data_2022.py	-2.9141483e-07	0.93942321	-1.4769894	-9.2706672e-07	1.4769896	2.4257718e-07	-9.5223376e-07	-1.9718525	2024-08-14@09:08	1.8226	1	0.3032	v2.7.1	
YY	10.5	2.8548	42.465281	-2.4879889	-3.3015893	35.332235	-3.301589	7.3510158	37.214249	-3.0580781	a248bdd	2x2_2C_8b_C2v_L	9.4	validity_data_2022.py	-8.1284103e-07	0.94186937	-1.4786314	-3.5167581e-07	1.4786314	-2.2300327e-07	-2.198493e-07	-1.9729094	2024-08-14@09:09	1.8226	1	0.3032	v2.7.1	
YY	10.5	2.8548	49.393506	-2.5109365	-3.3181254	40.279104	-3.3181241	8.8076643	43.264946	-3.0708146	a248bdd	2x2_2C_8b_C2v_L	9.41	validity_data_2022.py	1.1412539e-06	0.94425402	-1.4802367	1.3425266e-07	1.4802365	-1.077663e-07	-7.515574e-08	-1.9739371	2024-08-14@09:09	1.8226	1	0.3032	v2.7.1	
YY	10.5	2.8548	57.000654	-2.5336115	-3.3345326	45.685547	-3.3345315	10.514828	49.948698	-3.0834774	a248bdd	2x2_2C_8b_C2v_L	9.42	validity_data_2022.py	-6.4489456e-07	0.9465811	-1.4818069	6.4398964e-07	1.4818067	-5.3813761e-07	-2.2711957e-06	-1.9749366	2024-08-14@09:09	1.8226	1	0.3032	v2.7.1	
YY	10.5	2.8548	65.310355	-2.5560162	-3.3508079	51.614099	-3.3508078	12.48	57.229995	-3.0960666	a248bdd	2x2_2C_8b_C2v_L	9.43	validity_data_2022.py	2.0811209e-08	0.9488518	-1.4833421	-1.0789309e-06	1.4833421	5.1223877e-07	2.7818204e-07	-1.9759085	2024-08-14@09:10	1.8226	1	0.3032	v2.7.1	
YY	10.5	2.8548	74.377567	-2.5781616	-3.3669537	58.081591	-3.3669532	14.746367	65.142248	-3.1085808	a248bdd	2x2_2C_8b_C2v_L	9.44	validity_data_2022.py	1.3578914e-09	0.95106864	-1.4848433	1.1028019e-06	1.4848432	-3.3690622e-07	3.8393483e-07	-1.9768528	2024-08-14@09:10	1.8226	1	0.3032	v2.7.1	
YY	10.5	2.8548	84.22877	-2.6000572	-3.3829711	65.083598	-3.3829714	17.336833	73.718591	-3.1210221	a248bdd	2x2_2C_8b_C2v_L	9.45	validity_data_2022.py	1.6768693e-06	0.95323365	-1.4863109	8.8450933e-07	1.4863109	4.631514e-07	1.8690249e-06	-1.9777704	2024-08-14@09:11	1.8226	1	0.3032	v2.7.1	
YY	10.5	2.8548	94.919373	-2.6217105	-3.3988633	72.590838	-3.3988621	20.293308	82.967676	-3.1333908	a248bdd	2x2_2C_8b_C2v_L	9.46	validity_data_2022.py	3.0501542e-08	0.95534873	-1.487746	6.2835574e-07	1.4877457	-1.0326153e-07	1.6633348e-06	-1.9786617	2024-08-14@09:11	1.8226	1	0.3032	v2.7.1	
YY	10.5	2.8548	106.49255	-2.6431314	-3.4146316	80.630773	-3.4146298	23.650019	92.910498	-3.1456875	a248bdd	2x2_2C_8b_C2v_L	9.47	validity_data_2022.py	1.2500392e-06	0.9574159	-1.489149	-1.098911e-07	1.4891487	6.0688115e-07	-4.6196482e-07	-1.979527	2024-08-14@09:12	1.8226	1	0.3032	v2.7.1	
YY	10.5	2.8548	119.01487	-2.6643252	-3.4302774	89.216807	-3.4302755	27.434443	103.59863	-3.1579134	a248bdd	2x2_2C_8b_C2v_L	9.48	validity_data_2022.py	-1.0162844e-06	0.95943647	-1.4905207	1.0427971e-06	1.4905203	-1.7861176e-06	-1.5502707e-06	-1.9803671	2024-08-14@09:12	1.8226	1	0.3032	v2.7.1	
YY	10.5	2.8548	132.52684	-2.6853037	-3.4458015	98.353142	-3.4458001	31.654434	115.08455	-3.17007	a248bdd	2x2_2C_8b_C2v_L	9.49	validity_data_2022.py	-1.4017212e-06	0.96141279	-1.4918614	-3.3241122e-07	1.4918611	1.8996727e-06	1.519025e-06	-1.9811824	2024-08-14@09:12	1.8226	1	0.3032	v2.7.1	
YY	10.5	2.8548	147.08601	-2.7060698	-3.4612075	108.01992	-3.461207	36.303151	127.40115	-3.1821568	a248bdd	2x2_2C_8b_C2v_L	9.5	validity_data_2022.py	-2.9773432e-07	0.96334577	-1.493172	-3.1045788e-07	1.4931719	4.8172588e-07	-3.8662283e-06	-1.9819732	2024-08-14@09:13	1.8226	1	0.3032	v2.7.1	
YY	10.5	2.8548	162.71491	-2.7266311	-3.4764965	118.23767	-3.4764957	41.375379	140.57331	-3.1941751	a248bdd	2x2_2C_8b_C2v_L	9.51	validity_data_2022.py	2.3243777e-06	0.96523698	-1.4944531	-1.355073e-06	1.4944529	-4.2395756e-06	3.2191705e-06	-1.9827398	2024-08-14@09:13	1.8226	1	0.3032	v2.7.1	
YY	10.5	2.8548	0.033469161	-2.0910778	-2.8286544	0.26143307	-2.8299478	0.25846658	0.29357934	-2.2770714	a248bdd	2x2_2C_8b_C2v_L	8.0	validity_data_2022.py	0.14254026	0.91250227	-1.4997094	0.27125458	1.5013233	-0.26798349	0.36786218	-1.9953522	2024-08-14@09:14	1.8226	1	0.3032	v2.7.1	
YY	10.5	2.8548	0.033435027	-2.0956287	-2.8349504	0.26015952	-2.8346684	0.25863346	0.29311067	-2.2839138	a248bdd	2x2_2C_8b_C2v_L	8.01	validity_data_2022.py	0.14241046	0.91266922	-1.5002191	0.26994995	1.5006431	-0.26847337	0.367042	-1.9951574	2024-08-14@09:15	1.8226	1	0.3032	v2.7.1	
YY	10.5	2.8548	0.033083496	-2.1014416	-2.8399814	0.25755649	-2.8396809	0.25789897	0.29180295	-2.2899102	a248bdd	2x2_2C_8b_C2v_L	8.02	validity_data_2022.py	0.14222614	0.91306511	-1.5007753	0.26822951	1.5004965	-0.26856813	0.36570188	-1.9952341	2024-08-14@09:15	1.8226	1	0.3032	v2.7.1	
YY	10.5	2.8548	0.032609423	-2.1058026	-2.8438237	0.2556377	-2.8424587	0.25645368	0.2903969	-2.296931	a248bdd	2x2_2C_8b_C2v_L	8.03	validity_data_2022.py	0.1419058	0.91330008	-1.5004382	0.26720693	1.4996804	-0.26833564	0.36496906	-1.9950849	2024-08-14@09:16	1.8226	1	0.3032	v2.7.1	
