model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	7.737061	15	2.8548	-0.023654906	-3.160767	-3.5017965	0.021814633	-3.5021435	0.021817114	0.039534262	-3.0449977	9.21	-0.11739843	1.0162535	-1.5373885	0.1432299	1.5374639	0.14323246	0.18676147	-2.0188064	1.8226	1	0.3032	1.2730845	1.6332224	-0.50219804	-0.15963149	0.064499784	0.095969388	0.10823035	1.9561296	1.8395881	0.16247202	1.8395878	0.16243658	0.0089424148	1.6345976	1.0720039	1.0366594	-0.652718	1.3853124	-0.86040054	-1.3853647	-0.86025675	-0.23484741	2.1928409	0.021721808	0.098967362	0.04321447	0.1501022	0.15465842	0.15010274	0.15463089	0.0090441373	0.29743932	0.028173495	4.8295157	3.01897	3.6941132	4.5833284	3.6942193	4.5832292	3.7349414	3.6399586	-67.536132	R0:N12:S0:1	-50.8416	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 7.74e+01	 2.15e-03	2022-07-12@17:08
2x2_2C_8b_C2v_L	7.757543	15	2.8548	-0.024265032	-3.1686	-3.5097582	0.021499646	-3.5089782	0.021499088	0.039109259	-3.0533838	9.22	-0.11712915	1.0167123	-1.5378263	0.14276547	1.5376541	0.14277357	0.18608697	-2.0191323	1.8226	1	0.3032	1.273681	1.6338894	-0.50021866	-0.15792699	0.063880529	0.09604679	0.10636292	1.9564104	1.8415324	0.15785261	1.8415513	0.15804779	0.0088556859	1.6389574	1.0726074	1.0291807	-0.65166732	1.378661	-0.85126989	-1.3784228	-0.85203116	-0.23412483	2.182849	0.021738117	0.097420758	0.042947761	0.14847974	0.15049631	0.14846155	0.15065334	0.0089558411	0.29505306	0.028044218	4.8310669	3.019609	3.6956146	4.5759908	3.6951247	4.5764523	3.7369584	3.6477451	-67.636132	R0:N12:S0:1	-50.9216	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 7.65e+01	 4.78e-03	2022-07-12@17:10
2x2_2C_8b_C2v_L	7.7761167	15	2.8548	-0.026210452	-3.1809751	-3.5200017	0.019881426	-3.5200913	0.019866425	0.037048869	-3.0623242	9.23	-0.11732204	1.0181744	-1.5395331	0.14172778	1.5395423	0.14175044	0.18414901	-2.0205664	1.8226	1	0.3032	1.274202	1.634631	-0.49832453	-0.15652536	0.063386231	0.096189529	0.10584673	1.9565571	1.8429196	0.15430619	1.8429573	0.15454764	0.0086430559	1.6417321	1.0731226	1.027857	-0.65134488	1.37395	-0.8439755	-1.3737109	-0.84487049	-0.23163127	2.1769792	0.02176735	0.09699176	0.042805814	0.14732571	0.1472621	0.14729055	0.14746128	0.0087389522	0.29352173	0.027970456	4.830745	3.0194109	3.696014	4.571281	3.6955054	4.5717731	3.737668	3.6520901	-67.765025	R0:N12:S0:1	-51.0016	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 7.57e+01	 1.62e-03	2022-07-12@17:12
2x2_2C_8b_C2v_L	7.795328	15	2.8548	-0.027235122	-3.1909273	-3.5295913	0.019052769	-3.5288542	0.019042463	0.035962305	-3.071336	9.24	-0.11701826	1.0193037	-1.5407255	0.14104644	1.5405864	0.14102199	0.18299066	-2.0215763	1.8226	1	0.3032	1.2747535	1.6353045	-0.49643574	-0.15496812	0.06282382	0.096303207	0.10423022	1.9567905	1.8446055	0.1506146	1.8445746	0.15049707	0.0085176816	1.6454034	1.0736916	1.0213458	-0.65055551	1.3681512	-0.83670297	-1.3682543	-0.83627108	-0.23028492	2.1687839	0.021790843	0.095645773	0.042584136	0.14590875	0.14388631	0.14593695	0.14378723	0.0086111676	0.29147458	0.02786745	4.8324639	3.0195651	3.6963459	4.5658833	3.6965443	4.5656941	3.7392318	3.6581286	-67.880685	R0:N12:S0:1	-51.0816	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 7.48e+01	 2.70e-03	2022-07-12@17:14
2x2_2C_8b_C2v_L	7.8149096	15	2.8548	-0.028997806	-3.2022714	-3.5394393	0.017792155	-3.5396249	0.017822367	0.034491495	-3.08016	9.25	-0.1172835	1.0202126	-1.541935	0.14017542	1.5419686	0.14019127	0.18143524	-2.0225398	1.8226	1	0.3032	1.2753068	1.6360379	-0.49446772	-0.15344218	0.062279169	0.096414113	0.10355357	1.9569745	1.8462012	0.14655855	1.8462132	0.14660407	0.0083346514	1.6486679	1.0742231	1.0193237	-0.65000251	1.36266	-0.8280691	-1.3626047	-0.82826137	-0.22821541	2.1616107	0.021813725	0.095082712	0.042406366	0.14457481	0.14019294	0.14456389	0.14023105	0.0084245354	0.28963497	0.027773364	4.8320884	3.0197266	3.6972481	4.5600235	3.6971514	4.5601065	3.7402288	3.6634312	-68.003704	R0:N12:S0:1	-51.1616	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 7.40e+01	 1.71e-03	2022-07-12@17:15
2x2_2C_8b_C2v_L	7.8340387	15	2.8548	-0.030252879	-3.2132442	-3.5486354	0.016911753	-3.5488427	0.016921295	0.033360908	-3.0890954	9.26	-0.11712145	1.0214118	-1.5430414	0.13941409	1.5430821	0.13945632	0.18021384	-2.0235226	1.8226	1	0.3032	1.2758523	1.6367191	-0.49257554	-0.15190337	0.061723326	0.096526164	0.10220236	1.9571856	1.8477767	0.14264189	1.8478233	0.14292082	0.0082000479	1.6521594	1.0747725	1.0139626	-0.6493438	1.3573182	-0.8194623	-1.3570305	-0.82054828	-0.2267225	2.1538212	0.021836847	0.09395335	0.042205142	0.14325075	0.13662096	0.14320724	0.13685579	0.0082873227	0.28764943	0.027674574	4.8333111	3.0199255	3.6981501	4.5541687	3.6975382	4.5547627	3.7416639	3.6689904	-68.121555	R0:N12:S0:1	-51.2416	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 7.31e+01	 1.27e-03	2022-07-12@17:17
2x2_2C_8b_C2v_L	7.8535538	15	2.8548	-0.032024685	-3.2237637	-3.5566284	0.015995141	-3.5569976	0.015994028	0.032297625	-3.0983276	9.27	-0.11716309	1.0222491	-1.5438567	0.13851569	1.5439888	0.13851984	0.17879939	-2.024659	1.8226	1	0.3032	1.2764057	1.6374295	-0.49062989	-0.15035592	0.061168559	0.09663788	0.10130909	1.9573753	1.8493877	0.13893748	1.8493616	0.13883245	0.0080395498	1.6555074	1.0753123	1.0107523	-0.64872771	1.3515688	-0.81160291	-1.3517843	-0.81113008	-0.2248643	2.1464819	0.021859871	0.093205073	0.042022623	0.14189225	0.13321181	0.14191588	0.13312658	0.0081237186	0.2857258	0.027577827	4.8335622	3.0200551	3.6983646	4.548993	3.6986906	4.5486761	3.7427333	3.6741879	-68.23426	R0:N12:S0:1	-51.3216	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 7.22e+01	 1.00e+06	2022-07-12@17:19
2x2_2C_8b_C2v_L	7.8733548	15	2.8548	-0.033282784	-3.2362372	-3.5695932	0.014582439	-3.5695641	0.014614286	0.030535145	-3.109903	9.28	-0.11733407	1.0235896	-1.5456461	0.13794217	1.5456265	0.13786047	0.1774874	-2.0262661	1.8226	1	0.3032	1.2769616	1.6381733	-0.48863835	-0.14880332	0.060610824	0.096752991	0.10012297	1.9575836	1.8510163	0.13536621	1.8509253	0.13477468	0.0078916083	1.6589472	1.075843	1.0063938	-0.6480465	1.3459717	-0.80424028	-1.3465901	-0.80190199	-0.22316825	2.1390189	0.021883547	0.092213274	0.041823574	0.14051338	0.1299252	0.14059929	0.12942124	0.0079729505	0.28373251	0.027484885	4.8345817	3.020001	3.6985419	4.5437508	3.6998975	4.5423975	3.7437937	3.6793438	-68.376462	R0:N12:S0:1	-51.4016	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 7.13e+01	 1.00e+06	2022-07-12@17:20
2x2_2C_8b_C2v_L	7.891965	15	2.8548	-0.035073895	-3.2500225	-3.5763631	0.013921744	-3.582091	0.013929441	0.029711756	-3.1155102	9.29	-0.11709645	1.0252797	-1.5464482	0.13706702	1.5476295	0.13708154	0.17623201	-2.0264206	1.8226	1	0.3032	1.277487	1.6388477	-0.48678185	-0.14732205	0.060078555	0.09686618	0.099032604	1.9577516	1.8524012	0.13189751	1.852378	0.13142042	0.0077522713	1.6619424	1.076356	1.0018697	-0.64774335	1.3410237	-0.79617198	-1.341914	-0.79398731	-0.22159372	2.1320425	0.021906876	0.091293384	0.041663219	0.13934324	0.12672542	0.13936671	0.12633233	0.0078308719	0.28198117	0.027396842	4.8353108	3.0205248	3.6987095	4.5391248	3.7004449	4.5373981	3.7454728	3.6840382	-68.495255	R0:N12:S0:1	-51.4816	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 7.05e+01	 1.00e+06	2022-07-12@17:21
